bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1912447,2171,HB1,1,Introduced,2025-01-22,"Specie As Legal Tender","An Act relating to specie as legal tender in the state; and relating to borough and city sales and use taxes on specie.",2139,"House State Affairs",2025-05-07,"COSPONSOR(S): JIMMIE, STUTES",https://legiscan.com/AK/bill/HB1/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB1
1912462,2171,HB2,1,Introduced,2025-01-22,"Dui Diversion Program","An Act establishing the driving while under the influence diversion program for eligible persons charged with driving while under the influence or refusal to submit to a chemical test; relating to judgment for restitution; relating to suspended imposition of sentence; relating to records kept by the Department of Administration; relating to operating a vehicle, aircraft, or watercraft while under the influence of an alcoholic beverage, inhalant, or controlled substance; relating to refusal to submit to a chemical test; amending Rule 9, Alaska Rules of Administration, and Rule 39, Alaska Rules of Criminal Procedure; and providing for an effective date.",2139,"House State Affairs",2025-03-21,"COSPONSOR(S): CARRICK",https://legiscan.com/AK/bill/HB2/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB2
1912507,2171,HB3,1,Introduced,2025-01-22,"Hold Legislative Sessions In Anchorage","An Act relating to convening the legislature in Anchorage; relating to the regulation of lobbying; relating to annual student guests of the legislature; relating to locations of sessions of the legislature; relating to the Legislative Ethics Act; relating to the relocation of functions of state government; and providing for an effective date.",2131,"House Community & Regional Affairs",2025-01-22,"REFERRED TO COMMUNITY & REGIONAL AFFAIRS",https://legiscan.com/AK/bill/HB3/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB3
1912489,2171,HB4,1,Introduced,2025-01-22,"Presidential Write-in Votes","An Act relating to write-in candidates for President and Vice-President of the United States.",2139,"House State Affairs",2025-01-22,"REFERRED TO STATE AFFAIRS",https://legiscan.com/AK/bill/HB4/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB4
1912458,2171,HB5,1,Introduced,2025-01-22,"Insurance Discrimination Elected Official","An Act prohibiting certain insurance decisions based solely on a person&#39;s status as an elected official.",2139,"House State Affairs",2025-01-22,"REFERRED TO STATE AFFAIRS",https://legiscan.com/AK/bill/HB5/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB5
1912450,2171,HB6,1,Introduced,2025-01-22,"State Fund Fiduc Duty:social/pol Interest","An Act restricting fiduciary actions by a fiduciary of a state fund, the Alaska Retirement Management Board, and the Alaska Permanent Fund Corporation Board that have the purpose of furthering social, political, or ideological interests.",2135,"House Judiciary",2025-03-26,"COSPONSOR(S): VANCE",https://legiscan.com/AK/bill/HB6/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB6
1912457,2171,HB7,1,Introduced,2025-01-22,"Port Of Southcentral Ak; Port Authority","An Act relating to the Port of Southcentral Alaska; establishing the Port of Southcentral Alaska Authority to manage and operate the Port of Southcentral Alaska; and providing for an effective date.",2140,"House Transportation",2025-01-22,"REFERRED TO TRANSPORTATION",https://legiscan.com/AK/bill/HB7/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB7
1912465,2171,HB8,1,Introduced,2025-01-22,"New Legal Holidays","An Act relating to legal holidays.",2131,"House Community & Regional Affairs",2025-01-22,"REFERRED TO COMMUNITY & REGIONAL AFFAIRS",https://legiscan.com/AK/bill/HB8/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB8
1912435,2171,HB9,1,Introduced,2025-01-22,"Schools: Funding; Disability Services","An Act relating to education; relating to funding for charter schools; and relating to services for children with disabilities.",2132,"House Education",2025-01-22,"REFERRED TO EDUCATION",https://legiscan.com/AK/bill/HB9/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB9
1912444,2171,HB10,2,Engrossed,2025-05-07,"Add Faculty Member Univ Board Of Regents","An Act relating to the Board of Regents of the University of Alaska; and providing for an effective date.",0,,2025-05-09,"CRONK, STEVENS",https://legiscan.com/AK/bill/HB10/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB10
1912451,2171,HB11,1,Introduced,2025-01-22,"Pfd Contributions To General Fund And Pf","An Act relating to contributions and donations from permanent fund dividends.",2139,"House State Affairs",2025-04-02,"COSPONSOR(S): EISCHEID",https://legiscan.com/AK/bill/HB11/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB11
1912509,2171,HB12,1,Introduced,2025-01-22,"Free Breakfast & Lunch In Public Schools","An Act relating to free breakfast and lunch in public schools.",2132,"House Education",2025-04-28,"COSPONSOR(S): HIMSCHOOT",https://legiscan.com/AK/bill/HB12/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB12
1912464,2171,HB13,1,Introduced,2025-01-22,"Municipal Property Tax Exemptions","An Act relating to optional municipal property tax exemptions for certain long-term rental units, certain mobile home parks, real property rented to low-income families, real property owned and occupied as a permanent place of abode, and real property owned by first-time homebuyers.",0,,2025-05-10,"COSPONSOR(S): FIELDS, GALVIN, JOSEPHSON, MINA",https://legiscan.com/AK/bill/HB13/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB13
1912506,2171,HB14,1,Introduced,2025-01-22,"Repeal Catastrophic Illness/med Assist","An Act repealing programs for catastrophic illness assistance and medical assistance for chronic and acute medical conditions.",2138,"House Rules",2025-04-30,"REFERRED TO RULES",https://legiscan.com/AK/bill/HB14/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB14
1912455,2171,HB15,1,Introduced,2025-01-22,"Oil/gas Royalty Rates","An Act relating to royalty rates and payments for certain oil and gas; and providing for an effective date.",2137,"House Resources",2025-01-22,"REFERRED TO RESOURCES",https://legiscan.com/AK/bill/HB15/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB15
1912500,2171,HB16,2,Engrossed,2025-04-28,"Campaign Finance;contribution Limits;apoc","An Act requiring a group supporting or opposing a candidate or ballot proposition in a state or local election to maintain an address in the state; amending campaign contribution limits for state and local office; directing the Alaska Public Offices Commission to adjust campaign contribution limits for state and local office once each decade beginning in 2031; relating to campaign contribution reporting requirements; relating to administrative complaints filed with the Alaska Public Offices Commission; relating to state election expenditures and contributions made by a foreign-influenced corporation or foreign national; and providing for an effective date.",0,,2025-05-09,"CROSS SPONSOR(S): KAWASAKI, KIEHL, OLSON",https://legiscan.com/AK/bill/HB16/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB16
1912460,2171,HB17,2,Engrossed,2025-04-28,"Disabled Veterans: Retirement Benefits","An Act relating to retirement benefits and military service.",2149,"Senate State Affairs",2025-04-30,"REFERRED TO STATE AFFAIRS",https://legiscan.com/AK/bill/HB17/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB17
1912441,2171,HB18,1,Introduced,2025-01-22,"Vehicles/boats: Transfer On Death Title","An Act relating to the transfer of a title on the death of the owner; and providing for an effective date.",2140,"House Transportation",2025-01-22,"REFERRED TO TRANSPORTATION",https://legiscan.com/AK/bill/HB18/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB18
1912505,2171,HB19,1,Introduced,2025-01-22,"Elections: Reverse Ballot Measure 2","An Act relating to elections.",2139,"House State Affairs",2025-01-22,"REFERRED TO STATE AFFAIRS",https://legiscan.com/AK/bill/HB19/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB19
1912483,2171,HB20,1,Introduced,2025-01-22,"Prohibit Fees For Paper Documents","An Act relating to fees for paper documents; and relating to unfair trade practices.",2136,"House Labor & Commerce",2025-02-21,"COSPONSOR(S): FIELDS",https://legiscan.com/AK/bill/HB20/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB20
1912434,2171,HB21,1,Introduced,2025-01-22,"Voter Preregistration For Minors","An Act relating to voter preregistration for minors at least 16 years of age; and relating to confidentiality of voter registration and preregistration records of minors at least 16 years of age.",2133,"House Finance",2025-03-26,"REFERRED TO FINANCE",https://legiscan.com/AK/bill/HB21/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB21
1912474,2171,HB22,1,Introduced,2025-01-22,"General Relief & Burial Assistance","An Act relating to general relief and burial assistance; and providing for an effective date.",2134,"House Health & Social Services",2025-01-22,"REFERRED TO HEALTH & SOCIAL SERVICES",https://legiscan.com/AK/bill/HB22/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB22
1912487,2171,HB23,1,Introduced,2025-01-22,"Applicability Of Human Rights Commission","An Act relating to the definition of &#39;employer&#39; for the purposes of the State Commission for Human Rights.",2138,"House Rules",2025-04-25,"REFERRED TO RULES",https://legiscan.com/AK/bill/HB23/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB23
1912511,2171,HB24,1,Introduced,2025-01-22,"Aggravating Factors At Sentencing","An Act relating to aggravating factors considered at sentencing.",2139,"House State Affairs",2025-05-02,"COSPONSOR(S): HOLLAND",https://legiscan.com/AK/bill/HB24/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB24
1912470,2171,HB25,1,Introduced,2025-01-22,"Disposable Food Service Ware","An Act relating to disposable food service ware; and providing for an effective date.",2138,"House Rules",2025-04-07,"COSPONSOR(S): BURKE, HANNAN",https://legiscan.com/AK/bill/HB25/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB25
1912443,2171,HB26,1,Introduced,2025-01-22,"Statewide Public & Community Transit Plan","An Act relating to the duties of the Department of Transportation and Public Facilities; and relating to a statewide public and community transit plan.",2131,"House Community & Regional Affairs",2025-02-03,"COSPONSOR(S): BURKE",https://legiscan.com/AK/bill/HB26/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB26
1912481,2171,HB27,1,Introduced,2025-01-22,"Medical Major Emergencies","An Act relating to medical care for major emergencies.",2138,"House Rules",2025-05-07,"COSPONSOR(S): GALVIN",https://legiscan.com/AK/bill/HB27/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB27
