bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1912447,3049428,text,490912,application/pdf,Introduced,https://legiscan.com/AK/text/HB1/id/3049428,https://www.akleg.gov/PDF/34/Bills/HB0001A.PDF
1912462,3049443,text,580519,application/pdf,Introduced,https://legiscan.com/AK/text/HB2/id/3049443,https://www.akleg.gov/PDF/34/Bills/HB0002A.PDF
1912507,3049488,text,523076,application/pdf,Introduced,https://legiscan.com/AK/text/HB3/id/3049488,https://www.akleg.gov/PDF/34/Bills/HB0003A.PDF
1912489,3049470,text,492412,application/pdf,Introduced,https://legiscan.com/AK/text/HB4/id/3049470,https://www.akleg.gov/PDF/34/Bills/HB0004A.PDF
1912458,3049439,text,470726,application/pdf,Introduced,https://legiscan.com/AK/text/HB5/id/3049439,https://www.akleg.gov/PDF/34/Bills/HB0005A.PDF
1912450,3049431,text,474203,application/pdf,Introduced,https://legiscan.com/AK/text/HB6/id/3049431,https://www.akleg.gov/PDF/34/Bills/HB0006A.PDF
1912457,3049438,text,542435,application/pdf,Introduced,https://legiscan.com/AK/text/HB7/id/3049438,https://www.akleg.gov/PDF/34/Bills/HB0007A.PDF
1912465,3049446,text,461053,application/pdf,Introduced,https://legiscan.com/AK/text/HB8/id/3049446,https://www.akleg.gov/PDF/34/Bills/HB0008A.PDF
1912435,3049416,text,471369,application/pdf,Introduced,https://legiscan.com/AK/text/HB9/id/3049416,https://www.akleg.gov/PDF/34/Bills/HB0009A.PDF
1912444,3049425,text,477051,application/pdf,Introduced,https://legiscan.com/AK/text/HB10/id/3049425,https://www.akleg.gov/PDF/34/Bills/HB0010A.PDF
1912444,3229342,text,74141,application/pdf,Introduced,https://legiscan.com/AK/text/HB10/id/3229342,https://www.akleg.gov/PDF/34/F/HB0010-1-2-022125-UA-Y.PDF
1912444,3232029,text,482326,application/pdf,Introduced,https://legiscan.com/AK/text/HB10/id/3232029,https://www.akleg.gov/PDF/34/Bills/HB0010B.PDF
1912451,3049432,text,482344,application/pdf,Introduced,https://legiscan.com/AK/text/HB11/id/3049432,https://www.akleg.gov/PDF/34/Bills/HB0011A.PDF
1912509,3049490,text,466652,application/pdf,Introduced,https://legiscan.com/AK/text/HB12/id/3049490,https://www.akleg.gov/PDF/34/Bills/HB0012A.PDF
1912464,3049445,text,472845,application/pdf,Introduced,https://legiscan.com/AK/text/HB13/id/3049445,https://www.akleg.gov/PDF/34/Bills/HB0013A.PDF
1912464,3161553,text,473632,application/pdf,Introduced,https://legiscan.com/AK/text/HB13/id/3161553,https://www.akleg.gov/PDF/34/Bills/HB0013B.PDF
1912464,3222192,text,474435,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB13/id/3222192,https://www.akleg.gov/PDF/34/Bills/HB0013C.PDF
1912506,3049487,text,487135,application/pdf,Introduced,https://legiscan.com/AK/text/HB14/id/3049487,https://www.akleg.gov/PDF/34/Bills/HB0014A.PDF
1912455,3049436,text,473532,application/pdf,Introduced,https://legiscan.com/AK/text/HB15/id/3049436,https://www.akleg.gov/PDF/34/Bills/HB0015A.PDF
1912500,3049481,text,483408,application/pdf,Introduced,https://legiscan.com/AK/text/HB16/id/3049481,https://www.akleg.gov/PDF/34/Bills/HB0016A.PDF
1912500,3210453,text,504917,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB16/id/3210453,https://www.akleg.gov/PDF/34/Bills/HB0016B.PDF
1912460,3049441,text,466067,application/pdf,Introduced,https://legiscan.com/AK/text/HB17/id/3049441,https://www.akleg.gov/PDF/34/Bills/HB0017A.PDF
1912441,3049422,text,504847,application/pdf,Introduced,https://legiscan.com/AK/text/HB18/id/3049422,https://www.akleg.gov/PDF/34/Bills/HB0018A.PDF
1912505,3049486,text,633211,application/pdf,Introduced,https://legiscan.com/AK/text/HB19/id/3049486,https://www.akleg.gov/PDF/34/Bills/HB0019A.PDF
1912483,3049464,text,465750,application/pdf,Introduced,https://legiscan.com/AK/text/HB20/id/3049464,https://www.akleg.gov/PDF/34/Bills/HB0020A.PDF
1912434,3049415,text,467185,application/pdf,Introduced,https://legiscan.com/AK/text/HB21/id/3049415,https://www.akleg.gov/PDF/34/Bills/HB0021A.PDF
1912434,3135752,text,469692,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB21/id/3135752,https://www.akleg.gov/PDF/34/Bills/HB0021B.PDF
1912474,3049455,text,488591,application/pdf,Introduced,https://legiscan.com/AK/text/HB22/id/3049455,https://www.akleg.gov/PDF/34/Bills/HB0022A.PDF
1912487,3049468,text,468436,application/pdf,Introduced,https://legiscan.com/AK/text/HB23/id/3049468,https://www.akleg.gov/PDF/34/Bills/HB0023A.PDF
1912487,3149468,text,485081,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB23/id/3149468,https://www.akleg.gov/PDF/34/Bills/HB0023B.PDF
1912511,3049492,text,489484,application/pdf,Introduced,https://legiscan.com/AK/text/HB24/id/3049492,https://www.akleg.gov/PDF/34/Bills/HB0024A.PDF
1912470,3049451,text,471541,application/pdf,Introduced,https://legiscan.com/AK/text/HB25/id/3049451,https://www.akleg.gov/PDF/34/Bills/HB0025A.PDF
1912470,3178057,text,476578,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB25/id/3178057,https://www.akleg.gov/PDF/34/Bills/HB0025B.PDF
1912443,3049424,text,477902,application/pdf,Introduced,https://legiscan.com/AK/text/HB26/id/3049424,https://www.akleg.gov/PDF/34/Bills/HB0026A.PDF
1912481,3049462,text,469230,application/pdf,Introduced,https://legiscan.com/AK/text/HB27/id/3049462,https://www.akleg.gov/PDF/34/Bills/HB0027A.PDF
1912481,3176459,text,470771,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB27/id/3176459,https://www.akleg.gov/PDF/34/Bills/HB0027B.PDF
1912486,3049467,text,478178,application/pdf,Introduced,https://legiscan.com/AK/text/HB28/id/3049467,https://www.akleg.gov/PDF/34/Bills/HB0028A.PDF
1912456,3049437,text,514965,application/pdf,Introduced,https://legiscan.com/AK/text/HB29/id/3049437,https://www.akleg.gov/PDF/34/Bills/HB0029A.PDF
1912456,3226605,text,513835,application/pdf,Introduced,https://legiscan.com/AK/text/HB29/id/3226605,https://www.akleg.gov/PDF/34/Bills/HB0029B.PDF
1912499,3049480,text,482602,application/pdf,Introduced,https://legiscan.com/AK/text/HB30/id/3049480,https://www.akleg.gov/PDF/34/Bills/HB0030A.PDF
1912499,3170965,text,483630,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB30/id/3170965,https://www.akleg.gov/PDF/34/Bills/HB0030B.PDF
1912499,3184636,text,485164,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB30/id/3184636,https://www.akleg.gov/PDF/34/Bills/HB0030C.PDF
1912467,3049448,text,476693,application/pdf,Introduced,https://legiscan.com/AK/text/HB31/id/3049448,https://www.akleg.gov/PDF/34/Bills/HB0031A.PDF
1912478,3049459,text,532777,application/pdf,Introduced,https://legiscan.com/AK/text/HB32/id/3049459,https://www.akleg.gov/PDF/34/Bills/HB0032A.PDF
1912495,3049476,text,477147,application/pdf,Introduced,https://legiscan.com/AK/text/HB33/id/3049476,https://www.akleg.gov/PDF/34/Bills/HB0033A.PDF
1912448,3049429,text,488346,application/pdf,Introduced,https://legiscan.com/AK/text/HB34/id/3049429,https://www.akleg.gov/PDF/34/Bills/HB0034A.PDF
1912448,3151140,text,489122,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB34/id/3151140,https://www.akleg.gov/PDF/34/Bills/HB0034B.PDF
1912490,3049471,text,483390,application/pdf,Introduced,https://legiscan.com/AK/text/HB35/id/3049471,https://www.akleg.gov/PDF/34/Bills/HB0035A.PDF
1912490,3175280,text,481865,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB35/id/3175280,https://www.akleg.gov/PDF/34/Bills/HB0035B.PDF
1912490,3207925,text,482029,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB35/id/3207925,https://www.akleg.gov/PDF/34/Bills/HB0035C.PDF
1912488,3049469,text,490602,application/pdf,Introduced,https://legiscan.com/AK/text/HB36/id/3049469,https://www.akleg.gov/PDF/34/Bills/HB0036A.PDF
1912440,3049421,text,479891,application/pdf,Introduced,https://legiscan.com/AK/text/HB37/id/3049421,https://www.akleg.gov/PDF/34/Bills/HB0037A.PDF
1927699,3065026,text,471795,application/pdf,Introduced,https://legiscan.com/AK/text/HB38/id/3065026,https://www.akleg.gov/PDF/34/Bills/HB0038A.PDF
1927699,3156301,text,473549,application/pdf,Introduced,https://legiscan.com/AK/text/HB38/id/3156301,https://www.akleg.gov/PDF/34/Bills/HB0038B.PDF
1927240,3064579,text,475932,application/pdf,Introduced,https://legiscan.com/AK/text/HB39/id/3064579,https://www.akleg.gov/PDF/34/Bills/HB0039A.PDF
1927240,3231366,text,478026,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB39/id/3231366,https://www.akleg.gov/PDF/34/Bills/HB0039B.PDF
1927987,3065311,text,478538,application/pdf,Introduced,https://legiscan.com/AK/text/HB40/id/3065311,https://www.akleg.gov/PDF/34/Bills/HB0040A.PDF
1927930,3065253,text,468959,application/pdf,Introduced,https://legiscan.com/AK/text/HB41/id/3065253,https://www.akleg.gov/PDF/34/Bills/HB0041A.PDF
1927466,3064798,text,486369,application/pdf,Introduced,https://legiscan.com/AK/text/HB42/id/3064798,https://www.akleg.gov/PDF/34/Bills/HB0042A.PDF
1927755,3065082,text,535863,application/pdf,Introduced,https://legiscan.com/AK/text/HB43/id/3065082,https://www.akleg.gov/PDF/34/Bills/HB0043A.PDF
1927584,3064911,text,475800,application/pdf,Introduced,https://legiscan.com/AK/text/HB44/id/3064911,https://www.akleg.gov/PDF/34/Bills/HB0044A.PDF
1928160,3065480,text,473296,application/pdf,Introduced,https://legiscan.com/AK/text/HB45/id/3065480,https://www.akleg.gov/PDF/34/Bills/HB0045A.PDF
1927353,3064689,text,493747,application/pdf,Introduced,https://legiscan.com/AK/text/HB46/id/3064689,https://www.akleg.gov/PDF/34/Bills/HB0046A.PDF
1928274,3065593,text,551736,application/pdf,Introduced,https://legiscan.com/AK/text/HB47/id/3065593,https://www.akleg.gov/PDF/34/Bills/HB0047A.PDF
1928274,3225818,text,552397,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB47/id/3225818,https://www.akleg.gov/PDF/34/Bills/HB0047B.PDF
1935319,3072556,text,468519,application/pdf,Introduced,https://legiscan.com/AK/text/HB48/id/3072556,https://www.akleg.gov/PDF/34/Bills/HB0048A.PDF
1935288,3072528,text,569349,application/pdf,Introduced,https://legiscan.com/AK/text/HB49/id/3072528,https://www.akleg.gov/PDF/34/Bills/HB0049A.PDF
1935288,3130375,text,570359,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB49/id/3130375,https://www.akleg.gov/PDF/34/Bills/HB0049B.PDF
1934721,3072033,text,466777,application/pdf,Introduced,https://legiscan.com/AK/text/HB50/id/3072033,https://www.akleg.gov/PDF/34/Bills/HB0050A.PDF
1935069,3072334,text,482587,application/pdf,Introduced,https://legiscan.com/AK/text/HB51/id/3072334,https://www.akleg.gov/PDF/34/Bills/HB0051A.PDF
1935025,3072296,text,476876,application/pdf,Introduced,https://legiscan.com/AK/text/HB52/id/3072296,https://www.akleg.gov/PDF/34/Bills/HB0052A.PDF
1935025,3226145,text,480142,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB52/id/3226145,https://www.akleg.gov/PDF/34/Bills/HB0052B.PDF
1935103,3072366,text,782396,application/pdf,Introduced,https://legiscan.com/AK/text/HB53/id/3072366,https://www.akleg.gov/PDF/34/Bills/HB0053A.PDF
1935103,3210379,text,820847,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB53/id/3210379,https://www.akleg.gov/PDF/34/Bills/HB0053B.PDF
1935103,3210380,text,26631,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB53/id/3210380,https://www.akleg.gov/PDF/34/A/HB0053-H001.PDF
1934911,3072199,text,546965,application/pdf,Introduced,https://legiscan.com/AK/text/HB54/id/3072199,https://www.akleg.gov/PDF/34/Bills/HB0054A.PDF
1934649,3071971,text,511374,application/pdf,Introduced,https://legiscan.com/AK/text/HB55/id/3071971,https://www.akleg.gov/PDF/34/Bills/HB0055A.PDF
1934649,3210342,text,512437,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB55/id/3210342,https://www.akleg.gov/PDF/34/Bills/HB0055B.PDF
1934649,3229732,text,512878,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB55/id/3229732,https://www.akleg.gov/PDF/34/Bills/HB0055D.PDF
1934649,3231877,text,513121,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB55/id/3231877,https://www.akleg.gov/PDF/34/Bills/HB0055E.PDF
1935214,3072462,text,472848,application/pdf,Introduced,https://legiscan.com/AK/text/HB56/id/3072462,https://www.akleg.gov/PDF/34/Bills/HB0056A.PDF
1935214,3199802,text,533324,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB56/id/3199802,https://www.akleg.gov/PDF/34/Bills/HB0056B.PDF
1935214,3201299,text,530037,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB56/id/3201299,https://www.akleg.gov/PDF/34/Bills/HB0056C.PDF
1934839,3072134,text,470388,application/pdf,Introduced,https://legiscan.com/AK/text/HB57/id/3072134,https://www.akleg.gov/PDF/34/Bills/HB0057A.PDF
1934839,3112039,text,472936,application/pdf,"Comm Sub",https://legiscan.com/AK/text/HB57/id/3112039,https://www.akleg.gov/PDF/34/Bills/HB0057B.PDF
