bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1912436,1485307,2025-02-10,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",19,0,0,1,20
1912436,1531261,2025-03-31,House,"House: Second Reading Amendment No. 3 as amended",11,25,0,4,40
1912436,1534765,2025-04-02,House,"House: Third Reading Final Passage",32,8,0,0,40
1912436,1537282,2025-04-04,Senate,"Senate: Shall the Senate Concur in the House Amendment to SB 15 Effective Date(s)",20,0,0,0,20
1912444,1565200,2025-05-05,House,"House: Second Reading Amendment No. 1",34,6,0,0,40
1912444,1567843,2025-05-07,House,"House: Third Reading Final Passage",23,17,0,0,40
1912444,1567844,2025-05-07,House,"House: Third Reading Effective Date",31,9,0,0,40
1912460,1559589,2025-04-28,House,"House: Third Reading Final Passage",40,0,0,0,40
1912464,1569313,2025-05-10,House,"House: Second Reading Amendment No. 1",15,23,0,2,40
1912464,1569314,2025-05-10,House,"House: Second Reading Amendment No. 2",15,23,0,2,40
1912464,1569315,2025-05-10,House,"House: Second Reading Amendment No. 3",16,21,0,3,40
1912464,1569316,2025-05-10,House,"House: Second Reading Amendment No. 4",15,23,0,2,40
1912464,1569317,2025-05-10,House,"House: Second Reading Amendment No. 4",15,23,0,2,40
1912466,1555443,2025-04-23,Senate,"Senate: Third Reading - Final Passage",20,0,0,0,20
1912467,1546506,2025-04-11,House,"House: Third Reading Final Passage",37,0,0,3,40
1912477,1548753,2025-04-15,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",14,6,0,0,20
1912488,1527864,2025-03-26,House,"House: Third Reading Final Passage",39,0,0,1,40
1912490,1563205,2025-04-30,House,"House: Second Reading Amendment No. 1",18,21,0,1,40
1912490,1563206,2025-04-30,House,"House: Second Reading Amendment No. 2",18,21,0,1,40
1912490,1563207,2025-04-30,House,"House: Second Reading Amendment No. 4",11,28,0,1,40
1912490,1564694,2025-05-02,House,"House: Third Reading Final Passage",31,8,0,1,40
1912500,1558453,2025-04-25,House,"House: Second Reading Amendment No. 1",17,21,0,2,40
1912500,1558454,2025-04-25,House,"House: Second Reading Amendment No. 2",18,21,0,1,40
1912500,1558455,2025-04-25,House,"House: Second Reading Amendment No. 2",18,21,0,1,40
1912500,1558456,2025-04-25,House,"House: Second Reading Amendment No. 3",17,22,0,1,40
1912500,1558457,2025-04-25,House,"House: Second Reading Amendment No. 4",16,23,0,1,40
1912500,1558458,2025-04-25,House,"House: Second Reading Amendment No. 6",16,22,0,2,40
1912500,1558459,2025-04-25,House,"House: Second Reading Amendment No. 6",16,22,0,2,40
1912500,1558460,2025-04-25,House,"House: Second Reading Amendment No. 10",16,21,0,3,40
1912500,1558461,2025-04-25,House,"House: Second Reading Amendment No. 11 as amended",14,23,0,3,40
1912500,1558462,2025-04-25,House,"House: Second Reading Amendment No. 12",10,27,0,3,40
1912500,1558463,2025-04-25,House,"House: Second Reading Amendment No. 13",16,21,0,3,40
1912500,1559317,2025-04-28,House,"House: Third Reading Final Passage",22,18,0,0,40
1912500,1559318,2025-04-28,House,"House: Third Reading Effective Date",28,12,0,0,40
1927296,1509181,2025-03-10,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",18,1,0,1,20
1927296,1564662,2025-05-02,House,"House: Third Reading Final Passage",35,4,0,1,40
1927640,1518720,2025-03-17,Senate,"Senate: Third Reading - Final Passage",17,0,0,3,20
1928103,1547942,2025-04-14,Senate,"Senate: Third Reading - Final Passage",20,0,0,0,20
1928218,1504045,2025-03-03,Senate,"Senate: Third Reading - Final Passage",19,0,0,1,20
1928218,1530260,2025-03-28,House,"House: Third Reading Final Passage",33,2,0,5,40
1931942,1473097,2025-01-21,House,"House: Second Reading Final Passage",38,1,0,1,40
1932175,1473100,2025-01-21,House,"House: Second Reading Final Passage",32,8,0,0,40
1932407,1473099,2025-01-21,House,"House: Second Reading Final Passage",39,1,0,0,40
1932635,1472889,2025-01-21,Senate,"Senate: Final Passage",20,0,0,0,20
1932865,1473098,2025-01-21,House,"House: Second Reading Final Passage",39,1,0,0,40
1933087,1472890,2025-01-21,Senate,"Senate: Final Passage",14,6,0,0,20
1934573,1563282,2025-04-30,House,"House: Third Reading Final Passage",27,12,0,1,40
1934649,1546379,2025-04-11,House,"House: amendment deadline 5:00 p.m., April 14",21,16,0,3,40
1934649,1550379,2025-04-16,House,"House: Second Reading Amendment No. 1",23,17,0,0,40
1934649,1550380,2025-04-16,House,"House: Second Reading Amendment No. 1",19,21,0,0,40
1934649,1550381,2025-04-16,House,"House: Second Reading Amendment No. 2",19,21,0,0,40
1934649,1554309,2025-04-22,House,"House: Third Reading Final Passage",33,6,0,1,40
1934649,1555580,2025-04-23,House,"House: Third Reading Final Passage Reconsideration",35,5,0,0,40
1934649,1567957,2025-05-07,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",20,0,0,0,20
1934649,1569092,2025-05-09,House,"House: Concur",13,25,0,2,40
1934686,1475189,2025-01-27,House,"House: Second Reading Amendment No. 1",17,21,0,2,40
1934686,1475190,2025-01-27,House,"House: Second Reading Amendment No. 1",17,21,0,2,40
1934686,1476940,2025-01-29,House,"House: Third Reading Final Passage Reconsideration",31,8,0,1,40
1934686,1484222,2025-02-07,Senate,"Senate: Third Reading - Final Passage",19,0,0,1,20
1934721,1546486,2025-04-11,House,"House: Third Reading Final Passage",35,2,0,3,40
1934799,1519166,2025-03-17,House,"House: Third Reading Final Passage",35,4,0,1,40
1934799,1569084,2025-05-09,Senate,"Senate: Third Reading - Final Passage",19,1,0,0,20
1934839,1546423,2025-04-11,House,"House: Second Reading Amendment No. 2",19,18,0,3,40
1934839,1546424,2025-04-11,House,"House: Second Reading Amendment No. 3",9,28,0,3,40
1934839,1550600,2025-04-16,House,"House: Third Reading Final Passage",34,6,0,0,40
1934839,1559131,2025-04-28,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",19,1,0,0,20
1934839,1559132,2025-04-28,Senate,"Senate: Third Reading - On Reconsideration Effective Date(s)",19,1,0,0,20
1934839,1559435,2025-04-28,Senate,"Senate: Second Reading Amendment No. 7",7,13,0,0,20
1934839,1559436,2025-04-28,Senate,"Senate: Second Reading Amendment No. 8",6,14,0,0,20
1934839,1559438,2025-04-28,Senate,"Senate: Second Reading Amendment No. 11",6,14,0,0,20
1934839,1559439,2025-04-28,Senate,"Senate: Second Reading Amendment No. 14",8,12,0,0,20
