bill_id,people_id,position
1912434,20423,4
1912434,21271,1
1912434,24791,2
1912434,24792,3
1912435,23890,1
1912436,14389,9
1912436,17251,12
1912436,17255,3
1912436,20423,5
1912436,20962,4
1912436,21268,1
1912436,22865,11
1912436,23890,8
1912436,24544,2
1912436,24586,7
1912436,24587,6
1912436,24791,10
1912436,26347,13
1912437,6075,1
1912437,20962,2
1912438,20962,1
1912439,14388,1
1912440,24587,1
1912441,18610,1
1912441,19096,2
1912442,17255,2
1912442,20962,1
1912442,24545,3
1912443,24187,1
1912443,26346,2
1912444,6052,8
1912444,6093,15
1912444,11358,11
1912444,14389,5
1912444,17255,13
1912444,20423,2
1912444,20962,12
1912444,22857,14
1912444,23890,1
1912444,24187,7
1912444,24409,10
1912444,24545,9
1912444,24587,6
1912444,26273,3
1912444,26346,4
1912445,20963,1
1912446,6075,5
1912446,11358,2
1912446,20962,4
1912446,21268,1
1912446,24409,3
1912447,16680,7
1912447,17251,16
1912447,18610,4
1912447,19096,3
1912447,21614,10
1912447,22861,1
1912447,24590,12
1912447,24591,6
1912447,24593,9
1912447,24789,8
1912447,24790,11
1912447,26347,14
1912447,26349,13
1912447,26351,15
1912447,26352,5
1912447,26354,2
1912448,26273,1
1912449,22859,1
1912450,21272,2
1912450,22861,1
1912451,11277,2
1912451,19096,3
1912451,21272,6
1912451,21614,1
1912451,24587,10
1912451,24590,9
1912451,24593,4
1912451,24790,7
1912451,26348,11
1912451,26349,8
1912451,26353,5
1912452,17255,1
1912453,17255,1
1912453,22728,2
1912454,14388,1
1912455,18610,1
1912456,11301,3
1912456,21272,1
1912456,26353,4
1912456,26354,2
1912457,18610,3
1912457,22861,1
1912457,26354,2
1912458,18610,2
1912458,22861,1
1912459,6075,1
1912459,20962,2
1912460,11277,4
1912460,11301,3
1912460,18610,1
1912460,22863,6
1912460,26347,5
1912460,26348,2
1912461,6093,1
1912461,11358,2
1912461,20962,3
1912462,21614,1
1912462,23890,2
1912463,17255,1
1912464,14389,5
1912464,20423,3
1912464,24187,6
1912464,24587,1
1912464,24791,4
1912464,26348,2
1912465,11277,1
1912465,19096,2
1912466,24544,1
1912467,17251,1
1912467,18974,2
1912467,22865,5
1912467,24791,4
1912467,24792,3
1912468,24544,1
1912469,14388,3
1912469,19596,6
1912469,22728,4
1912469,22857,5
1912469,22859,1
1912469,26355,2
1912470,14389,1
1912470,21261,4
1912470,26346,3
1912470,26350,2
1912471,6052,3
1912471,17255,4
1912471,20962,2
1912471,22728,1
1912472,24409,1
1912473,14388,1
1912474,19096,2
1912474,24591,1
1912475,24409,1
1912476,22857,1
1912477,6052,4
1912477,20962,3
1912477,24409,1
1912477,24545,2
1912477,26348,5
1912478,17251,1
1912479,22859,1
1912480,22728,1
1912481,24187,1
1912481,24791,2
1912482,6093,1
1912482,20962,2
1912483,11277,1
1912483,20423,2
1912484,14388,5
1912484,19596,6
1912484,22728,4
1912484,22857,3
1912484,22859,1
1912484,26355,2
1912485,22728,2
1912485,24409,1
1912486,20423,2
1912486,21271,1
1912486,24791,5
1912486,24792,4
1912486,26350,3
1912487,14389,1
1912488,6072,5
1912488,11277,19
1912488,11301,17
1912488,14389,13
1912488,17251,14
1912488,20423,2
1912488,21261,12
1912488,21271,7
1912488,22865,16
1912488,24187,8
1912488,24587,1
1912488,24590,15
1912488,24593,6
1912488,24791,11
1912488,24793,18
1912488,26346,3
1912488,26347,10
1912488,26348,9
1912488,26351,4
1912489,11277,1
1912490,6052,6
1912490,14389,3
1912490,17255,8
1912490,20962,7
1912490,21271,2
1912490,22728,5
1912490,24791,4
1912490,24792,1
1912491,14388,3
1912491,19596,6
1912491,22728,4
1912491,22857,5
1912491,22859,1
1912491,26355,2
1912492,14388,1
1912493,24409,1
1912494,6075,1
1912494,20962,2
1912495,17251,1
1912495,24792,2
1912496,6052,4
1912496,6075,6
1912496,6093,7
1912496,17255,5
1912496,20962,1
1912496,22857,10
1912496,22859,9
1912496,24409,2
1912496,24545,3
1912496,26355,8
1912497,22728,1
1912498,24544,1
1912499,6072,2
1912499,26273,1
1912500,6052,17
1912500,6075,13
1912500,6083,19
1912500,11358,12
1912500,14389,8
1912500,20423,9
1912500,20962,15
1912500,20963,18
1912500,22865,1
1912500,23890,11
1912500,24187,6
1912500,24409,16
1912500,24545,14
1912500,24791,2
1912500,24792,3
1912500,24793,10
1912500,26273,4
1912500,26346,7
1912500,26350,5
1912501,11358,2
1912501,14388,3
1912501,22728,1
1912501,22857,4
1912502,14388,1
1912503,20963,1
1912503,22859,2
1912503,24409,3
1912504,6089,1
1912504,24409,3
1912504,24544,2
1912505,18610,1
1912506,19096,2
1912506,22865,3
1912506,24591,1
1912507,11277,3
1912507,16680,4
1912507,18610,1
1912507,22861,5
1912507,26349,6
1912507,26354,2
1912508,20962,1
1912509,6065,3
1912509,24586,1
1912509,24791,4
1912509,24792,5
1912509,26346,2
1912510,11358,1
1912511,14389,1
1912511,26273,2
1912512,6052,6
1912512,6075,10
1912512,6093,9
1912512,11358,1
1912512,17255,4
1912512,20962,2
1912512,20963,3
1912512,24409,8
1912512,24544,7
1912512,24545,5
1912513,17255,3
1912513,20962,4
1912513,24409,1
1912513,24545,2
1912514,11358,1
1912514,20962,2
1927186,17255,1
1927240,11301,10
1927240,18610,4
1927240,19096,3
1927240,21271,7
1927240,23890,5
1927240,24593,8
1927240,24789,1
1927240,26348,6
1927240,26351,9
1927240,26354,2
1927296,11358,1
1927296,14389,4
1927296,24790,3
1927296,26273,2
1927353,21272,1
1927353,26354,2
1927409,20962,2
1927409,24409,1
1927466,24789,1
1927527,17255,1
1927584,14389,1
1927640,24409,1
1927699,11277,1
1927755,6065,2
1927755,22865,1
1927755,24791,5
1927755,24792,6
1927755,26273,4
1927755,26346,3
1927815,11358,3
1927815,17255,2
1927815,20962,1
1927815,24409,4
1927873,20962,1
1927930,24789,1
1927987,11301,4
1927987,21272,3
1927987,24789,1
1927987,26354,2
1928044,11358,2
1928044,17255,1
1928044,24409,4
1928044,24545,3
1928103,20962,1
1928160,18610,2
1928160,24789,1
1928218,14389,5
1928218,20962,1
1928218,21261,3
1928218,22865,7
1928218,24791,2
1928218,26348,6
1928218,26350,4
1928274,11301,5
1928274,21272,1
1928274,22861,4
1928274,24789,3
1928274,26354,2
1931942,21520,1
1932175,21520,1
1932407,21520,1
1932635,6093,1
1932865,21520,1
1933087,11358,1
