roll_call_id,people_id,vote,vote_desc
1485307,6052,1,Yea
1485307,6075,1,Yea
1485307,6083,4,Absent
1485307,6085,1,Yea
1485307,6089,1,Yea
1485307,6093,1,Yea
1485307,11358,1,Yea
1485307,14388,1,Yea
1485307,17255,1,Yea
1485307,19596,1,Yea
1485307,20962,1,Yea
1485307,20963,1,Yea
1485307,21268,1,Yea
1485307,22728,1,Yea
1485307,22857,1,Yea
1485307,22859,1,Yea
1485307,24409,1,Yea
1485307,24544,1,Yea
1485307,24545,1,Yea
1485307,26355,1,Yea
1531261,6065,2,Nay
1531261,6072,2,Nay
1531261,11277,4,Absent
1531261,11301,1,Yea
1531261,14389,2,Nay
1531261,16680,1,Yea
1531261,17251,2,Nay
1531261,18610,1,Yea
1531261,18974,2,Nay
1531261,19096,1,Yea
1531261,20423,2,Nay
1531261,21261,2,Nay
1531261,21271,2,Nay
1531261,21272,1,Yea
1531261,21614,4,Absent
1531261,22861,1,Yea
1531261,22863,4,Absent
1531261,22865,2,Nay
1531261,23890,2,Nay
1531261,24187,2,Nay
1531261,24586,2,Nay
1531261,24587,2,Nay
1531261,24590,2,Nay
1531261,24591,2,Nay
1531261,24593,1,Yea
1531261,24789,1,Yea
1531261,24790,2,Nay
1531261,24791,2,Nay
1531261,24792,2,Nay
1531261,24793,2,Nay
1531261,26273,2,Nay
1531261,26346,2,Nay
1531261,26347,2,Nay
1531261,26348,2,Nay
1531261,26349,2,Nay
1531261,26350,2,Nay
1531261,26351,4,Absent
1531261,26352,1,Yea
1531261,26353,1,Yea
1531261,26354,1,Yea
1534765,6065,1,Yea
1534765,6072,1,Yea
1534765,11277,1,Yea
1534765,11301,1,Yea
1534765,14389,1,Yea
1534765,16680,2,Nay
1534765,17251,1,Yea
1534765,18610,2,Nay
1534765,18974,1,Yea
1534765,19096,2,Nay
1534765,20423,1,Yea
1534765,21261,1,Yea
1534765,21271,1,Yea
1534765,21272,2,Nay
1534765,21614,1,Yea
1534765,22861,2,Nay
