bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1886114,2148,HB1,2,Engrossed,2025-04-01,"Seafood, seafood dealer license fee increased; portion thereof directed for promoting state's seafood","Seafood, seafood dealer license fee increased; portion thereof directed for promoting state's seafood",0,,2025-05-07,"Ready to Enroll",https://legiscan.com/AL/bill/HB1/2025,https://alison.legislature.state.al.us/bill-search
1886274,2148,HB2,2,Engrossed,2025-02-11,"Vaccines, parental consent for minor to receive vaccine, required","Vaccines, parental consent for minor to receive vaccine, required",0,,2025-03-05,"Read for the Second Time and placed on the Calendar",https://legiscan.com/AL/bill/HB2/2025,https://alison.legislature.state.al.us/bill-search
1886289,2148,HB3,2,Engrossed,2025-03-06,"Crimes and offenses; conviction of illegal alien; sentence enhanced","Crimes and offenses; conviction of illegal alien; sentence enhanced",1004,"Senate Judiciary",2025-03-19,"Pending Senate Judiciary",https://legiscan.com/AL/bill/HB3/2025,https://alison.legislature.state.al.us/bill-search
1886100,2148,HB4,1,Introduced,2025-02-04,"Crimes and offenses, further provides for obscenity crimes","Crimes and offenses, further provides for obscenity crimes",977,"House Judiciary",2025-02-04,"Pending House Judiciary",https://legiscan.com/AL/bill/HB4/2025,https://alison.legislature.state.al.us/bill-search
1886187,2148,HB5,1,Introduced,2025-02-04,"Alabama State Law Enforcement Agency; salary adjustments provided to certain law enforcement officers","Alabama State Law Enforcement Agency; salary adjustments provided to certain law enforcement officers",2540,"House Ways and Means General Fund",2025-02-04,"Pending House Ways and Means General Fund",https://legiscan.com/AL/bill/HB5/2025,https://alison.legislature.state.al.us/bill-search
1886231,2148,HB6,1,Introduced,2025-02-04,"Political parties; disqualifying candidate from ballot because of contributions from particular person or entity prohibited","Political parties; disqualifying candidate from ballot because of contributions from particular person or entity prohibited",2530,"House Constitution, Campaigns and Elections",2025-02-04,"Pending House Constitution, Campaigns and Elections",https://legiscan.com/AL/bill/HB6/2025,https://alison.legislature.state.al.us/bill-search
1886217,2148,HB7,2,Engrossed,2025-04-17,"Illegal immigration; procedures for arrest, detention, transportation of illegal aliens provided for; reporting requirements established","Illegal immigration; procedures for arrest, detention, transportation of illegal aliens provided for; reporting requirements established",0,,2025-05-01,"Read for the Second Time and placed on the Calendar",https://legiscan.com/AL/bill/HB7/2025,https://alison.legislature.state.al.us/bill-search
1886129,2148,HB8,3,Enrolled,2025-05-06,"Alcoholic Beverage Control Board, regulation of retail sale of certain tobacco products and electronic nicotine delivery systems, further provided","Alcoholic Beverage Control Board, regulation of retail sale of certain tobacco products and electronic nicotine delivery systems, further provided",0,,2025-05-07,"Delivered to Governor",https://legiscan.com/AL/bill/HB8/2025,https://alison.legislature.state.al.us/bill-search
1885983,2148,HB9,2,Engrossed,2025-02-18,"Three cueing system prohibited in public K-12 education","Three cueing system prohibited in public K-12 education",0,,2025-02-27,"Read for the Second Time and placed on the Calendar",https://legiscan.com/AL/bill/HB9/2025,https://alison.legislature.state.al.us/bill-search
1886085,2148,HB10,1,Introduced,2025-02-04,"Body-worn and dashboard cameras; delay in disclosing certain recordings restricted","Body-worn and dashboard cameras; delay in disclosing certain recordings restricted",2536,"House Public Safety and Homeland Security",2025-02-04,"Pending House Public Safety and Homeland Security",https://legiscan.com/AL/bill/HB10/2025,https://alison.legislature.state.al.us/bill-search
1886245,2148,HB11,1,Introduced,2025-02-04,"Criminal procedure; criminal convictions sealed under certain circumstances; procedures established; exceptions provided; civil cause of action established","Criminal procedure; criminal convictions sealed under certain circumstances; procedures established; exceptions provided; civil cause of action established",977,"House Judiciary",2025-02-04,"Pending House Judiciary",https://legiscan.com/AL/bill/HB11/2025,https://alison.legislature.state.al.us/bill-search
1885954,2148,HB12,1,Introduced,2025-02-04,"Firearms, bump stocks prohibited subject to exceptions","Firearms, bump stocks prohibited subject to exceptions",977,"House Judiciary",2025-02-04,"Pending House Judiciary",https://legiscan.com/AL/bill/HB12/2025,https://alison.legislature.state.al.us/bill-search
1886303,2148,HB13,1,Introduced,2025-02-04,"Firearms, to prohibit possession and transfer of assault weapon under certain circumstances","Firearms, to prohibit possession and transfer of assault weapon under certain circumstances",977,"House Judiciary",2025-02-04,"Pending House Judiciary",https://legiscan.com/AL/bill/HB13/2025,https://alison.legislature.state.al.us/bill-search
1885895,2148,HB14,1,Introduced,2025-02-04,"Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions","Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions",0,,2025-05-06,"Currently Indefinitely Postponed",https://legiscan.com/AL/bill/HB14/2025,https://alison.legislature.state.al.us/bill-search
1886173,2148,HB15,1,Introduced,2025-02-04,"Courts; Uniform Traffic Ticket and Complaint; disposition by law enforcement officer further provided","Courts; Uniform Traffic Ticket and Complaint; disposition by law enforcement officer further provided",0,,2025-05-06,"Currently Indefinitely Postponed",https://legiscan.com/AL/bill/HB15/2025,https://alison.legislature.state.al.us/bill-search
1885968,2148,HB16,1,Introduced,2025-02-04,"Crimes and offenses; authorizes law enforcement officer to demand suspect's date of birth in certain circumstances, criminalizes providing false date of birth to law enforcement","Crimes and offenses; authorizes law enforcement officer to demand suspect's date of birth in certain circumstances, criminalizes providing false date of birth to law enforcement",2536,"House Public Safety and Homeland Security",2025-02-04,"Pending House Public Safety and Homeland Security",https://legiscan.com/AL/bill/HB16/2025,https://alison.legislature.state.al.us/bill-search
1885881,2148,HB17,2,Engrossed,2025-02-27,"Motor vehicles; prohibitions on the alteration of the height of the fender of a vehicle, provided","Motor vehicles; prohibitions on the alteration of the height of the fender of a vehicle, provided",0,,2025-03-05,"Read for the Second Time and placed on the Calendar",https://legiscan.com/AL/bill/HB17/2025,https://alison.legislature.state.al.us/bill-search
1885997,2148,HB18,1,Introduced,2025-02-04,"Motor vehicles, child passenger restraint systems, use further provided","Motor vehicles, child passenger restraint systems, use further provided",0,,2025-05-06,"Currently Indefinitely Postponed",https://legiscan.com/AL/bill/HB18/2025,https://alison.legislature.state.al.us/bill-search
1886202,2148,HB19,1,Introduced,2025-02-04,"Creating an Ebony Alert System to send an alert to assist in the recovery of a Black youth, including a young woman or girl, under certain circumstances.","Creating an Ebony Alert System to send an alert to assist in the recovery of a Black youth, including a young woman or girl, under certain circumstances.",2536,"House Public Safety and Homeland Security",2025-02-04,"Pending House Public Safety and Homeland Security",https://legiscan.com/AL/bill/HB19/2025,https://alison.legislature.state.al.us/bill-search
1886070,2148,HB20,1,Introduced,2025-02-04,"To make it unlawful for a person to deny an individual full and equal enjoyment of public accommodations or for an employer to discriminate against an applicant or employee based upon the individual's weight or body size; state cause of action against an employer who does so created","To make it unlawful for a person to deny an individual full and equal enjoyment of public accommodations or for an employer to discriminate against an applicant or employee based upon the individual's weight or body size; state cause of action against an employer who does so created",977,"House Judiciary",2025-02-04,"Pending House Judiciary",https://legiscan.com/AL/bill/HB20/2025,https://alison.legislature.state.al.us/bill-search
1886158,2148,HB21,1,Introduced,2025-02-04,"Employment; requiring employers to provide reasonable break time and location for employees to express breast milk.","Employment; requiring employers to provide reasonable break time and location for employees to express breast milk.",2529,"House Commerce and Small Business",2025-02-04,"Pending House Commerce and Small Business",https://legiscan.com/AL/bill/HB21/2025,https://alison.legislature.state.al.us/bill-search
1885939,2148,HB22,1,Introduced,2025-02-04,"State holidays; to add Juneteenth as a state holiday.","State holidays; to add Juneteenth as a state holiday.",2537,"House State Government",2025-02-04,"Pending House State Government",https://legiscan.com/AL/bill/HB22/2025,https://alison.legislature.state.al.us/bill-search
1886259,2148,HB23,1,Introduced,2025-02-04,"Firearms, to require permit to carry assault weapons in vehicles or on one's person or to acquire such.","Firearms, to require permit to carry assault weapons in vehicles or on one's person or to acquire such.",977,"House Judiciary",2025-02-04,"Pending House Judiciary",https://legiscan.com/AL/bill/HB23/2025,https://alison.legislature.state.al.us/bill-search
1886385,2148,HB24,2,Engrossed,2025-03-04,"Volunteer Rescue Squad Tuition Reimbursement Program; to permit regional EMS agencies to participate in education instruction","Volunteer Rescue Squad Tuition Reimbursement Program; to permit regional EMS agencies to participate in education instruction",0,,2025-04-24,"Read for the Second Time and placed on the Calendar",https://legiscan.com/AL/bill/HB24/2025,https://alison.legislature.state.al.us/bill-search
