bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1886114,3017244,text,511053,application/pdf,Introduced,https://legiscan.com/AL/text/HB1/id/3017244,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB1-int.pdf
1886114,3197735,text,95915,application/pdf,Engrossed,https://legiscan.com/AL/text/HB1/id/3197735,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB1-eng.pdf
1886114,3231677,text,97495,application/pdf,Enrolled,https://legiscan.com/AL/text/HB1/id/3231677,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB1-enr.pdf
1886274,3017434,text,501163,application/pdf,Introduced,https://legiscan.com/AL/text/HB2/id/3017434,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB2-int.pdf
1886274,3136310,text,90066,application/pdf,Engrossed,https://legiscan.com/AL/text/HB2/id/3136310,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB2-eng.pdf
1886289,3017451,text,499040,application/pdf,Introduced,https://legiscan.com/AL/text/HB3/id/3017451,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB3-int.pdf
1886289,3157407,text,87926,application/pdf,Engrossed,https://legiscan.com/AL/text/HB3/id/3157407,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB3-eng.pdf
1886100,3017226,text,521156,application/pdf,Introduced,https://legiscan.com/AL/text/HB4/id/3017226,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB4-int.pdf
1886187,3017331,text,507137,application/pdf,Introduced,https://legiscan.com/AL/text/HB5/id/3017331,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB5-int.pdf
1886231,3017382,text,501197,application/pdf,Introduced,https://legiscan.com/AL/text/HB6/id/3017382,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB6-int.pdf
1886217,3017367,text,522373,application/pdf,Introduced,https://legiscan.com/AL/text/HB7/id/3017367,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB7-int.pdf
1886217,3215405,text,108758,application/pdf,Engrossed,https://legiscan.com/AL/text/HB7/id/3215405,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB7-eng.pdf
1886129,3017261,text,601475,application/pdf,Introduced,https://legiscan.com/AL/text/HB8/id/3017261,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB8-int.pdf
1886129,3214949,text,184983,application/pdf,Engrossed,https://legiscan.com/AL/text/HB8/id/3214949,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB8-eng.pdf
1886129,3230383,text,197454,application/pdf,Enrolled,https://legiscan.com/AL/text/HB8/id/3230383,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB8-enr.pdf
1885983,3017075,text,507822,application/pdf,Introduced,https://legiscan.com/AL/text/HB9/id/3017075,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB9-int.pdf
1885983,3128603,text,97567,application/pdf,Engrossed,https://legiscan.com/AL/text/HB9/id/3128603,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB9-eng.pdf
1886085,3017207,text,503494,application/pdf,Introduced,https://legiscan.com/AL/text/HB10/id/3017207,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB10-int.pdf
1886245,3017400,text,517415,application/pdf,Introduced,https://legiscan.com/AL/text/HB11/id/3017400,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB11-int.pdf
1885954,3017036,text,505068,application/pdf,Introduced,https://legiscan.com/AL/text/HB12/id/3017036,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB12-int.pdf
1886303,3017470,text,508857,application/pdf,Introduced,https://legiscan.com/AL/text/HB13/id/3017470,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB13-int.pdf
1885895,3016965,text,506269,application/pdf,Introduced,https://legiscan.com/AL/text/HB14/id/3016965,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB14-int.pdf
1886173,3017313,text,501771,application/pdf,Introduced,https://legiscan.com/AL/text/HB15/id/3017313,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB15-int.pdf
1885968,3017056,text,502292,application/pdf,Introduced,https://legiscan.com/AL/text/HB16/id/3017056,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB16-int.pdf
1885881,3016947,text,501753,application/pdf,Introduced,https://legiscan.com/AL/text/HB17/id/3016947,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB17-int.pdf
1885881,3146470,text,89704,application/pdf,Engrossed,https://legiscan.com/AL/text/HB17/id/3146470,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB17-eng.pdf
1885997,3017093,text,511802,application/pdf,Introduced,https://legiscan.com/AL/text/HB18/id/3017093,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB18-int.pdf
1886202,3017348,text,505042,application/pdf,Introduced,https://legiscan.com/AL/text/HB19/id/3017348,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB19-int.pdf
