bill_id,date,chamber,sequence,action
1885881,2024-07-08,House,1,Prefiled
1885881,2025-02-04,House,2,"Read for the first time and referred to the House Committee on Public Safety and Homeland Security"
1885881,2025-02-04,House,3,"Pending House Public Safety and Homeland Security"
1885881,2025-02-19,House,4,"Reported Out of Committee House of Origin"
1885881,2025-02-20,House,5,"Read for the Second Time and placed on the Calendar"
1885881,2025-02-27,House,6,"Third Reading in House of Origin"
1885881,2025-02-27,House,7,"Bolton 1st Substitute Offered N27UJJJ-1"
1885881,2025-02-27,House,8,"Motion to Adopt - Adopted Roll Call 286 N27UJJJ-1"
1885881,2025-02-27,House,9,"Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 287"
1885881,2025-02-27,House,10,Engrossed
1885881,2025-03-04,Senate,11,"Read for the first time and referred to the Senate Committee on Veterans, Military Affairs and Public Safety"
1885881,2025-03-04,Senate,12,"Pending Senate Veterans, Military Affairs and Public Safety"
1885881,2025-03-05,Senate,13,"Reported Out of Committee Second House"
1885881,2025-03-05,Senate,14,"Read for the Second Time and placed on the Calendar"
1885895,2024-07-08,House,1,Prefiled
1885895,2025-02-04,House,2,"Read for the first time and referred to the House Committee on County and Municipal Government"
1885895,2025-02-04,House,3,"Pending House County and Municipal Government"
1885895,2025-02-12,House,4,"County and Municipal Government 1st Amendment 7IJFVVE-1"
1885895,2025-02-12,House,5,"Reported Out of Committee House of Origin from House County and Municipal Government V2HILVV-1"
1885895,2025-02-12,House,6,"Read for the Second Time and placed on the Calendar"
1885895,2025-05-06,House,7,"Currently Indefinitely Postponed"
1885910,2024-08-13,Senate,1,Prefiled
1885910,2025-02-04,Senate,2,"Read for the first time and referred to the Senate Committee on Judiciary"
1885910,2025-02-04,Senate,3,"Pending Senate Judiciary"
1885924,2024-07-24,Senate,1,Prefiled
1885924,2025-02-04,Senate,2,"Read for the first time and referred to the Senate Committee on County and Municipal Government"
1885924,2025-02-04,Senate,3,"Pending Senate County and Municipal Government"
1885924,2025-02-18,Senate,4,"County and Municipal Government 1st Substitute 4U4SF33-1"
1885924,2025-02-18,Senate,5,"Reported Out of Committee House of Origin"
1885924,2025-02-18,Senate,6,"Read for the Second Time and placed on the Calendar"
1885924,2025-02-20,Senate,7,"Carried Over"
1885924,2025-04-17,Senate,8,"Third Reading in House of Origin"
1885924,2025-04-17,Senate,9,"County and Municipal Government 1st Substitute Offered 4U4SF33-1"
1885924,2025-04-17,Senate,10,"Petition to Cease Debate - Adopted Roll Call 751"
1885924,2025-04-17,Senate,11,"Elliott motion to Adopt - Adopted Roll Call 752 4U4SF33-1"
1885924,2025-04-17,Senate,12,"Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 753"
1885924,2025-04-17,Senate,13,Engrossed
1885924,2025-04-22,House,14,"Read for the first time and referred to the House Committee on State Government"
1885924,2025-04-22,House,15,"Pending House State Government"
1885924,2025-04-23,House,16,"Reported Out of Committee Second House"
1885924,2025-04-24,House,17,"Read for the Second Time and placed on the Calendar"
1885924,2025-05-06,House,18,"Lovvorn 1st Amendment Offered TBHNZ59-1"
1885924,2025-05-06,House,19,"Motion to Adopt - Adopted Roll Call 1173 TBHNZ59-1"
1885924,2025-05-06,House,20,"Lawrence 1st Amendment Offered V7BZGVL-1"
1885924,2025-05-06,House,21,"Kiel motion to Table - Adopted Roll Call 1174 V7BZGVL-1"
1885924,2025-05-06,House,22,"Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 1175"
1885924,2025-05-07,Senate,23,"Elliott motion to Non-Concur Request for New Conference Committee - Adopted Roll Call 999"
1885924,2025-05-07,House,24,"Kiel Accede - Adopted Roll Call 1241"
1885924,2025-05-07,House,25,"In Conference Committee"
1885939,2024-07-08,House,1,Prefiled
1885939,2025-02-04,House,2,"Read for the first time and referred to the House Committee on State Government"
1885939,2025-02-04,House,3,"Pending House State Government"
1885954,2024-07-08,House,1,Prefiled
1885954,2025-02-04,House,2,"Read for the first time and referred to the House Committee on Judiciary"
1885954,2025-02-04,House,3,"Pending House Judiciary"
1885968,2024-07-08,House,1,Prefiled
1885968,2025-02-04,House,2,"Read for the first time and referred to the House Committee on Public Safety and Homeland Security"
1885968,2025-02-04,House,3,"Pending House Public Safety and Homeland Security"
1885983,2024-07-08,House,1,Prefiled
1885983,2025-02-04,House,2,"Read for the first time and referred to the House Committee on Education Policy"
1885983,2025-02-04,House,3,"Pending House Education Policy"
1885983,2025-02-12,House,4,"Education Policy 1st Amendment 4H1ERRR-1"
1885983,2025-02-12,House,5,"Reported Out of Committee House of Origin from House Education Policy 4HYQIIR-1"
1885983,2025-02-12,House,6,"Read for the Second Time and placed on the Calendar"
1885983,2025-02-18,House,7,"Third Reading in House of Origin"
1885983,2025-02-18,House,8,"Education Policy  Engrossed Substitute Offered 4HYQIIR-1"
1885983,2025-02-18,House,9,"Motion to Adopt - Adopted Roll Call 171 4HYQIIR-1"
1885983,2025-02-18,House,10,"Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 172"
1885983,2025-02-18,House,11,Engrossed
1885983,2025-02-18,Senate,12,"Read for the first time and referred to the Senate Committee on Education Policy"
1885983,2025-02-18,Senate,13,"Pending Senate Education Policy"
1885983,2025-02-26,Senate,14,"Reported Out of Committee Second House"
1885983,2025-02-27,Senate,15,"Read for the Second Time and placed on the Calendar"
1885997,2024-07-08,House,1,Prefiled
1885997,2025-02-04,House,2,"Read for the first time and referred to the House Committee on Public Safety and Homeland Security"
1885997,2025-02-04,House,3,"Pending House Public Safety and Homeland Security"
1885997,2025-02-19,House,4,"Public Safety and Homeland Security 1st Amendment 2JXENKI-1"
1885997,2025-02-19,House,5,"Reported Out of Committee House of Origin from House Public Safety and Homeland Security 5VL2KM3-1"
1885997,2025-02-20,House,6,"Read for the Second Time and placed on the Calendar"
1885997,2025-02-27,House,7,"Motion to Adopt BIR- Failed"
1885997,2025-05-06,House,8,"Currently Indefinitely Postponed"
1886012,2024-08-13,Senate,1,Prefiled
1886012,2025-02-04,Senate,2,"Read for the first time and referred to the Senate Committee on Education Policy"
1886012,2025-02-04,Senate,3,"Pending Senate Education Policy"
1886027,2024-05-21,Senate,1,Prefiled
1886027,2025-02-04,Senate,2,"Read for the first time and referred to the Senate Committee on Finance and Taxation Education"
1886027,2025-02-04,Senate,3,"Pending Senate Finance and Taxation Education"
1886027,2025-02-12,Senate,4,"Reported Out of Committee House of Origin"
1886027,2025-02-12,Senate,5,"Read for the Second Time and placed on the Calendar"
1886027,2025-02-18,Senate,6,"Third Reading in House of Origin"
1886027,2025-02-18,Senate,7,"Givhan 1st Amendment Offered JD29FNY-1"
1886027,2025-02-18,Senate,8,"Givhan motion to Adopt - Adopted Roll Call 123 JD29FNY-1"
1886027,2025-02-18,Senate,9,"Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 124"
1886027,2025-02-19,Senate,10,Engrossed
1886027,2025-02-20,House,11,"Read for the first time and referred to the House Committee on Ways and Means Education"
1886027,2025-02-20,House,12,"Pending House Ways and Means Education"
1886027,2025-04-02,House,13,"Ways and Means Education 1st Amendment W1VFRE9-1"
