people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
3357,"Laura Hall",Laura,,Hall,,,1,D,1,Rep,HD-019,6372809,5652,,Laura_Hall,192644,0
3358,"Artis McCampbell",Artis,,McCampbell,,"A J",1,D,1,Rep,HD-071,12407504,60444,,Artis_J._McCampbell,250647,0
3360,"Barbara Boyd",Barbara,Bigsby,Boyd,,,1,D,1,Rep,HD-032,12997372,5627,,Barbara_Boyd_(Alabama),192657,0
3370,"Pebblin Warren",Pebblin,W.,Warren,,,1,D,1,Rep,HD-082,12997481,27675,,Pebblin_Warren,237381,0
3374,"Christopher England",Christopher,John,England,,,1,D,1,Rep,HD-070,6483126,69176,,Christopher_J._England,250645,0
3382,"Thomas Jackson",Thomas,E.,Jackson,,Action,1,D,1,Rep,HD-068,6373145,5666,,Thomas_%22Action%22_Jackson,192693,0
3386,"William Beasley",William,M.,Beasley,,Billy,1,D,2,Sen,SD-028,6370781,15872,,Billy_Beasley,192709,0
3387,"Stephen Hurst",Stephen,W.,Hurst,,Steven,2,R,1,Rep,HD-035,6373114,15975,,Steve_Hurst,192660,0
3389,"Mary Moore",Mary,,Moore,,,1,D,1,Rep,HD-059,6381355,27576,,Mary_Moore,213976,0
3391,"Merika Coleman-Evans",Merika,,Coleman-Evans,,,1,D,2,Sen,SD-019,12997426,27693,,Merika_Coleman,212068,0
3420,"Gerald Allen",Gerald,H.,Allen,,,2,R,2,Sen,SD-021,6568032,5621,,Gerald_Allen,192687,0
3426,"Alan Baker",Alan,,Baker,,,2,R,1,Rep,HD-066,12997448,60439,,Alan_Baker,250643,0
3430,"Randy Wood",Randy,,Wood,,,2,R,1,Rep,HD-036,6578072,27617,,Randy_Wood,212078,0
3432,"Steve Clouse",Steve,,Clouse,,,2,R,1,Rep,HD-093,6568687,5635,,Steve_Clouse,192718,0
3445,"Allen Treadaway",Allen,,Treadaway,,,2,R,1,Rep,HD-051,6668578,60429,,Allen_Treadaway,250631,0
3461,"J.T. Waggoner","J. T.",,Waggoner,,Jabo,2,R,2,Sen,SD-016,6572397,5619,,J.T._Waggoner,192606,0
3465,"Rodger Smitherman",Rodger,M.,Smitherman,,,1,D,2,Sen,SD-018,6375492,5617,,Rodger_Smitherman,192608,0
3479,"Linda Coleman-Madison",Linda,,Coleman-Madison,,,1,D,2,Sen,SD-020,6381363,27684,,Linda_Coleman-Madison,212065,0
3481,"Arthur Orr",Arthur,,Orr,,,2,R,2,Sen,SD-003,13010998,57118,,Arthur_Orr,250598,0
3482,"Bobby Singleton",Bobby,D.,Singleton,,,1,D,2,Sen,SD-024,6387515,27551,,Bobby_Singleton,212064,0
3486,"Tom Butler",Tom,,Butler,,,2,R,2,Sen,SD-002,6371353,5594,,Tom_Butler,192592,0
3490,"Vivian Figures",Vivian,Davis,Figures,,,1,D,2,Sen,SD-033,7335497,15216,,Vivian_Figures,192623,0
12486,"Terri Collins",Terri,,Collins,,,2,R,1,Rep,HD-008,6688205,121502,,Terri_Collins,290688,0
12490,"Paul Lee",Paul,W.,Lee,,,2,R,1,Rep,HD-086,6697040,71487,,Paul_Lee,311470,0
12500,"April Weaver",April,C.,Weaver,,,2,R,2,Sen,SD-014,12997408,121534,,April_Weaver,290731,0
12509,"Donnie Chesteen",Donnie,,Chesteen,,,2,R,2,Sen,SD-029,12997494,121549,,Donnie_Chesteen,289303,0
12542,"Napoleon Bracy",Napoleon,,Bracy,Jr.,,1,D,1,Rep,HD-098,12997520,121495,,Napoleon_Bracy_Jr.,290775,0
12543,"Berry Forte",Berry,,Forte,,,1,D,1,Rep,HD-084,6505248,81792,,Berry_Forte,290756,0
12550,"Juandalynn Givan",Juandalynn,,Givan,,"Lee Lee",1,D,1,Rep,HD-060,6505164,121471,,Juandalynn_Givan,289297,0
13150,"David Sessions",David,,Sessions,,,2,R,2,Sen,SD-035,12997537,129898,,David_Sessions,341032,0
13766,"Jim Carns",Jim,,Carns,,,2,R,1,Rep,HD-048,6568575,5630,,Jim_Carns,192671,0
15745,"David Standridge",David,,Standridge,,,2,R,1,Rep,HD-034,15881725,82406,,David_Standridge,446076,0
15746,"Mack Butler",Mack,N.,Butler,,,2,R,1,Rep,HD-028,6982636,143699,,Mack_Butler,446144,0
16021,"Randall Shedd",Randall,,Shedd,,,2,R,1,Rep,HD-011,7246011,144639,,Randall_Shedd,456844,0
16140,"Adline Clarke",Adline,Cecline,Clarke,,,1,D,1,Rep,HD-097,16753387,144285,,Adline_C._Clarke,460835,0
16212,"Margie Wilcox",Margie,,Wilcox,,,2,R,1,Rep,HD-104,18912714,145310,,Margie_Wilcox,486017,0
16871,"Greg Albritton",Greg,,Albritton,,,2,R,2,Sen,SD-022,6568015,15990,,Greg_Albritton,212082,0
16872,"Clyde Chambliss",Clyde,,Chambliss,Jr.,,2,R,2,Sen,SD-030,21273424,79831,,Clyde_Chambliss_Jr.,488974,0
16873,"Steve Livingston",Steve,,Livingston,,,2,R,2,Sen,SD-008,7000368,149964,,Steve_Livingston,488992,0
16874,"Shay Shelnutt",Shay,,Shelnutt,,,2,R,2,Sen,SD-017,21273391,149989,,Shay_Shelnutt,498987,0
16875,"Tim Melson",Tim,,Melson,,,2,R,2,Sen,SD-001,21273345,149972,,Tim_Melson,488942,0
16876,"Larry Stutts",Larry,,Stutts,,,2,R,2,Sen,SD-006,7047990,152242,,Larry_Stutts,509299,0
17025,"Corey Harbison",Corey,,Harbison,,,2,R,1,Rep,HD-012,21319088,149949,,Corey_Harbison,488848,0
17026,"Phillip Pettus",Phillip,,Pettus,,,2,R,1,Rep,HD-001,21273436,149977,,Phillip_Pettus,498969,0
17027,"Ritchie Whorton",Ritchie,,Whorton,,,2,R,1,Rep,HD-022,21338972,150005,,Ritchie_Whorton,488870,0
17589,"David Faulkner",David,,Faulkner,,,2,R,1,Rep,HD-046,14088776,149930,,David_Faulkner,488907,0
17591,"Danny Garrett",Danny,,Garrett,,,2,R,1,Rep,HD-044,21466360,149938,,Danny_Garrett,488902,0
17593,"Jim Hill",Jim,,Hill,,,2,R,1,Rep,HD-050,21529729,149953,,Jim_Hill,488910,0
17594,"Reed Ingram",Reed,,Ingram,,,2,R,1,Rep,HD-075,21537002,81538,,Reed_Ingram,488928,0
17595,"Nathaniel Ledbetter",Nathaniel,,Ledbetter,,,2,R,1,Rep,HD-024,12997354,121452,,Nathaniel_Ledbetter,290701,0
17596,"Chris Sells",Chris,,Sells,,,2,R,1,Rep,HD-090,7242261,149986,,Chris_Sells,498983,0
17598,"Jack Williams",Jack,W.,Williams,,,2,R,2,Sen,SD-034,21778135,27636,,Jack_Williams_(Alabama_State_Senate),650383,0
17603,"Chris Pringle",Chris,,Pringle,,,2,R,1,Rep,HD-101,12997523,5701,,Chris_Pringle,192726,0
17622,"Bob Fincher",Bob,,Fincher,,,2,R,1,Rep,HD-037,12997381,121529,,Bob_Fincher,290718,0
17624,"Barbara Drummond",Barbara,,Drummond,,,1,D,1,Rep,HD-103,21857726,149928,,Barbara_Drummond,488836,0
17625,"Kelvin Lawrence",Kelvin,J.,Lawrence,,,1,D,1,Rep,HD-069,21777109,149963,,Kelvin_Lawrence,488922,0
17632,"Timothy Wadsworth",Timothy,R.,Wadsworth,,,2,R,1,Rep,HD-014,7040628,150001,,Tim_Wadsworth,488854,0
17634,"Arnold Mooney",Arnold,,Mooney,,,2,R,1,Rep,HD-043,21455718,149974,,Arnold_Mooney,488900,0
17642,"Anthony Daniels",Anthony,,Daniels,,,1,D,1,Rep,HD-053,21777041,149925,,Anthony_Daniels,488912,0
17874,"Chris Blackshear",Chris,,Blackshear,,,2,R,1,Rep,HD-080,39653904,143782,,Chris_Blackshear,569061,0
17899,"Danny Crawford",Danny,,Crawford,,,2,R,1,Rep,HD-005,7204622,165903,,Danny_Crawford,570034,0
19256,"Corley Ellis",Corley,,Ellis,,,2,R,1,Rep,HD-041,7156872,82053,,Corley_Ellis,601235,0
19257,"Joe Lovvorn",Joe,,Lovvorn,,,2,R,1,Rep,HD-079,42046236,175673,,Joe_Lovvorn,598407,0
19353,"Rolanda Hollis",Rolanda,,Hollis,,,1,D,1,Rep,HD-058,42823981,176056,,Rolanda_Hollis,620724,0
19368,"Prince Chestnut",Prince,,Chestnut,,,1,D,1,Rep,HD-067,36890157,176029,,Prince_Chestnut,624418,0
