bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1885881,1501467,2025-02-27,House,"HBIR: Passed by House of Origin",98,2,2,2,104
1885881,1501468,2025-02-27,House,"Third Reading in House of Origin",98,2,2,2,104
1885881,1501469,2025-02-27,House,"Motion to Adopt - Roll Call 286 N27UJJJ-1",99,0,3,2,104
1885881,1501470,2025-02-27,House,"Motion to Read a Third Time and Pass as Amended - Roll Call 287",94,3,4,3,104
1885924,1551592,2025-04-17,Senate,"SBIR: Passed by House of Origin",25,4,0,5,34
1885924,1551593,2025-04-17,Senate,"Third Reading in House of Origin",25,4,0,5,34
1885924,1551594,2025-04-17,Senate,"Elliott motion to Adopt - Roll Call 752 4U4SF33-1",25,5,0,4,34
1885924,1551595,2025-04-17,Senate,"Petition to Cease Debate - Roll Call 751",25,5,0,4,34
1885924,1551596,2025-04-17,Senate,"Motion to Read a Third Time and Pass as Amended - Roll Call 753",26,5,0,3,34
1885924,1566472,2025-05-06,House,"Motion to Adopt - Roll Call 1173 TBHNZ59-1",96,0,4,3,103
1885924,1566473,2025-05-06,House,"Kiel motion to Table - Roll Call 1174 V7BZGVL-1",74,28,0,1,103
1885924,1566474,2025-05-06,House,"Motion to Read a Third Time and Pass as Amended - Roll Call 1175",74,29,0,0,103
1885924,1567405,2025-05-07,Senate,"Elliott motion to Non-Concur Request for New Conference Committee - Roll Call 999",33,1,0,0,34
1885924,1567406,2025-05-07,House,"In Conference Committee",103,0,0,0,103
1885983,1492610,2025-02-18,House,"HBIR: Passed by House of Origin",101,0,0,3,104
1885983,1492611,2025-02-18,House,"Third Reading in House of Origin",101,0,0,3,104
1885983,1492612,2025-02-18,House,"Motion to Adopt - Roll Call 171 4HYQIIR-1",101,0,0,3,104
1885983,1492613,2025-02-18,House,"Motion to Read a Third Time and Pass as Amended - Roll Call 172",100,0,0,4,104
1885997,1524007,2025-02-27,House,"Motion to Adopt BIR- Failed",38,46,11,9,104
1886027,1492154,2025-02-18,Senate,"SBIR: Passed by House of Origin",32,0,0,2,34
1886027,1492155,2025-02-18,Senate,"Third Reading in House of Origin",32,0,0,2,34
1886027,1492156,2025-02-18,Senate,"Givhan motion to Adopt - Roll Call 123 JD29FNY-1",32,0,0,2,34
1886027,1492157,2025-02-18,Senate,"Motion to Read a Third Time and Pass as Amended - Roll Call 124",32,0,0,2,34
1886027,1540412,2025-04-08,House,"HBIR: Passed by Second House",103,0,0,1,104
1886027,1540413,2025-04-08,House,"Third Reading in Second House",103,0,0,1,104
1886027,1540414,2025-04-08,House,"Motion to Adopt - Roll Call 652 W1VCNEE-1",101,0,0,3,104
1886027,1540415,2025-04-08,House,"Motion to Read a Third Time and Pass as Amended - Roll Call 653",102,0,0,2,104
1886027,1564633,2025-04-15,Senate,"Givhan Concur In and Adopt - Roll Call 702",27,0,0,7,34
1886114,1533086,2025-04-01,House,"HBIR: Passed by House of Origin",96,1,4,3,104
1886114,1533087,2025-04-01,House,"Third Reading in House of Origin",96,1,4,3,104
1886114,1533088,2025-04-01,House,"Brown motion to Table - Roll Call 571 QN26J55-1",95,2,5,2,104
1886114,1533089,2025-04-01,House,"Motion to Adopt - Roll Call 572 EJJNGCC-1",94,0,8,2,104
1886114,1533090,2025-04-01,House,"Motion to Read a Third Time and Pass as Amended - Roll Call 573",95,0,8,1,104
1886114,1567482,2025-05-07,Senate,"Sessions motion to Adopt - Roll Call 1028 6YAUGZ3-1",30,0,0,4,34
1886114,1567483,2025-05-07,Senate,"Motion to Read a Third Time and Pass as Amended - Roll Call 1029",30,0,0,4,34
1886114,1568021,2025-05-07,House,"Brown Concur In and Adopt - Roll Call 1238",102,1,0,0,103
1886129,1548762,2025-04-15,House,"HBIR: Passed by House of Origin",97,1,5,1,104
1886129,1548763,2025-04-15,House,"Third Reading in House of Origin",97,1,5,1,104
1886129,1548764,2025-04-15,House,"Motion to Adopt - Roll Call 858 PS6P9RR-1",86,9,1,8,104
1886129,1548765,2025-04-15,House,"Drummond motion to Table - Roll Call 859 EJZ7492-1",59,36,4,5,104
1886129,1548766,2025-04-15,House,"Motion to Read a Third Time and Pass as Amended - Roll Call 860",89,9,1,5,104
1886129,1566149,2025-05-06,Senate,"Sessions motion to Adopt - Roll Call 990 ZQZYQKR-1",33,1,0,0,34
1886129,1566150,2025-05-06,Senate,"Singleton motion to Adopt - Roll Call 991 TB7UC11-1",18,16,0,0,34
1886129,1566151,2025-05-06,Senate,"Motion to Read a Third Time and Pass as Amended - Roll Call 992",28,5,0,1,34
1886129,1566797,2025-05-06,House,"Drummond Concur In and Adopt - Roll Call 1197",52,43,6,2,103
1886144,1483151,2025-02-06,Senate,"SBIR: Passed by House of Origin",29,1,0,4,34
1886144,1483152,2025-02-06,Senate,"Third Reading in House of Origin",29,1,0,4,34
1886144,1483153,2025-02-06,Senate,"Motion to Read a Third Time and Pass - Roll Call 15",30,0,0,4,34
1886144,1501134,2025-02-27,House,"HBIR: Passed by Second House",102,0,0,2,104
1886144,1501135,2025-02-27,House,"Third Reading in Second House",102,0,0,2,104
1886144,1501136,2025-02-27,House,"Motion to Read a Third Time and Pass - Roll Call 289",102,0,0,2,104
1886217,1551123,2025-04-17,House,"HBIR: Passed by House of Origin",74,21,5,3,103
1886217,1551124,2025-04-17,House,"Third Reading in House of Origin",74,21,5,3,103
1886217,1551125,2025-04-17,House,"Motion to Adopt - Roll Call 882 L5VB4AW-1",77,20,3,3,103
1886217,1551126,2025-04-17,House,"Motion to Read a Third Time and Pass as Amended - Roll Call 883",74,26,0,3,103
1886274,1496301,2025-02-11,House,"HBIR: Passed by House of Origin",100,0,0,5,105
1886274,1496302,2025-02-11,House,"Third Reading in House of Origin",100,0,0,5,105
1886274,1496303,2025-02-11,House,"Motion to Adopt - Roll Call 58 WKJPEE9-1",103,0,0,2,105
1886274,1496304,2025-02-11,House,"Motion to Read a Third Time and Pass as Amended - Roll Call 59",92,5,4,4,105
1886289,1507360,2025-03-06,House,"HBIR: Passed by House of Origin",78,0,23,3,104
1886289,1507361,2025-03-06,House,"Third Reading in House of Origin",78,0,23,3,104
1886289,1507362,2025-03-06,House,"Motion to Adopt - Roll Call 385 PSBJDGG-1",81,0,19,4,104
