bill_id,people_id,position
1885881,24595,1
1885895,17594,1
1885910,21299,1
1885924,21169,1
1885939,12550,1
1885954,12550,1
1885968,24595,1
1885983,24601,1
1885997,24595,1
1886012,3420,1
1886027,21315,1
1886041,21313,1
1886056,21316,1
1886070,12550,1
1886085,12550,1
1886100,17634,1
1886114,21287,1
1886129,17624,1
1886144,21169,1
1886158,12550,1
1886173,24595,1
1886187,17026,1
1886202,12550,1
1886217,24614,1
1886231,17026,1
1886245,12550,1
1886259,22952,1
1886274,21287,1
1886289,21287,1
1886303,12550,1
1886318,21169,1
1886382,21306,1
1886383,21306,1
1886384,21312,1
1886385,21306,1
1886386,21306,1
1886387,24612,1
1886388,24597,1
1886486,3420,1
1886487,3420,1
1886577,22671,1
1886578,17593,1
1886579,3374,1
1886580,16140,1
1886581,17593,1
1886582,24611,1
1886583,17594,1
1886584,24595,1
1886859,17593,1
1886864,3374,1
1886869,17593,1
1886875,3374,1
1886881,17593,1
1886885,24799,1
1888696,21289,1
1888697,21289,1
1888698,21289,1
1888700,3374,1
1888701,12550,1
1888702,17591,1
1888704,21306,1
1888705,21306,1
1888706,17593,1
1888708,12550,1
1888709,24601,1
1888711,24805,1
1888713,17593,1
1888748,21289,1
1888831,3479,1
1889393,21169,1
1889658,3420,1
1890116,24805,1
1890117,24611,1
1890118,16140,1
1890119,3382,1
1891884,24796,1
1891995,21169,1
1892376,24805,1
1892381,24601,1
1892630,3391,1
1892634,3391,1
1892642,3391,1
1892648,3391,1
1892653,3391,1
1892662,21313,1
1892667,3391,1
1892673,3391,1
1892679,3391,1
1892685,3391,1
1892860,21316,1
1894530,17027,1
1894539,16140,1
1894547,12550,1
1894556,21249,1
1894565,21249,1
1894573,24598,1
1894583,12550,1
1896225,12500,1
1896851,16876,1
1900387,3386,1
1900479,3465,1
1900518,3465,1
1900550,3465,1
1900590,3465,1
1900627,21169,1
1900666,3465,1
1902315,21287,1
1902380,21312,1
1902434,24597,1
1902491,16140,1
1902551,21289,1
1902614,16140,1
1902678,3370,1
1902740,24805,1
1902804,24806,1
1902870,21287,1
1902935,25162,1
1903132,24613,1
1903328,24613,1
1939915,12486,1
1940054,25188,1
1940195,16140,1
1940337,21287,1
1940478,17596,1
1940617,3358,1
1940761,12550,1
1940902,16140,1
1941044,24608,1
1941185,21287,1
1946095,22952,1
1946191,17026,1
1946290,17026,1
1946386,17026,1
1946483,24606,1
1953980,17589,1
1954033,17634,1
1954086,16140,1
1954140,17874,1
1954194,17624,1
1954250,17603,1
1954306,17589,1
1954361,17603,1
1954416,24613,1
1954472,19256,1
1954530,3357,1
1954587,17642,1
1954642,17634,1
1954700,3382,1
1954754,24601,1
1954810,17634,1
1954865,17589,1
1954919,17603,1
1954973,17589,1
1955113,3357,1
1955190,3461,1
1955268,24599,1
1955349,3461,1
1955425,3461,1
1955502,3357,1
1955580,3461,1
1955974,3482,1
1955975,3486,1
1955976,16212,1
1955977,25223,1
1955978,24801,1
1955979,22952,1
1955980,19618,1
1955981,3482,1
1955982,3357,1
1955983,17589,1
1955984,21299,1
1955985,3432,1
1955986,17634,1
1955987,21287,1
1955988,24801,1
1955989,3482,1
1955990,16871,1
1955991,12490,1
1955992,12500,1
1955993,21169,1
1955994,3481,1
1955995,3482,1
1955996,16021,1
1955997,24801,1
1955998,17026,1
1955999,17026,1
1956000,24801,1
1956001,13150,1
1956002,3481,1
1956003,21318,1
1956004,24801,1
1956005,22761,1
1956006,24796,1
1956007,17589,1
1956008,3481,1
1956009,24806,1
1956010,12509,1
1956011,21318,1
1956012,20421,1
1956013,21248,1
1956014,24612,1
1956015,21289,1
1956016,16021,1
1956017,19353,1
1956018,3432,1
1956019,24612,1
1956020,21318,1
1956021,17624,1
1956022,21318,1
1956023,3420,1
1956024,17603,1
1956025,21289,1
1956026,24594,1
1956027,24597,1
1956028,16875,1
1956029,21283,1
1956030,21289,1
1956031,21284,1
1956032,12500,1
1956033,19257,1
1956034,16212,1
1956035,16875,1
1956036,21289,1
1956037,16021,1
1956038,3482,1
1956039,13150,1
1956040,21306,1
1956041,24597,1
1956042,21283,1
1956043,21248,1
1956044,17624,1
1956045,16140,1
1956046,22761,1
1956047,16873,1
1956048,16875,1
1956049,12500,1
1956050,3482,1
1956051,21283,1
1956052,24801,1
1956053,24612,1
1956054,21283,1
1956055,24612,1
1956056,12486,1
1956057,3481,1
1956058,24807,1
1956059,3481,1
1956060,16873,1
1956061,21318,1
1956062,16021,1
1956063,12490,1
1956064,21283,1
1956065,24612,1
1956066,21284,1
1956067,24605,1
1956068,19353,1
1956069,21306,1
1956070,12500,1
1956071,12500,1
1956072,3420,1
1956073,12500,1
1956074,21318,1
1956075,3481,1
1956076,24601,1
1956077,21315,1
1956078,24594,1
1956079,12490,1
1956080,12509,1
1956081,3481,1
1956082,17594,1
1956083,20421,1
1956084,21315,1
1956085,16212,1
1956086,3420,1
1956087,17603,1
1956088,17594,1
1956089,24602,1
1956090,16212,1
1956091,3481,1
1956092,24801,1
1956093,24801,1
1956094,3482,1
1956095,24606,1
1956096,21283,1
1956097,17026,1
1956098,17603,1
1956105,17625,1
1956123,3479,1
1956142,21169,1
1956163,24609,1
1956189,12500,1
1956209,3481,1
1956234,21288,1
1956254,16876,1
1956277,16876,1
1956298,19618,1
1956318,21304,1
1956337,16876,1
1956362,22761,1
1956383,24598,1
1956404,21288,1
1956427,24609,1
1956449,21304,1
1956474,16871,1
1956496,12509,1
1956519,24794,1
1956543,20421,1
1956563,3465,1
1956622,3481,1
1956653,17625,1
1956685,3386,1
1956718,24598,1
1956749,12500,1
1956783,3360,1
1956815,3370,1
1956846,3445,1
1956878,21306,1
1956910,24612,1
1956942,3481,1
1956973,3370,1
1957005,16872,1
1957041,25223,1
1957069,13150,1
1957101,19618,1
1957133,24806,1
1957166,17591,1
1957198,17591,1
1957230,17591,1
1957263,3481,1
1957293,17598,1
1957327,24598,1
1957358,3481,1
1957390,17591,1
1957422,19618,1
1957453,3357,1
1957480,3445,1
1957500,25163,1
1957532,17589,1
1957566,3426,1
1957600,17594,1
1957635,17589,1
1957673,21313,1
1957706,22964,1
1957741,17591,1
1957777,17593,1
1957811,3461,1
1957850,19618,1
1957885,21313,1
1957918,22761,1
1957953,24605,1
1957993,21308,1
1958027,21313,1
1958063,16212,1
1958098,3445,1
1958131,24806,1
1958169,22964,1
1958204,22964,1
1958238,21313,1
1958272,12490,1
1958635,3461,1
1958670,3461,1
1958707,16873,1
1958743,21169,1
1958780,24801,1
1958818,24801,1
1958855,3481,1
1958894,3481,1
1958929,16875,1
1958967,24594,1
1959001,3461,1
1959039,3461,1
1959078,24600,1
1959114,16875,1
1959153,16140,1
1959188,3461,1
1959257,17593,1
1959281,24798,1
1959308,21318,1
1959333,3426,1
1959360,17625,1
1959385,3465,1
1959412,24598,1
1959437,19353,1
1959465,24607,1
1959491,17593,1
1959517,21169,1
1959541,22671,1
1959567,24607,1
1959597,21169,1
1959623,3461,1
1959647,17593,1
1959676,17625,1
1959701,13150,1
1959727,3445,1
1959752,3382,1
1959780,24604,1
1959805,24805,1
1959831,19257,1
1959856,24607,1
1959885,16875,1
1959908,3430,1
1959934,17593,1
1959964,24612,1
1959990,24598,1
1960014,3430,1
1960041,17026,1
1960067,24796,1
1960094,3426,1
1960119,24603,1
1960146,24799,1
1960171,3389,1
1960198,24602,1
1960222,3426,1
1960249,17899,1
1960273,24606,1
1960296,21315,1
1960372,22671,1
1960438,22953,1
1960505,3426,1
1960573,3426,1
1960640,16021,1
1960706,3426,1
1960774,24608,1
1960841,17594,1
1960907,24797,1
1960973,17589,1
1965059,16871,1
1965076,3486,1
1965094,16871,1
1965111,3386,1
1965130,3382,1
1965147,24796,1
1965166,21308,1
1965184,16874,1
1965202,3486,1
1965220,24594,1
1965238,24604,1
1965256,24805,1
1965274,16871,1
1965294,16873,1
1965311,3461,1
1965327,20421,1
1965346,20421,1
1965364,12490,1
1965381,20421,1
1965398,3420,1
1965415,16871,1
1965427,17624,1
1965434,24612,1
1965441,15746,1
1965450,21304,1
1965457,15746,1
1965465,13766,1
1965475,21311,1
1965484,17026,1
1965493,24804,1
1965501,21299,1
1965510,24796,1
1965520,21313,1
1965527,24596,1
1965539,3481,1
1965546,3479,1
1965556,22761,1
1965566,24796,1
1965573,17593,1
1965581,17603,1
1965594,24596,1
1965601,24595,1
1965611,15746,1
1965621,21313,1
1965628,3481,1
1965637,17625,1
1965647,16874,1
1965658,15746,1
1965665,21313,1
1965675,24599,1
1965685,21297,1
1965693,21249,1
1965703,21298,1
1965711,15745,1
1965718,21283,1
1965727,19257,1
1965734,24794,1
1965959,21309,1
1966044,19256,1
1966214,21306,1
1966303,19256,1
1966393,21304,1
1966483,3357,1
1966569,17899,1
1966973,3357,1
1967605,24613,1
1967644,3461,1
1967683,3420,1
1967721,3479,1
1967760,24613,1
1967799,24801,1
1967838,24613,1
1967876,3481,1
1967916,3386,1
1967955,20421,1
1967993,24613,1
1968032,19257,1
1968068,21283,1
1968350,21169,1
1968606,21249,1
1968899,12486,1
1968928,24599,1
