bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1915435,3052525,text,140971,application/pdf,Draft,https://legiscan.com/AR/text/HB1001/id/3052525,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1001.pdf
1915435,3083414,text,136104,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1001/id/3083414,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=3.pdf&ddBienniumSession=2025%2F2025R
1915265,3052375,text,148678,application/pdf,Draft,https://legiscan.com/AR/text/HB1002/id/3052375,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1002.pdf
1915265,3074270,text,149136,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1002/id/3074270,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=1.pdf&ddBienniumSession=2025%2F2025R
1915524,3052603,text,175670,application/pdf,Draft,https://legiscan.com/AR/text/HB1003/id/3052603,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1003.pdf
1915524,3216925,text,175847,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1003/id/3216925,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=871.pdf&ddBienniumSession=2025%2F2025R
1892544,3028590,text,137126,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/3028590,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1004.pdf
1892541,3028587,text,137888,application/pdf,Draft,https://legiscan.com/AR/text/HB1005/id/3028587,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1005.pdf
1892541,3096584,text,138250,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1005/id/3096584,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=14.pdf&ddBienniumSession=2025%2F2025R
1892542,3028588,text,129740,application/pdf,Draft,https://legiscan.com/AR/text/HB1006/id/3028588,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1006.pdf
1892542,3096136,text,143479,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1006/id/3096136,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=15.pdf&ddBienniumSession=2025%2F2025R
1892543,3028589,text,137495,application/pdf,Draft,https://legiscan.com/AR/text/HB1007/id/3028589,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1007.pdf
1892543,3158539,text,174922,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1007/id/3158539,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=248.pdf&ddBienniumSession=2025%2F2025R
1892578,3028611,text,131144,application/pdf,Draft,https://legiscan.com/AR/text/HB1008/id/3028611,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1008.pdf
1892611,3028629,text,136312,application/pdf,Draft,https://legiscan.com/AR/text/HB1009/id/3028629,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1009.pdf
1892547,3028595,text,130581,application/pdf,Draft,https://legiscan.com/AR/text/HB1010/id/3028595,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1010.pdf
1892623,3028636,text,849767,application/pdf,Draft,https://legiscan.com/AR/text/HB1011/id/3028636,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1011.pdf
1892599,3028623,text,131069,application/pdf,Draft,https://legiscan.com/AR/text/HB1012/id/3028623,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1012.pdf
1892619,3028634,text,149389,application/pdf,Draft,https://legiscan.com/AR/text/HB1013/id/3028634,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1013.pdf
1892572,3028607,text,137430,application/pdf,Draft,https://legiscan.com/AR/text/HB1014/id/3028607,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1014.pdf
1892575,3028609,text,137041,application/pdf,Draft,https://legiscan.com/AR/text/HB1015/id/3028609,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1015.pdf
1892595,3028620,text,148708,application/pdf,Draft,https://legiscan.com/AR/text/HB1016/id/3028620,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1016.pdf
1892614,3028630,text,144479,application/pdf,Draft,https://legiscan.com/AR/text/HB1017/id/3028630,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1017.pdf
1892614,3217998,text,182486,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1017/id/3217998,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=904.pdf&ddBienniumSession=2025%2F2025R
1892557,3028600,text,145880,application/pdf,Draft,https://legiscan.com/AR/text/HB1018/id/3028600,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1018.pdf
1892567,3028605,text,148665,application/pdf,Draft,https://legiscan.com/AR/text/HB1019/id/3028605,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1019.pdf
1892552,3028596,text,257842,application/pdf,Draft,https://legiscan.com/AR/text/HB1020/id/3028596,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1020.pdf
1892584,3028613,text,137213,application/pdf,Draft,https://legiscan.com/AR/text/HB1021/id/3028613,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1021.pdf
1892608,3028628,text,143651,application/pdf,Draft,https://legiscan.com/AR/text/HB1022/id/3028628,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1022.pdf
1892564,3028603,text,142602,application/pdf,Draft,https://legiscan.com/AR/text/HB1023/id/3028603,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1023.pdf
1892602,3028624,text,156369,application/pdf,Draft,https://legiscan.com/AR/text/HB1024/id/3028624,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1024.pdf
1892593,3028619,text,155062,application/pdf,Draft,https://legiscan.com/AR/text/HB1025/id/3028619,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1025.pdf
1892626,3028637,text,137642,application/pdf,Draft,https://legiscan.com/AR/text/HB1026/id/3028637,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1026.pdf
1892605,3028626,text,137157,application/pdf,Draft,https://legiscan.com/AR/text/HB1027/id/3028626,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1027.pdf
1892581,3028612,text,170176,application/pdf,Draft,https://legiscan.com/AR/text/HB1028/id/3028612,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1028.pdf
1892559,3028601,text,130124,application/pdf,Draft,https://legiscan.com/AR/text/HB1029/id/3028601,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1029.pdf
1892590,3028617,text,100905,application/pdf,Draft,https://legiscan.com/AR/text/HB1030/id/3028617,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1030.pdf
1892617,3028632,text,142388,application/pdf,Draft,https://legiscan.com/AR/text/HB1031/id/3028632,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1031.pdf
1892553,3028597,text,138201,application/pdf,Draft,https://legiscan.com/AR/text/HB1032/id/3028597,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1032.pdf
1892674,3028682,text,186383,application/pdf,Draft,https://legiscan.com/AR/text/HB1033/id/3028682,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1033.pdf
1892682,3028687,text,159875,application/pdf,Draft,https://legiscan.com/AR/text/HB1034/id/3028687,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1034.pdf
1892658,3028671,text,181846,application/pdf,Draft,https://legiscan.com/AR/text/HB1035/id/3028671,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1035.pdf
1892631,3028654,text,164507,application/pdf,Draft,https://legiscan.com/AR/text/HB1036/id/3028654,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1036.pdf
1892644,3028662,text,144115,application/pdf,Draft,https://legiscan.com/AR/text/HB1037/id/3028662,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1037.pdf
1892633,3028655,text,151048,application/pdf,Draft,https://legiscan.com/AR/text/HB1038/id/3028655,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1038.pdf
1892669,3028679,text,136210,application/pdf,Draft,https://legiscan.com/AR/text/HB1039/id/3028679,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1039.pdf
1892663,3028675,text,136495,application/pdf,Draft,https://legiscan.com/AR/text/HB1040/id/3028675,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1040.pdf
1892641,3028660,text,148276,application/pdf,Draft,https://legiscan.com/AR/text/HB1041/id/3028660,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1041.pdf
1892650,3028667,text,135832,application/pdf,Draft,https://legiscan.com/AR/text/HB1042/id/3028667,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1042.pdf
1892677,3028684,text,180369,application/pdf,Draft,https://legiscan.com/AR/text/HB1043/id/3028684,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1043.pdf
1892731,3028750,text,167329,application/pdf,Draft,https://legiscan.com/AR/text/HB1044/id/3028750,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1044.pdf
1892706,3028735,text,137634,application/pdf,Draft,https://legiscan.com/AR/text/HB1045/id/3028735,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1045.pdf
1892738,3028754,text,133094,application/pdf,Draft,https://legiscan.com/AR/text/HB1046/id/3028754,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1046.pdf
1892738,3106402,text,134817,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1046/id/3106402,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=16.pdf&ddBienniumSession=2025%2F2025R
1892715,3028741,text,131250,application/pdf,Draft,https://legiscan.com/AR/text/HB1047/id/3028741,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1047.pdf
1892727,3028747,text,131617,application/pdf,Draft,https://legiscan.com/AR/text/HB1048/id/3028747,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1048.pdf
1892727,3133654,text,178821,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1048/id/3133654,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=125.pdf&ddBienniumSession=2025%2F2025R
1892712,3028739,text,137618,application/pdf,Draft,https://legiscan.com/AR/text/HB1049/id/3028739,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1049.pdf
1892712,3152886,text,194995,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1049/id/3152886,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=238.pdf&ddBienniumSession=2025%2F2025R
1892741,3028755,text,134026,application/pdf,Draft,https://legiscan.com/AR/text/HB1050/id/3028755,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1050.pdf
1892741,3092119,text,135062,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1050/id/3092119,https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=12.pdf&ddBienniumSession=2025%2F2025R
