bill_id,date,chamber,sequence,action
1892539,2024-11-20,Senate,1,Filed
1892539,2025-01-13,Senate,2,"Read first time, rules suspended, read second time, referred to PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE - SENATE"
1892539,2025-04-03,Senate,3,"Motion to Extract SB2 from Committee. Motion carried."
1892539,2025-04-03,Senate,4,"Roll Call Requested. Five Hands were Seen. Motion Carried."
1892539,2025-04-08,Senate,5,"Rules suspended."
1892539,2025-04-08,Senate,6,"Read the third time and passed."
1892539,2025-04-08,Senate,7,"Ordered immediately transmitted to the House."
1892539,2025-04-08,House,8,"RECEIVED FROM THE SENATE"
1892539,2025-04-08,House,9,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE"
1892539,2025-05-05,House,10,"Died in House Committee at Sine Die adjournment."
1892540,2024-11-20,Senate,1,Filed
1892540,2025-01-13,Senate,2,"Read first time, rules suspended, read second time, referred to STATE AGENCIES & GOVT'L AFFAIRS-SENATE"
1892540,2025-01-21,Senate,3,"Withdrawn from Committee and placed on 2nd reading for purpose of amendment # 1"
1892540,2025-01-21,Senate,4,"Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed."
1892540,2025-01-21,Senate,5,"REPORTED CORRECTLY ENGROSSED"
1892540,2025-01-21,Senate,6,"Re-referred to STATE AGENCIES & GOVT'L AFFAIRS-SENATE"
1892540,2025-01-28,Senate,7,"Returned by the Committee, with the recommendation that it Do Pass"
1892540,2025-01-29,Senate,8,"Read the third time and passed."
1892540,2025-01-29,Senate,9,"Ordered immediately transmitted to the House."
1892540,2025-01-29,House,10,"RECEIVED FROM THE SENATE"
1892540,2025-01-29,House,11,"Read the first time, rules suspended, read the second time and referred to the Committee on STATE AGENCIES & GOVT'L AFFAIRS- HOUSE"
1892540,2025-02-03,House,12,"Placed on second reading for the purpose of amendment."
1892540,2025-02-03,House,13,"Amendment No. 2 read and adopted and the bill ordered engrossed."
1892540,2025-02-03,House,14,"REPORTED CORRECTLY ENGROSSED"
1892540,2025-02-05,House,15,"Returned by the Committee Do Pass"
1892540,2025-02-06,House,16,"Read the third time and passed and ordered transmitted to the Senate."
1892540,2025-02-06,House,17,"Returned to Senate as passed, as amended # 2"
1892540,2025-02-06,Senate,18,"Returned from the House as passed."
1892540,2025-02-06,Senate,19,"AS AMENDED, Amendment # 2"
1892540,2025-02-06,Senate,20,"Re-referred to STATE AGENCIES & GOVT'L AFFAIRS-SENATE"
1892540,2025-02-11,Senate,21,"Returned by the Committee with the recommendation that it Do Pass concur in House Amendment No. 2"
1892540,2025-02-12,Senate,22,"Placed on second reading for purpose of amendment."
1892540,2025-02-12,Senate,23,"House Amendment No. 2 read first time, rule suspended, read second time and concurred in."
1892540,2025-02-12,Senate,24,"Rules suspended."
1892540,2025-02-12,Senate,25,"Read the third time and passed."
1892540,2025-02-12,Senate,26,"ORDERED ENROLLED"
1892540,2025-02-13,Senate,27,"Reported correctly enrolled and ordered delivered to the Governor."
1892540,2025-02-13,Senate,28,"DELIVERED TO GOVERNOR."
1892540,2025-02-18,Senate,29,"Notification that SB3 is now Act 116"
1892541,2024-11-20,House,1,Filed
1892541,2025-01-13,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE"
1892541,2025-01-23,House,3,"Returned by the Committee Do Pass"
1892541,2025-01-27,House,4,"Read the third time and passed and ordered transmitted to the Senate."
1892541,2025-01-27,Senate,5,"Received from the House."
1892541,2025-01-27,Senate,6,"Read first time, rules suspended, read second time, referred to EDUCATION COMMITTEE - SENATE"
1892541,2025-01-29,Senate,7,"Returned by the Committee, with the recommendation that it Do Pass"
1892541,2025-01-30,Senate,8,"Read the third time and passed."
1892541,2025-01-30,Senate,9,"Returned to the House as passed."
1892541,2025-01-30,House,10,"Returned from the Senate as passed."
1892541,2025-01-30,House,11,"TO BE ENROLLED"
1892541,2025-01-30,House,12,"Correctly enrolled and ordered transmitted to the Governor's Office."
1892541,2025-02-03,House,13,"Notification that HB1005 is now Act 14"
1892542,2024-11-20,House,1,Filed
1892542,2025-01-13,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE"
1892542,2025-01-21,House,3,"Returned by the Committee with the recommendation that it do pass as amended 1"
1892542,2025-01-22,House,4,"Placed on second reading for the purpose of amendment."
1892542,2025-01-22,House,5,"Amendment No. 1 read and adopted and the bill ordered engrossed."
1892542,2025-01-22,House,6,"REPORTED CORRECTLY ENGROSSED"
1892542,2025-01-23,House,7,"Read the third time and passed and ordered transmitted to the Senate."
1892542,2025-01-23,House,8,"EMERGENCY CLAUSE ADOPTED"
1892542,2025-01-23,Senate,9,"Received from the House."
1892542,2025-01-23,Senate,10,"Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE"
1892542,2025-01-29,Senate,11,"Returned by the Committee, with the recommendation that it Do Pass"
1892542,2025-01-30,Senate,12,"Read the third time and passed."
1892542,2025-01-30,Senate,13,"EMERGENCY CLAUSE ADOPTED"
1892542,2025-01-30,Senate,14,"Returned to the House as passed."
1892542,2025-01-30,House,15,"Returned from the Senate as passed."
1892542,2025-01-30,House,16,"TO BE ENROLLED"
1892542,2025-01-30,House,17,"Correctly enrolled and ordered transmitted to the Governor's Office."
1892542,2025-02-03,House,18,"Notification that HB1006 is now Act 15"
1892543,2024-11-20,House,1,Filed
1892543,2025-01-13,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE"
1892543,2025-01-30,House,3,"Returned by the Committee with the recommendation that it do pass as amended 1 & 2"
1892543,2025-02-03,House,4,"Placed on second reading for the purpose of amendment."
1892543,2025-02-03,House,5,"Amendment No. 1 & 2 read and adopted and the bill ordered engrossed."
1892543,2025-02-03,House,6,"REPORTED CORRECTLY ENGROSSED"
1892543,2025-02-04,House,7,"Read the third time and passed and ordered transmitted to the Senate."
1892543,2025-02-04,Senate,8,"Received from the House."
1892543,2025-02-04,Senate,9,"Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE"
1892543,2025-02-19,Senate,10,"Returned by the Committee with the recommendation that it Do Pass as amended, Amendment # 1"
1892543,2025-02-20,Senate,11,"Placed on second reading for purpose of amendment."
1892543,2025-02-20,Senate,12,"Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed."
1892543,2025-02-20,Senate,13,"REPORTED CORRECTLY ENGROSSED"
1892543,2025-02-24,Senate,14,"Read the third time and passed."
1892543,2025-02-24,Senate,15,"Returned to the House as passed as amended # 1 ."
1892543,2025-02-24,House,16,"Returned from Senate as passed, as amended # 1"
1892543,2025-02-24,House,17,"Re-referred to the Committee on JUDICIARY COMMITTEE- HOUSE"
1892543,2025-02-27,House,18,"Returned by the Committee with the recommendation that it do pass, concur in Senate Amendment No. 1"
1892543,2025-03-03,House,19,"Senate amendment # 1 read and concurred in."
1892543,2025-03-03,House,20,"TO BE ENROLLED"
1892543,2025-03-03,House,21,"Correctly enrolled and ordered transmitted to the Governor's Office."
1892543,2025-03-04,House,22,"Correctly enrolled and ordered transmitted to the Governor's Office."
1892543,2025-03-06,House,23,"Notification that HB1007 is now Act 248"
1892544,2024-11-20,House,1,Filed
1892544,2025-01-13,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE"
1892544,2025-03-20,House,3,"Returned by the Committee with the recommendation that it do pass as amended 1"
1892544,2025-03-31,House,4,"Placed on second reading for the purpose of amendment."
1892544,2025-03-31,House,5,"Amendment No. 1 read and adopted and the bill ordered engrossed."
