bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1892539,1536261,2025-04-03,Senate,"Roll Call Requested. Five Hands were Seen. Motion Carried.",19,12,2,2,35
1892539,1540507,2025-04-08,Senate,"Third Reading",18,12,5,0,35
1892540,1476430,2025-01-29,Senate,"Third Reading",24,7,4,0,35
1892540,1483323,2025-02-06,House,"Third Reading",65,27,8,0,100
1892540,1487790,2025-02-12,Senate,"Third Reading",24,6,2,3,35
1892541,1474844,2025-01-27,House,"Third Reading",98,0,2,0,100
1892541,1477179,2025-01-30,Senate,"Third Reading",34,0,0,1,35
1892542,1473484,2025-01-23,House,"Third Reading",96,0,4,0,100
1892542,1477285,2025-01-30,Senate,"Third Reading",34,0,0,1,35
1892543,1479501,2025-02-04,House,"Third Reading",85,9,6,0,100
1892543,1497832,2025-02-24,Senate,"Third Reading",31,0,1,3,35
1892543,1503257,2025-03-03,House,"Senate amendment # 1 read and concurred in.",85,7,8,0,100
1892544,1532544,2025-04-01,House,"Third Reading",71,10,19,0,100
1892614,1542128,2025-04-09,House,"Third Reading",68,19,13,0,100
1892614,1549662,2025-04-16,Senate,"Third Reading",27,4,4,0,35
1892706,1535990,2025-04-03,House,"Third Reading",33,40,27,0,100
1892712,1484837,2025-02-10,House,"Third Reading",89,2,9,0,100
1892712,1497532,2025-02-24,Senate,"Third Reading",32,0,0,3,35
1892712,1498831,2025-02-25,House,"Placed on second reading for the purpose of amendment.",91,0,9,0,100
1892712,1501481,2025-02-27,House,"Senate amendment # 2 read and concurred in.",92,2,6,0,100
1892727,1478729,2025-02-03,House,"Third Reading",94,3,3,0,100
1892727,1491303,2025-02-17,Senate,"Third Reading",33,1,0,1,35
1892738,1476391,2025-01-29,House,"Third Reading",96,0,4,0,100
1892738,1479824,2025-02-04,Senate,"Third Reading",33,0,1,1,35
1892741,1473571,2025-01-23,House,"Third Reading",98,0,2,0,100
1892741,1476440,2025-01-29,Senate,"Third Reading",35,0,0,0,35
1893120,1535996,2025-04-03,House,"Third Reading",74,10,16,0,100
1894794,1471887,2025-01-16,House,"Third Reading",97,0,3,0,100
1894794,1471888,2025-01-16,House,"Third Reading",98,0,2,0,100
1894794,1478734,2025-02-03,Senate,"Third Reading",33,0,2,0,35
1894794,1483329,2025-02-06,House,"Senate amendment # 1 read and concurred in.",94,0,6,0,100
1895087,1486297,2025-02-11,House,"Third Reading",70,16,14,0,100
1895087,1491733,2025-02-18,Senate,"Third Reading",27,6,0,2,35
1895990,1539806,2025-04-08,House,"Third Reading",92,0,8,0,100
1895990,1547119,2025-04-14,Senate,"Third Reading",29,1,4,1,35
1896009,1532539,2025-04-01,House,"Third Reading",71,10,19,0,100
1896009,1537051,2025-04-01,House,"Third Reading",83,12,5,0,100
1896009,1540740,2025-04-08,Senate,"Third Reading",35,0,0,0,35
1896600,1532483,2025-04-01,House,"Upon sounding of the ballot, the HJR failded of adoption",50,31,19,0,100
1896600,1532484,2025-04-01,House,"Upon Motion, Reconsideraton Failed to Pass - 4/1/2025 3:45:18 PM",48,34,18,0,100
1896631,1479511,2025-02-04,House,"Third Reading",96,2,2,0,100
1896631,1488002,2025-02-12,Senate,"Third Reading",31,0,1,3,35
1896792,1531040,2025-03-31,Senate,"Third Reading",28,4,2,1,35
1896792,1543030,2025-04-09,House,"Third Reading",72,10,18,0,100
1896811,1518415,2025-03-17,Senate,"Third Reading",21,12,1,1,35
1897077,1507532,2025-03-06,House,"Third Reading",85,7,8,0,100
1897077,1513779,2025-03-11,Senate,"Third Reading",35,0,0,0,35
1897288,1477278,2025-01-30,Senate,"Third Reading",34,0,0,1,35
1897288,1489343,2025-02-13,House,"Third Reading",98,0,2,0,100
1897316,1473595,2025-01-23,Senate,"Third Reading",33,0,0,2,35
1897316,1483430,2025-02-06,House,"Third Reading",95,0,5,0,100
1897340,1517304,2025-03-13,House,"Third Reading",34,48,18,0,100
1897622,1474768,2025-01-27,House,"Third Reading",95,1,4,0,100
1897622,1488852,2025-02-13,Senate,"Third Reading",33,0,0,2,35
1897622,1493445,2025-02-19,House,"Senate amendment # 1 read and concurred in.",92,0,8,0,100
1898255,1473157,2025-01-22,Senate,"Third Reading",33,1,1,0,35
1898255,1480814,2025-02-05,House,"Third Reading",97,0,3,0,100
1898264,1475407,2025-01-28,Senate,"Third Reading",31,2,2,0,35
1898264,1480848,2025-02-05,House,"Third Reading",91,2,7,0,100
1898272,1522985,2025-03-20,House,"Third Reading",86,1,13,0,100
1898272,1540640,2025-04-08,Senate,"Third Reading",34,0,1,0,35
1898272,1547252,2025-04-14,House,"Senate amendment # 1 read and concurred in.",99,0,1,0,100
