bill_id,people_id,position
1892539,12159,3
1892539,18016,4
1892539,18685,1
1892539,23947,2
1892540,16337,1
1892540,16900,2
1892541,14940,3
1892541,20405,2
1892541,21894,1
1892542,16963,2
1892542,23981,1
1892543,12468,2
1892543,16336,3
1892543,20765,4
1892543,24175,1
1892544,18016,1
1892544,20838,2
1892545,14940,2
1892545,21894,1
1892547,20762,1
1892547,21629,2
1892547,25483,3
1892552,20762,1
1892552,21629,2
1892553,20762,1
1892553,21629,2
1892557,20762,2
1892557,21629,3
1892557,22204,1
1892559,20762,2
1892559,20770,1
1892559,21629,3
1892564,20762,1
1892564,20770,2
1892564,21629,3
1892564,25493,4
1892567,20762,2
1892567,20770,1
1892567,21629,3
1892569,12159,3
1892569,18016,4
1892569,18685,1
1892569,23947,2
1892572,20762,1
1892572,20770,2
1892572,21629,3
1892572,25493,4
1892575,20762,2
1892575,20770,1
1892575,21629,3
1892578,20762,1
1892578,21629,3
1892578,24179,2
1892578,25483,5
1892578,25493,4
1892581,20762,1
1892581,21629,2
1892584,20762,2
1892584,20770,1
1892584,21629,3
1892584,25493,4
1892590,20762,2
1892590,20770,3
1892590,21629,4
1892590,24179,1
1892590,25493,5
1892593,20762,2
1892593,20770,3
1892593,21629,4
1892593,25490,1
1892595,20762,2
1892595,21594,1
1892595,21629,3
1892599,20762,1
1892599,21629,2
1892602,20762,1
1892602,21629,2
1892605,20762,2
1892605,20770,1
1892605,21629,3
1892608,20762,1
1892608,21629,2
1892611,20762,1
1892614,20762,1
1892614,20838,2
1892614,21629,3
1892614,22202,6
1892614,25483,5
1892614,25493,4
1892617,20762,2
1892617,20770,1
1892617,21629,3
1892619,20762,2
1892619,20770,3
1892619,21629,4
1892619,22204,1
1892623,20762,1
1892626,20762,1
1892626,21629,3
1892626,24179,2
1892631,20762,1
1892631,20770,3
1892631,21594,2
1892631,21629,4
1892631,25493,5
1892633,20762,1
1892633,20770,2
1892633,21629,3
1892633,25493,4
1892636,20762,1
1892641,16924,4
1892641,20762,3
1892641,22172,2
1892641,23991,1
1892644,16924,2
1892644,20762,1
1892644,20770,3
1892644,21629,5
1892644,25493,4
1892646,12159,1
1892650,20762,1
1892650,20770,2
1892650,21629,4
1892650,24179,3
1892650,25483,6
1892650,25493,5
1892655,20762,1
1892655,21629,2
1892658,20762,1
1892658,20770,2
1892658,21629,4
1892658,24179,3
1892658,25483,6
1892658,25493,5
1892663,20762,1
1892663,20770,2
1892663,21629,4
1892663,24179,3
1892663,25483,6
1892663,25493,5
1892665,10661,4
1892665,12470,2
1892665,16912,7
1892665,20762,3
1892665,20779,1
1892665,20781,11
1892665,21594,6
1892665,21629,10
1892665,24179,9
1892665,25483,5
1892665,25490,8
1892669,20762,1
1892669,20770,3
1892669,21594,2
1892669,21629,4
1892674,20762,2
1892674,20770,3
1892674,20776,1
1892674,21629,4
1892677,20762,1
1892677,20770,2
1892677,21629,3
1892682,20762,1
1892682,21629,2
1892687,12159,1
1892706,18008,1
1892712,10662,32
1892712,10667,43
1892712,12110,54
1892712,12719,20
1892712,14948,30
1892712,14955,41
1892712,14968,2
1892712,16335,34
1892712,16336,4
1892712,16338,1
1892712,16898,8
1892712,16900,9
1892712,16907,24
1892712,16909,27
1892712,16911,38
1892712,16916,42
1892712,16919,51
1892712,16926,57
1892712,17040,12
1892712,18006,6
1892712,18008,17
1892712,18014,36
1892712,18015,37
1892712,18017,52
1892712,18018,59
1892712,18684,31
1892712,19943,25
1892712,20742,33
1892712,20763,10
1892712,20765,19
1892712,20769,21
1892712,20783,60
1892712,21628,3
1892712,21766,7
1892712,21767,26
1892712,21894,49
1892712,22170,16
1892712,22171,40
1892712,22202,11
1892712,22205,44
1892712,23377,29
1892712,23640,5
1892712,23884,14
1892712,23886,23
1892712,23887,28
1892712,23888,39
1892712,23947,22
1892712,23981,46
1892712,23985,56
1892712,23990,35
1892712,23991,50
1892712,24171,45
1892712,24172,15
1892712,24173,13
1892712,24174,47
1892712,24175,48
1892712,24177,53
1892712,24178,55
1892712,24615,58
1892712,25486,18
1892715,18016,1
1892727,14940,9
1892727,14966,2
1892727,16336,6
1892727,16900,4
1892727,20765,1
1892727,23990,3
1892727,24175,8
1892727,24372,7
1892727,25484,5
1892731,11831,2
1892731,16902,9
1892731,18015,6
1892731,20742,8
1892731,21894,7
1892731,22202,5
1892731,23201,10
1892731,23377,1
1892731,23947,4
1892731,24170,3
1892738,18016,1
1892738,20838,2
1892741,16338,1
1892753,20838,2
1892753,23640,1
1892879,12159,1
1892930,12159,1
1892992,18685,1
1893075,18016,1
1893075,22204,2
1893077,12101,2
1893077,18016,1
1893082,16902,2
1893082,20742,3
1893082,23887,1
1893120,12464,6
1893120,16911,1
1893120,18017,3
1893120,18685,2
1893120,20764,4
1893120,21629,5
1894794,14972,2
1894794,19943,1
1894971,16336,3
1894971,22172,2
1894971,23985,1
1894975,12101,2
1894975,23991,1
1894987,16336,3
1894987,22172,2
1894987,23985,1
1895057,14959,1
1895087,14940,2
1895087,23991,1
1895793,18016,1
1895793,20838,2
1895990,16911,1
1895990,21894,3
1895990,23946,2
1896009,23991,1
1896009,24308,2
1896021,14938,1
1896273,10662,30
1896273,10667,40
1896273,11831,2
1896273,12719,21
1896273,14948,27
1896273,16336,32
1896273,16898,7
1896273,16900,8
1896273,16907,23
1896273,16909,24
1896273,16919,44
1896273,17040,13
1896273,18006,5
1896273,18008,19
1896273,18014,33
1896273,18015,34
1896273,18016,42
1896273,18017,46
1896273,18020,51
1896273,18025,37
1896273,18684,28
1896273,20763,9
1896273,20764,10
1896273,20765,20
1896273,20783,52
1896273,21628,38
1896273,21766,6
1896273,21768,49
1896273,21894,1
1896273,22170,18
1896273,22171,36
1896273,22202,11
1896273,22204,29
1896273,22205,41
1896273,23377,26
1896273,23640,4
1896273,23884,16
1896273,23887,25
1896273,23888,35
1896273,23985,50
1896273,23990,31
1896273,23991,43
1896273,24170,3
1896273,24172,17
1896273,24173,14
1896273,24176,45
1896273,24177,47
1896273,24372,39
1896273,25484,12
1896273,25485,15
1896273,25487,22
1896273,25492,48
1896290,16336,7
1896290,17040,2
1896290,18016,10
1896290,18017,12
1896290,18684,6
1896290,20783,13
1896290,21628,9
1896290,21894,1
1896290,22170,4
1896290,23884,3
1896290,23888,8
1896290,24176,11
1896290,25487,5
1896600,10662,17
1896600,11360,24
1896600,12719,11
1896600,14948,15
1896600,16335,1
1896600,16336,19
1896600,16898,4
1896600,16907,12
1896600,16919,28
1896600,16926,35
1896600,17040,7
1896600,18008,9
1896600,18014,20
1896600,18016,25
1896600,18017,30
1896600,18684,16
1896600,18685,2
1896600,20765,10
1896600,20779,27
1896600,21767,13
1896600,21768,33
1896600,22171,21
1896600,22172,36
1896600,22202,5
1896600,23293,37
1896600,23377,14
1896600,23985,34
1896600,23990,18
1896600,24173,8
1896600,24175,26
1896600,24176,29
1896600,24179,31
1896600,24372,23
1896600,25483,3
1896600,25484,6
1896600,25490,22
1896600,25492,32
1896631,16926,3
1896631,20405,2
1896631,22172,4
1896631,23887,1
1896753,12159,1
1896776,12159,1
1896792,16924,4
1896792,18016,2
1896792,18685,3
1896792,20838,1
1896811,12159,1
1897077,14955,1
1897077,16339,2
1897288,16339,1
1897288,22205,2
1897316,16339,1
1897316,18012,2
1897340,16911,3
1897340,21768,5
1897340,22170,1
1897340,22172,2
1897340,24176,4
1897362,10667,1
1897622,22172,2
1897622,23991,1
1898255,16902,1
1898255,21766,2
1898264,16902,1
1898264,24176,2
1898272,10667,6
1898272,14938,9
1898272,16919,7
1898272,20017,2
1898272,20764,3
1898272,20765,1
1898272,20769,4
1898272,23947,5
1898272,23985,8
1900811,21594,1
1901378,14940,2
1901378,23990,1
1901410,21894,1
1901410,23946,2
1901443,21894,1
1901443,22172,2
1902171,12464,1
1902171,24179,2
1903374,8610,1
1903392,8610,1
1903441,8610,1
1903460,8610,1
1903497,8610,1
1903513,8610,1
1903535,8610,1
1903549,8610,1
1903569,16339,1
1903569,18012,2
1903586,8610,1
1903605,16337,1
1903643,8610,1
1903673,8610,1
1903691,8610,1
1903914,16338,7
1903914,16919,5
1903914,16924,2
1903914,21594,4
1903914,22204,1
1903914,23981,3
1903914,25491,6
1904219,22204,1
1904710,14959,2
1904710,23990,1
1907272,19943,1
1907622,14972,2
1907622,19943,1
1907700,10661,1
1907700,16339,2
1907700,16912,4
1907700,20779,5
1907700,20783,3
1914828,8610,1
1914839,24372,1
1914852,8610,1
1914863,14972,1
1914863,19943,2
1914878,8610,1
1914893,8610,1
1914906,8610,1
1914918,8610,1
1914948,8610,1
1914960,14972,1
1914960,19943,2
1914977,16335,1
1914977,16338,5
1914977,18008,2
1914977,18017,4
1914977,22205,3
1914989,19943,1
1915015,8610,1
1915032,14972,2
1915032,19943,1
1915059,8610,1
1915074,8610,1
1915086,8610,1
