roll_call_id,people_id,vote,vote_desc
1536261,10657,2,Nay
1536261,11831,2,Nay
1536261,11991,2,Nay
1536261,12101,2,Nay
1536261,12159,1,Yea
1536261,12186,2,Nay
1536261,12236,4,Absent
1536261,12464,2,Nay
1536261,12468,1,Yea
1536261,12470,1,Yea
1536261,12483,1,Yea
1536261,14940,1,Yea
1536261,14959,1,Yea
1536261,14966,1,Yea
1536261,14968,3,NV
1536261,14972,2,Nay
1536261,14973,2,Nay
1536261,16337,1,Yea
1536261,16339,4,Absent
1536261,16381,3,NV
1536261,16902,1,Yea
1536261,16924,2,Nay
1536261,16963,1,Yea
1536261,18685,1,Yea
1536261,20017,1,Yea
1536261,20405,1,Yea
1536261,20781,2,Nay
1536261,20838,2,Nay
1536261,21699,1,Yea
1536261,22172,1,Yea
1536261,23201,1,Yea
1536261,23293,1,Yea
1536261,23946,1,Yea
1536261,24308,1,Yea
1536261,24309,2,Nay
1540507,10657,3,NV
1540507,11831,2,Nay
1540507,11991,2,Nay
1540507,12101,2,Nay
1540507,12159,1,Yea
1540507,12186,2,Nay
1540507,12236,2,Nay
1540507,12464,2,Nay
1540507,12468,1,Yea
1540507,12470,3,NV
1540507,12483,1,Yea
1540507,14940,1,Yea
1540507,14959,3,NV
1540507,14966,1,Yea
1540507,14968,3,NV
1540507,14972,1,Yea
1540507,14973,2,Nay
1540507,16337,1,Yea
1540507,16339,2,Nay
1540507,16381,1,Yea
1540507,16902,1,Yea
1540507,16924,2,Nay
1540507,16963,1,Yea
1540507,18685,1,Yea
1540507,20017,2,Nay
1540507,20405,1,Yea
1540507,20781,2,Nay
1540507,20838,3,NV
1540507,21699,2,Nay
1540507,22172,1,Yea
1540507,23201,1,Yea
1540507,23293,1,Yea
1540507,23946,1,Yea
1540507,24308,1,Yea
1540507,24309,1,Yea
1476430,10657,3,NV
1476430,11831,3,NV
1476430,11991,2,Nay
1476430,12101,1,Yea
1476430,12159,1,Yea
1476430,12186,1,Yea
1476430,12236,2,Nay
1476430,12464,2,Nay
1476430,12468,3,NV
1476430,12470,2,Nay
1476430,12483,1,Yea
1476430,14940,1,Yea
1476430,14959,1,Yea
1476430,14966,2,Nay
1476430,14968,1,Yea
1476430,14972,1,Yea
1476430,14973,1,Yea
1476430,16337,1,Yea
1476430,16339,1,Yea
1476430,16381,1,Yea
1476430,16902,1,Yea
1476430,16924,2,Nay
1476430,16963,1,Yea
1476430,18685,1,Yea
1476430,20017,1,Yea
1476430,20405,1,Yea
1476430,20781,2,Nay
1476430,20838,1,Yea
1476430,21699,1,Yea
1476430,22172,1,Yea
1476430,23201,1,Yea
1476430,23293,1,Yea
1476430,23946,3,NV
1476430,24308,1,Yea
1476430,24309,1,Yea
1483323,8622,2,Nay
1483323,10661,2,Nay
1483323,10662,1,Yea
1483323,10667,3,NV
1483323,11360,2,Nay
1483323,12108,2,Nay
1483323,12110,2,Nay
1483323,12578,2,Nay
1483323,12719,1,Yea
1483323,14938,2,Nay
1483323,14948,1,Yea
1483323,14954,2,Nay
1483323,14955,2,Nay
1483323,14965,1,Yea
1483323,16335,1,Yea
1483323,16336,1,Yea
1483323,16338,1,Yea
1483323,16898,1,Yea
1483323,16900,1,Yea
1483323,16907,3,NV
1483323,16909,1,Yea
1483323,16911,2,Nay
1483323,16912,1,Yea
1483323,16916,1,Yea
1483323,16919,1,Yea
1483323,16926,3,NV
1483323,17040,1,Yea
1483323,18006,1,Yea
1483323,18008,2,Nay
1483323,18012,1,Yea
1483323,18014,1,Yea
1483323,18015,1,Yea
1483323,18016,1,Yea
1483323,18017,1,Yea
1483323,18018,1,Yea
1483323,18020,1,Yea
1483323,18025,1,Yea
1483323,18683,3,NV
1483323,18684,1,Yea
1483323,19943,1,Yea
1483323,20742,1,Yea
1483323,20762,2,Nay
1483323,20763,1,Yea
1483323,20764,3,NV
1483323,20765,1,Yea
