bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1893467,2155,HB2001,4,Passed,2025-05-02,"Behavioral health; graduates; license exemption","Behavioral health; graduates; license exemption",0,,2025-05-02,"Chapter 118",https://legiscan.com/AZ/bill/HB2001/2025,https://apps.azleg.gov/BillStatus/BillOverview/81592
1896875,2155,HB2002,1,Introduced,2025-01-13,"Transportation tax; deposit; county board","Transportation tax; deposit; county board",1104,"House Ways and Means",2025-01-15,"House read second time",https://legiscan.com/AZ/bill/HB2002/2025,https://apps.azleg.gov/BillStatus/BillOverview/81617
1897282,2155,HB2003,1,Introduced,2025-01-16,"Real estate; membership requirement; prohibition","Real estate; membership requirement; prohibition",1101,"House Rules",2025-02-19,"House FMAE Committee action: Do Pass, voting: (4-3-0-0-0-0)",https://legiscan.com/AZ/bill/HB2003/2025,https://apps.azleg.gov/BillStatus/BillOverview/81637
1897250,2155,HB2004,5,Vetoed,2025-04-15,"Voter registration cards; mailing limitation","Voter registration cards; mailing limitation",0,,2025-04-15,"Governor Vetoed",https://legiscan.com/AZ/bill/HB2004/2025,https://apps.azleg.gov/BillStatus/BillOverview/81638
1897313,2155,HB2005,2,Engrossed,2025-03-03,"Voter registrations; recorder; inactive status","Voter registrations; recorder; inactive status",1114,"Senate Rules",2025-03-26,"Senate JUDE Committee action: Do Pass, voting: (4-3-0-0)",https://legiscan.com/AZ/bill/HB2005/2025,https://apps.azleg.gov/BillStatus/BillOverview/81639
1897271,2155,HB2006,5,Vetoed,2025-04-18,"Election mailings; third-party disclosures","Election mailings; third-party disclosures",0,,2025-04-18,"Governor Vetoed",https://legiscan.com/AZ/bill/HB2006/2025,https://apps.azleg.gov/BillStatus/BillOverview/81640
1897303,2155,HB2007,5,Vetoed,2025-04-18,"Voter registrations; payment prohibited","Voter registrations; payment prohibited",0,,2025-04-18,"Governor Vetoed",https://legiscan.com/AZ/bill/HB2007/2025,https://apps.azleg.gov/BillStatus/BillOverview/81641
1897232,2155,HB2008,2,Engrossed,2025-02-06,"Notary public; requirements","Notary public; requirements",1109,"Senate Government Institutions",2025-02-25,"Senate read second time",https://legiscan.com/AZ/bill/HB2008/2025,https://apps.azleg.gov/BillStatus/BillOverview/81642
1897319,2155,HB2009,4,Passed,2025-04-18,"Vehicle license tax; exemption; military","Vehicle license tax; exemption; military",0,,2025-04-18,"Chapter 78",https://legiscan.com/AZ/bill/HB2009/2025,https://apps.azleg.gov/BillStatus/BillOverview/81643
1898438,2155,HB2010,1,Introduced,2025-01-13,"Youth charity organization special plates","Youth charity organization special plates",1102,"House Transportation and Infrastructure",2025-01-15,"House read second time",https://legiscan.com/AZ/bill/HB2010/2025,https://apps.azleg.gov/BillStatus/BillOverview/81652
