bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1893467,3029677,text,9733,text/html,Introduced,https://legiscan.com/AZ/text/HB2001/id/3029677,https://www.azleg.gov/legtext/57leg/1r/bills/hb2001p.htm
1893467,3120740,text,56536,text/html,Engrossed,https://legiscan.com/AZ/text/HB2001/id/3120740,https://www.azleg.gov/legtext/57leg/1r/bills/hb2001h.htm
1893467,3201205,text,32555,text/html,Engrossed,https://legiscan.com/AZ/text/HB2001/id/3201205,https://www.azleg.gov/legtext/57leg/1r/bills/hb2001s.htm
1893467,3233400,text,33816,text/html,Chaptered,https://legiscan.com/AZ/text/HB2001/id/3233400,https://www.azleg.gov/legtext/57leg/1r/laws/0118.htm
1896875,3033695,text,11032,text/html,Introduced,https://legiscan.com/AZ/text/HB2002/id/3033695,https://www.azleg.gov/legtext/57leg/1r/bills/hb2002p.htm
1897282,3034083,text,12462,text/html,Introduced,https://legiscan.com/AZ/text/HB2003/id/3034083,https://www.azleg.gov/legtext/57leg/1r/bills/hb2003p.htm
1897250,3034072,text,15047,text/html,Introduced,https://legiscan.com/AZ/text/HB2004/id/3034072,https://www.azleg.gov/legtext/57leg/1r/bills/hb2004p.htm
1897250,3110121,text,14436,text/html,Engrossed,https://legiscan.com/AZ/text/HB2004/id/3110121,https://www.azleg.gov/legtext/57leg/1r/bills/hb2004h.htm
1897313,3034093,text,14798,text/html,Introduced,https://legiscan.com/AZ/text/HB2005/id/3034093,https://www.azleg.gov/legtext/57leg/1r/bills/hb2005p.htm
1897313,3146441,text,15167,text/html,Engrossed,https://legiscan.com/AZ/text/HB2005/id/3146441,https://www.azleg.gov/legtext/57leg/1r/bills/hb2005h.htm
1897271,3034081,text,7418,text/html,Introduced,https://legiscan.com/AZ/text/HB2006/id/3034081,https://www.azleg.gov/legtext/57leg/1r/bills/hb2006p.htm
1897271,3104141,text,6904,text/html,Engrossed,https://legiscan.com/AZ/text/HB2006/id/3104141,https://www.azleg.gov/legtext/57leg/1r/bills/hb2006h.htm
1897303,3034091,text,7117,text/html,Introduced,https://legiscan.com/AZ/text/HB2007/id/3034091,https://www.azleg.gov/legtext/57leg/1r/bills/hb2007p.htm
1897303,3106198,text,6603,text/html,Engrossed,https://legiscan.com/AZ/text/HB2007/id/3106198,https://www.azleg.gov/legtext/57leg/1r/bills/hb2007h.htm
1897232,3034064,text,65909,text/html,Introduced,https://legiscan.com/AZ/text/HB2008/id/3034064,https://www.azleg.gov/legtext/57leg/1r/bills/hb2008p.htm
1897232,3109912,text,70566,text/html,Engrossed,https://legiscan.com/AZ/text/HB2008/id/3109912,https://www.azleg.gov/legtext/57leg/1r/bills/hb2008h.htm
1897319,3034117,text,9363,text/html,Introduced,https://legiscan.com/AZ/text/HB2009/id/3034117,https://www.azleg.gov/legtext/57leg/1r/bills/hb2009p.htm
1897319,3141744,text,9016,text/html,Engrossed,https://legiscan.com/AZ/text/HB2009/id/3141744,https://www.azleg.gov/legtext/57leg/1r/bills/hb2009h.htm
1897319,3220467,text,9878,text/html,Chaptered,https://legiscan.com/AZ/text/HB2009/id/3220467,https://www.azleg.gov/legtext/57leg/1r/laws/0078.htm
1898438,3035396,text,33194,text/html,Introduced,https://legiscan.com/AZ/text/HB2010/id/3035396,https://www.azleg.gov/legtext/57leg/1r/bills/hb2010p.htm
1900944,3037561,text,7550,text/html,Introduced,https://legiscan.com/AZ/text/HB2011/id/3037561,https://www.azleg.gov/legtext/57leg/1r/bills/hb2011p.htm
1901262,3038284,text,8989,text/html,Introduced,https://legiscan.com/AZ/text/HB2012/id/3038284,https://www.azleg.gov/legtext/57leg/1r/bills/hb2012p.htm
1901262,3145047,text,8849,text/html,Engrossed,https://legiscan.com/AZ/text/HB2012/id/3145047,https://www.azleg.gov/legtext/57leg/1r/bills/hb2012h.htm
1901319,3038335,text,9899,text/html,Introduced,https://legiscan.com/AZ/text/HB2013/id/3038335,https://www.azleg.gov/legtext/57leg/1r/bills/hb2013p.htm
1901319,3120772,text,9523,text/html,Engrossed,https://legiscan.com/AZ/text/HB2013/id/3120772,https://www.azleg.gov/legtext/57leg/1r/bills/hb2013h.htm
1901319,3207982,text,10505,text/html,Chaptered,https://legiscan.com/AZ/text/HB2013/id/3207982,https://www.azleg.gov/legtext/57leg/1r/laws/0047.htm
1901441,3038440,text,7499,text/html,Introduced,https://legiscan.com/AZ/text/HB2014/id/3038440,https://www.azleg.gov/legtext/57leg/1r/bills/hb2014p.htm
1901441,3147838,text,7079,text/html,Engrossed,https://legiscan.com/AZ/text/HB2014/id/3147838,https://www.azleg.gov/legtext/57leg/1r/bills/hb2014h.htm
1901379,3038387,text,35120,text/html,Introduced,https://legiscan.com/AZ/text/HB2015/id/3038387,https://www.azleg.gov/legtext/57leg/1r/bills/hb2015p.htm
1901379,3120035,text,34541,text/html,Engrossed,https://legiscan.com/AZ/text/HB2015/id/3120035,https://www.azleg.gov/legtext/57leg/1r/bills/hb2015h.htm
1901599,3038723,text,20070,text/html,Introduced,https://legiscan.com/AZ/text/HB2016/id/3038723,https://www.azleg.gov/legtext/57leg/1r/bills/hb2016p.htm
1901551,3038679,text,47474,text/html,Introduced,https://legiscan.com/AZ/text/HB2017/id/3038679,https://www.azleg.gov/legtext/57leg/1r/bills/hb2017p.htm
1901551,3092732,text,46932,text/html,Engrossed,https://legiscan.com/AZ/text/HB2017/id/3092732,https://www.azleg.gov/legtext/57leg/1r/bills/hb2017h.htm
1902792,3039515,text,22695,text/html,Introduced,https://legiscan.com/AZ/text/HB2018/id/3039515,https://www.azleg.gov/legtext/57leg/1r/bills/hb2018p.htm
1902792,3100693,text,22391,text/html,Engrossed,https://legiscan.com/AZ/text/HB2018/id/3100693,https://www.azleg.gov/legtext/57leg/1r/bills/hb2018h.htm
1903326,3039992,text,7542,text/html,Introduced,https://legiscan.com/AZ/text/HB2019/id/3039992,https://www.azleg.gov/legtext/57leg/1r/bills/hb2019p.htm
1903326,3100220,text,8532,text/html,Engrossed,https://legiscan.com/AZ/text/HB2019/id/3100220,https://www.azleg.gov/legtext/57leg/1r/bills/hb2019h.htm
1903326,3234125,text,9583,text/html,Chaptered,https://legiscan.com/AZ/text/HB2019/id/3234125,https://www.azleg.gov/legtext/57leg/1r/laws/0128.htm
1903067,3039751,text,23625,text/html,Introduced,https://legiscan.com/AZ/text/HB2020/id/3039751,https://www.azleg.gov/legtext/57leg/1r/bills/hb2020p.htm
1903067,3100669,text,23661,text/html,Engrossed,https://legiscan.com/AZ/text/HB2020/id/3100669,https://www.azleg.gov/legtext/57leg/1r/bills/hb2020h.htm
1904500,3041152,text,34015,text/html,Introduced,https://legiscan.com/AZ/text/HB2021/id/3041152,https://www.azleg.gov/legtext/57leg/1r/bills/hb2021p.htm
1904692,3041339,text,62670,text/html,Introduced,https://legiscan.com/AZ/text/HB2022/id/3041339,https://www.azleg.gov/legtext/57leg/1r/bills/hb2022p.htm
1904692,3097305,text,62665,text/html,Engrossed,https://legiscan.com/AZ/text/HB2022/id/3097305,https://www.azleg.gov/legtext/57leg/1r/bills/hb2022h.htm
1904402,3041057,text,23052,text/html,Introduced,https://legiscan.com/AZ/text/HB2023/id/3041057,https://www.azleg.gov/legtext/57leg/1r/bills/hb2023p.htm
1904402,3110117,text,22478,text/html,Engrossed,https://legiscan.com/AZ/text/HB2023/id/3110117,https://www.azleg.gov/legtext/57leg/1r/bills/hb2023h.htm
1904598,3041246,text,15771,text/html,Introduced,https://legiscan.com/AZ/text/HB2024/id/3041246,https://www.azleg.gov/legtext/57leg/1r/bills/hb2024p.htm
1904598,3121833,text,15195,text/html,Engrossed,https://legiscan.com/AZ/text/HB2024/id/3121833,https://www.azleg.gov/legtext/57leg/1r/bills/hb2024h.htm
1904306,3040963,text,9572,text/html,Introduced,https://legiscan.com/AZ/text/HB2025/id/3040963,https://www.azleg.gov/legtext/57leg/1r/bills/hb2025p.htm
1904306,3134189,text,11058,text/html,Engrossed,https://legiscan.com/AZ/text/HB2025/id/3134189,https://www.azleg.gov/legtext/57leg/1r/bills/hb2025h.htm
1904306,3198042,text,12287,text/html,Chaptered,https://legiscan.com/AZ/text/HB2025/id/3198042,https://www.azleg.gov/legtext/57leg/1r/laws/0021.htm
1904646,3041294,text,17560,text/html,Introduced,https://legiscan.com/AZ/text/HB2026/id/3041294,https://www.azleg.gov/legtext/57leg/1r/bills/hb2026p.htm
1904646,3133689,text,16950,text/html,Engrossed,https://legiscan.com/AZ/text/HB2026/id/3133689,https://www.azleg.gov/legtext/57leg/1r/bills/hb2026h.htm
1904646,3201425,text,27819,text/html,Engrossed,https://legiscan.com/AZ/text/HB2026/id/3201425,https://www.azleg.gov/legtext/57leg/1r/bills/hb2026s.htm
1904646,3233586,text,29042,text/html,Chaptered,https://legiscan.com/AZ/text/HB2026/id/3233586,https://www.azleg.gov/legtext/57leg/1r/laws/0119.htm
1904450,3041102,text,217307,text/html,Introduced,https://legiscan.com/AZ/text/HB2027/id/3041102,https://www.azleg.gov/legtext/57leg/1r/bills/hb2027p.htm
1904450,3182478,text,17122,text/html,Engrossed,https://legiscan.com/AZ/text/HB2027/id/3182478,https://www.azleg.gov/legtext/57leg/1r/bills/hb2027h.htm
1904548,3041198,text,46501,text/html,Introduced,https://legiscan.com/AZ/text/HB2028/id/3041198,https://www.azleg.gov/legtext/57leg/1r/bills/hb2028p.htm
1904741,3041386,text,8211,text/html,Introduced,https://legiscan.com/AZ/text/HB2029/id/3041386,https://www.azleg.gov/legtext/57leg/1r/bills/hb2029p.htm
1904741,3149293,text,7548,text/html,Engrossed,https://legiscan.com/AZ/text/HB2029/id/3149293,https://www.azleg.gov/legtext/57leg/1r/bills/hb2029h.htm
1904350,3041007,text,10267,text/html,Introduced,https://legiscan.com/AZ/text/HB2030/id/3041007,https://www.azleg.gov/legtext/57leg/1r/bills/hb2030p.htm
1904350,3115181,text,15397,text/html,Engrossed,https://legiscan.com/AZ/text/HB2030/id/3115181,https://www.azleg.gov/legtext/57leg/1r/bills/hb2030h.htm
1905478,3042371,text,294213,text/html,Introduced,https://legiscan.com/AZ/text/HB2031/id/3042371,https://www.azleg.gov/legtext/57leg/1r/bills/hb2031p.htm
1905478,3141540,text,214406,text/html,Engrossed,https://legiscan.com/AZ/text/HB2031/id/3141540,https://www.azleg.gov/legtext/57leg/1r/bills/hb2031h.htm
1905439,3042336,text,12677,text/html,Introduced,https://legiscan.com/AZ/text/HB2032/id/3042336,https://www.azleg.gov/legtext/57leg/1r/bills/hb2032p.htm
1905439,3092950,text,12195,text/html,Engrossed,https://legiscan.com/AZ/text/HB2032/id/3092950,https://www.azleg.gov/legtext/57leg/1r/bills/hb2032h.htm
1905439,3210494,text,13136,text/html,Engrossed,https://legiscan.com/AZ/text/HB2032/id/3210494,https://www.azleg.gov/legtext/57leg/1r/bills/hb2032s.htm
1905439,3233390,text,14323,text/html,Chaptered,https://legiscan.com/AZ/text/HB2032/id/3233390,https://www.azleg.gov/legtext/57leg/1r/laws/0120.htm
1905766,3042610,text,26349,text/html,Introduced,https://legiscan.com/AZ/text/HB2033/id/3042610,https://www.azleg.gov/legtext/57leg/1r/bills/hb2033p.htm
1905766,3110103,text,25831,text/html,Engrossed,https://legiscan.com/AZ/text/HB2033/id/3110103,https://www.azleg.gov/legtext/57leg/1r/bills/hb2033h.htm
1905766,3220681,text,49710,text/html,Engrossed,https://legiscan.com/AZ/text/HB2033/id/3220681,https://www.azleg.gov/legtext/57leg/1r/bills/hb2033s.htm
1905969,3042785,text,13011,text/html,Introduced,https://legiscan.com/AZ/text/HB2034/id/3042785,https://www.azleg.gov/legtext/57leg/1r/bills/hb2034p.htm
1905969,3119459,text,12432,text/html,Engrossed,https://legiscan.com/AZ/text/HB2034/id/3119459,https://www.azleg.gov/legtext/57leg/1r/bills/hb2034h.htm
1905685,3042544,text,10492,text/html,Introduced,https://legiscan.com/AZ/text/HB2035/id/3042544,https://www.azleg.gov/legtext/57leg/1r/bills/hb2035p.htm
1905685,3122119,text,10117,text/html,Engrossed,https://legiscan.com/AZ/text/HB2035/id/3122119,https://www.azleg.gov/legtext/57leg/1r/bills/hb2035h.htm
1905808,3042646,text,15329,text/html,Introduced,https://legiscan.com/AZ/text/HB2036/id/3042646,https://www.azleg.gov/legtext/57leg/1r/bills/hb2036p.htm
1905808,3117368,text,14954,text/html,Engrossed,https://legiscan.com/AZ/text/HB2036/id/3117368,https://www.azleg.gov/legtext/57leg/1r/bills/hb2036h.htm
1905319,3042235,text,8995,text/html,Introduced,https://legiscan.com/AZ/text/HB2037/id/3042235,https://www.azleg.gov/legtext/57leg/1r/bills/hb2037p.htm
1905319,3146895,text,19132,text/html,Engrossed,https://legiscan.com/AZ/text/HB2037/id/3146895,https://www.azleg.gov/legtext/57leg/1r/bills/hb2037h.htm
1905849,3042683,text,8675,text/html,Introduced,https://legiscan.com/AZ/text/HB2038/id/3042683,https://www.azleg.gov/legtext/57leg/1r/bills/hb2038p.htm
1905849,3134252,text,8940,text/html,Engrossed,https://legiscan.com/AZ/text/HB2038/id/3134252,https://www.azleg.gov/legtext/57leg/1r/bills/hb2038h.htm
1905358,3042269,text,7356,text/html,Introduced,https://legiscan.com/AZ/text/HB2039/id/3042269,https://www.azleg.gov/legtext/57leg/1r/bills/hb2039p.htm
1905725,3042578,text,8488,text/html,Introduced,https://legiscan.com/AZ/text/HB2040/id/3042578,https://www.azleg.gov/legtext/57leg/1r/bills/hb2040p.htm
1905725,3141080,text,8665,text/html,Engrossed,https://legiscan.com/AZ/text/HB2040/id/3141080,https://www.azleg.gov/legtext/57leg/1r/bills/hb2040h.htm
1905887,3042717,text,7029,text/html,Introduced,https://legiscan.com/AZ/text/HB2041/id/3042717,https://www.azleg.gov/legtext/57leg/1r/bills/hb2041p.htm
1905930,3042751,text,9967,text/html,Introduced,https://legiscan.com/AZ/text/HB2042/id/3042751,https://www.azleg.gov/legtext/57leg/1r/bills/hb2042p.htm
1905521,3042405,text,10270,text/html,Introduced,https://legiscan.com/AZ/text/HB2043/id/3042405,https://www.azleg.gov/legtext/57leg/1r/bills/hb2043p.htm
1905521,3159361,text,9692,text/html,Engrossed,https://legiscan.com/AZ/text/HB2043/id/3159361,https://www.azleg.gov/legtext/57leg/1r/bills/hb2043h.htm
1905398,3042303,text,6775,text/html,Introduced,https://legiscan.com/AZ/text/HB2044/id/3042303,https://www.azleg.gov/legtext/57leg/1r/bills/hb2044p.htm
1905562,3042441,text,23292,text/html,Introduced,https://legiscan.com/AZ/text/HB2045/id/3042441,https://www.azleg.gov/legtext/57leg/1r/bills/hb2045p.htm
1905562,3092978,text,22714,text/html,Engrossed,https://legiscan.com/AZ/text/HB2045/id/3092978,https://www.azleg.gov/legtext/57leg/1r/bills/hb2045h.htm
1905605,3042477,text,25989,text/html,Introduced,https://legiscan.com/AZ/text/HB2046/id/3042477,https://www.azleg.gov/legtext/57leg/1r/bills/hb2046p.htm
1905605,3104847,text,25475,text/html,Engrossed,https://legiscan.com/AZ/text/HB2046/id/3104847,https://www.azleg.gov/legtext/57leg/1r/bills/hb2046h.htm
1907386,3043011,text,8976,text/html,Introduced,https://legiscan.com/AZ/text/HB2047/id/3043011,https://www.azleg.gov/legtext/57leg/1r/bills/hb2047p.htm
1907386,3119510,text,8629,text/html,Engrossed,https://legiscan.com/AZ/text/HB2047/id/3119510,https://www.azleg.gov/legtext/57leg/1r/bills/hb2047h.htm
1907502,3043120,text,24193,text/html,Introduced,https://legiscan.com/AZ/text/HB2048/id/3043120,https://www.azleg.gov/legtext/57leg/1r/bills/hb2048p.htm
1907502,3154883,text,26130,text/html,Engrossed,https://legiscan.com/AZ/text/HB2048/id/3154883,https://www.azleg.gov/legtext/57leg/1r/bills/hb2048h.htm
