bill_id,date,chamber,sequence,action
1893467,2024-11-26,House,1,Prefile
1893467,2025-01-13,House,2,"Introduced in House and read first time"
1893467,2025-01-13,House,3,"Assigned to House HHS Committee"
1893467,2025-01-13,House,4,"Assigned to House RULES Committee"
1893467,2025-01-15,House,5,"House read second time"
1893467,2025-01-27,House,6,"House HHS Committee action: Do Pass, voting: (10-2-0-0-0-0)"
1893467,2025-02-03,House,7,"House RULES Committee action: constitutional and in proper form, voting: (8-0-0-0-0-0)"
1893467,2025-02-03,House,8,"House consent calendar"
1893467,2025-02-04,House,9,"House majority caucus: Do pass"
1893467,2025-02-04,House,10,"House minority caucus: Do pass"
1893467,2025-02-12,House,11,"House Committee of the Whole action: Do Pass Amended"
1893467,2025-02-17,House,12,"House third reading PASSED voting: (36-23-1-0)"
1893467,2025-02-17,Senate,13,"Transmit to Senate"
1893467,2025-02-24,Senate,14,"Introduced in Senate and read first time"
1893467,2025-02-24,Senate,15,"Assigned to Senate HHS Committee"
1893467,2025-02-24,Senate,16,"Assigned to Senate RULES Committee"
1893467,2025-02-25,Senate,17,"Senate read second time"
1893467,2025-03-19,Senate,18,"Senate HHS Committee action: do pass amended/strike-everything, voting: (4-3-0-0)"
1893467,2025-03-24,Senate,19,"Senate RULES Committee action: Proper For Consideration, voting: (0-0-0-0)"
1893467,2025-03-25,Senate,20,"Senate majority caucus: Do pass"
1893467,2025-03-25,Senate,21,"Senate minority caucus: Do pass"
1893467,2025-04-03,Senate,22,"Senate Committee of the Whole action: Do Pass Amended"
1893467,2025-04-08,Senate,23,"Senate third reading PASSED voting: (19-9-2-0)"
1893467,2025-04-08,House,24,"Transmit to House"
1893467,2025-04-16,House,25,"House Conference Committee recommended"
1893467,2025-04-16,House,26,"House minority caucus: Conference"
1893467,2025-04-28,House,27,"House concurs"
1893467,2025-04-28,House,28,"House final reading PASSED, voting: (50-5-5-0)"
1893467,2025-04-28,Senate,29,"Transmitted to Governor"
1893467,2025-05-02,Senate,30,"Governor Signed"
1893467,2025-05-02,Senate,31,"Chapter 118"
1893472,2024-11-26,Senate,1,Prefile
1893472,2025-01-14,Senate,2,"Introduced in Senate and read first time"
1893472,2025-01-14,Senate,3,"Assigned to Senate JUDE Committee"
1893472,2025-01-14,Senate,4,"Assigned to Senate RULES Committee"
1893472,2025-01-15,Senate,5,"Senate read second time"
1893472,2025-02-19,Senate,6,"Senate JUDE Committee action: Do Pass, voting: (4-3-0-0)"
1893472,2025-02-24,Senate,7,"Senate RULES Committee action: Proper For Consideration, voting: (0-0-0-0)"
1893472,2025-02-24,Senate,8,"Senate consent calendar"
1893472,2025-02-24,Senate,9,"Senate minority caucus: Do pass"
1893472,2025-02-26,Senate,10,"Senate majority caucus: Do pass"
1893472,2025-03-17,Senate,11,"Senate Committee of the Whole action: Do Pass Amended"
1893472,2025-03-17,Senate,12,"Senate third reading PASSED voting: (17-10-2-0)"
1893472,2025-03-17,House,13,"Transmit to House"
1893472,2025-03-18,House,14,"Introduced in House and read first time"
1893472,2025-03-18,House,15,"Assigned to House FMAE Committee"
1893472,2025-03-18,House,16,"Assigned to House RULES Committee"
1893472,2025-03-19,House,17,"House read second time"
1893472,2025-03-26,House,18,"House FMAE Committee action: Do Pass, voting: (4-2-0-1-0-0)"
1893472,2025-03-31,House,19,"House RULES Committee action: constitutional and in proper form, voting: (7-0-0-1-0-0)"
1893472,2025-03-31,House,20,"House consent calendar"
1893472,2025-04-01,House,21,"House majority caucus: Do pass"
1893472,2025-04-01,House,22,"House minority caucus: Do pass"
1893472,2025-04-02,House,23,"House Committee of the Whole action: Do Pass"
1893478,2024-12-02,Senate,1,Prefile
1893478,2025-01-14,Senate,2,"Introduced in Senate and read first time"
1893478,2025-01-14,Senate,3,"Assigned to Senate ED Committee"
1893478,2025-01-14,Senate,4,"Assigned to Senate RULES Committee"
1893478,2025-01-15,Senate,5,"Senate read second time"
1893478,2025-01-29,Senate,6,"Senate ED Committee action: Do Pass, voting: (4-2-1-0)"
1893478,2025-02-03,Senate,7,"Senate RULES Committee action: Proper For Consideration, voting: (4-3-0-0)"
1893478,2025-02-03,Senate,8,"Senate consent calendar"
1893478,2025-02-04,Senate,9,"Senate minority caucus: Do pass"
1893478,2025-02-04,Senate,10,"Senate majority caucus: Do pass"
1893478,2025-02-10,Senate,11,"Senate Committee of the Whole action: Do Pass"
1893478,2025-02-11,Senate,12,"Senate third reading PASSED voting: (17-9-4-0)"
1893478,2025-02-11,House,13,"Transmit to House"
1893478,2025-03-06,House,14,"Introduced in House and read first time"
1893478,2025-03-06,House,15,"Assigned to House GOV Committee"
1893478,2025-03-06,House,16,"Assigned to House RO Committee"
1893478,2025-03-06,House,17,"Assigned to House RULES Committee"
1893478,2025-03-10,House,18,"House read second time"
1893478,2025-03-12,House,19,"House GOV Committee action: Withdrawn, voting: (0-0-0-0-0-0)"
1893478,2025-03-25,House,20,"House RO Committee action: Do Pass, voting: (3-2-0-0-0-0)"
1893478,2025-04-14,House,21,"House RULES Committee action: constitutional and in proper form, voting: (8-0-0-0-0-0)"
1893478,2025-04-14,House,22,"House consent calendar"
1893478,2025-04-16,House,23,"House majority caucus: Do pass"
1893478,2025-04-16,House,24,"House minority caucus: Do pass"
1893478,2025-04-21,House,25,"House Committee of the Whole action: Do Pass"
1893478,2025-05-01,House,26,"House third reading PASSED voting: (31-27-2-0)"
1893478,2025-05-01,Senate,27,"Transmit to Senate"
1893478,2025-05-06,,28,"Transmitted to Governor"
1893484,2024-12-02,Senate,1,Prefile
1893484,2025-01-14,Senate,2,"Introduced in Senate and read first time"
1893484,2025-01-14,Senate,3,"Assigned to Senate ED Committee"
