people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
4230,"Steve Montenegro",Steve,B.,Montenegro,,,2,R,1,Rep,HD-029,6676721,106507,,Steve_B._Montenegro,252127,0
4233,"David Gowan",David,,Gowan,,,2,R,2,Sen,SD-019,6662273,28241,,David_Gowan,267669,0
4260,"Laurin Hendrix",Laurin,,Hendrix,,,2,R,1,Rep,HD-014,12997918,106551,,Laurin_Hendrix,267649,0
4262,"John Kavanagh",John,,Kavanagh,,,2,R,2,Sen,SD-003,6671185,68209,,John_Kavanagh,248845,0
4343,"Catherine Miranda",Catherine,H.,Miranda,,,1,D,2,Sen,SD-011,6507410,123736,,Catherine_Miranda,309013,0
10680,"Justin Olson",Justin,,Olson,,,2,R,1,Rep,HD-010,6690603,123766,,Justin_Olson,241701,0
10696,"Javan Mesnard",Javan,D.,Mesnard,,,2,R,2,Sen,SD-013,6690618,123791,,J.D._Mesnard,293809,0
10699,"Lela Alston",Lela,,Alston,,,1,D,2,Sen,SD-005,6412623,123722,,Lela_Alston,293799,0
10704,"Sally Gonzales",Sally,Ann,Gonzales,,,1,D,2,Sen,SD-020,12997768,12275,,Sally_Ann_Gonzales,192949,0
10708,"Gail Griffin",Gail,,Griffin,,,2,R,1,Rep,HD-019,12997808,12274,,Gail_Griffin,192945,0
11744,"David Farnsworth",David,Christian,Farnsworth,,,2,R,2,Sen,SD-010,23319205,3056,,David_Farnsworth,468293,0
14554,"Lupe Contreras",Lupe,Chavira,Contreras,,,1,D,1,Rep,HD-022,12719919,141487,,Lupe_Contreras,668296,0
14555,"Lydia Hernandez",Lydia,,Hernandez,,,1,D,1,Rep,HD-024,12719943,123714,,Lydia_Hernandez,423738,0
14703,"David Livingston",David,Alan,Livingston,,,2,R,1,Rep,HD-028,12719927,141496,,David_Livingston,423719,0
14707,"Warren Petersen",Warren,H.,Petersen,,,2,R,2,Sen,SD-014,9691346,141381,,Warren_Petersen,423641,0
14709,"Thomas Shope",Thomas,R.,Shope,,T.J.,2,R,2,Sen,SD-016,12719897,141366,,T.J._Shope,423629,0
15258,"Rosanna Gabaldon",Rosanna,,Gabaldon,,,1,D,2,Sen,SD-021,12719881,141336,,Rosanna_Gabaldon,423590,0
16506,"Mark Finchem",Mark,W.,Finchem,,,2,R,2,Sen,SD-001,15395133,153852,,Mark_Finchem,498517,0
16648,"Tony Rivero",Tony,,Rivero,,,2,R,1,Rep,HD-027,24748398,129363,,Tony_Rivero,500111,0
16649,"Jeff Weninger",Jeff,,Weninger,,,2,R,1,Rep,HD-013,23317844,71915,,Jeff_Weninger,499849,0
16652,"Vince Leach",Vince,,Leach,,,2,R,2,Sen,SD-017,8465439,153854,,Vince_Leach,499595,0
18569,"Denise Epstein",Denise,,Epstein,,Mitzi,1,D,2,Sen,SD-012,8543206,153884,,Mitzi_Epstein,499850,0
18663,"Kevin Payne",Kevin,,Payne,,,2,R,2,Sen,SD-027,16622819,171801,,Kevin_Payne,584970,0
19572,"Tim Dunn",Timothy,M.,Dunn,,Tim,2,R,2,Sen,SD-025,8582459,178189,,Tim_Dunn_(Arizona),655560,0
20172,"Walter Blackman",Walter,,Blackman,,Walt,2,R,1,Rep,HD-007,45362040,184551,,Walter_Blackman,668308,0
20249,"Leo Biasiucci",Leo,,Biasiucci,,,2,R,1,Rep,HD-030,40621888,171694,,Leo_Biasiucci,585785,0
20571,"Alma Hernandez",Alma,,Hernandez,,,1,D,1,Rep,HD-020,23282612,184546,,Alma_Hernandez,667957,0
20688,"Frank Carroll",Frank,P.,Carroll,,,2,R,2,Sen,SD-028,45362121,184604,,Frank_Carroll,667988,0
20749,"Shawnna Bolick",Shawnna,,Bolick,,,2,R,2,Sen,SD-002,6690566,123699,,Shawnna_Bolick,499858,0
20754,"Myron Tsosie",Myron,,Tsosie,,,1,D,1,Rep,HD-006,45362047,184557,,Myron_Tsosie,667239,0
21898,"Joseph Chaplik",Joseph,,Chaplik,,,2,R,1,Rep,HD-003,29102030,192551,,Joseph_Chaplik,737910,0
21899,"Jake Hoffman",Jake,,Hoffman,,,2,R,2,Sen,SD-015,45108367,192538,,Jake_Hoffman,737892,0
21902,"Beverly Pingerelli",Beverly,,Pingerelli,,,2,R,1,Rep,HD-028,47233275,192549,,Beverly_Pingerelli,737906,0
21903,"Wendy Rogers",Wendy,,Rogers,,,2,R,2,Sen,SD-007,17657680,123618,,Wendy_Rogers,293784,0
21904,"Justin Wilmeth",Justin,,Wilmeth,,,2,R,1,Rep,HD-002,46133238,192543,,Justin_Wilmeth,737898,0
22291,"Quang Nguyen",Quang,H.,Nguyen,,,2,R,1,Rep,HD-001,49622954,192521,,Quang_Nguyen,737835,0
22293,"Stephanie Stahl Hamilton",Stephanie,,"Stahl Hamilton",,,1,D,1,Rep,HD-021,49622988,192535,,Stephanie_Stahl_Hamilton,737858,0
23000,"Lupe Diaz",Lupe,,Diaz,,,2,R,1,Rep,HD-019,0,200710,,Lupe_Diaz,791761,0
23001,"Teresa Martinez",Teresa,,Martinez,,,2,R,1,Rep,HD-016,54453003,200411,,Teresa_Martinez,515739,0
23022,"Sarah Liguori",Sarah,,Liguori,,,1,D,1,Rep,HD-005,50604840,200339,,Sarah_Liguori,789707,0
23027,"Theresa Hatathlie",Theresa,,Hatathlie,,,1,D,2,Sen,SD-006,54453008,201402,,Theresa_Hatathlie,794943,0
23038,"Brian Fernandez",Brian,,Fernandez,,,1,D,2,Sen,SD-023,12719884,200733,,Brian_Fernandez,791873,0
23039,"Christopher Mathis",Christopher,,Mathis,,,1,D,1,Rep,HD-018,24748365,200881,,Christopher_Mathis,792694,0
23050,"Neal Carter",Neal,,Carter,,,2,R,1,Rep,HD-015,0,192531,,Neal_Carter,737852,0
23641,"Selina Bliss",Selina,,Bliss,,,2,R,1,Rep,HD-001,49649343,192519,,Selina_Bliss,0,0
23642,"Janae Shamp",Janae,,Shamp,,,2,R,2,Sen,SD-029,55437865,0,,Janae_Shamp,0,0
23883,"Matt Gress",Matt,,Gress,,,2,R,1,Rep,HD-004,55437885,0,,Matt_Gress,0,0
24183,"Eva Burch",Eva,,Burch,,,1,D,2,Sen,SD-009,55437835,0,,Eva_Burch,0,0
24184,"John Gillette",John,,Gillette,,,2,R,1,Rep,HD-030,55437976,205641,,John_Gillette,0,0
