bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1893467,1474945,2025-01-27,House,"House Health & Human Services Committee Action (DP)",10,2,0,0,12
1893467,1478840,2025-02-03,House,"House Rules Committee Action (C&P)",8,0,0,0,8
1893467,1487664,2025-02-12,House,"House - Committee of the Whole (DPA)",0,0,0,0,0
1893467,1491236,2025-02-17,House,"House - Third Reading",36,23,1,0,60
1893467,1521422,2025-03-19,Senate,"Senate Health and Human Services Committee Action (DPA/SE)",4,3,0,0,7
1893467,1524736,2025-03-24,Senate,"Senate Rules Committee Action (PFC)",0,0,0,0,0
1893467,1535828,2025-04-03,Senate,"Senate - Committee of the Whole (DPA)",0,0,0,0,0
1893467,1539509,2025-04-08,Senate,"Senate - Third Reading",19,9,2,0,30
1893467,1558925,2025-04-28,House,"House - Concurrence",0,0,0,0,0
1893467,1558926,2025-04-28,House,"House - Third Reading",50,5,5,0,60
1893472,1494574,2025-02-19,Senate,"Senate Judiciary and Elections Committee Action (DP)",4,3,0,0,7
1893472,1497537,2025-02-24,Senate,"Senate Rules Committee Action (PFC)",0,0,0,0,0
1893472,1518529,2025-03-17,Senate,"Senate - Committee of the Whole (DPA)",0,0,0,0,0
1893472,1518530,2025-03-17,Senate,"Senate - Third Reading",0,0,0,0,0
1893472,1528151,2025-03-26,House,"House Federalism, Military Affairs & Elections Committee Action (DP)",4,2,0,1,7
1893472,1531441,2025-03-31,House,"House Rules Committee Action (C&P)",7,0,0,1,8
1893472,1534450,2025-04-02,House,"House - Committee of the Whole (DP)",0,0,0,0,0
1893478,1476502,2025-01-29,Senate,"Senate Education Committee Action (DP)",4,2,1,0,7
1893478,1478797,2025-02-03,Senate,"Senate Rules Committee Action (PFC)",4,3,0,0,7
1893478,1484793,2025-02-10,Senate,"Senate - Committee of the Whole (DP)",0,0,0,0,0
1893478,1486522,2025-02-11,Senate,"Senate - Third Reading",17,9,4,0,30
1893478,1516552,2025-03-12,House,"House Government Committee Action (W/D)",0,0,0,0,0
1893478,1526701,2025-03-25,House,"House Regulatory Oversight Committee Action (DP)",3,2,0,0,5
