bill_id,people_id,position
1893467,23883,1
1893472,10696,1
1893478,4262,1
1893484,4262,1
1895706,4262,1
1895798,14555,7
1895798,23022,8
1895798,24233,1
1895798,24234,5
1895798,24235,6
1895798,24247,3
1895798,24498,9
1895798,24946,4
1895798,25436,2
1895803,4262,1
1895809,4262,1
1895816,4262,1
1895821,4262,1
1895824,4262,1
1896125,18663,1
1896223,4233,7
1896223,4262,9
1896223,11744,6
1896223,14707,1
1896223,14709,14
1896223,16652,10
1896223,18663,11
1896223,19572,5
1896223,20688,4
1896223,20749,3
1896223,21899,8
1896223,21903,12
1896223,23642,13
1896223,24239,16
1896223,25450,2
1896223,25452,15
1896527,4262,1
1896601,14707,1
1896875,14709,7
1896875,20172,2
1896875,23001,1
1896875,23050,3
1896875,24254,5
1896875,25443,4
1896875,25449,6
1896973,21903,1
1896978,21903,1
1896982,21903,1
1896986,21903,1
1896990,21903,1
1896996,21903,1
1897002,21903,1
1897005,16649,2
1897005,21903,1
1897014,21903,1
1897018,21903,1
1897023,21903,1
1897029,16649,2
1897029,21903,1
1897033,21903,1
1897039,16649,2
1897039,21903,1
1897044,21903,1
1897048,21903,1
1897049,21903,1
1897160,4262,1
1897174,4262,1
1897232,24184,1
1897250,24184,1
1897271,24184,1
1897282,24184,1
1897303,24184,1
1897313,24184,1
1897319,25437,1
1897399,4262,1
1897407,4262,1
1897415,4262,1
1897423,4262,1
1897429,4262,1
1897434,4262,1
1898145,20172,1
1898438,23883,1
1898621,4262,1
1900110,4262,1
1900944,20172,1
1901125,4262,1
1901262,25442,1
1901319,14703,1
1901379,14703,1
1901441,14703,1
1901551,24239,1
1901599,24239,1
1901646,24239,1
1902390,4262,1
1902513,4262,1
1902654,23883,1
1902792,23883,1
1902934,4262,1
1903067,23883,1
1903196,4262,1
1903326,23883,1
1904306,23641,1
1904350,20172,1
1904402,23641,1
1904450,23641,1
1904500,22291,2
1904500,23641,1
1904548,23641,1
1904598,23641,1
1904646,23641,1
1904692,23641,1
1904741,23001,1
1905319,24240,1
1905358,24240,1
1905398,24240,1
1905439,14703,1
1905478,21898,2
1905478,24240,1
1905521,24240,1
1905562,24240,1
1905605,24240,1
1905644,4262,1
1905685,14703,1
1905725,24240,1
1905766,14703,1
1905808,14703,1
1905849,24240,1
1905887,24240,1
