roll_call_id,people_id,vote,vote_desc
1474945,16649,1,Yea
1474945,20571,1,Yea
1474945,21902,2,Nay
1474945,23022,1,Yea
1474945,23039,2,Nay
1474945,23641,1,Yea
1474945,23883,1,Yea
1474945,24233,1,Yea
1474945,24939,1,Yea
1474945,25172,1,Yea
1474945,25441,1,Yea
1474945,25442,1,Yea
1478840,4230,1,Yea
1478840,4260,1,Yea
1478840,14554,1,Yea
1478840,23039,1,Yea
1478840,23050,1,Yea
1478840,24234,1,Yea
1478840,24370,1,Yea
1478840,24939,1,Yea
1491236,4230,1,Yea
1491236,4260,1,Yea
1491236,10680,1,Yea
1491236,10708,1,Yea
1491236,14554,3,NV
1491236,14555,1,Yea
1491236,14703,1,Yea
1491236,16648,1,Yea
1491236,16649,1,Yea
1491236,20172,1,Yea
1491236,20249,1,Yea
1491236,20571,1,Yea
1491236,20754,1,Yea
1491236,21898,2,Nay
1491236,21902,2,Nay
1491236,21904,1,Yea
1491236,22291,1,Yea
1491236,22293,2,Nay
1491236,23000,1,Yea
1491236,23001,1,Yea
1491236,23022,2,Nay
1491236,23039,2,Nay
1491236,23050,1,Yea
1491236,23641,1,Yea
1491236,23883,1,Yea
1491236,24184,1,Yea
1491236,24229,1,Yea
1491236,24230,2,Nay
1491236,24233,1,Yea
1491236,24234,2,Nay
1491236,24235,1,Yea
1491236,24239,2,Nay
1491236,24240,2,Nay
1491236,24242,2,Nay
1491236,24246,2,Nay
1491236,24247,2,Nay
1491236,24248,1,Yea
1491236,24251,1,Yea
1491236,24254,1,Yea
1491236,24370,1,Yea
1491236,24498,2,Nay
1491236,24939,1,Yea
1491236,24946,1,Yea
1491236,24950,2,Nay
1491236,25172,1,Yea
1491236,25195,2,Nay
1491236,25436,2,Nay
1491236,25437,1,Yea
1491236,25438,2,Nay
1491236,25439,1,Yea
1491236,25440,2,Nay
1491236,25441,2,Nay
1491236,25442,1,Yea
1491236,25443,1,Yea
1491236,25444,2,Nay
1491236,25445,2,Nay
1491236,25446,2,Nay
1491236,25447,1,Yea
1491236,25448,1,Yea
1491236,25449,2,Nay
1521422,10696,1,Yea
1521422,10704,2,Nay
1521422,15258,2,Nay
1521422,23642,1,Yea
1521422,24253,2,Nay
1521422,25450,1,Yea
1521422,25452,1,Yea
1539509,4233,1,Yea
1539509,4262,1,Yea
1539509,4343,2,Nay
1539509,10696,1,Yea
1539509,10699,3,NV
1539509,10704,2,Nay
1539509,11744,1,Yea
1539509,14707,1,Yea
1539509,14709,1,Yea
1539509,15258,2,Nay
1539509,16506,1,Yea
1539509,16652,1,Yea
1539509,18569,3,NV
1539509,18663,1,Yea
1539509,19572,1,Yea
1539509,20688,1,Yea
1539509,20749,1,Yea
1539509,21899,1,Yea
1539509,21903,1,Yea
1539509,23027,2,Nay
1539509,23038,2,Nay
1539509,23642,1,Yea
1539509,24232,2,Nay
1539509,24241,2,Nay
1539509,24253,1,Yea
1539509,24497,2,Nay
1539509,25450,1,Yea
1539509,25451,2,Nay
1539509,25452,1,Yea
1539509,26455,1,Yea
1558926,4230,1,Yea
1558926,4260,2,Nay
1558926,10680,1,Yea
