bill_id,date,chamber,sequence,action
1893344,2024-12-02,Assembly,1,"Read first time. To print."
1893344,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893344,2025-02-03,Assembly,3,"Referred to Com. on INS."
1893344,2025-04-02,Assembly,4,"Coauthors revised."
1893344,2025-04-02,Assembly,5,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 17. Noes 0.) (April 2). Re-referred to Com. on APPR."
1893344,2025-04-23,Assembly,6,"In committee: Set, first hearing. Referred to suspense file."
1893345,2024-12-02,Assembly,1,"Read first time. To print."
1893345,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893346,2024-12-02,Assembly,1,"Read first time. To print."
1893346,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893346,2025-02-03,Assembly,3,"Referred to Com. on H. & C.D."
1893346,2025-04-28,Assembly,4,"Coauthors revised."
1893346,2025-04-28,Assembly,5,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 7. Noes 3.) (April 24). Re-referred to Com. on APPR."
1893346,2025-05-07,Assembly,6,"In committee: Set, first hearing. Referred to APPR. suspense file."
1893347,2024-12-02,Assembly,1,"Read first time. To print."
1893347,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893347,2025-02-18,Assembly,3,"Referred to Com. on NAT. RES."
1893348,2024-12-02,Assembly,1,"Read first time. To print."
1893348,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893348,2025-02-03,Assembly,3,"Referred to Com. on U. & E."
1893348,2025-02-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on U. & E. Read second time and amended."
1893348,2025-02-25,Assembly,5,"Re-referred to Com. on U. & E."
1893348,2025-03-17,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on U. & E. Read second time and amended."
1893348,2025-03-18,Assembly,7,"Re-referred to Com. on U. & E."
