bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1893344,1535026,2025-04-02,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",17,0,0,0,17
1893346,1558358,2025-04-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,3,0,2,12
1893348,1528312,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",18,0,0,0,18
1893349,1526958,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Natural Resources] with recommendation: To Consent Calendar",13,0,0,0,13
1893349,1538900,2025-04-07,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",14,0,0,0,14
1893349,1555969,2025-04-23,Assembly,"Do pass. To Consent Calendar",15,0,0,0,15
1893349,1564261,2025-05-01,Assembly,"AB 14 Hart Consent Calendar Second Day Regular Session",76,0,0,3,79
1893350,1505308,2025-03-04,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1893351,1542868,2025-04-09,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893351,1565317,2025-05-05,Assembly,"AB 16 Alanis Assembly Third Reading",75,0,0,4,79
1893352,1528316,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1893352,1542731,2025-04-09,Assembly,"Do pass. To Consent Calendar",14,0,0,1,15
1893352,1557486,2025-04-24,Assembly,"AB 17 Alanis Consent Calendar Second Day Regular Session",75,0,0,4,79
1893355,1535143,2025-04-01,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",9,0,0,6,15
1893355,1540876,2025-04-08,Assembly,"Do pass",9,0,0,3,12
1893356,1558353,2025-04-24,Assembly,"Do pass and be re-referred to the Committee on [Human Services]",2,7,0,3,12
1893357,1558374,2025-04-24,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",5,2,0,5,12
1893357,1558375,2025-04-24,Assembly,Reconsideration,5,2,0,5,12
1893361,1542906,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",2,5,0,0,7
1893361,1542907,2025-04-09,Assembly,Reconsideration,2,5,0,0,7
1893363,1566682,2025-05-05,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893364,1559478,2025-04-28,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",11,3,0,0,14
1893365,1533476,2025-04-01,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1893367,1525455,2025-03-24,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",12,0,0,2,14
1893368,1505298,2025-03-04,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",9,0,0,0,9
1893369,1505311,2025-03-04,Assembly,"Do pass and be re-referred to the Committee on [Transportation] with recommendation: To Consent Calendar",9,0,0,0,9
1893369,1525418,2025-03-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",16,0,0,0,16
1893370,1554642,2025-04-21,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,2,0,2,16
1893373,1542683,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Local Government] with recommendation: To Consent Calendar",12,0,0,0,12
1893373,1556030,2025-04-23,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",10,0,0,0,10
1893373,1562918,2025-04-30,Assembly,"Do pass. To Consent Calendar",14,0,0,1,15
1893373,1568676,2025-05-08,Assembly,"AB 36 Soria Consent Calendar Second Day Regular Session",69,0,0,10,79
1893376,1542830,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Utilities and Energy]",10,0,0,0,10
1893376,1564296,2025-04-30,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",16,0,0,2,18
1893377,1533584,2025-04-01,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,2,0,2,15
1893378,1526967,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,0,0,3,15
1893378,1542691,2025-04-09,Assembly,"Do pass",10,3,0,2,15
1893378,1552883,2025-04-21,Assembly,"AB 40 Bonta Third Reading Urgency",58,9,0,12,79
1893380,1526962,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893381,1525415,2025-03-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,0,0,3,14
1893382,1556198,2025-04-23,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",18,0,0,0,18
1893383,1555919,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",10,2,0,3,15
1893383,1561190,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,2,0,1,12
1893384,1562748,2025-04-29,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",8,0,0,1,9
1893385,1554585,2025-04-22,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",8,0,0,1,9
1893386,1555914,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Housing and Community Development]",6,2,0,2,10
1893386,1562859,2025-04-30,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,1,0,2,12
1893387,1544955,2025-04-09,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",7,2,0,0,9
1893387,1561047,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,2,0,2,12
1893388,1542735,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893389,1533523,2025-04-01,Assembly,"Do pass as amended and be re-referred to the Committee on [Health]",17,0,0,1,18
1893389,1556061,2025-04-23,Assembly,"Do pass",15,0,0,0,15
1893389,1559381,2025-04-28,Assembly,"AB 50 Bonta Third Reading Urgency",73,0,0,6,79
1893390,1564175,2025-04-30,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",6,2,0,1,9
1893392,1566726,2025-05-05,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893393,1540847,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",12,0,0,3,15
1893393,1561153,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,1,0,3,12
1893393,1567875,2025-05-07,Assembly,"Do pass",11,1,0,3,15
1893394,1540944,2025-04-08,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1893394,1555939,2025-04-23,Assembly,"Do pass",15,0,0,0,15
1893394,1559378,2025-04-28,Assembly,"AB 55 Bonta Assembly Third Reading",75,0,0,4,79
1893395,1556035,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",11,1,0,3,15
1893395,1561004,2025-04-29,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",10,1,0,1,12
1893396,1528248,2025-03-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",8,0,0,3,11
1893396,1554631,2025-04-22,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",9,2,0,1,12
1893397,1561095,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",10,0,0,0,10
1893398,1528314,2025-03-26,Assembly,"Do pass as amended",8,0,0,2,10
1893398,1533521,2025-04-01,Assembly,"AB 59 Aguiar-Curry Assembly Third Reading",77,0,0,3,80
1893399,1562772,2025-04-30,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",11,0,0,1,12
1893400,1528321,2025-03-25,Assembly,"Do pass",5,1,0,1,7
1893400,1565242,2025-05-05,Assembly,"AB 60 Papan Assembly Third Reading",63,4,0,12,79
1893401,1528242,2025-03-26,Assembly,"Do pass as amended, and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",18,0,0,0,18
1893402,1561134,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,1,0,2,12
1893404,1555947,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",6,3,0,1,10
1893404,1561200,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,2,0,2,12
1893405,1554551,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Revenue and Taxation]",17,0,0,1,18
1893405,1561131,2025-04-28,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",6,1,0,0,7
1893410,1511429,2025-03-10,Assembly,"Be adopted. To third reading",9,0,0,2,11
1893415,1470866,2024-12-03,Assembly,"HR 1 PACHECO Assembly Third Reading",58,19,0,2,79
1893415,1564795,2024-12-02,Assembly,"HR 1 PACHECO Assembly Third Reading",58,19,0,2,79
1893416,1470867,2024-12-03,Assembly,"HR 2 RIVAS Assembly Third Reading By AGUIAR-CURRY",78,0,0,1,79
1893416,1564794,2024-12-02,Assembly,"HR 2 RIVAS Assembly Third Reading By AGUIAR-CURRY",78,0,0,1,79
1893417,1470868,2024-12-03,Assembly,"HR 3 RIVAS Assembly Third Reading By AGUIAR-CURRY",77,0,0,2,79
1893417,1564797,2024-12-02,Assembly,"HR 3 RIVAS Assembly Third Reading By AGUIAR-CURRY",77,0,0,2,79
1893418,1470869,2024-12-03,Assembly,"HR 4 ESSAYLI Assembly Third Reading Motion to Lay on the Table By AGUIAR-CURRY",58,19,0,2,79
1893418,1564793,2024-12-02,Assembly,"HR 4 ESSAYLI Assembly Third Reading Motion to Lay on the Table By AGUIAR-CURRY",58,19,0,2,79
1893420,1474061,2025-01-23,Assembly,"Be adopted. To Consent Calendar",10,0,0,1,11
1893420,1477873,2025-01-30,Assembly,"HR 6 Connolly Consent Calendar Second Day Regular Session",69,0,0,10,79
1893421,1516577,2025-03-12,Senate,"Do pass, but first be re-referred to the Committee on [Military and Veterans Affairs]",5,0,0,0,5
1893421,1559469,2025-04-28,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",4,0,0,1,5
