bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1907917,2173,HB1001,3,Enrolled,2025-05-07,"Enforcement Wage Hour Laws","Concerning the enforcement of wage and hour laws, and, in connection therewith, making an appropriation.",0,,2025-05-07,"House Considered Senate Amendments - Result was to Concur - Repass",https://legiscan.com/CO/bill/HB1001/2025,https://leg.colorado.gov/bills/hb25-1001
1907595,2173,HB1002,4,Passed,2025-03-20,"Medical Necessity Determination Insurance Coverage","Concerning the determination of health benefits coverage for mental health services.",0,,2025-03-20,"Governor Signed",https://legiscan.com/CO/bill/HB1002/2025,https://leg.colorado.gov/bills/hb25-1002
1908011,2173,HB1003,4,Passed,2025-03-31,"Children Complex Health Needs Waiver","Concerning a medicaid waiver program for children with complex health needs.",0,,2025-03-31,"Governor Signed",https://legiscan.com/CO/bill/HB1003/2025,https://leg.colorado.gov/bills/hb25-1003
1908008,2173,HB1004,3,Enrolled,2025-05-01,"No Pricing Coordination Between Landlords","Concerning pricing coordination by landlords.",0,,2025-05-01,"House Considered Senate Amendments - Result was to Concur - Repass",https://legiscan.com/CO/bill/HB1004/2025,https://leg.colorado.gov/bills/hb25-1004
1907962,2173,HB1005,4,Passed,2025-04-08,"Tax Incentive for Film Festivals","Concerning the creation of tax incentives to support the film festival industry.",0,,2025-04-08,"Governor Signed",https://legiscan.com/CO/bill/HB1005/2025,https://leg.colorado.gov/bills/hb25-1005
1907852,2173,HB1006,3,Enrolled,2025-04-24,"School District Solar Garden Lease Term","Concerning allowing a school district to lease district property for any term of years.",0,,2025-05-01,"House Consideration of First Conference Committee Report result was to Adopt Committee Report - Repass",https://legiscan.com/CO/bill/HB1006/2025,https://leg.colorado.gov/bills/hb25-1006
1907875,2173,HB1007,4,Passed,2025-04-17,"Paratransit Services","Concerning emergency preparedness for paratransit services.",0,,2025-04-17,"Governor Signed",https://legiscan.com/CO/bill/HB1007/2025,https://leg.colorado.gov/bills/hb25-1007
1907976,2173,HB1008,1,Introduced,2025-01-08,"Complementary Behavioral Health Services in Jails","Concerning measures to incentivize jails to provide complementary behavioral health services to persons held in custody.",0,,2025-01-21,"House Committee on Judiciary Refer Unamended to Appropriations",https://legiscan.com/CO/bill/HB1008/2025,https://leg.colorado.gov/bills/hb25-1008
1907710,2173,HB1009,4,Passed,2025-03-31,"Vegetative Fuel Mitigation","Concerning a vegetative fuel mitigation program for a district providing fire protection services.",0,,2025-03-31,"Governor Signed",https://legiscan.com/CO/bill/HB1009/2025,https://leg.colorado.gov/bills/hb25-1009
1907721,2173,HB1010,3,Enrolled,2025-04-11,"Prohibiting Price Gouging in Sales of Necessities","Concerning a prohibition against engaging in price gouging.",0,,2025-04-30,"Sent to the Governor",https://legiscan.com/CO/bill/HB1010/2025,https://leg.colorado.gov/bills/hb25-1010
1907627,2173,HB1011,2,Engrossed,2025-03-10,"Private Equity Acquisition of Child Care Centers","Concerning requirements for child care centers owned by an institutional investment entity.",0,,2025-04-08,"Senate Third Reading Lost - No Amendments",https://legiscan.com/CO/bill/HB1011/2025,https://leg.colorado.gov/bills/hb25-1011
1907782,2173,HB1012,1,Introduced,2025-01-08,"Income Tax Expenditures for Service Members","Concerning income tax expenditures that benefit individuals engaged in military service.",901,"House Appropriations",2025-01-27,"House Committee on Finance Refer Amended to Appropriations",https://legiscan.com/CO/bill/HB1012/2025,https://leg.colorado.gov/bills/hb25-1012
1907707,2173,HB1013,3,Enrolled,2025-05-02,"Department of Corrections Visitation Rights","Concerning social visitation rights for a person confined in a correctional facility.",0,,2025-05-02,"House Considered Senate Amendments - Result was to Concur - Repass",https://legiscan.com/CO/bill/HB1013/2025,https://leg.colorado.gov/bills/hb25-1013
1907811,2173,HB1014,2,Engrossed,2025-03-10,"Increasing Efficiency Division of Water Resources","Concerning measures to increase efficiency in division of water resources processes.",0,,2025-04-14,"Senate Third Reading Passed - No Amendments",https://legiscan.com/CO/bill/HB1014/2025,https://leg.colorado.gov/bills/hb25-1014
1907935,2173,HB1015,4,Passed,2025-03-31,"Ability to Pay Bond Online Clarifications","Concerning clarifying changes to ensure that bond can be posted online.",0,,2025-03-31,"Governor Signed",https://legiscan.com/CO/bill/HB1015/2025,https://leg.colorado.gov/bills/hb25-1015
1907662,2173,HB1016,4,Passed,2025-03-31,"Occupational Therapist Prescribe Medical Equipment","Concerning authorizing an occupational therapist to prescribe durable medical equipment.",0,,2025-03-31,"Governor Signed",https://legiscan.com/CO/bill/HB1016/2025,https://leg.colorado.gov/bills/hb25-1016
1907671,2173,HB1017,3,Enrolled,2025-05-01,"Community Integration Plan Individuals with Disabilities","Concerning a community integration plan for individuals with disabilities, and, in connection therewith, making an appropriation.",0,,2025-05-01,"House Considered Senate Amendments - Result was to Concur - Repass",https://legiscan.com/CO/bill/HB1017/2025,https://leg.colorado.gov/bills/hb25-1017
1907644,2173,HB1018,4,Passed,2025-04-18,"Vocational Rehabilitation Services","Concerning access to the department of labor and employment&#039;s vocational rehabilitation services.",0,,2025-04-18,"Governor Signed",https://legiscan.com/CO/bill/HB1018/2025,https://leg.colorado.gov/bills/hb25-1018
1907760,2173,HB1019,4,Passed,2025-03-07,"Third-Party Administration of Division of Housing Programs","Concerning third-party administration of programs for persons experiencing homelessness that are overseen by the division of housing in the department of local affairs.",0,,2025-03-07,"Governor Signed",https://legiscan.com/CO/bill/HB1019/2025,https://leg.colorado.gov/bills/hb25-1019
1908005,2173,HB1020,6,Failed,2025-02-27,"Earned-Wage Access Service Provider","Concerning the regulation of earned-wage access services.",0,,2025-02-27,"House Committee on Finance Postpone Indefinitely",https://legiscan.com/CO/bill/HB1020/2025,https://leg.colorado.gov/bills/hb25-1020
1907656,2173,HB1021,3,Enrolled,2025-05-05,"Tax Incentives for Employee-Owned Businesses","Concerning tax incentives for businesses that transition to employee-owned businesses in whole or in part.",0,,2025-05-05,"House Considered Senate Amendments - Result was to Concur - Repass",https://legiscan.com/CO/bill/HB1021/2025,https://leg.colorado.gov/bills/hb25-1021
1907712,2173,HB1022,4,Passed,2025-02-27,"Qualified Medication Administration Personnel","Concerning updating the definition of &quot;qualified medication administration personnel&quot; to include an individual who has passed a competency evaluation administered by the department of public health and environment before July 1, 2017.",0,,2025-02-27,"Governor Signed",https://legiscan.com/CO/bill/HB1022/2025,https://leg.colorado.gov/bills/hb25-1022
1907866,2173,HB1023,3,Enrolled,2025-05-01,"Local Government Review of Fencing Projects","Concerning local government review of certain fencing projects.",0,,2025-05-01,"House Considered Senate Amendments - Result was to Concur - Repass",https://legiscan.com/CO/bill/HB1023/2025,https://leg.colorado.gov/bills/hb25-1023
1907939,2173,HB1024,4,Passed,2025-04-07,"Medical-Aesthetic Services Delegation Disclosures","Concerning requiring a medical professional to disclose certain information to patients if the medical professional delegates medical-aesthetic services to an individual who is not a licensed health-care provider.",0,,2025-04-07,"Governor Signed",https://legiscan.com/CO/bill/HB1024/2025,https://leg.colorado.gov/bills/hb25-1024
1907801,2173,HB1025,4,Passed,2025-03-26,"Stockpile of Essential Materials Distribution","Concerning the state stockpile of essential materials, and, in connection therewith, broadening the circumstances in which distributions from the stockpile are allowed.",0,,2025-03-26,"Governor Signed",https://legiscan.com/CO/bill/HB1025/2025,https://leg.colorado.gov/bills/hb25-1025
1907598,2173,HB1026,3,Enrolled,2025-05-01,"Repeal Copayment for Department of Corrections Inmate Health Care","Concerning procedures related to the provision of health-care services to inmates, and, in connection therewith, prohibiting certain copayments and fees and making and reducing an appropriation.",0,,2025-05-01,"House Considered Senate Amendments - Result was to Concur - Repass",https://legiscan.com/CO/bill/HB1026/2025,https://leg.colorado.gov/bills/hb25-1026
1907616,2173,HB1027,4,Passed,2025-04-10,"Update Disease Control Statutes","Concerning modifications to statutes governing disease control.",0,,2025-04-10,"Governor Signed",https://legiscan.com/CO/bill/HB1027/2025,https://leg.colorado.gov/bills/hb25-1027
1907921,2173,HB1028,6,Failed,2025-03-10,"Modifications to Address Confidentiality Program","Concerning modifications to the address confidentiality program.",0,,2025-03-10,"House Committee on Finance Postpone Indefinitely",https://legiscan.com/CO/bill/HB1028/2025,https://leg.colorado.gov/bills/hb25-1028
1907825,2173,HB1029,4,Passed,2025-03-26,"Municipal Authority over Certain Land","Concerning the scope of municipal authority over land that a municipality acquires that is outside its municipal limits.",0,,2025-03-26,"Governor Signed",https://legiscan.com/CO/bill/HB1029/2025,https://leg.colorado.gov/bills/hb25-1029
1907774,2173,HB1030,4,Passed,2025-03-11,"Accessibility Standards in Building Codes","Concerning the requirement that certain building codes have accessibility standards that are at least as stringent as international building codes.",0,,2025-03-11,"Governor Signed",https://legiscan.com/CO/bill/HB1030/2025,https://leg.colorado.gov/bills/hb25-1030
1907959,2173,HB1031,3,Enrolled,2025-04-15,"Law Enforcement Whistleblower Protection","Concerning a prohibition on whistleblower retaliation in law enforcement.",0,,2025-05-02,"Sent to the Governor",https://legiscan.com/CO/bill/HB1031/2025,https://leg.colorado.gov/bills/hb25-1031
1907734,2173,HB1032,1,Introduced,2025-01-08,"Improving Infrastructure to Reduce Homelessness","Concerning improving infrastructure to reduce homelessness in Colorado.",901,"House Appropriations",2025-02-19,"House Committee on Transportation, Housing & Local Government Refer Amended to Appropriations",https://legiscan.com/CO/bill/HB1032/2025,https://leg.colorado.gov/bills/hb25-1032
1912353,2173,HB1033,4,Passed,2025-03-07,"Medicaid Third-Party Liability Payments","Concerning medical assistance third-party liability payments.",0,,2025-03-07,"Governor Signed",https://legiscan.com/CO/bill/HB1033/2025,https://leg.colorado.gov/bills/hb25-1033
1907601,2173,HB1034,4,Passed,2025-03-14,"Changes to Dangerous Dog Statute","Concerning amendments to the dangerous dog statute.",0,,2025-03-14,"Governor Signed",https://legiscan.com/CO/bill/HB1034/2025,https://leg.colorado.gov/bills/hb25-1034
1907659,2173,HB1035,4,Passed,2025-03-26,"Collaborative Management Program Updates","Concerning changes to the collaborative management program.",0,,2025-03-26,"Governor Signed",https://legiscan.com/CO/bill/HB1035/2025,https://leg.colorado.gov/bills/hb25-1035
1907553,2173,HB1036,1,Introduced,2025-01-08,"Missing Murdered Indigenous Relative License Plate","Concerning the creation of a missing and murdered Indigenous relatives license plate.",901,"House Appropriations",2025-02-03,"House Committee on Finance Refer Amended to Appropriations",https://legiscan.com/CO/bill/HB1036/2025,https://leg.colorado.gov/bills/hb25-1036
1907704,2173,HB1037,1,Introduced,2025-01-08,"Income Tax Credit for Eligible Teachers","Concerning a state income tax credit for a licensed teacher who is employed as a teacher in a public school on a full-time basis for at least one-half of an academic year.",901,"House Appropriations",2025-01-27,"House Committee on Finance Refer Amended to Appropriations",https://legiscan.com/CO/bill/HB1037/2025,https://leg.colorado.gov/bills/hb25-1037
1907993,2173,HB1038,2,Engrossed,2025-04-28,"Postsecondary Credit Transfer Website","Concerning the implementation of an online platform to provide students pursuing postsecondary education with information about academic credit transfers.",0,,2025-05-02,"Senate Third Reading Passed - No Amendments",https://legiscan.com/CO/bill/HB1038/2025,https://leg.colorado.gov/bills/hb25-1038
1907680,2173,HB1039,2,Engrossed,2025-04-22,"Commercial Vehicle Muffler Requirements","Concerning muffler requirements for commercial vehicles.",0,,2025-05-01,"Senate Third Reading Passed - No Amendments",https://legiscan.com/CO/bill/HB1039/2025,https://leg.colorado.gov/bills/hb25-1039
1907726,2173,HB1040,4,Passed,2025-03-31,"Adding Nuclear Energy as a Clean Energy Resource","Concerning the inclusion of nuclear energy as a source of clean energy.",0,,2025-03-31,"Governor Signed",https://legiscan.com/CO/bill/HB1040/2025,https://leg.colorado.gov/bills/hb25-1040
1907674,2173,HB1041,4,Passed,2025-03-28,"Student Athlete Name Image or Likeness","Concerning measures to support a student athlete in the use of their name, image, or likeness.",0,,2025-03-28,"Governor Signed",https://legiscan.com/CO/bill/HB1041/2025,https://leg.colorado.gov/bills/hb25-1041
1907623,2173,HB1042,1,Introduced,2025-01-08,"Air Quality Control Regulation Workforce Impact","Concerning the establishment of a workforce advisory council to consider air quality control rules that impact workforce issues in affected industries.",901,"House Appropriations",2025-02-27,"House Committee on Energy & Environment Refer Amended to Appropriations",https://legiscan.com/CO/bill/HB1042/2025,https://leg.colorado.gov/bills/hb25-1042
1907547,2173,HB1043,3,Enrolled,2025-04-09,"Owner Equity Protection in Homeowners&#039; Association Foreclosure Sales","Concerning the protection of unit owners in relation to enforcement actions by unit owners&#039; associations.",0,,2025-05-02,"Sent to the Governor",https://legiscan.com/CO/bill/HB1043/2025,https://leg.colorado.gov/bills/hb25-1043
1907987,2173,HB1044,6,Failed,2025-02-12,"Local Funding for Vulnerable Road User Protection","Concerning authorization for local governments to generate additional fee-based funding for local vulnerable road user protection strategies.",0,,2025-02-12,"House Committee on Transportation, Housing & Local Government Postpone Indefinitely",https://legiscan.com/CO/bill/HB1044/2025,https://leg.colorado.gov/bills/hb25-1044
1907938,2173,HB1045,6,Failed,2025-01-27,"Modify Long-Term Care Insurance Income Tax Credit","Concerning the modification of the state income tax credit for purchasing long-term care insurance.",0,,2025-01-27,"House Committee on Finance Postpone Indefinitely",https://legiscan.com/CO/bill/HB1045/2025,https://leg.colorado.gov/bills/hb25-1045
1907804,2173,HB1046,6,Failed,2025-01-28,"Increase Maximum Number of Transportation Planning Regions","Concerning an increase in the maximum number of transportation planning regions.",0,,2025-01-28,"House Committee on Transportation, Housing & Local Government Postpone Indefinitely",https://legiscan.com/CO/bill/HB1046/2025,https://leg.colorado.gov/bills/hb25-1046
