bill_id,date,chamber,sequence,action
1907252,2025-01-08,Senate,1,"Introduced In Senate - Assigned to"
1907252,2025-01-08,Senate,2,"Senate Third Reading Passed - No Amendments"
1907252,2025-01-08,Senate,3,"Signed by the President of the Senate"
1907273,2025-01-08,Senate,1,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs"
1907273,2025-02-18,Senate,2,"Senate Committee on State, Veterans, & Military Affairs Refer Amended to Appropriations"
1907273,2025-03-26,Senate,3,"Senate Committee on Appropriations Refer Amended to Senate Committee of the Whole"
1907273,2025-03-28,Senate,4,"Senate Second Reading Passed with Amendments - Committee, Floor"
1907273,2025-03-31,Senate,5,"Senate Third Reading Passed - No Amendments"
1907273,2025-03-31,House,6,"Introduced In House - Assigned to State, Civic, Military, & Veterans Affairs"
1907273,2025-04-14,House,7,"House Committee on State, Civic, Military, & Veterans Affairs Refer Amended to Appropriations"
1907273,2025-04-22,House,8,"House Committee on Appropriations Refer Unamended to House Committee of the Whole"
1907273,2025-04-24,House,9,"House Second Reading Laid Over Daily - No Amendments"
1907273,2025-04-25,House,10,"House Second Reading Special Order - Passed with Amendments - Committee, Floor"
1907273,2025-04-28,House,11,"House Third Reading Passed - No Amendments"
1907273,2025-04-29,Senate,12,"Senate Considered House Amendments - Result was to Concur - Repass"
1907273,2025-05-06,Senate,13,"Signed by the President of the Senate"
1907273,2025-05-06,,14,"Sent to the Governor"
1907273,2025-05-06,House,15,"Signed by the Speaker of the House"
1907293,2025-01-08,Senate,1,"Introduced In Senate - Assigned to Agriculture & Natural Resources"
1907293,2025-02-19,Senate,2,"Senate Committee on Agriculture & Natural Resources Refer Amended to Appropriations"
1907293,2025-04-29,Senate,3,"Senate Committee on Appropriations Refer Amended to Senate Committee of the Whole"
1907293,2025-04-29,Senate,4,"Senate Second Reading Special Order - Passed with Amendments - Committee"
1907293,2025-04-30,Senate,5,"Senate Third Reading Passed - No Amendments"
1907293,2025-04-30,House,6,"Introduced In House - Assigned to Energy & Environment"
1907293,2025-05-01,House,7,"House Committee on Energy & Environment Refer Unamended to Appropriations"
1907293,2025-05-05,House,8,"House Committee on Appropriations Refer Amended to House Committee of the Whole"
1907293,2025-05-05,House,9,"House Second Reading Special Order - Laid Over Daily - No Amendments"
1907293,2025-05-06,House,10,"House Second Reading Special Order - Passed with Amendments - Committee"
1907293,2025-05-07,House,11,"House Third Reading Passed - No Amendments"
1907293,2025-05-07,Senate,12,"Senate Considered House Amendments - Result was to Concur - Repass"
1907315,2025-01-08,Senate,1,"Introduced In Senate - Assigned to Health & Human Services"
1907315,2025-02-12,Senate,2,"Senate Committee on Health & Human Services Refer Amended to Appropriations"
1907315,2025-04-15,Senate,3,"Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole"
1907315,2025-04-17,Senate,4,"Senate Second Reading Passed with Amendments - Committee, Floor"
1907315,2025-04-21,Senate,5,"Senate Third Reading Passed - No Amendments"
1907315,2025-04-21,House,6,"Introduced In House - Assigned to Transportation, Housing & Local Government"
1907315,2025-04-22,House,7,"House Committee on Transportation, Housing & Local Government Refer Amended to Appropriations"
1907315,2025-04-29,House,8,"House Committee on Appropriations Refer Unamended to House Committee of the Whole"
1907315,2025-04-29,House,9,"House Second Reading Special Order - Passed with Amendments - Committee"
1907315,2025-04-30,House,10,"House Third Reading Passed - No Amendments"
1907315,2025-05-01,Senate,11,"Senate Considered House Amendments - Result was to Concur - Repass"
1907338,2025-01-08,Senate,1,"Introduced In Senate - Assigned to Local Government & Housing"
1907338,2025-01-30,Senate,2,"Senate Committee on Local Government & Housing Refer Amended to Senate Committee of the Whole"
1907338,2025-02-04,Senate,3,"Senate Second Reading Passed with Amendments - Floor"
1907338,2025-02-05,Senate,4,"Senate Third Reading Passed - No Amendments"
1907338,2025-02-06,House,5,"Introduced In House - Assigned to Transportation, Housing & Local Government"
1907338,2025-03-04,House,6,"House Committee on Transportation, Housing & Local Government Refer Unamended to Finance"
1907338,2025-03-24,House,7,"House Committee on Finance Refer Amended to House Committee of the Whole"
