people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
3329,"Larry Liston",Larry,G.,Liston,,,2,R,1,Rep,SD-010,5988117,30002,,Larry_Liston,227780,0
15133,"Thomas Exum",Thomas,E.,Exum,Sr.,Tony,1,D,1,Rep,SD-011,11022900,138722,,Thomas_Exum_Sr.,408896,0
16509,"Paul Lundeen",Paul,Harold,Lundeen,,,2,R,2,Sen,SD-009,6516823,125570,,Paul_Lundeen,331375,0
16581,"Faith Winter",Faith,,Winter,,,1,D,2,Sen,SD-025,14227540,105656,,Faith_Winter,486097,0
16583,"Jessie Danielson",Jessie,,Danielson,,,1,D,2,Sen,SD-022,15729658,149351,,Jessie_Danielson,485978,0
18713,"Dafna Michaelson Jenet",Dafna,,"Michaelson Jenet",,,1,D,2,Sen,SD-021,39568600,169990,,Dafna_Michaelson_Jenet,568280,0
18723,"Michael Weissman",Michael,,Weissman,,Mike,1,D,2,Sen,SD-028,40461589,169997,,Mike_Williams_(Colorado),568268,0
18939,"James Coleman",James,Rashad,Coleman,,,1,D,2,Sen,SD-033,40461420,169972,,James_Coleman_(Colorado),575555,0
19048,"Jeff Bridges",Jeff,,Bridges,,,1,D,2,Sen,SD-026,39563960,169966,,Jeff_Bridges,568119,0
19200,"Marc Catlin",Marc,,Catlin,,,2,R,2,Sen,SD-005,43396100,176449,,Marc_Allan_Feldman,609004,0
19512,"Dylan Roberts",Dylan,,Roberts,,,1,D,1,Rep,SD-008,44229951,179465,,Dylan_Roberts,644618,0
20024,"Emily Sirota",Emily,,Sirota,,,1,D,1,Rep,HD-009,13500849,181733,,Emily_Sirota,654773,0
20025,"Julie McCluskie",Julie,Lynn,McCluskie,,,1,D,1,Rep,HD-013,6300002,181795,,Julie_McCluskie,651665,0
20026,"Rod Pelton",Rodney,,Pelton,,Rod,2,R,2,Sen,SD-035,44885051,148937,,Rod_Pelton,659310,0
20027,"Sonya Jaquez Lewis",Sonya,,"Jaquez Lewis",,,1,D,2,Sen,SD-017,5995666,181737,,Sonya_Jaquez_Lewis,659284,0
20029,"Julie Gonzales",Julie,,Gonzales,,,1,D,2,Sen,SD-034,14229962,181717,,Julie_Gonzales,651420,0
20031,"Robert Rodriguez",Robert,,Rodriguez,,,1,D,2,Sen,SD-032,5986862,181713,,Robert_Rodriguez_(Colorado),651459,0
20032,"Tammy Story",Tammy,,Story,,,1,D,1,Rep,HD-025,40461570,169987,,Tammy_Story,575563,0
20126,"Mark Baisley",Mark,,Baisley,,,2,R,1,Rep,SD-004,6451091,66344,,Mark_Baisley,651496,0
20127,"Shannon Bird",Shannon,,Bird,,,1,D,1,Rep,HD-029,44884921,173290,,Shannon_Bird,651501,0
20131,"Lisa Cutter",Lisa,Ann,Cutter,,,1,D,2,Sen,SD-020,44884950,181764,,Lisa_Cutter,651515,0
20136,"Kyle Mullica",Kyle,,Mullica,,,1,D,1,Rep,SD-024,44154746,148897,,Kyle_Mullica,651668,0
20137,"Janice Rich",Janice,,Rich,,,2,R,2,Sen,SD-007,44885061,181791,,Janice_Rich,651681,0
20138,"Marc Snyder",Marc,Alan,Snyder,,,1,D,2,Sen,SD-012,14219138,181752,,Marc_Snyder,651713,0
20139,"Matt Soper",Matt,,Soper,,,2,R,1,Rep,HD-054,44885096,181789,,Matt_Soper,651715,0
20140,"Tom Sullivan",Tom,,Sullivan,,,1,D,2,Sen,SD-027,20653952,169958,,Tom_Sullivan_(Colorado),575551,0
20142,"Brianna Titone",Brianna,,Titone,,,1,D,1,Rep,HD-027,44885109,181766,,Brianna_Titone,651723,0
20143,"Alex Valdez",Alex,,Valdez,,,1,D,1,Rep,HD-005,43804803,181727,,Alex_Valdez,623291,0
20148,"Monica Duran",Monica,I.,Duran,,,1,D,1,Rep,HD-023,13670127,173284,,Monica_Duran,651518,0
20159,"Cathy Kipp",Cathy,,Kipp,,,1,D,2,Sen,SD-014,14216523,21982,,Cathy_Kipp,693200,0
20739,"Meg Froelich",Meghan,Mulder,Froelich,,Meg,1,D,1,Rep,HD-003,6847047,169965,,Meg_Froelich,568123,0
21549,"Steven Woodrow",Steven,,Woodrow,,,1,D,1,Rep,HD-002,17793842,189634,,Steven_Woodrow,731898,0
22219,"Judith Amabile",Judith,,Amabile,,Judy,1,D,2,Sen,SD-018,42489109,191835,,Judith_Amabile,736479,0
