bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1907252,1471201,2025-01-08,Senate,"Senate: Consideration of Resolutions Resolution",32,0,0,0,32
1907273,1492531,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.005 (Attachment E).",5,0,0,0,5
1907273,1515951,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.006 (Attachment F).",5,0,0,0,5
1907273,1515952,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.007 (Attachment G).",5,0,0,0,5
1907273,1515953,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.008 (Attachment H).",5,0,0,0,5
1907273,1515954,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.009 (Attachment I).",5,0,0,0,5
1907273,1515955,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.010 (Attachment J)",5,0,0,0,5
1907273,1515956,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.011 (Attachment K).",5,0,0,0,5
1907273,1515957,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.012 (Attachment L).",5,0,0,0,5
1907273,1515958,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Adopt amendment L.013 (Attachment M).",5,0,0,0,5
1907273,1515959,2025-02-18,Senate,"Senate State, Veterans, & Military Affairs: Refer Senate Bill 25-001, as amended, to the Committee on Appropriations.",3,2,0,0,5
1907273,1527589,2025-03-26,Senate,"Senate Appropriations: Adopt amendment J.001",7,0,0,0,7
1907273,1530210,2025-03-28,Senate,"Senate: Committee of the Whole Cow * (s.001)",20,14,0,1,35
1907273,1531117,2025-03-31,Senate,"Senate: Third Reading Bill",22,12,0,1,35
1907273,1531118,2025-03-31,Senate,"Senate: Third Reading Bill",22,12,0,1,35
1907273,1532124,2025-03-26,Senate,"Senate Appropriations: Adopt amendment L.015",7,0,0,0,7
1907273,1532125,2025-03-26,Senate,"Senate Appropriations: Refer Senate Bill 25-001, as amended, to the Committee of the Whole.",4,3,0,0,7
1907273,1547548,2025-04-14,House,"House State, Civic, Military, & Veterans Affairs: Adopt amendment L.052 (Attachment G).",9,2,0,0,11
1907273,1551204,2025-04-14,House,"House State, Civic, Military, & Veterans Affairs: Adopt amendment L.046 (Attachment H).",8,3,0,0,11
1907273,1551205,2025-04-14,House,"House State, Civic, Military, & Veterans Affairs: Adopt amendment L.047 (Attachment I).",11,0,0,0,11
1907273,1551206,2025-04-14,House,"House State, Civic, Military, & Veterans Affairs: Adopt amendment L.048 (Attachment J).",11,0,0,0,11
1907273,1551207,2025-04-14,House,"House State, Civic, Military, & Veterans Affairs: Adopt amendment L.049 (Attachment K).",11,0,0,0,11
1907273,1551208,2025-04-14,House,"House State, Civic, Military, & Veterans Affairs: Refer Senate Bill 25-001, as amended, to the Committee on Appropriations.",8,3,0,0,11
1907273,1553448,2025-04-22,House,"House Appropriations: Refer Senate Bill 25-001 to the Committee of the Whole.",7,4,0,0,11
1907273,1558400,2025-04-25,House,"House: Committee of the Whole Amd (h.001)",21,39,0,5,65
1907273,1558401,2025-04-25,House,"House: Committee of the Whole Amd (h.002)",20,40,0,5,65
1907273,1558402,2025-04-25,House,"House: Committee of the Whole Amd (h.003)",21,39,0,5,65
1907273,1558403,2025-04-25,House,"House: Committee of the Whole Amd (h.004)",20,40,0,5,65
1907273,1558404,2025-04-25,House,"House: Committee of the Whole Amd (h.007)",21,39,0,5,65
1907273,1558405,2025-04-25,House,"House: Committee of the Whole Amd (h.008)",22,38,0,5,65
1907273,1558406,2025-04-25,House,"House: Committee of the Whole Amd (h.009)",22,38,0,5,65
1907273,1559064,2025-04-28,House,"House: Third Reading Amd (l.077)",23,39,0,3,65
1907273,1559065,2025-04-28,House,"House: Third Reading Bill",43,22,0,0,65
1907273,1559066,2025-04-28,House,"House: Third Reading Perm",59,3,0,3,65
1907273,1560521,2025-04-29,Senate,"Senate: House Amendments Concur",20,12,0,3,35
1907273,1560522,2025-04-29,Senate,"Senate: House Amendments Repass",20,12,0,3,35
1907293,1493302,2025-02-19,Senate,"Senate Agriculture & Natural Resources: Adopt amendment L.001 (Attachment A).",7,0,0,0,7
1907293,1504865,2025-02-19,Senate,"Senate Agriculture & Natural Resources: Adopt amendment L.004 (Attachment B).",7,0,0,0,7
1907293,1504866,2025-02-19,Senate,"Senate Agriculture & Natural Resources: Refer Senate Bill 25-007, as amended, to the Committee on Appropriations.",5,2,0,0,7
1907293,1559815,2025-04-29,Senate,"Senate Appropriations: Adopt amendment L.009",7,0,0,0,7
1907293,1559816,2025-04-29,Senate,"Senate Appropriations: Refer Senate Bill 25-007, as amended, to the Committee of the Whole.",4,3,0,0,7
1907293,1561768,2025-04-30,Senate,"Senate: Third Reading Bill",26,9,0,0,35
