bill_id,people_id,position
1907252,20031,1
1907273,15133,18
1907273,16581,25
1907273,16583,16
1907273,18713,5
1907273,18723,24
1907273,18939,14
1907273,19048,13
1907273,19512,6
1907273,20024,48
1907273,20025,44
1907273,20029,1
1907273,20031,20
1907273,20032,52
1907273,20127,26
1907273,20131,15
1907273,20138,21
1907273,20140,22
1907273,20142,53
1907273,20143,54
1907273,20148,31
1907273,20159,19
1907273,20739,33
1907273,22219,11
1907273,22220,2
1907273,22223,17
1907273,22228,45
1907273,22231,10
1907273,22458,4
1907273,22921,27
1907273,23046,39
1907273,23949,42
1907273,23952,55
1907273,23954,9
1907273,23955,56
1907273,23956,3
1907273,23959,43
1907273,23960,41
1907273,23961,8
1907273,23967,38
1907273,23969,40
1907273,24384,36
1907273,24385,34
1907273,24873,28
1907273,24966,47
1907273,25044,30
1907273,26054,7
1907273,26055,29
1907273,26056,32
1907273,26058,35
1907273,26062,46
1907273,26067,49
1907273,26068,50
1907273,26069,51
1907273,26071,57
1907273,26326,12
1907273,26391,37
1907273,26447,23
1907293,15133,5
1907293,18713,9
1907293,19512,10
1907293,20025,21
1907293,20032,26
1907293,20127,12
1907293,20131,1
1907293,20142,27
1907293,20148,15
1907293,20159,8
1907293,20739,17
1907293,22220,11
1907293,22228,22
1907293,22921,6
1907293,23046,20
1907293,23952,3
1907293,23956,18
1907293,23963,4
1907293,23967,19
1907293,23970,2
1907293,24616,7
1907293,24873,13
1907293,25044,14
1907293,26057,16
1907293,26062,23
1907293,26067,24
1907293,26069,25
1907315,15133,5
1907315,16581,13
1907315,18713,8
1907315,18723,12
1907315,20024,23
1907315,20029,6
1907315,20131,4
1907315,20136,9
1907315,20140,10
1907315,20159,2
1907315,20739,3
1907315,22220,14
1907315,22225,7
1907315,22228,20
1907315,22231,21
1907315,22921,15
1907315,23046,19
1907315,23104,1
1907315,23955,24
1907315,24873,16
1907315,24966,22
1907315,25044,17
1907315,26071,25
1907315,26391,18
1907315,26447,11
1907338,15133,11
1907338,16583,9
1907338,18713,17
1907338,18723,21
1907338,18939,7
1907338,19048,6
1907338,19512,1
1907338,20029,12
1907338,20031,19
1907338,20131,8
1907338,20136,18
1907338,20138,20
1907338,20143,29
1907338,20159,14
1907338,22219,4
1907338,22220,22
1907338,22222,2
1907338,22223,10
1907338,22225,13
1907338,22228,27
1907338,22458,15
1907338,22921,23
1907338,23954,26
1907338,23956,25
1907338,23970,16
1907338,24966,3
1907338,25044,24
1907338,26067,28
1907338,26326,5
1907362,16509,5
1907362,18939,4
1907362,20025,3
1907362,20031,1
1907362,20148,2
1907387,16581,16
1907387,16583,8
1907387,18713,13
1907387,18723,15
1907387,18939,39
1907387,19048,6
1907387,20024,30
1907387,20029,1
1907387,20031,14
1907387,20032,33
1907387,20131,7
1907387,20140,2
1907387,20142,34
1907387,20148,22
1907387,20159,10
1907387,20739,4
1907387,21549,37
1907387,22219,5
1907387,22220,17
1907387,22223,9
1907387,22225,40
1907387,22228,29
1907387,22458,11
1907387,22921,3
1907387,23046,44
1907387,23952,35
1907387,23954,28
1907387,23955,36
1907387,23956,26
1907387,23969,27
1907387,23970,12
1907387,24384,25
1907387,24385,23
1907387,24873,18
1907387,24966,45
1907387,25044,21
1907387,26054,19
1907387,26055,20
1907387,26056,42
1907387,26058,24
1907387,26067,31
1907387,26068,32
1907387,26071,38
1907387,26391,43
1907387,26447,41
1907407,15133,8
1907407,16581,17
1907407,16583,1
1907407,18713,14
1907407,18723,16
1907407,18939,49
1907407,19048,6
1907407,20024,38
1907407,20025,60
1907407,20029,9
1907407,20031,2
1907407,20032,42
1907407,20127,54
1907407,20131,7
1907407,20136,52
1907407,20138,53
1907407,20140,15
1907407,20142,43
1907407,20143,63
1907407,20148,23
1907407,20159,11
1907407,20739,25
1907407,21549,46
1907407,22219,5
1907407,22220,3
1907407,22223,50
1907407,22225,51
1907407,22228,35
1907407,22231,62
1907407,22458,12
1907407,22921,18
1907407,23046,31
1907407,23104,10
1907407,23949,59
1907407,23952,44
1907407,23954,4
1907407,23955,45
1907407,23956,29
1907407,23959,33
1907407,23960,32
1907407,23961,24
1907407,23967,30
1907407,23969,58
1907407,23970,13
1907407,24384,28
1907407,24385,26
1907407,24616,34
1907407,24873,19
1907407,24966,37
1907407,25044,22
1907407,26054,20
1907407,26055,21
1907407,26056,55
1907407,26057,56
1907407,26058,27
1907407,26062,36
1907407,26063,61
1907407,26067,39
1907407,26068,40
1907407,26069,41
1907407,26071,47
1907407,26326,48
1907407,26391,57
1907428,15133,9
1907428,16581,2
1907428,18713,13
1907428,18939,7
1907428,19048,6
1907428,20032,24
1907428,20131,8
1907428,20142,25
1907428,20143,26
1907428,20148,17
1907428,20739,18
1907428,21549,27
1907428,22219,5
1907428,22225,11
1907428,22458,12
1907428,22921,14
1907428,23046,22
1907428,23104,10
1907428,23955,4
1907428,23967,21
1907428,23970,1
1907428,24384,20
1907428,24385,3
1907428,24873,15
1907428,24966,23
1907428,26054,16
1907428,26058,19
1907452,15133,2
1907452,16581,11
1907452,18713,9
1907452,19048,1
1907452,20029,6
1907452,20131,5
1907452,20159,8
1907452,20739,13
1907452,22231,16
1907452,22921,3
1907452,23046,14
1907452,23104,7
1907452,24873,12
1907452,26062,15
1907452,26065,17
1907452,26067,18
1907452,26068,4
1907452,26447,10
1907474,15133,13
1907474,16509,20
1907474,16581,28
1907474,16583,1
1907474,18713,22
1907474,18723,27
1907474,18939,11
1907474,19048,9
1907474,19512,2
1907474,20025,39
1907474,20029,15
1907474,20031,23
1907474,20127,30
1907474,20131,12
1907474,20138,24
1907474,20140,25
1907474,20148,6
1907474,20159,17
1907474,22219,7
1907474,22220,29
1907474,22225,16
1907474,22456,18
1907474,22457,5
1907474,22458,19
1907474,22921,31
1907474,23046,38
1907474,23950,32
1907474,23956,3
1907474,23958,14
1907474,23963,4
1907474,23967,37
1907474,23970,21
1907474,24384,35
1907474,25044,33
1907474,26059,34
1907474,26061,36
1907474,26065,40
1907474,26069,41
1907474,26326,8
1907474,26327,10
1907474,26447,26
1907495,20025,2
1907495,20148,1
1907514,16581,19
1907514,18713,15
1907514,18939,6
1907514,19048,5
1907514,20025,27
1907514,20026,16
1907514,20027,10
1907514,20031,17
1907514,20032,30
1907514,20131,7
1907514,20136,1
