bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1905109,2174,HB05001,1,Introduced,2025-01-08,"An Act Concerning The Quality And Delivery Of Special Education Services In Connecticut.","To improve the quality and delivery of special education services.",0,,2025-05-05,"File Number 828",https://legiscan.com/CT/bill/HB05001/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05001&which_year=2025
1904847,2174,HB05002,1,Introduced,2025-01-08,"An Act Concerning Housing And The Needs Of Homeless Persons.","To lower housing costs, increase housing options and better support homeless persons.",0,,2025-05-06,"Tabled for the Calendar, House",https://legiscan.com/CT/bill/HB05002/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05002&which_year=2025
1905129,2174,HB05003,1,Introduced,2025-01-08,"An Act Concerning The Early Childhood Care And Education Fund.","To make use of the Early Childhood Care and Education Fund to fund early care and education programs and initiatives in the state.",0,,2025-05-06,"Tabled for the Calendar, House",https://legiscan.com/CT/bill/HB05003/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05003&which_year=2025
1904826,2174,HB05004,2,Engrossed,2025-05-01,"An Act Concerning The Protection Of The Environment And The Development Of Renewable Energy Sources And Associated Job Sectors.","To protect the state's environment while providing for the development of renewable energy sources and related job sectors in a manner that reduces costs connected with such protections and development.",0,,2025-05-05,"File Number 821",https://legiscan.com/CT/bill/HB05004/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05004&which_year=2025
1905238,2174,HB05005,1,Introduced,2025-01-08,"An Act Concerning Funding For The Training Of Law Enforcement Officers In Crime Scene Processing.","To provide advanced crime scene processing training to law enforcement officers.",1338,"Joint Appropriations",2025-01-08,"Referred to Joint Committee on Appropriations",https://legiscan.com/CT/bill/HB05005/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05005&which_year=2025
1904890,2174,HB05006,1,Introduced,2025-01-08,"An Act Concerning Pension Calculations For Legislators And The Transportation Allowance.","To exclude mileage reimbursements from the calculation of legislators' pensions.",1338,"Joint Appropriations",2025-01-08,"Referred to Joint Committee on Appropriations",https://legiscan.com/CT/bill/HB05006/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05006&which_year=2025
1904865,2174,HB05007,1,Introduced,2025-01-08,"An Act Allowing Earned Wage Access Service.","To allow earned wage access service by persons licensed by the Banking Commissioner to provide such service.",3144,"Joint Banking",2025-01-08,"Referred to Joint Committee on Banking",https://legiscan.com/CT/bill/HB05007/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05007&which_year=2025
1904839,2174,HB05008,2,Engrossed,2025-05-08,"An Act Establishing The Connecticut-puerto Rico Trade Commission.","To establish a Connecticut-Puerto Rico Trade Commission.",0,,2025-05-08,"House Passed",https://legiscan.com/CT/bill/HB05008/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05008&which_year=2025
1905153,2174,HB05009,1,Introduced,2025-01-08,"An Act Requiring Schools To Meet Recommended Best Practices Regarding Cardiac Health.","To ensure that schools are meeting recommended best practices concerning cardiac health.",1342,"Joint Education",2025-01-08,"Referred to Joint Committee on Education",https://legiscan.com/CT/bill/HB05009/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05009&which_year=2025
1905228,2174,HB05010,1,Introduced,2025-01-08,"An Act Concerning The Release Of Lighter-than-air Balloons Into The Atmosphere.","To prohibit the release of helium and other lighter-than-air gas balloons into the atmosphere.",1344,"Joint Environment",2025-01-08,"Referred to Joint Committee on Environment",https://legiscan.com/CT/bill/HB05010/2025,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05010&which_year=2025
