bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1905109,3042026,text,41471,application/pdf,Introduced,https://legiscan.com/CT/text/HB05001/id/3042026,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05001-R00-HB.PDF
1905109,3155599,text,76421,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05001/id/3155599,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05001-R01-HB.PDF
1905109,3192218,text,58594,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05001/id/3192218,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05001-R02-HB.PDF
1905109,3228868,text,58899,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05001/id/3228868,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05001-R03-HB.PDF
1904847,3041763,text,40191,application/pdf,Introduced,https://legiscan.com/CT/text/HB05002/id/3041763,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05002-R00-HB.PDF
1904847,3152604,text,77329,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05002/id/3152604,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05002-R01-HB.PDF
1904847,3188245,text,60788,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05002/id/3188245,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05002-R02-HB.PDF
1904847,3230140,text,61072,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05002/id/3230140,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05002-R03-HB.PDF
1905129,3042046,text,40728,application/pdf,Introduced,https://legiscan.com/CT/text/HB05003/id/3042046,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05003-R00-HB.PDF
1905129,3141504,text,270541,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05003/id/3141504,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05003-R01-HB.PDF
1905129,3185536,text,264052,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05003/id/3185536,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05003-R02-HB.PDF
1905129,3205492,text,264367,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05003/id/3205492,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05003-R03-HB.PDF
1905129,3230464,text,264716,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05003/id/3230464,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05003-R04-HB.PDF
1904826,3041742,text,41428,application/pdf,Introduced,https://legiscan.com/CT/text/HB05004/id/3041742,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05004-R00-HB.PDF
1904826,3136585,text,365329,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05004/id/3136585,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05004-R01-HB.PDF
1904826,3198549,text,247043,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05004/id/3198549,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05004-R02-HB.PDF
1905238,3042155,text,42121,application/pdf,Introduced,https://legiscan.com/CT/text/HB05005/id/3042155,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05005-R00-HB.PDF
1904890,3041806,text,41478,application/pdf,Introduced,https://legiscan.com/CT/text/HB05006/id/3041806,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05006-R00-HB.PDF
1904865,3041781,text,40933,application/pdf,Introduced,https://legiscan.com/CT/text/HB05007/id/3041781,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05007-R00-HB.PDF
1904839,3041755,text,43365,application/pdf,Introduced,https://legiscan.com/CT/text/HB05008/id/3041755,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05008-R00-HB.PDF
1904839,3173732,text,88989,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05008/id/3173732,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05008-R01-HB.PDF
1904839,3200355,text,74101,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05008/id/3200355,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05008-R02-HB.PDF
1905153,3042070,text,43396,application/pdf,Introduced,https://legiscan.com/CT/text/HB05009/id/3042070,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05009-R00-HB.PDF
1905228,3042145,text,41418,application/pdf,Introduced,https://legiscan.com/CT/text/HB05010/id/3042145,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05010-R00-HB.PDF
1905045,3041962,text,42283,application/pdf,Introduced,https://legiscan.com/CT/text/HB05011/id/3041962,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05011-R00-HB.PDF
1905135,3042052,text,39924,application/pdf,Introduced,https://legiscan.com/CT/text/HB05012/id/3042052,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05012-R00-HB.PDF
1905135,3077037,text,75976,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05012/id/3077037,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05012-R01-HB.PDF
1905135,3156466,text,62728,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05012/id/3156466,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05012-R02-HB.PDF
1905146,3042063,text,39994,application/pdf,Introduced,https://legiscan.com/CT/text/HB05013/id/3042063,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05013-R00-HB.PDF
1905146,3075622,text,90505,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05013/id/3075622,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05013-R01-HB.PDF
1905146,3180891,text,87255,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05013/id/3180891,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05013-R02-HB.PDF
1904812,3041728,text,40043,application/pdf,Introduced,https://legiscan.com/CT/text/HB05014/id/3041728,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05014-R00-HB.PDF
1905091,3042008,text,42010,application/pdf,Introduced,https://legiscan.com/CT/text/HB05015/id/3042008,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05015-R00-HB.PDF
1905091,3075607,text,84921,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05015/id/3075607,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05015-R01-HB.PDF
1905091,3154023,text,82694,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05015/id/3154023,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05015-R02-HB.PDF
1905252,3042169,text,39699,application/pdf,Introduced,https://legiscan.com/CT/text/HB05016/id/3042169,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05016-R00-HB.PDF
1905225,3042142,text,40409,application/pdf,Introduced,https://legiscan.com/CT/text/HB05017/id/3042142,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05017-R00-HB.PDF
1905225,3076581,text,83137,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05017/id/3076581,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05017-R01-HB.PDF
1905225,3180931,text,79926,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05017/id/3180931,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05017-R02-HB.PDF
1904947,3041863,text,41597,application/pdf,Introduced,https://legiscan.com/CT/text/HB05018/id/3041863,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05018-R00-HB.PDF
1905084,3042001,text,40444,application/pdf,Introduced,https://legiscan.com/CT/text/HB05019/id/3042001,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05019-R00-HB.PDF
1905084,3079100,text,170148,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05019/id/3079100,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05019-R01-HB.PDF
1905084,3180894,text,151450,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05019/id/3180894,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05019-R02-HB.PDF
1905084,3222840,text,151795,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB05019/id/3222840,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05019-R03-HB.PDF
1905036,3041953,text,40402,application/pdf,Introduced,https://legiscan.com/CT/text/HB05020/id/3041953,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05020-R00-HB.PDF
1904924,3041840,text,40405,application/pdf,Introduced,https://legiscan.com/CT/text/HB05021/id/3041840,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05021-R00-HB.PDF
1904900,3041816,text,40127,application/pdf,Introduced,https://legiscan.com/CT/text/HB05022/id/3041816,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05022-R00-HB.PDF
1904870,3041786,text,42263,application/pdf,Introduced,https://legiscan.com/CT/text/HB05023/id/3041786,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05023-R00-HB.PDF
1905014,3041931,text,41042,application/pdf,Introduced,https://legiscan.com/CT/text/HB05024/id/3041931,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05024-R00-HB.PDF
1904806,3041722,text,41703,application/pdf,Introduced,https://legiscan.com/CT/text/HB05025/id/3041722,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05025-R00-HB.PDF
1904820,3041736,text,43256,application/pdf,Introduced,https://legiscan.com/CT/text/HB05026/id/3041736,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05026-R00-HB.PDF
1905183,3042100,text,42143,application/pdf,Introduced,https://legiscan.com/CT/text/HB05027/id/3042100,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05027-R00-HB.PDF
