people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
5629,"Finance, Revenue and Bonding Committee",,,,,,0,,3,Jnt,,0,0,,,0,1346
5631,"Martin Looney",Martin,M.,Looney,,,1,D,2,Sen,SD-011,13011269,7117,,Martin_Looney,193219,0
5639,"John Fonfara",John,W.,Fonfara,,,1,D,2,Sen,SD-001,6404914,7180,,John_Fonfara,193209,0
5650,"Susan Johnson",Susan,M.,Johnson,,,1,D,1,Rep,HD-049,12998231,22189,,Susan_Johnson_(Connecticut_Representative),271897,0
5662,"Mary Mushinsky",Mary,M.,Mushinsky,,,1,D,1,Rep,HD-085,3709750,7230,,Mary_Mushinsky,193328,0
5664,"Toni Walker",Toni,E.,Walker,,,1,D,1,Rep,HD-093,6415526,30545,,Toni_Walker,425080,0
5667,"Juan Candelaria",Juan,R.,Candelaria,,,1,D,1,Rep,HD-095,6404765,30401,,Juan_Candelaria,212425,0
5671,"Insurance and Real Estate Committee",,,,,,0,,3,Jnt,,0,0,,,0,1352
5683,"Larry Butler",Larry,B.,Butler,,,1,D,1,Rep,HD-072,12998278,68422,,Larry_Butler_(Connecticut),249608,0
5686,"Robert Duff",Robert,B.,Duff,,Bob,1,D,2,Sen,SD-025,6378460,30430,,Bob_Duff_(Connecticut),210076,0
5689,"Higher Education and Employment Advancement Committee",,,,,,0,,3,Jnt,,0,0,,,0,1349
5711,"Matthew Lesser",Matthew,,Lesser,,Matt,1,D,2,Sen,SD-009,6495377,107330,,Matthew_Lesser,272155,0
5715,"Labor and Public Employees Committee",,,,,,0,,3,Jnt,,0,0,,,0,1355
5721,"Patricia Miller",Patricia,Billie,Miller,,,1,D,2,Sen,SD-027,6495398,105769,,Patricia_Miller_(Connecticut),271908,0
5722,"Human Services Committee",,,,,,0,,3,Jnt,,0,0,,,0,1351
5723,"John Kissel",John,A.,Kissel,,,2,R,2,Sen,SD-007,6574399,7116,,John_Kissel,193215,0
5726,"Jason Perillo",Jason,D.,Perillo,,,2,R,1,Rep,HD-113,6678301,106368,,Jason_Perillo,259488,0
5728,"Kevin Ryan",Kevin,,Ryan,,,1,D,1,Rep,HD-139,6378351,7247,,Kevin_Ryan,193382,0
5729,"Commerce Committee",,,,,,0,,3,Jnt,,0,0,,,0,1341
5731,"Environment Committee",,,,,,0,,3,Jnt,,0,0,,,0,1344
5734,"General Law Committee",,,,,,0,,3,Jnt,,0,0,,,0,1347
5741,"Public Safety and Security Committee",,,,,,0,,3,Jnt,,0,0,,,0,1360
5750,"Jason Rojas",Jason,,Rojas,,,1,D,1,Rep,HD-009,6495441,72915,,Jason_Rojas,271892,0
5753,"Energy and Technology Committee",,,,,,0,,3,Jnt,,0,0,,,0,1343
5759,"Planning and Development Committee",,,,,,0,,3,Jnt,,0,0,,,0,1357
5767,"Bob Godfrey",Bob,,Godfrey,,,1,D,1,Rep,HD-110,6384109,7193,,Bob_Godfrey,193353,0
5768,"Judiciary Committee",,,,,,0,,3,Jnt,,0,0,,,0,1354
5769,"Public Health Committee",,,,,,0,,3,Jnt,,0,0,,,0,1359
5770,"Henry Genga",Henry,J.,Genga,,,1,D,1,Rep,HD-010,12998148,58698,,Henry_Genga,242318,0
5774,"Education Committee",,,,,,0,,3,Jnt,,0,0,,,0,1342
5775,"Government Administration and Elections Committee",,,,,,0,,3,Jnt,,0,0,,,0,1348
5776,"Housing Committee",,,,,,0,,3,Jnt,,0,0,,,0,1350
5778,"Transportation Committee",,,,,,0,,3,Jnt,,0,0,,,0,1362
5779,"Vincent Candelora",Vincent,J.,Candelora,,,2,R,1,Rep,HD-086,6672696,65266,,Vincent_Candelora,249614,0
5780,"Appropriations Committee",,,,,,0,,3,Jnt,,0,0,,,0,1338
5785,"Douglas McCrory",Douglas,,McCrory,,,1,D,2,Sen,SD-002,6462135,30617,,Douglas_McCrory,227620,0
5789,"Minnie Gonzalez",Minnie,,Gonzalez,,,1,D,1,Rep,HD-003,6404529,14045,,Minnie_Gonzalez,193246,0
