bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1904811,1475523,2025-01-27,Joint,"PD Vote Tally Sheet (Reserved for Subject Matter Public Hearing)",0,0,0,0,0
1904820,1493803,2025-02-18,Joint,"FIN Vote Tally Sheet (Reserved for Subject Matter Public Hearing)",0,0,0,0,0
1904826,1484836,2025-02-10,Joint,"ENV Vote Tally Sheet (Vote to Draft)",23,11,0,1,35
1904826,1518008,2025-03-14,Joint,"ENV Vote Tally Sheet (Joint Favorable Substitute)",23,10,0,1,34
1904826,1518009,2025-03-14,Joint,"ENV Vote Tally Sheet-A",10,19,0,5,34
1904826,1518010,2025-03-14,Joint,"ENV Vote Tally Sheet-B",8,20,0,6,34
1904826,1518011,2025-03-14,Joint,"ENV Vote Tally Sheet-C",8,21,0,5,34
1904826,1564141,2025-05-01,House,"House Roll Call Vote 62 AS AMENDED ",98,47,0,6,151
1904839,1473925,2025-01-23,Joint,"CE Vote Tally Sheet (Reserved for Subject Matter Public Hearing)",0,0,0,0,0
1904839,1502421,2025-02-20,Joint,"CE Vote Tally Sheet (Vote to Draft)",0,0,0,0,0
1904839,1519497,2025-03-18,Joint,"CE Vote Tally Sheet (Joint Favorable)",20,0,0,0,20
1904839,1568847,2025-05-08,House,"House Roll Call Vote 76 ",141,0,0,10,151
1904846,1474521,2025-01-23,Joint,"HSG Vote Tally Sheet (Reserved for Subject Matter Public Hearing)",14,6,0,0,20
1904846,1495228,2025-02-20,Joint,"HSG Vote Tally Sheet (Vote to Draft)",12,6,0,2,20
1904846,1508652,2025-03-06,Joint,"HSG Vote Tally Sheet (Joint Favorable)",12,6,0,2,20
1904846,1565378,2025-05-05,Joint,"FIN Vote Tally Sheet (Joint Favorable)",32,20,0,2,54
1904847,1474477,2025-01-23,Joint,"HSG Vote Tally Sheet (Reserved for Subject Matter Public Hearing)",20,0,0,0,20
1904847,1496069,2025-02-20,Joint,"HSG Vote Tally Sheet (Vote to Draft)",12,6,0,2,20
