bill_id,people_id,position
1904806,18268,2
1904806,20468,1
1904807,16955,1
1904808,5711,1
1904809,18667,1
1904810,5793,1
1904810,16706,2
1904811,16245,1
1904811,16790,2
1904812,17916,1
1904813,16432,1
1904814,5793,1
1904815,18667,1
1904818,5793,1
1904819,16527,3
1904819,18667,1
1904819,22099,2
1904820,5683,21
1904820,5767,4
1904820,5770,37
1904820,5779,2
1904820,5825,44
1904820,11150,33
1904820,11373,34
1904820,14845,24
1904820,14846,48
1904820,14847,9
1904820,15088,20
1904820,16245,13
1904820,16527,47
1904820,16650,17
1904820,16790,23
1904820,16955,18
1904820,17224,43
1904820,17225,49
1904820,17916,1
1904820,17939,6
1904820,18256,45
1904820,18262,36
1904820,18266,22
1904820,18278,10
1904820,18279,38
1904820,20277,16
1904820,20278,39
1904820,20284,8
1904820,20285,26
1904820,20291,28
1904820,20468,42
1904820,20915,27
1904820,22089,25
1904820,22093,15
1904820,22099,31
1904820,22101,41
1904820,22105,11
1904820,22107,7
1904820,23569,30
1904820,23648,40
1904820,23653,32
1904820,23831,3
1904820,23832,46
1904820,23833,12
1904820,23840,19
1904820,23846,35
1904820,25164,14
1904820,25973,29
1904820,25979,5
1904821,18667,1
1904822,17224,1
1904822,17916,2
1904823,24227,1
1904824,5723,1
1904825,24227,1
1904826,5631,55
1904826,5650,63
1904826,5662,15
1904826,5728,50
1904826,5731,1
1904826,5750,3
1904826,5767,57
1904826,5770,65
1904826,5807,32
1904826,10807,2
1904826,10945,61
1904826,11374,46
1904826,13879,22
1904826,15293,62
1904826,16790,5
1904826,17916,4
1904826,17939,6
1904826,18260,51
1904826,18262,17
1904826,19557,24
1904826,20272,43
1904826,20279,47
1904826,20280,27
1904826,20284,64
1904826,20285,44
1904826,20286,13
1904826,20469,48
1904826,21034,54
1904826,21319,12
1904826,21355,58
1904826,22090,28
1904826,22092,26
1904826,22094,23
1904826,22100,38
1904826,22101,29
1904826,22102,37
1904826,22104,49
1904826,22107,34
1904826,22925,33
1904826,23102,66
1904826,23567,39
1904826,23568,25
1904826,23569,18
1904826,23572,52
1904826,23573,42
1904826,23650,35
1904826,23653,14
1904826,23831,7
1904826,23833,11
1904826,23839,45
1904826,23840,60
1904826,23842,20
1904826,23844,53
1904826,23845,36
1904826,24915,31
1904826,25968,41
1904826,25972,8
1904826,25973,56
1904826,25975,30
1904826,25976,9
1904826,25977,21
1904826,25979,40
