bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1894920,2135,H0011,3,Enrolled,2025-04-30,"Municipal Water and Sewer Utility Rates","Requires municipality to charge customers receiving its utility services in another municipality same rates, fees, & charges as it charges consumers within its own municipal boundaries under certain circumstances.",0,,2025-04-30,"Ordered engrossed, then enrolled",https://legiscan.com/FL/bill/H0011/2025,https://www.flsenate.gov/Session/Bill/2025/11
1894895,2135,H0013,1,Introduced,2024-12-06,"Windstorm Coverage by Citizens Property Insurance Corporation","Requires Citizens Property Insurance Corporation to make windstorm coverage available to homeowners for any residential structures and to commercial lines residential structures; provides requirements for windstorm coverage; authorizes homeowners to obtain windstorm coverage from certain insurance agents; provides underwriting & administering requirements for windstorm coverage portion of insurance; provides requirements for claims settlement payments; revises requirements for corporation&#39;s plan of operation; revises certain statements obtained by agents from applicants for coverage from corporation.",0,,2025-02-28,"Withdrawn prior to introduction",https://legiscan.com/FL/bill/H0013/2025,https://www.flsenate.gov/Session/Bill/2025/13
1894890,2135,H0015,1,Introduced,2024-12-06,"Storage of Handguns in Private Conveyances and Vessels","Provides requirements for storage of handguns in private conveyances & vessels; requires law enforcement agencies to engage in specified promotional campaign; requires counties to adopt specified ordinances concerning parents of children who have been found to have stolen handgun from conveyances or vessels.",0,,2025-05-03,"Indefinitely postponed and withdrawn from consideration",https://legiscan.com/FL/bill/H0015/2025,https://www.flsenate.gov/Session/Bill/2025/15
1894925,2135,H0017,1,Introduced,2024-12-06,"Florida Bright Futures Scholarship Program","Requires public middle schools to provide for administration of PSAT/NMSQT to students who meet specified criteria for specified purposes relating to Florida Bright Futures Program; requires specified test preparation resources & information be provided to certain students; provides for funding for such assessments & resources; & revises eligibility criteria for certain awards under Florida Bright Futures Scholarship Program.",0,,2025-05-03,"Indefinitely postponed and withdrawn from consideration",https://legiscan.com/FL/bill/H0017/2025,https://www.flsenate.gov/Session/Bill/2025/17
1894906,2135,H0019,1,Introduced,2024-12-06,"Victims of Domestic Violence and Dating Violence","Requires Division of Telecommunications within DMS to consult with certain entities to conduct feasibility study regarding specified alert system; provides requirements for such alert system; requires division to report to Legislature results of feasibility study by specified date; revises legislative findings to include victims of dating violence; defines ""dating violence""; authorizes victims of dating violence to apply to participate in Attorney General&#39;s address confidentiality program.",0,,2025-05-03,"Indefinitely postponed and withdrawn from consideration",https://legiscan.com/FL/bill/H0019/2025,https://www.flsenate.gov/Session/Bill/2025/19
1894885,2135,H0021,2,Engrossed,2025-04-23,"Dental Therapy","Authorizes Medicaid to reimburse for dental services provided by certain mobile dental units; creates Council on Dental Therapy; specifies licensure requirements, services, limitations, & prohibitions relating to practice of dental therapy; requires DOH, in consultation with Board of Dentistry & AHCA, to submit reports to Legislature.",0,,2025-05-03,"Indefinitely postponed and withdrawn from consideration",https://legiscan.com/FL/bill/H0021/2025,https://www.flsenate.gov/Session/Bill/2025/21
1894901,2135,H0023,1,Introduced,2024-12-06,"Prescriptive Authority Certification for Psychologists","Requires Board of Psychology to certify psychologists to exercise prescriptive authority if specified criteria are met; requires board to maintain current record of every prescribing psychologist authorized to prescribe controlled substances; requires board to establish interim panel; requires panel to submit recommendations for rules to board by specified date; requires panel to develop formulary for prescribing psychologists; provides for expiration of panel on specified date.",0,,2025-05-03,"Indefinitely postponed and withdrawn from consideration",https://legiscan.com/FL/bill/H0023/2025,https://www.flsenate.gov/Session/Bill/2025/23
1894910,2135,H0025,1,Introduced,2024-12-06,"Damages Recoverable in Wrongful Death Actions","Removes provision that prohibits adult children & parents of adult children from recovering certain damages in medical negligence suits.",0,,2025-02-28,"Withdrawn prior to introduction",https://legiscan.com/FL/bill/H0025/2025,https://www.flsenate.gov/Session/Bill/2025/25
1894929,2135,H0027,2,Engrossed,2025-04-10,"Social Work Licensure Interstate Compact","Creates Social Work Licensure Interstate Compact; provides for recognition of access to social work services, including through telehealth, in member states; provides for development of data system, reporting procedures, & exchange of specified information between member states; specifies licensees practicing in remote state under compact must adhere to laws & rules of that state.",0,,2025-05-03,"Indefinitely postponed and withdrawn from consideration",https://legiscan.com/FL/bill/H0027/2025,https://www.flsenate.gov/Session/Bill/2025/27
1894965,2135,H0029,2,Engrossed,2025-04-10,"Pub. Rec. and Meetings/Social Work Licensure Interstate Compact","Provides public records & meetings exemptions relating to Social Work Licensure Interstate Compact & its committees; provides for future legislative review & repeal of exemptions; provides statements of public necessity.",0,,2025-05-03,"Indefinitely postponed and withdrawn from consideration",https://legiscan.com/FL/bill/H0029/2025,https://www.flsenate.gov/Session/Bill/2025/29
1894992,2135,H0031,1,Introduced,2024-12-09,"Carrying and Possession of Weapons and Firearms","Prohibits carrying of concealed handgun or unconcealed firearm without license & possession of such handgun or firearm without valid identification; repeals provisions relating to arrests without warrant & exemption from licensing requirements for law enforcement officers; allows open carrying of any otherwise legal firearm or electric weapon or device; revises list of places into which person may not carry handgun or concealed weapon or concealed firearm; provides exceptions; deletes provisions relating to open carry, collection of fees for licenses to carry concealed weapons or concealed firearms, allowing school districts to restrict possession of firearm in vehicle, exceptions to statutory protections of right to keep & bear arms in motor vehicles; revises definition of ""bump-fire stock""; repeals provisions for risk protection orders.",0,,2025-01-02,"Withdrawn prior to introduction",https://legiscan.com/FL/bill/H0031/2025,https://www.flsenate.gov/Session/Bill/2025/31
1894985,2135,H0033,1,Introduced,2024-12-09,"Agreement Among the States to Elect the President by National Popular Vote","Provides for enactment of Agreement Among States to Elect President by National Popular Vote; provides method by which state may become member state; requires statewide popular election for President & Vice President of U.S.; establishes procedure for appointing presidential electors in member states; provides that agreement becomes effective upon occurrence of specified actions; provides for withdrawal of member state; requires notification of member states when agreement takes effect in nonmember state or when member state withdraws from agreement.",0,,2025-05-03,"Indefinitely postponed and withdrawn from consideration",https://legiscan.com/FL/bill/H0033/2025,https://www.flsenate.gov/Session/Bill/2025/33
