bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1894920,3030748,text,156692,application/pdf,Introduced,https://legiscan.com/FL/text/H0011/id/3030748,https://www.flsenate.gov/Session/Bill/2025/11/BillText/Filed/PDF
1894920,3225855,text,102507,application/pdf,Engrossed,https://legiscan.com/FL/text/H0011/id/3225855,https://www.flsenate.gov/Session/Bill/2025/11/BillText/e1/PDF
1894920,3225856,text,103847,application/pdf,Enrolled,https://legiscan.com/FL/text/H0011/id/3225856,https://www.flsenate.gov/Session/Bill/2025/11/BillText/er/PDF
1894895,3030736,text,589835,application/pdf,Introduced,https://legiscan.com/FL/text/H0013/id/3030736,https://www.flsenate.gov/Session/Bill/2025/13/BillText/Filed/PDF
1894890,3030733,text,163782,application/pdf,Introduced,https://legiscan.com/FL/text/H0015/id/3030733,https://www.flsenate.gov/Session/Bill/2025/15/BillText/Filed/PDF
1894925,3030751,text,169487,application/pdf,Introduced,https://legiscan.com/FL/text/H0017/id/3030751,https://www.flsenate.gov/Session/Bill/2025/17/BillText/Filed/PDF
1894906,3030742,text,184311,application/pdf,Introduced,https://legiscan.com/FL/text/H0019/id/3030742,https://www.flsenate.gov/Session/Bill/2025/19/BillText/Filed/PDF
1894906,3158132,text,172324,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0019/id/3158132,https://www.flsenate.gov/Session/Bill/2025/19/BillText/c1/PDF
1894885,3030731,text,392510,application/pdf,Introduced,https://legiscan.com/FL/text/H0021/id/3030731,https://www.flsenate.gov/Session/Bill/2025/21/BillText/Filed/PDF
1894885,3118238,text,404210,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0021/id/3118238,https://www.flsenate.gov/Session/Bill/2025/21/BillText/c1/PDF
1894885,3213560,text,408673,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0021/id/3213560,https://www.flsenate.gov/Session/Bill/2025/21/BillText/c2/PDF
1894901,3030738,text,173552,application/pdf,Introduced,https://legiscan.com/FL/text/H0023/id/3030738,https://www.flsenate.gov/Session/Bill/2025/23/BillText/Filed/PDF
1894910,3030744,text,154901,application/pdf,Introduced,https://legiscan.com/FL/text/H0025/id/3030744,https://www.flsenate.gov/Session/Bill/2025/25/BillText/Filed/PDF
1894929,3030752,text,345433,application/pdf,Introduced,https://legiscan.com/FL/text/H0027/id/3030752,https://www.flsenate.gov/Session/Bill/2025/27/BillText/Filed/PDF
1894929,3118125,text,350898,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0027/id/3118125,https://www.flsenate.gov/Session/Bill/2025/27/BillText/c1/PDF
1894965,3031074,text,161987,application/pdf,Introduced,https://legiscan.com/FL/text/H0029/id/3031074,https://www.flsenate.gov/Session/Bill/2025/29/BillText/Filed/PDF
1894965,3118771,text,158208,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0029/id/3118771,https://www.flsenate.gov/Session/Bill/2025/29/BillText/c1/PDF
1894992,3031130,text,253048,application/pdf,Introduced,https://legiscan.com/FL/text/H0031/id/3031130,https://www.flsenate.gov/Session/Bill/2025/31/BillText/Filed/PDF
1894985,3031124,text,160620,application/pdf,Introduced,https://legiscan.com/FL/text/H0033/id/3031124,https://www.flsenate.gov/Session/Bill/2025/33/BillText/Filed/PDF
1894972,3031118,text,174743,application/pdf,Introduced,https://legiscan.com/FL/text/H0035/id/3031118,https://www.flsenate.gov/Session/Bill/2025/35/BillText/Filed/PDF
1894990,3031128,text,191791,application/pdf,Introduced,https://legiscan.com/FL/text/H0037/id/3031128,https://www.flsenate.gov/Session/Bill/2025/37/BillText/Filed/PDF
1894990,3200250,text,188783,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0037/id/3200250,https://www.flsenate.gov/Session/Bill/2025/37/BillText/c1/PDF
1894982,3031123,text,150922,application/pdf,Introduced,https://legiscan.com/FL/text/H0039/id/3031123,https://www.flsenate.gov/Session/Bill/2025/39/BillText/Filed/PDF
1895697,3031818,text,161544,application/pdf,Introduced,https://legiscan.com/FL/text/H0041/id/3031818,https://www.flsenate.gov/Session/Bill/2025/41/BillText/Filed/PDF
1895697,3158096,text,161057,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0041/id/3158096,https://www.flsenate.gov/Session/Bill/2025/41/BillText/c1/PDF
1895792,3031926,text,158929,application/pdf,Introduced,https://legiscan.com/FL/text/H0043/id/3031926,https://www.flsenate.gov/Session/Bill/2025/43/BillText/Filed/PDF
1895792,3173982,text,157487,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0043/id/3173982,https://www.flsenate.gov/Session/Bill/2025/43/BillText/c1/PDF
1895763,3031904,text,150354,application/pdf,Introduced,https://legiscan.com/FL/text/H0045/id/3031904,https://www.flsenate.gov/Session/Bill/2025/45/BillText/Filed/PDF
1896448,3032834,text,214820,application/pdf,Introduced,https://legiscan.com/FL/text/H0047/id/3032834,https://www.flsenate.gov/Session/Bill/2025/47/BillText/Filed/PDF
1896448,3155052,text,206970,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0047/id/3155052,https://www.flsenate.gov/Session/Bill/2025/47/BillText/c1/PDF
1896448,3192142,text,341385,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0047/id/3192142,https://www.flsenate.gov/Session/Bill/2025/47/BillText/c2/PDF
1896448,3205351,text,339867,application/pdf,"Comm Sub",https://legiscan.com/FL/text/H0047/id/3205351,https://www.flsenate.gov/Session/Bill/2025/47/BillText/c3/PDF
1896794,3033466,text,151032,application/pdf,Introduced,https://legiscan.com/FL/text/H0049/id/3033466,https://www.flsenate.gov/Session/Bill/2025/49/BillText/Filed/PDF
1896964,3033757,text,166352,application/pdf,Introduced,https://legiscan.com/FL/text/H0051/id/3033757,https://www.flsenate.gov/Session/Bill/2025/51/BillText/Filed/PDF
1897052,3033828,text,204207,application/pdf,Introduced,https://legiscan.com/FL/text/H0053/id/3033828,https://www.flsenate.gov/Session/Bill/2025/53/BillText/Filed/PDF
1897010,3033796,text,157457,application/pdf,Introduced,https://legiscan.com/FL/text/H0055/id/3033796,https://www.flsenate.gov/Session/Bill/2025/55/BillText/Filed/PDF
