bill_id,date,chamber,sequence,action
1885907,2024-08-02,Senate,1,Filed
1885907,2024-11-20,Senate,2,"Referred to Special Master on Claim Bills; Judiciary; Appropriations Committee on Health and Human Services; Appropriations"
1885907,2025-03-04,Senate,3,Introduced
1885907,2025-03-27,Senate,4,"Recommendation: Favorable by Special Master on Claim Bills"
1885907,2025-03-27,Senate,5,"Now in Judiciary"
1885907,2025-03-27,Senate,6,"On Committee agenda-- Judiciary, 04/01/25, 4:00 pm, 110 Senate Building"
1885907,2025-04-01,Senate,7,"CS by Judiciary; YEAS 10 NAYS 1"
1885907,2025-04-02,Senate,8,"Pending reference review under Rule 4.7(2) - (Committee Substitute)"
1885907,2025-04-03,Senate,9,"Now in Appropriations Committee on Health and Human Services"
1885907,2025-04-03,Senate,10,"CS by Judiciary read 1st time"
1885907,2025-04-10,Senate,11,"On Committee agenda-- Appropriations Committee on Health and Human Services, 04/15/25, 8:30 am, 412 Knott Building"
1885907,2025-04-15,Senate,12,"Favorable by Appropriations Committee on Health and Human Services; YEAS 10 NAYS 0"
1885907,2025-04-15,Senate,13,"Now in Appropriations"
1885907,2025-04-17,Senate,14,"On Committee agenda-- Appropriations, 04/22/25, 11:00 am, 110 Senate Building"
1885907,2025-04-22,Senate,15,"Favorable by- Appropriations; YEAS 17 NAYS 0"
1885907,2025-04-22,Senate,16,"Placed on Calendar, on 2nd reading"
1885907,2025-05-03,Senate,17,"Indefinitely postponed and withdrawn from consideration"
1885934,2024-08-02,Senate,1,Filed
1885934,2024-11-20,Senate,2,"Referred to Special Master on Claim Bills; Judiciary; Health Policy; Rules"
1885934,2025-03-18,Senate,3,Introduced
1885934,2025-03-20,Senate,4,"Recommendation: Favorable by Special Master on Claim Bills"
1885934,2025-03-20,Senate,5,"Now in Judiciary"
1885934,2025-03-20,Senate,6,"On Committee agenda-- Judiciary, 03/25/25, 4:00 pm, 110 Senate Building"
1885934,2025-03-25,Senate,7,"Favorable by Judiciary; YEAS 10 NAYS 0"
1885934,2025-03-26,Senate,8,"Now in Health Policy"
1885934,2025-03-27,Senate,9,"On Committee agenda-- Health Policy, 04/01/25, 1:30 pm, 412 Knott Building"
1885934,2025-04-01,Senate,10,"CS by Health Policy; YEAS 9 NAYS 1"
1885934,2025-04-03,Senate,11,"Pending reference review under Rule 4.7(2) - (Committee Substitute)"
1885934,2025-04-03,Senate,12,"Now in Rules"
1885934,2025-04-03,Senate,13,"On Committee agenda-- Rules, 04/08/25, 9:00 am, 412 Knott Building"
1885934,2025-04-03,Senate,14,"CS by Health Policy read 1st time"
1885934,2025-04-08,Senate,15,"Favorable by- Rules; YEAS 23 NAYS 1"
1885934,2025-04-08,Senate,16,"Placed on Calendar, on 2nd reading"
1885934,2025-04-10,Senate,17,"Placed on Special Order Calendar, 04/15/25"
1885934,2025-04-15,Senate,18,"Read 2nd time"
1885934,2025-04-15,Senate,19,"Read 3rd time"
1885934,2025-04-15,Senate,20,"CS passed; YEAS 34 NAYS 0"
1885934,2025-04-15,Senate,21,"Immediately certified"
1885934,2025-04-15,House,22,"In Messages"
1885934,2025-04-28,House,23,"Bill referred to House Calendar"
1885934,2025-04-28,House,24,"Bill added to Special Order Calendar (4/29/2025)"
1885934,2025-04-28,House,25,"1st Reading (Committee Substitute 1)"
1885934,2025-04-29,House,26,"Read 2nd time"
1885934,2025-04-29,House,27,"Placed on 3rd reading"
1885934,2025-04-29,House,28,"Added to Third Reading Calendar"
1885934,2025-04-29,House,29,"Read 3rd time"
1885934,2025-04-29,House,30,"CS passed; YEAS 116, NAYS 0"
1885934,2025-04-29,Senate,31,"Ordered enrolled"
1885961,2024-08-02,Senate,1,Filed
1885961,2024-11-20,Senate,2,"Referred to Special Master on Claim Bills; Judiciary; Health Policy; Rules"
1885961,2025-03-04,Senate,3,Introduced
1885961,2025-03-14,Senate,4,"Recommendation: Favorable by Special Master on Claim Bills"
1885961,2025-03-14,Senate,5,"Now in Judiciary"
1885961,2025-03-14,Senate,6,"On Committee agenda-- Judiciary, 03/19/25, 9:00 am, 110 Senate Building"
1885961,2025-03-19,Senate,7,"Favorable by Judiciary; YEAS 10 NAYS 1"
1885961,2025-03-19,Senate,8,"Now in Health Policy"
1885961,2025-03-27,Senate,9,"On Committee agenda-- Health Policy, 04/01/25, 1:30 pm, 412 Knott Building"
1885961,2025-04-01,Senate,10,"Favorable by Health Policy; YEAS 9 NAYS 1"
1885961,2025-04-02,Senate,11,"Now in Rules"
1885961,2025-04-03,Senate,12,"On Committee agenda-- Rules, 04/08/25, 9:00 am, 412 Knott Building"
1885961,2025-04-08,Senate,13,"CS by- Rules; YEAS 23 NAYS 1"
1885961,2025-04-10,Senate,14,"Pending reference review -under Rule 4.7(2) - (Committee Substitute)"
1885961,2025-04-10,Senate,15,"Placed on Calendar, on 2nd reading"
1885961,2025-04-10,Senate,16,"Placed on Special Order Calendar, 04/15/25"
1885961,2025-04-14,Senate,17,"CS by Rules read 1st time"
1885961,2025-04-15,Senate,18,"Read 2nd time"
1885961,2025-04-15,Senate,19,"Read 3rd time"
1885961,2025-04-15,Senate,20,"CS passed; YEAS 35 NAYS 0"
1885961,2025-04-15,Senate,21,"Immediately certified"
1885961,2025-04-15,House,22,"In Messages"
1885961,2025-04-28,House,23,"Bill referred to House Calendar"
1885961,2025-04-28,House,24,"Bill added to Special Order Calendar (4/29/2025)"
1885961,2025-04-28,House,25,"1st Reading (Committee Substitute 1)"
1885961,2025-04-29,House,26,"Read 2nd time"
1885961,2025-04-29,House,27,"Placed on 3rd reading"
1885961,2025-04-29,House,28,"Added to Third Reading Calendar"
1885961,2025-04-29,House,29,"Read 3rd time"
1885961,2025-04-29,House,30,"CS passed; YEAS 114, NAYS 0"
1885961,2025-04-29,Senate,31,"Ordered enrolled"
1885988,2024-08-02,Senate,1,Filed
1885988,2024-11-20,Senate,2,"Referred to Special Master on Claim Bills; Judiciary; Appropriations Committee on Criminal and Civil Justice; Appropriations"
1885988,2025-03-04,Senate,3,Introduced
1885988,2025-03-14,Senate,4,"Recommendation: Favorable by Special Master on Claim Bills"
1885988,2025-03-14,Senate,5,"Now in Judiciary"
1885988,2025-03-14,Senate,6,"On Committee agenda-- Judiciary, 03/19/25, 9:00 am, 110 Senate Building"
1885988,2025-03-19,Senate,7,"CS by Judiciary; YEAS 11 NAYS 0"
1885988,2025-03-19,Senate,8,"Pending reference review under Rule 4.7(2) - (Committee Substitute)"
1885988,2025-03-19,Senate,9,"CS by Judiciary read 1st time"
1885988,2025-03-20,Senate,10,"Now in Appropriations Committee on Criminal and Civil Justice"
1885988,2025-04-07,Senate,11,"On Committee agenda-- Appropriations Committee on Criminal and Civil Justice, 04/10/25, 11:00 am, 37 Senate Building"
