people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
1622,"Mackenson Bernard",Mackenson,,Bernard,,Mack,1,D,2,Sen,SD-024,6509133,112529,,Mack_Bernard,280956,0
1664,"Ed Hooper",Ed,,Hooper,,,2,R,2,Sen,SD-021,1287627,53831,,Ed_Hooper,248530,0
1678,"Debbie Mayfield",Debbie,,Mayfield,,,2,R,1,Rep,HD-032,68943,107965,,Debbie_Mayfield,269005,0
1706,"Darryl Rouson",Darryl,Ervin,Rouson,,,1,D,2,Sen,SD-016,157259,104952,,Darryl_Rouson,264391,0
1714,"Kelly Skidmore",Kelly,,Skidmore,,,1,D,1,Rep,HD-092,30956,68159,,Kelly_Skidmore,200983,0
1720,"Geraldine Thompson",Geraldine,F.,Thompson,,Geri,1,D,2,Sen,SD-015,22592,30749,,Geraldine_Thompson,248524,0
1749,"Don Gaetz",Don,,Gaetz,,,2,R,2,Sen,SD-001,333757,67756,,Don_Gaetz,249063,0
12360,"Ben Albritton",Ben,,Albritton,,,2,R,2,Sen,SD-027,12998756,117015,,Ben_Albritton,291098,0
12363,"Lori Berman",Lori,B.,Berman,,,1,D,2,Sen,SD-026,28610,117031,,Lori_Berman,291114,0
12366,"Jason Brodeur",Jason,T.,Brodeur,,,2,R,2,Sen,SD-010,67542,117042,,Jason_Brodeur,289456,0
12379,"Gayle Harrell",Gayle,B.,Harrell,,,2,R,2,Sen,SD-031,54371,53962,,Gayle_Harrell,205899,0
12387,"Kathleen Passidomo",Kathleen,C.,Passidomo,,,2,R,2,Sen,SD-028,70284,124279,,Kathleen_Passidomo,308804,0
12759,"Judiciary Committee",,,,,,0,,1,Rep,,0,0,,,0,2418
12763,"Children, Families, and Elder Affairs",,,,,,0,,2,Sen,,0,0,,,0,541
12765,"Banking and Insurance",,,,,,0,,2,Sen,,0,0,,,0,540
12766,"Community Affairs",,,,,,0,,2,Sen,,0,0,,,0,544
12767,Agriculture,,,,,,0,,2,Sen,,0,0,,,0,539
12774,"Criminal Justice Subcommittee",,,,,,0,,1,Rep,,0,0,,,0,2420
12775,"State Affairs Committee",,,,,,0,,1,Rep,,0,0,,,0,2427
12778,"Governmental Oversight and Accountability",,,,,,0,,2,Sen,,0,0,,,0,553
12780,"Criminal Justice",,,,,,0,,2,Sen,,0,0,,,0,546
12781,Judiciary,,,,,,0,,2,Sen,,0,0,,,0,558
12788,"Commerce and Tourism",,,,,,0,,2,Sen,,0,0,,,0,2439
12790,"Regulated Industries",,,,,,0,,2,Sen,,0,0,,,0,561
12791,Transportation,,,,,,0,,2,Sen,,0,0,,,0,563
12800,"Education Pre-K - 12",,,,,,0,,2,Sen,,0,0,,,0,547
12924,"Government Operations Subcommittee",,,,,,0,,1,Rep,,0,0,,,0,2430
12938,Rules,,,,,,0,,2,Sen,,0,0,,,0,562
14988,"Ethics and Elections",,,,,,0,,2,Sen,,0,0,,,0,550
14989,"Health Policy",,,,,,0,,2,Sen,,0,0,,,0,2689
15624,Appropriations,,,,,,0,,2,Sen,,0,0,,,0,2727
15947,"Bruce Antone",Bruce,,Antone,,,1,D,1,Rep,HD-041,1532328,53877,,Bruce_Antone,200765,0
15968,"Military and Veterans Affairs, Space, and Domestic Security",,,,,,0,,2,Sen,,0,0,,,0,3032
16026,"Shevrin Jones",Shevrin,D.,Jones,,Shev,1,D,2,Sen,SD-034,13889121,142186,,Shevrin_Jones,425634,0
16389,"Colleen Burton",Colleen,,Burton,,,2,R,2,Sen,SD-012,24949083,149396,,Colleen_Burton_(Florida),484631,0
16595,"Daniel Burgess",Daniel,Wright,Burgess,Jr.,Danny,2,R,2,Sen,SD-023,25004958,149394,,Daniel_Burgess,484629,0
16763,"Jay Trumbull",Jay,,Trumbull,,,2,R,2,Sen,SD-002,25005017,149501,,Jay_Trumbull,484526,0
17099,"Blaise Ingoglia",Blaise,,Ingoglia,,,2,R,2,Sen,SD-011,68334,149443,,Blaise_Ingoglia,484625,0
17173,"Bryan Avila",Bryan,,Avila,,,2,R,2,Sen,SD-039,15696405,138077,,Bryan_Avila,388830,0
17371,"Finance and Tax",,,,,,0,,2,Sen,,0,0,,,0,551
17607,"Fiscal Policy",,,,,,0,,2,Sen,,0,0,,,0,3211
17676,"Jim Boyd",Jim,,Boyd,,,2,R,2,Sen,SD-020,12998814,117037,,Jim_Boyd,293429,0
18057,"Joe Gruters",Joe,,Gruters,,,2,R,2,Sen,SD-022,12998816,17342,,Joe_Gruters,406446,0
19017,"Randy Fine",Randy,,Fine,,,2,R,2,Sen,SD-019,41676813,172909,,Randy_Fine,571780,0
19040,"Kimberly Daniels",Kimberly,,Daniels,,,1,D,1,Rep,HD-014,40751169,172823,,Kimberly_Daniels,571637,0
19047,"Tom Leek",Thomas,J.,Leek,,Tom,2,R,2,Sen,SD-007,42540514,172855,,Tom_Leek,571685,0
19064,"Erin Grall",Erin,K.,Grall,,,2,R,2,Sen,SD-029,61683,117112,,Erin_Grall,289453,0
19069,"Stan McClain",Stan,,McClain,,,2,R,2,Sen,SD-009,41676728,81346,,Stan_McClain,571677,0
19070,"Clay Yarborough",Clay,,Yarborough,,,2,R,2,Sen,SD-004,40769504,172816,,Clay_Yarborough,571636,0
19218,"Tracie Davis",Tracie,,Davis,,,1,D,2,Sen,SD-005,41612514,172818,,Tracie_Davis,588925,0
19337,"Carlos Smith",Carlos,Guillermo,Smith,,,1,D,2,Sen,SD-017,11029300,172901,,Carlos_Guillermo_Smith,571758,0
19345,"Commerce Committee",,,,,,0,,1,Rep,,0,0,,,0,3668
19426,"Daniel Perez",Daniel,,Perez,,,2,R,1,Rep,HD-116,43850320,176476,,Daniel_Anthony_Perez,638466,0
19490,"Lawrence McClure",Lawrence,,McClure,,,2,R,1,Rep,HD-068,43967912,176697,,Lawrence_McClure,649162,0
19698,"Tyler Sirois",Tyler,,Sirois,,,2,R,1,Rep,HD-031,45388091,117237,,Tyler_Sirois,293159,0
19701,"Anna Eskamani",Anna,V.,Eskamani,,,1,D,1,Rep,HD-042,45388083,184399,,Anna_Eskamani,652465,0
19703,"Josie Tomkow",Josie,,Tomkow,,,2,R,1,Rep,HD-051,44113816,177604,,Josie_Tomkow,666020,0
19738,"Will Robinson",Will,,Robinson,,,2,R,1,Rep,HD-071,42034326,184448,,Will_Robinson,652533,0
19912,"Chuck Brannan",Robert,Charles,Brannan,III,Chuck,2,R,1,Rep,HD-010,406477,184319,,Chuck_Brannan,652234,0
19919,"Alex Andrade",Robert,Alexander,Andrade,,Alex,2,R,1,Rep,HD-002,45388020,184315,,Alex_Andrade,652228,0
