bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1885907,1533902,2025-04-01,Senate,"Senate Judiciary",10,1,0,0,11
1885907,1554194,2025-04-22,Senate,"Senate Appropriations",17,0,0,1,18
1885934,1526608,2025-03-25,Senate,"Senate Judiciary",10,0,0,1,11
1885934,1534148,2025-04-01,Senate,"Senate Health Policy",9,1,0,0,10
1885934,1540251,2025-04-08,Senate,"Senate Rules",23,1,0,1,25
1885934,1548667,2025-04-15,Senate,"Senate: Third Reading RCS#9",34,0,2,2,38
1885934,1560087,2025-04-29,House,"House: Third Reading RCS#329",116,0,3,0,119
1885961,1520924,2025-03-19,Senate,"Senate Judiciary",10,1,0,0,11
1885961,1534054,2025-04-01,Senate,"Senate Health Policy",9,1,0,0,10
1885961,1540993,2025-04-08,Senate,"Senate Rules",23,1,0,1,25
1885961,1548971,2025-04-15,Senate,"Senate: Third Reading RCS#10",35,0,1,2,38
1885961,1560281,2025-04-29,House,"House: Third Reading RCS#332",114,0,5,0,119
1885988,1520786,2025-03-19,Senate,"Senate Judiciary",11,0,0,0,11
1885988,1544961,2025-04-10,Senate,"Senate Appropriations Committee on Criminal and Civil Justice",8,0,0,1,9
1885988,1552096,2025-04-17,Senate,"Senate Appropriations",16,0,0,2,18
1885988,1559929,2025-04-29,Senate,"Senate: Third Reading RCS#24",38,0,0,0,38
1885988,1562608,2025-04-30,House,"House: Third Reading RCS#385",112,0,7,0,119
1886040,1520826,2025-03-19,Senate,"Senate Judiciary",11,0,0,0,11
1886040,1531454,2025-03-31,Senate,"Senate Education Pre-K - 12",8,1,0,0,9
1886040,1539937,2025-04-08,Senate,"Senate Rules",23,1,0,1,25
1886040,1549024,2025-04-15,Senate,"Senate: Third Reading RCS#11",35,0,1,2,38
1886040,1560436,2025-04-29,House,"House: Third Reading RCS#328",116,0,3,0,119
1886094,1520825,2025-03-19,Senate,"Senate Judiciary",10,1,0,0,11
1886094,1543579,2025-04-10,Senate,"Senate Appropriations Committee on Agriculture, Environment, and General Government",11,0,0,1,12
1886094,1552045,2025-04-17,Senate,"Senate Appropriations",16,0,0,2,18
1886094,1559987,2025-04-29,Senate,"Senate: Third Reading RCS#25",37,0,1,0,38
1886094,1562620,2025-04-30,House,"House: Third Reading RCS#384",112,0,7,0,119
1886121,1526565,2025-03-25,Senate,"Senate Judiciary",10,0,0,1,11
1886121,1531495,2025-03-31,Senate,"Senate Community Affairs",8,0,0,0,8
1886148,1526421,2025-03-25,Senate,"Senate Judiciary",10,1,0,0,11
1886148,1531433,2025-03-31,Senate,"Senate Community Affairs",8,0,0,0,8
1886175,1526855,2025-03-25,Senate,"Senate Judiciary",10,0,0,1,11
1886175,1531356,2025-03-31,Senate,"Senate Community Affairs",8,0,0,0,8
1886200,1520813,2025-03-19,Senate,"Senate Judiciary",10,1,0,0,11
1886200,1526379,2025-03-25,Senate,"Senate Community Affairs",8,0,0,0,8
1886200,1532174,2025-04-01,Senate,"Senate Rules",23,1,0,1,25
1886200,1541635,2025-04-09,Senate,"Senate: Third Reading RCS#24",36,1,0,1,38
1886200,1560559,2025-04-29,House,"House: Third Reading RCS#331",113,0,6,0,119
1886227,1520862,2025-03-19,Senate,"Senate Judiciary",10,1,0,0,11
1886227,1526591,2025-03-25,Senate,"Senate Community Affairs",8,0,0,0,8
1886227,1532268,2025-04-01,Senate,"Senate Rules",23,1,0,1,25
1886227,1541622,2025-04-09,Senate,"Senate: Third Reading RCS#23",37,0,0,1,38
1886227,1560373,2025-04-29,House,"House: Third Reading RCS#330",115,0,4,0,119
1886332,1526509,2025-03-25,Senate,"Senate Judiciary",10,1,0,0,11
1892647,1506167,2025-03-04,Senate,"Senate Transportation",9,0,0,0,9
1892647,1532604,2025-04-01,Senate,"Senate Criminal Justice",9,0,0,0,9
1892647,1540209,2025-04-08,Senate,"Senate Rules",24,0,0,1,25
1892656,1486029,2025-02-11,Senate,"Senate Environment and Natural Resources",9,0,0,0,9
1892656,1505756,2025-03-05,Senate,"Senate Appropriations Committee on Agriculture, Environment, and General Government",11,0,0,2,13
1892656,1515772,2025-03-12,Senate,"Senate Rules",24,0,0,1,25
1892656,1521305,2025-03-19,Senate,"Senate: Third Reading RCS#6",39,0,0,0,39
1892666,1486453,2025-02-11,Senate,"Senate Judiciary",10,0,0,1,11
1892666,1527645,2025-03-26,Senate,"Senate Appropriations Committee on Criminal and Civil Justice",9,0,0,0,9
1892690,1486153,2025-02-11,Senate,"Senate Environment and Natural Resources",6,3,0,0,9
1892690,1519821,2025-03-18,Senate,"Senate Appropriations Committee on Agriculture, Environment, and General Government",10,2,0,1,13
1892690,1527707,2025-03-26,Senate,"Senate Rules",20,4,0,1,25
1892690,1535606,2025-04-03,Senate,"Senate: Third Reading RCS#8",28,9,0,1,38
1892690,1562557,2025-04-30,House,"House: Third Reading RCS#388",82,28,9,0,119
1892861,1486167,2025-02-11,Senate,"Senate Environment and Natural Resources",9,0,0,0,9
1893073,1503437,2025-03-03,Senate,"Senate Community Affairs",6,0,0,2,8
1893073,1527353,2025-03-25,Senate,"Senate Health Policy",10,0,0,0,10
1893073,1532044,2025-04-01,Senate,"Senate Rules",23,0,0,2,25
1893073,1559033,2025-04-28,Senate,"Senate: Third Reading RCS#17",36,0,0,2,38
1893073,1562133,2025-04-30,House,"House: Third Reading RCS#350",113,0,6,0,119
