bill_id,people_id,position
1885907,12781,1
1885907,18057,2
1885934,14989,1
1885934,23321,2
1885961,12938,1
1885961,20905,2
1885988,12781,1
1885988,20632,2
1886015,23320,1
1886040,23325,1
1886067,23320,1
1886094,12781,1
1886094,18057,2
1886121,21025,1
1886148,12781,1
1886148,20905,2
1886175,23321,1
1886200,16595,1
1886227,16026,1
1886253,18057,1
1886280,20905,1
1886307,16026,1
1886332,20905,1
1892637,21775,1
1892647,12791,2
1892647,12938,1
1892647,20905,3
1892656,17173,3
1892656,21775,2
1892656,24926,1
1892666,12781,2
1892666,21775,3
1892666,24927,1
1892675,20905,1
1892683,21775,1
1892690,12938,1
1892690,18057,6
1892690,19047,4
1892690,19070,5
1892690,21050,2
1892690,21775,3
1892696,21775,1
1892815,16026,3
1892815,20905,1
1892815,23121,2
1892861,20905,2
1892861,21050,1
1893011,21775,1
1893011,23321,2
1893070,21775,1
1893073,14989,1
1893073,23321,2
1893308,12363,1
1893308,19337,2
1893312,12363,1
1893312,20632,2
1893316,12363,1
1893316,19337,2
1893319,12363,1
1893319,19337,2
1893319,21780,3
1894582,19069,1
1894640,1622,7
1894640,1749,5
1894640,12379,2
1894640,17173,8
1894640,19218,6
1894640,19337,4
1894640,21050,1
1894640,22852,3
1894672,23324,1
1894688,12780,1
1894688,16595,2
1894688,23324,3
1894703,23324,1
1894885,21739,3
1894885,22167,4
1894885,24925,1
1894885,26413,2
1894890,19701,4
1894890,21887,1
1894890,21888,6
1894890,22173,8
1894890,22516,3
1894890,23066,2
1894890,23318,7
1894890,23322,5
1894895,19701,2
1894895,21888,3
1894895,22173,4
1894895,23317,1
1894901,23361,1
1894906,12774,1
1894906,19701,7
1894906,20540,8
1894906,21381,6
1894906,21701,4
1894906,21887,2
1894906,21888,10
1894906,22173,13
1894906,22660,3
1894906,23066,5
1894906,23318,11
1894906,23322,9
1894906,25384,12
1894910,19701,2
1894910,23318,1
1894915,12791,3
1894915,12938,1
1894915,19954,4
1894915,24924,2
1894920,22512,1
1894920,22516,2
1894920,22580,4
1894920,23322,3
1894925,21887,1
1894925,22173,4
1894925,23116,2
1894925,25384,3
1894929,19701,6
1894929,19960,15
1894929,20358,9
1894929,20422,8
1894929,21029,5
1894929,21888,2
1894929,22167,14
1894929,22173,16
1894929,22580,12
1894929,22672,11
1894929,22722,3
1894929,23066,4
1894929,23318,10
1894929,23322,7
1894929,25384,13
1894929,26413,1
1894965,20358,5
1894965,20422,4
1894965,21888,2
1894965,22173,7
1894965,23066,3
1894965,25384,6
1894965,26413,1
1894972,19701,4
1894972,20540,1
1894972,22173,8
1894972,22516,3
1894972,23066,2
1894972,23318,6
1894972,23322,5
1894972,25384,7
1894977,1749,2
1894977,19017,1
1894982,21381,1
1894985,1714,9
1894985,19701,5
1894985,20006,3
1894985,20540,1
1894985,22173,11
1894985,22512,7
1894985,23066,2
1894985,23322,6
1894985,23327,4
1894985,25384,8
1894985,25387,10
1894990,21381,2
1894990,26423,1
1894992,23295,1
1895689,23295,1
1895697,12774,1
1895697,19701,3
1895697,21887,2
1895697,23318,5
1895697,23322,4
1895701,12788,2
1895701,18057,3
1895701,19064,4
1895701,24926,1
1895734,18057,2
1895734,19017,1
1895763,23116,1
1895763,23329,2
1895792,23116,2
1895792,26424,1
1896448,22529,4
1896448,23116,6
1896448,23332,8
1896448,23339,5
1896448,24925,1
1896448,25379,7
1896448,26425,3
1896448,26449,2
1896450,1622,1
1896746,22415,1
1896794,22529,1
1896852,19017,1
1896852,23321,2
1896964,23295,1
1897010,21381,1
1897052,21381,1
1897154,16595,1
1897154,19940,3
1897154,23320,4
1897154,23324,2
1897165,1749,2
1897165,12800,1
1897165,21780,3
1897172,12774,1
1897172,22580,5
1897172,22660,4
1897172,23338,3
1897172,24808,2
1897172,25383,6
1897268,12938,1
1897268,23321,2
1897317,12774,1
1897317,21029,3
1897317,22722,2
1897392,1714,1
1897392,22529,2
1897392,23066,3
1897392,23322,4
1897403,1714,1
1897403,19701,3
1897403,20422,5
1897403,23066,2
1897403,23322,4
1897419,21888,1
1897419,22173,4
1897419,23322,2
1897419,25384,3
1897545,1749,2
1897545,12366,1
1897545,17099,7
1897545,17173,6
1897545,18057,5
1897545,19017,4
1897545,21025,3
1897811,23295,1
1898257,22852,1
1898267,16595,1
1898276,12788,1
1898276,22852,2
1898285,1706,2
1898285,16595,1
1898294,19919,2
1898294,22660,3
1898294,23356,5
1898294,24808,4
1898294,25385,6
1898294,26428,1
1898303,16595,1
1898309,16595,1
1898338,20905,1
1898363,12765,2
1898363,15624,1
1898363,16595,5
1898363,18057,4
1898363,20905,3
1899716,23351,1
1899717,21758,1
1899717,23353,3
1899717,23354,2
1899717,23356,4
1899718,23295,1
1899719,23295,1
1899903,20905,1
1900321,23295,1
1901151,21920,1
1901151,23354,2
1901158,19960,13
1901158,20422,5
1901158,21782,10
1901158,21888,6
1901158,22167,11
1901158,22580,7
1901158,24808,9
1901158,24810,12
1901158,24916,1
1901158,25367,4
1901158,25377,3
1901158,25380,8
1901158,26423,2
1901165,20006,1
1901165,23322,2
1901175,23318,1
1901186,12780,2
1901186,19954,3
1901186,24927,1
1901195,20540,6
1901195,20907,2
1901195,21739,3
1901195,22580,1
1901195,23327,4
1901195,23351,5
1901195,23356,8
1901195,25377,7
1901209,19701,9
1901209,19960,14
1901209,20006,5
1901209,20422,10
1901209,20540,2
1901209,20953,13
1901209,21029,8
1901209,21381,7
1901209,22173,15
1901209,22516,6
1901209,22550,12
1901209,22580,11
1901209,23329,3
1901209,23338,4
1901209,26453,1
1901223,21920,1
1901223,22529,2
1901223,23066,3
1901235,25384,1
1901246,22660,1
1901381,21701,5
1901381,22167,7
1901381,23331,2
1901381,23338,4
1901381,23339,3
1901381,25368,6
1901381,26424,1
1901497,1749,3
1901497,12800,2
1901497,12938,1
1901647,19960,2
1901647,23318,1
1901647,23322,3
1902126,22173,1
1902126,22516,2
1902126,23322,3
1902126,25384,4
1902253,23359,1
1902258,19940,1
1902581,19345,1
1902581,23333,4
1902581,23359,3
1902581,26408,2
1902938,19040,1
1903354,19940,1
1903405,19040,1
1903405,22516,4
1903405,23066,3
1903405,23344,2
1903465,1749,2
1903465,12780,1
1903465,17099,7
1903465,17173,5
1903465,19218,6
1903465,21775,4
1903465,21780,3
1903520,19940,1
1903579,19040,1
1903640,19940,1
1904035,19218,1
1904298,1706,3
1904298,19218,1
1904298,25389,2
1904305,24962,2
1904305,26413,1
1904467,23357,1
1904467,25370,2
1904632,12759,1
1904632,12774,2
1904632,23338,5
1904632,23359,4
1904632,24962,3
1904632,25380,6
1905666,23318,2
1905666,25365,1
1906011,20422,4
1906011,23066,2
1906011,23116,1
1906011,23322,3
1907537,19919,3
1907537,24916,1
1907537,26423,2
1908019,23357,1
1908822,12363,1
1908928,20958,1
1908928,23355,2
1909031,20422,7
1909031,21700,11
1909031,21887,8
1909031,23066,6
1909031,23318,9
1909031,23338,4
1909031,24810,10
1909031,24916,1
1909031,25367,5
1909031,25377,3
1909031,26436,2
1909136,20958,1
1909241,20905,1
1909346,25375,2
1909346,25380,3
1909346,26424,1
1909442,25380,1
1909517,12790,1
1909517,17676,3
1909517,18057,2
1909517,20905,4
1909695,23318,2
1909695,25365,1
1910237,12363,1
1910870,12363,1
1910870,19337,2
1911068,23357,1
1911068,25375,2
1911268,12363,1
1911463,1706,1
1911463,19337,2
1911659,23116,1
1911850,1749,4
1911850,12766,3
1911850,12938,1
1911850,24924,2
1912354,18057,1
1914829,12790,3
1914829,12938,1
1914829,18057,4
1914829,23320,5
1914829,24926,2
1914890,12363,1
1914959,12363,1
1915029,12774,1
1915029,23318,3
1915029,23322,6
1915029,24809,4
1915029,25365,5
1915029,26408,2
1915098,12363,1
1915267,19940,1
1915309,19701,4
1915309,20006,3
1915309,20540,6
1915309,21701,2
1915309,22173,1
1915309,23361,5
1915351,1706,6
1915351,1720,2
1915351,12363,3
1915351,16026,7
1915351,19218,10
1915351,19337,9
1915351,19940,4
1915351,21780,1
1915351,23121,8
1915351,25389,5
1915396,19940,1
1915441,16026,1
1915489,16026,1
1915489,19337,2
1915489,20632,3
1915533,19940,1
1915575,12938,1
1915575,16026,2
1915575,19218,3
1915623,12379,1
1915667,19940,1
1915714,12379,1
1915714,19337,2
1915759,12766,1
1915759,21780,2
1915804,19919,1
1915847,12379,1
1916134,22022,2
1916134,26428,1
1916370,18057,1
1916603,21700,3
1916603,22660,2
1916603,26429,1
1917016,19047,1
1917097,19345,1
1917097,20907,4
1917097,23351,3
1917097,24918,2
1917185,12765,1
1917185,12788,2
1917185,20905,3
1917278,12363,1
1917370,22415,1
1917462,16026,1
1917462,20632,2
1917556,20422,1
1917556,23066,2
1917714,1720,2
1917714,20905,1
1917778,23325,1
1917840,1714,1
1917909,19940,1
1917970,19017,1
1918038,22660,1
1918038,23354,2
1918102,22559,1
1918169,12363,1
1918230,12363,2
1918230,12780,1
1918230,19337,6
1918230,20632,5
1918230,20905,3
1918230,21025,4
1918230,21775,7
1918297,24994,2
1918297,26424,1
1918360,19040,4
1918360,23343,3
1918360,24809,5
1918360,24916,1
1918360,26406,2
1918423,25383,1
1918478,12781,1
1918478,12800,2
1918478,23325,3
1918498,19940,1
1918548,19337,2
1918548,19940,1
1918606,21780,1
1918661,21887,1
1918720,19940,1
1918774,19940,1
1918834,12363,3
1918834,12766,1
1918834,12781,2
1918894,19040,2
1918894,20358,4
1918894,21700,1
1918894,22167,8
1918894,22580,5
1918894,23322,3
1918894,24809,6
1918894,25384,7
1918948,19040,3
1918948,19701,4
1918948,20358,5
1918948,20958,2
1918948,21700,1
1918948,22167,10
1918948,22580,7
1918948,23355,6
1918948,24809,8
1918948,25384,9
1919007,19701,3
1919007,23066,2
1919007,23322,1
1919007,25384,4
1919399,21888,2
1919399,22173,4
1919399,23318,3
1919399,23323,1
1919466,23347,1
1919535,20422,4
1919535,21888,5
1919535,22173,7
1919535,22516,2
1919535,23318,6
1919535,23322,3
1919535,23323,1
1919599,12379,1
1919665,12379,2
1919665,12791,1
1919733,21381,1
1919798,22167,5
1919798,22660,3
1919798,23333,6
1919798,23344,2
1919798,23360,1
1919798,25383,4
1919866,22173,4
1919866,22516,2
1919866,23318,3
1919866,23323,1
1919924,12366,4
1919924,12766,1
1919924,12778,2
1919924,16026,3
1920069,20422,1
1920150,20422,1
1920245,20422,1
1920245,20540,2
1920331,12759,1
1920331,12774,2
1920331,19701,5
1920331,20358,8
1920331,20422,3
1920331,20540,6
1920331,22660,4
1920331,23318,9
1920331,23322,7
1920331,24809,10
1920421,19919,2
1920421,26423,1
1920501,1706,3
1920501,16595,1
1920501,21025,2
1920600,19040,8
1920600,19345,1
1920600,19701,9
1920600,21381,7
1920600,21887,10
1920600,21888,11
1920600,22173,4
1920600,23318,12
1920600,23322,3
1920600,23323,6
1920600,25365,5
1920600,25384,13
1920600,26434,2
1920688,20422,1
1920688,21701,2
1920688,23066,3
1920688,23322,4
1920769,16595,3
1920769,24883,2
1920769,26444,1
1920991,22516,2
1920991,23318,3
1920991,25365,1
1921139,1664,4
1921139,14988,1
1921139,19218,5
1921139,21780,2
1921139,23324,3
1921284,19954,1
1921430,19701,2
1921430,20358,3
1921430,23116,1
1921574,22516,1
1921574,22660,2
1921725,19954,1
1921867,23356,1
1922014,1622,7
1922014,1664,20
1922014,1706,31
1922014,12360,4
1922014,12363,6
1922014,12366,10
1922014,12379,19
1922014,12387,27
1922014,16026,22
1922014,16389,12
1922014,16595,11
1922014,16763,36
1922014,17099,21
1922014,17173,5
1922014,17607,1
1922014,17676,8
1922014,18057,18
1922014,19047,23
1922014,19064,17
1922014,19069,25
1922014,19070,38
1922014,19218,3
1922014,19337,34
1922014,19940,29
1922014,19954,37
1922014,20632,28
1922014,20905,30
1922014,21025,15
1922014,21775,16
1922014,21780,2
1922014,22415,35
1922014,22852,9
1922014,23121,26
1922014,23320,13
1922014,23321,24
1922014,23324,14
1922014,23325,33
1922014,25389,32
1922154,20422,6
1922154,20540,4
1922154,22516,2
1922154,23318,7
1922154,23322,5
1922154,24808,3
1922154,26408,1
1922514,25375,2
1922514,26435,1
1922596,1706,1
1922679,20905,1
1922767,19954,1
1922852,20422,1
1922949,21700,1
1923039,12765,2
1923039,12938,1
1923039,22415,3
1923127,19337,3
1923127,19940,1
1923127,21780,2
1923445,12759,1
1923445,21700,10
1923445,21701,3
1923445,21739,5
1923445,21983,9
1923445,22167,8
1923445,23318,6
1923445,23347,4
1923445,23352,2
1923445,24809,7
1923671,16389,1
1923893,25368,1
1924116,12379,1
1924331,1678,30
1924331,1714,40
1924331,12775,1
1924331,19701,20
1924331,19738,38
1924331,20006,14
1924331,20358,27
1924331,20418,33
1924331,20422,24
1924331,21024,12
1924331,21029,18
1924331,21700,41
1924331,21701,8
1924331,21887,25
1924331,21983,3
1924331,22173,45
1924331,22529,31
1924331,22660,7
1924331,23066,13
1924331,23318,29
1924331,23322,23
1924331,23327,17
1924331,23328,19
1924331,23338,6
1924331,23339,10
1924331,23341,9
1924331,23346,11
1924331,23351,4
1924331,23356,36
1924331,23357,42
1924331,23358,46
1924331,23359,5
1924331,24808,34
1924331,24809,35
1924331,24994,37
1924331,25370,15
1924331,25371,16
1924331,25372,21
1924331,25375,22
1924331,25376,26
1924331,25377,28
1924331,25380,32
1924331,25384,39
1924331,25387,43
1924331,25388,44
1924331,26429,2
1926906,22527,2
1926906,26453,1
1926955,22527,2
1926955,26424,1
1927008,1706,2
1927008,12778,1
1927065,19954,1
1927121,12800,2
1927121,17607,1
1927121,19070,4
1927121,19218,5
1927121,22852,3
1927189,1706,1
1927298,1749,3
1927298,12379,4
1927298,12778,1
1927298,24883,2
1927412,1749,3
1927412,14989,1
1927412,19218,4
1927412,25389,2
1927529,1622,4
1927529,1706,2
1927529,19337,5
1927529,20632,3
1927529,25389,1
1927639,25389,1
1927762,17173,3
1927762,19954,1
1927762,23324,2
1927876,22660,1
1927986,1622,8
1927986,1706,5
1927986,1749,6
1927986,12763,2
1927986,12781,1
1927986,19218,10
1927986,19337,9
1927986,21775,4
1927986,23324,7
1927986,25389,3
1928102,21983,1
1928217,21700,3
1928217,21888,2
1928217,23358,4
1928217,25370,1
1928340,12363,2
1928340,12938,1
1928691,17371,1
1928691,22415,2
1930818,1749,1
1930979,12781,2
1930979,12938,1
1930979,20905,3
1931432,12759,1
1931432,22167,4
1931432,22660,3
1931432,23351,2
1931709,1714,1
1939619,24809,1
1939669,1714,1
1939669,23066,2
1939716,1678,1
1939716,23358,4
1939716,24962,2
1939716,25384,3
1939765,25372,1
1939814,20958,1
1939864,23318,3
1939864,24809,2
1939864,25384,4
1939864,26417,1
1939904,19701,1
1939904,25386,2
1940032,20006,1
1940151,21701,3
1940151,23343,2
1940151,25374,4
1940151,25380,1
1940269,23327,2
1940269,26428,1
1940388,24925,1
1940388,25381,3
1940388,26417,2
1940503,21920,1
1940625,23327,1
1940737,24962,1
1940859,19345,1
1940859,21024,6
1940859,23341,5
1940859,25371,4
1940859,25380,7
1940859,26428,2
1940859,26435,3
1940976,23360,1
1941089,21920,1
1941208,25377,1
1941318,19919,1
1941336,24809,4
1941336,24962,1
1941336,25377,3
1941336,25379,2
1941872,20905,1
1941882,19218,2
1941882,23121,1
1941897,21775,1
1941914,21381,1
1941927,12379,2
1941927,12778,1
1941941,12363,1
1941941,19337,2
1941965,20905,1
1941980,21780,1
1941994,21775,1
1942015,1714,53
1942015,19040,25
1942015,19701,27
1942015,20006,18
1942015,20540,33
1942015,20907,39
1942015,20958,17
1942015,21029,26
1942015,21381,24
1942015,21700,56
1942015,21701,8
1942015,21739,22
1942015,21758,13
1942015,21782,49
1942015,21887,35
1942015,21888,37
1942015,21920,47
1942015,22129,57
1942015,22167,51
1942015,22173,59
1942015,22261,14
1942015,22516,21
1942015,22660,7
1942015,23066,15
1942015,23317,19
1942015,23318,40
1942015,23319,41
1942015,23322,2
1942015,23327,23
1942015,23329,29
1942015,23331,55
1942015,23338,6
1942015,23339,10
1942015,23346,11
1942015,23348,16
1942015,23350,31
1942015,23351,32
1942015,23353,36
1942015,23355,42
1942015,23359,4
1942015,23361,28
1942015,24962,20
1942015,24994,48
1942015,25365,3
1942015,25366,5
1942015,25367,9
1942015,25368,12
1942015,25373,30
1942015,25375,34
1942015,25377,38
1942015,25379,43
1942015,25380,44
1942015,25381,45
1942015,25383,46
1942015,25384,50
1942015,25385,52
1942015,25386,54
1942015,25387,1
1942015,25388,58
1942029,12781,1
1942029,21775,3
1942029,23121,2
1942048,18057,1
1942065,21780,1
1942081,12363,4
1942081,12790,2
1942081,20905,3
1942081,24926,1
1942091,25389,1
1942106,1749,1
1942124,12759,1
1942124,12774,2
1942124,23318,4
1942124,23338,3
1942140,12800,2
1942140,17607,1
1942140,20632,4
1942140,23121,3
1942157,21775,1
1942180,1749,2
1942180,14988,1
1942180,17173,4
1942180,23324,3
1942198,12788,2
1942198,19337,3
1942198,21780,4
1942198,24924,1
1942214,12791,1
1942214,21025,2
1942235,1749,2
1942235,12790,1
1942250,1706,1
1942266,23121,1
1942285,18057,1
1942300,1622,8
1942300,1749,6
1942300,12363,1
1942300,12366,9
1942300,17173,7
1942300,19218,2
1942300,19337,5
1942300,19940,3
1942300,21780,4
1942319,12379,1
1942321,22415,1
1942335,22516,2
1942335,22580,6
1942335,23318,5
1942335,23322,4
1942335,23332,3
1942335,25388,7
1942335,26406,1
1942386,22580,5
1942386,23116,4
1942386,25369,3
1942386,25373,2
1942386,25387,6
1942386,25388,7
1942386,26423,1
1942452,12379,1
1942526,12774,1
1942526,20418,8
1942526,21739,2
1942526,22167,12
1942526,23318,7
1942526,23341,4
1942526,23351,6
1942526,23356,10
1942526,24809,9
1942526,24994,11
1942526,25367,5
1942526,25388,3
1942586,1749,1
1942658,21700,9
1942658,21701,2
1942658,22173,10
1942658,23318,7
1942658,23327,4
1942658,23346,3
1942658,25373,1
1942658,25375,5
1942658,25378,6
1942658,25383,8
1942733,21983,1
1942799,25373,1
1942869,22527,1
1943534,12366,4
1943534,12766,2
1943534,16389,3
1943534,21050,1
1943560,21739,1
1943586,15624,1
1943586,20905,2
1943614,22167,4
1943614,23356,2
1943614,24994,3
1943614,26424,1
1943641,22516,2
1943641,23346,1
1943672,19069,1
1943695,25384,1
1943724,1622,2
1943724,12781,1
1943724,20632,3
1943751,25364,2
1943751,26428,1
1943776,23341,1
1943801,12775,1
1943801,19960,15
1943801,20358,11
1943801,21024,8
1943801,21701,5
1943801,22167,14
1943801,22516,9
1943801,22580,12
1943801,23328,10
1943801,23344,4
1943801,25364,3
1943801,25367,6
1943801,25368,7
1943801,25383,13
1943801,26428,2
1943821,12379,2
1943821,12781,1
1943836,12759,1
1943836,12774,2
1943836,20540,5
1943836,22167,7
1943836,23318,6
1943836,23360,4
1943836,25383,3
1944015,21775,1
1944198,21775,1
1944378,21775,1
1944570,21920,1
1944670,25383,1
1944779,21775,1
1944884,25375,1
1944992,25371,1
1945994,12363,4
1945994,16595,2
1945994,17607,1
1945994,19337,3
1945994,25389,5
1946009,12759,1
1946009,12774,3
1946009,12775,2
1946009,19960,21
1946009,20358,13
1946009,20540,11
1946009,21701,7
1946009,21782,19
1946009,22580,15
1946009,22660,6
1946009,23318,14
1946009,23319,5
1946009,23327,9
1946009,23351,10
1946009,23356,17
1946009,23358,23
1946009,24994,18
1946009,25368,8
1946009,25375,12
1946009,25381,4
1946009,25382,16
1946009,25387,20
1946009,25388,22
1946032,19954,1
1946071,12924,1
1946071,22516,4
1946071,23331,6
1946071,23338,2
1946071,23346,3
1946071,23353,5
1946108,21701,2
1946108,21758,4
1946108,21781,1
1946108,21782,5
1946108,22512,6
1946108,23339,3
1946145,19701,1
1946145,20006,3
1946145,23066,2
1946184,21701,3
1946184,22173,1
1946184,25384,2
1946221,19701,4
1946221,19960,11
1946221,20006,1
1946221,20358,7
1946221,20422,2
1946221,21701,3
1946221,21888,6
1946221,22173,12
1946221,22550,10
1946221,22580,9
1946221,23318,8
1946221,23322,5
1946259,12790,1
1946259,16595,2
1946297,25368,2
1946297,26408,1
1946334,25389,1
1946372,19954,1
1946408,12363,1
1946447,12759,1
1946447,22529,2
1947432,12938,1
1947432,16595,3
1947432,17173,4
1947432,19064,2
1947714,20905,1
1947986,19218,4
1947986,19337,1
1947986,21780,2
1947986,25389,3
1948283,21781,1
1948340,22722,1
1948410,20953,1
1948410,23322,4
1948410,23346,2
1948410,23355,5
1948410,24962,3
1948479,19701,1
1948479,21700,8
1948479,21888,4
1948479,22167,7
1948479,22580,6
1948479,23318,5
1948479,23322,3
1948479,23329,2
1948551,21024,4
1948551,21781,1
1948551,22167,6
1948551,23318,5
1948551,23338,2
1948551,25368,3
1948624,19919,2
1948624,22167,3
1948624,25372,1
1948695,20418,1
1948695,22167,3
1948695,23353,2
1948695,23358,4
1948773,22559,1
1948847,21781,1
1948923,21758,4
1948923,21781,1
1948923,22672,5
1948923,23333,8
1948923,23344,2
1948923,23358,7
1948923,24809,6
1948923,25368,3
1948998,23349,1
1949074,1678,1
1949074,19960,4
1949074,24808,3
1949074,25379,2
1949893,25366,1
1949977,21888,2
1949977,25366,1
1950059,22512,1
1950059,23322,2
1950145,23323,1
1950237,12379,1
1950529,12379,1
1950847,23116,1
1951409,23343,2
1951409,26433,1
1951437,12379,1
1951474,22173,1
1951513,21780,1
1951551,19701,2
1951551,23318,5
1951551,23322,4
1951551,23332,3
1951551,26406,1
1951585,19912,1
1951625,22415,1
1951666,12790,2
1951666,12791,3
1951666,17607,1
1951666,21025,4
1951702,1622,9
1951702,1664,22
1951702,1706,4
1951702,1749,18
1951702,12360,5
1951702,12363,8
1951702,12366,12
1951702,12379,21
1951702,12387,27
1951702,16026,24
1951702,16389,13
1951702,16595,2
1951702,16763,35
1951702,17099,23
1951702,17173,7
1951702,17676,10
1951702,18057,20
1951702,19047,1
1951702,19064,19
1951702,19069,26
1951702,19070,37
1951702,19218,16
1951702,19337,33
1951702,19940,29
1951702,19954,36
1951702,20632,28
1951702,20905,30
1951702,21025,17
1951702,21780,6
1951702,22415,34
1951702,22852,11
1951702,23121,3
1951702,23320,14
1951702,23321,25
1951702,23324,15
1951702,23325,32
1951702,25389,31
