bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1916703,3053761,text,77942,application/pdf,Introduced,https://legiscan.com/GA/text/HB1/id/3053761,https://www.legis.ga.gov/api/legislation/document/20252026/229744
1916877,3053933,text,78944,application/pdf,Introduced,https://legiscan.com/GA/text/HB2/id/3053933,https://www.legis.ga.gov/api/legislation/document/20252026/229745
1916913,3053969,text,85370,application/pdf,Introduced,https://legiscan.com/GA/text/HB3/id/3053969,https://www.legis.ga.gov/api/legislation/document/20252026/229749
1916804,3053862,text,72617,application/pdf,Introduced,https://legiscan.com/GA/text/HB4/id/3053862,https://www.legis.ga.gov/api/legislation/document/20252026/229751
1916648,3053711,text,71946,application/pdf,Introduced,https://legiscan.com/GA/text/HB5/id/3053711,https://www.legis.ga.gov/api/legislation/document/20252026/229747
1916648,3129667,text,74400,application/pdf,Enrolled,https://legiscan.com/GA/text/HB5/id/3129667,https://www.legis.ga.gov/api/legislation/document/20252026/232370
1916845,3053902,text,73183,application/pdf,Introduced,https://legiscan.com/GA/text/HB6/id/3053902,https://www.legis.ga.gov/api/legislation/document/20252026/229775
1916845,3104848,text,73866,application/pdf,"Comm Sub",https://legiscan.com/GA/text/HB6/id/3104848,https://www.legis.ga.gov/api/legislation/document/20252026/231299
1916845,3104849,text,74101,application/pdf,"Comm Sub",https://legiscan.com/GA/text/HB6/id/3104849,https://www.legis.ga.gov/api/legislation/document/20252026/231300
1916845,3129531,text,74601,application/pdf,Enrolled,https://legiscan.com/GA/text/HB6/id/3129531,https://www.legis.ga.gov/api/legislation/document/20252026/232371
1916663,3053725,text,82821,application/pdf,Introduced,https://legiscan.com/GA/text/HB7/id/3053725,https://www.legis.ga.gov/api/legislation/document/20252026/229743
1916663,3151194,text,82684,application/pdf,"Comm Sub",https://legiscan.com/GA/text/HB7/id/3151194,https://www.legis.ga.gov/api/legislation/document/20252026/234987
1916667,3053729,text,106568,application/pdf,Introduced,https://legiscan.com/GA/text/HB8/id/3053729,https://www.legis.ga.gov/api/legislation/document/20252026/229746
1916822,3053880,text,90988,application/pdf,Introduced,https://legiscan.com/GA/text/HB9/id/3053880,https://www.legis.ga.gov/api/legislation/document/20252026/229787
1916868,3053924,text,77928,application/pdf,Introduced,https://legiscan.com/GA/text/HB10/id/3053924,https://www.legis.ga.gov/api/legislation/document/20252026/229788
1916868,3157829,text,84487,application/pdf,"Comm Sub",https://legiscan.com/GA/text/HB10/id/3157829,https://www.legis.ga.gov/api/legislation/document/20252026/235357
1916717,3053775,text,76120,application/pdf,Introduced,https://legiscan.com/GA/text/HB11/id/3053775,https://www.legis.ga.gov/api/legislation/document/20252026/229790
1916890,3053946,text,78095,application/pdf,Introduced,https://legiscan.com/GA/text/HB12/id/3053946,https://www.legis.ga.gov/api/legislation/document/20252026/229792
1916890,3148944,text,75841,application/pdf,"Comm Sub",https://legiscan.com/GA/text/HB12/id/3148944,https://www.legis.ga.gov/api/legislation/document/20252026/234562
1916730,3053787,text,66916,application/pdf,Introduced,https://legiscan.com/GA/text/HB13/id/3053787,https://www.legis.ga.gov/api/legislation/document/20252026/229807
1916730,3129638,text,68114,application/pdf,Enrolled,https://legiscan.com/GA/text/HB13/id/3129638,https://www.legis.ga.gov/api/legislation/document/20252026/232372
1916713,3053771,text,76068,application/pdf,Introduced,https://legiscan.com/GA/text/HB14/id/3053771,https://www.legis.ga.gov/api/legislation/document/20252026/229784
1916713,3189328,text,87660,application/pdf,"Comm Sub",https://legiscan.com/GA/text/HB14/id/3189328,https://www.legis.ga.gov/api/legislation/document/20252026/237205
1916713,3196057,text,80301,application/pdf,"Comm Sub",https://legiscan.com/GA/text/HB14/id/3196057,https://www.legis.ga.gov/api/legislation/document/20252026/238200
1916909,3053965,text,221781,application/pdf,Introduced,https://legiscan.com/GA/text/HB15/id/3053965,https://www.legis.ga.gov/api/legislation/document/20252026/229789
1916909,3166176,text,222107,application/pdf,Enrolled,https://legiscan.com/GA/text/HB15/id/3166176,https://www.legis.ga.gov/api/legislation/document/20252026/235747
1916886,3053942,text,111476,application/pdf,Introduced,https://legiscan.com/GA/text/HB16/id/3053942,https://www.legis.ga.gov/api/legislation/document/20252026/229794
1916699,3053757,text,77516,application/pdf,Introduced,https://legiscan.com/GA/text/HB17/id/3053757,https://www.legis.ga.gov/api/legislation/document/20252026/229798
1916758,3053814,text,75583,application/pdf,Introduced,https://legiscan.com/GA/text/HB18/id/3053814,https://www.legis.ga.gov/api/legislation/document/20252026/229795
1916768,3053824,text,79926,application/pdf,Introduced,https://legiscan.com/GA/text/HB19/id/3053824,https://www.legis.ga.gov/api/legislation/document/20252026/229801
