bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1910047,3047011,text,22678,text/html,Introduced,https://legiscan.com/HI/text/HB1/id/3047011,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1_.HTM
1910010,3046974,text,12092,text/html,Introduced,https://legiscan.com/HI/text/HB2/id/3046974,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB2_.HTM
1909961,3046924,text,9903,text/html,Introduced,https://legiscan.com/HI/text/HB3/id/3046924,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB3_.HTM
1909961,3090161,text,7592,text/html,Amended,https://legiscan.com/HI/text/HB3/id/3090161,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB3_HD1_.HTM
1909961,3149235,text,9106,text/html,Amended,https://legiscan.com/HI/text/HB3/id/3149235,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB3_HD2_.HTM
1909961,3180420,text,9129,text/html,Amended,https://legiscan.com/HI/text/HB3/id/3180420,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB3_SD1_.HTM
1909961,3222196,text,9113,text/html,Amended,https://legiscan.com/HI/text/HB3/id/3222196,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB3_CD1_.HTM
1910059,3047023,text,8671,text/html,Introduced,https://legiscan.com/HI/text/HB4/id/3047023,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB4_.HTM
1910106,3047070,text,8671,text/html,Introduced,https://legiscan.com/HI/text/HB5/id/3047070,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB5_.HTM
1909960,3046923,text,8671,text/html,Introduced,https://legiscan.com/HI/text/HB6/id/3046923,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB6_.HTM
1909954,3046917,text,8686,text/html,Introduced,https://legiscan.com/HI/text/HB7/id/3046917,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB7_.HTM
1909978,3046942,text,8686,text/html,Introduced,https://legiscan.com/HI/text/HB8/id/3046942,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB8_.HTM
1910079,3047043,text,12133,text/html,Introduced,https://legiscan.com/HI/text/HB9/id/3047043,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB9_.HTM
1910029,3046993,text,12908,text/html,Introduced,https://legiscan.com/HI/text/HB10/id/3046993,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB10_.HTM
1909956,3046919,text,49482,text/html,Introduced,https://legiscan.com/HI/text/HB11/id/3046919,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB11_.HTM
1910046,3047010,text,17878,text/html,Introduced,https://legiscan.com/HI/text/HB12/id/3047010,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB12_.HTM
1909952,3046915,text,100215,text/html,Introduced,https://legiscan.com/HI/text/HB13/id/3046915,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB13_.HTM
1912113,3048818,text,8720,text/html,Introduced,https://legiscan.com/HI/text/HB14/id/3048818,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB14_.HTM
1911944,3048651,text,8675,text/html,Introduced,https://legiscan.com/HI/text/HB15/id/3048651,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB15_.HTM
1912100,3048805,text,8675,text/html,Introduced,https://legiscan.com/HI/text/HB16/id/3048805,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB16_.HTM
1912316,3049023,text,8675,text/html,Introduced,https://legiscan.com/HI/text/HB17/id/3049023,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB17_.HTM
1912183,3048887,text,8675,text/html,Introduced,https://legiscan.com/HI/text/HB18/id/3048887,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB18_.HTM
1911993,3048699,text,178713,text/html,Introduced,https://legiscan.com/HI/text/HB19/id/3048699,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB19_.HTM
1912173,3048877,text,22127,text/html,Introduced,https://legiscan.com/HI/text/HB20/id/3048877,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB20_.HTM
1912246,3048953,text,13785,text/html,Introduced,https://legiscan.com/HI/text/HB21/id/3048953,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB21_.HTM
1912232,3048938,text,22448,text/html,Introduced,https://legiscan.com/HI/text/HB22/id/3048938,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB22_.HTM
1912305,3049012,text,22536,text/html,Introduced,https://legiscan.com/HI/text/HB23/id/3049012,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB23_.HTM
1911967,3048674,text,8696,text/html,Introduced,https://legiscan.com/HI/text/HB24/id/3048674,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB24_.HTM
1912280,3048987,text,8696,text/html,Introduced,https://legiscan.com/HI/text/HB25/id/3048987,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB25_.HTM
1911980,3048686,text,8675,text/html,Introduced,https://legiscan.com/HI/text/HB26/id/3048686,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB26_.HTM
1912346,3049053,text,8678,text/html,Introduced,https://legiscan.com/HI/text/HB27/id/3049053,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB27_.HTM
1912160,3048865,text,8678,text/html,Introduced,https://legiscan.com/HI/text/HB28/id/3048865,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB28_.HTM
1911920,3048627,text,50299,text/html,Introduced,https://legiscan.com/HI/text/HB29/id/3048627,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB29_.HTM
1911920,3090354,text,49349,text/html,Amended,https://legiscan.com/HI/text/HB29/id/3090354,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB29_HD1_.HTM
1911920,3117280,text,49800,text/html,Amended,https://legiscan.com/HI/text/HB29/id/3117280,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB29_HD2_.HTM
1912338,3049045,text,16328,text/html,Introduced,https://legiscan.com/HI/text/HB30/id/3049045,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB30_.HTM
1912146,3048851,text,8672,text/html,Introduced,https://legiscan.com/HI/text/HB31/id/3048851,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB31_.HTM
1912014,3048720,text,8672,text/html,Introduced,https://legiscan.com/HI/text/HB32/id/3048720,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB32_.HTM
1912206,3048912,text,8672,text/html,Introduced,https://legiscan.com/HI/text/HB33/id/3048912,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB33_.HTM
1912038,3048744,text,8672,text/html,Introduced,https://legiscan.com/HI/text/HB34/id/3048744,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB34_.HTM
1912027,3048734,text,8672,text/html,Introduced,https://legiscan.com/HI/text/HB35/id/3048734,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB35_.HTM
1912087,3048793,text,16981,text/html,Introduced,https://legiscan.com/HI/text/HB36/id/3048793,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB36_.HTM
1912087,3111616,text,16582,text/html,Amended,https://legiscan.com/HI/text/HB36/id/3111616,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB36_HD1_.HTM
1912087,3149211,text,16495,text/html,Amended,https://legiscan.com/HI/text/HB36/id/3149211,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB36_HD2_.HTM
1912258,3048965,text,8705,text/html,Introduced,https://legiscan.com/HI/text/HB37/id/3048965,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB37_.HTM
1912329,3049036,text,8782,text/html,Introduced,https://legiscan.com/HI/text/HB38/id/3049036,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB38_.HTM
1912222,3048929,text,8678,text/html,Introduced,https://legiscan.com/HI/text/HB39/id/3048929,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB39_.HTM
1912063,3048769,text,8684,text/html,Introduced,https://legiscan.com/HI/text/HB40/id/3048769,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB40_.HTM
1912196,3048902,text,8681,text/html,Introduced,https://legiscan.com/HI/text/HB41/id/3048902,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB41_.HTM
1912002,3048708,text,8681,text/html,Introduced,https://legiscan.com/HI/text/HB42/id/3048708,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB42_.HTM
1912077,3048783,text,8678,text/html,Introduced,https://legiscan.com/HI/text/HB43/id/3048783,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB43_.HTM
1912138,3048843,text,8711,text/html,Introduced,https://legiscan.com/HI/text/HB44/id/3048843,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB44_.HTM
1912267,3048974,text,8681,text/html,Introduced,https://legiscan.com/HI/text/HB45/id/3048974,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB45_.HTM
1912053,3048759,text,8714,text/html,Introduced,https://legiscan.com/HI/text/HB46/id/3048759,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB46_.HTM
1912376,3049152,text,21887,text/html,Introduced,https://legiscan.com/HI/text/HB47/id/3049152,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB47_.HTM
1912376,3092905,text,20082,text/html,Amended,https://legiscan.com/HI/text/HB47/id/3092905,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB47_HD1_.HTM
1912376,3114250,text,20573,text/html,Amended,https://legiscan.com/HI/text/HB47/id/3114250,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB47_HD2_.HTM
1912375,3049151,text,20113,text/html,Introduced,https://legiscan.com/HI/text/HB48/id/3049151,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB48_.HTM
1912375,3120424,text,18262,text/html,Amended,https://legiscan.com/HI/text/HB48/id/3120424,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB48_HD1_.HTM
