people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8342,"Henry Aquino",Henry,J.C.,Aquino,,,1,D,2,Sen,SD-019,6461700,32239,,Henry_Aquino,271962,0
8346,"Karl Rhoads",Karl,,Rhoads,,,1,D,2,Sen,SD-013,12999428,68516,,Karl_Rhoads,249223,0
8350,"Angus McKelvey",Angus,L.K.,McKelvey,,,1,D,2,Sen,SD-006,12999399,67875,,Angus_McKelvey,249209,0
8365,"Kyle Yamashita",Kyle,T.,Yamashita,,,1,D,1,Rep,HD-012,12999403,32333,,Kyle_Yamashita,227429,0
8370,"Glenn Wakai",Glenn,,Wakai,,,1,D,2,Sen,SD-015,6401291,32272,,Glenn_Wakai,211949,0
8383,"Chris Lee",Chris,Kalani,Lee,,,1,D,2,Sen,SD-025,6496287,109631,,Chris_Lee_(Hawaii),271963,0
8388,"Gene Ward",Gene,,Ward,,,2,R,1,Rep,HD-018,6671898,2607,,Gene_Ward,249217,0
8389,"Della au Belatti",Della,,"au Belatti",,,1,D,1,Rep,HD-026,6481341,67629,,Della_Au_Belatti,249221,0
8429,"Carol Fukunaga",Carol,,Fukunaga,,,1,D,2,Sen,SD-011,6397007,3396,,Carol_Fukunaga,193903,0
8435,"Les Ihara",Les,S.,Ihara,Jr.,,1,D,2,Sen,SD-010,13011588,3392,,Les_Ihara_Jr.,193901,0
8440,"Michelle Kidani",Michelle,N.,Kidani,,,1,D,2,Sen,SD-018,6496273,109575,,Michelle_Kidani,271958,0
8445,"Mike Gabbard",Mike,,Gabbard,,,1,D,2,Sen,SD-021,6512016,67633,,Mike_Gabbard,410516,0
8447,"Donna Kim",Donna,Mercado,Kim,,,1,D,2,Sen,SD-014,13010143,54119,,Donna_Kim,208751,0
11380,"Donovan Cruz",Donovan,Dela,Cruz,,,1,D,2,Sen,SD-017,6512542,72213,,Donovan_Dela_Cruz,288940,0
11381,"Ronald Kouchi",Ronald,D.,Kouchi,,,1,D,2,Sen,SD-008,13010145,85011,,Ronald_Kouchi,308673,0
11513,"Mark Hashem",Mark,Jun,Hashem,,,1,D,1,Rep,HD-019,12999411,127594,,Mark_Hashem,299202,0
11514,"Linda Ichiyama",Linda,E.,Ichiyama,,,1,D,1,Rep,HD-031,6511905,127612,,Linda_Ichiyama,299204,0
11516,"Daynette Morikawa",Daynette,,Morikawa,,Dee,1,D,1,Rep,HD-017,6511860,127591,,Dee_Morikawa,299509,0
15002,"Nicole Lowen",Nicole,E.,Lowen,,,1,D,1,Rep,HD-007,13689934,140578,,Nicole_Lowen,410523,0
15005,"Gregg Takayama",Gregg,,Takayama,,,1,D,1,Rep,HD-034,13689946,140608,,Gregg_Takayama,410574,0
15164,"Justin Woodson",Justin,H.,Woodson,,,1,D,1,Rep,HD-009,16632975,144297,,Justin_Woodson,449999,0
16119,"Lauren Matsumoto",Lauren,Cheape,Matsumoto,,,2,R,1,Rep,HD-038,13690276,140641,,Lauren_Cheape_Matsumoto,410637,0
17291,"Lorraine Inouye",Lorraine,Rodero,Inouye,,,1,D,2,Sen,SD-001,6401156,17855,,Lorraine_Inouye,193889,0
17296,"Jarrett Keohokalole",Jarrett,K.,Keohokalole,,,1,D,2,Sen,SD-024,24820529,153435,,Jarrett_Keohokalole,495098,0
17297,"Sam Kong",Sam,,Kong,,,1,D,1,Rep,HD-033,12999440,127621,,Sam_Kong,299500,0
17299,"Joy San Buenaventura",Joy,A.,"San Buenaventura",,,1,D,2,Sen,SD-002,10084577,149758,,Joy_A._San_Buenaventura,487052,0
17614,"Lynn Decoite",Lynn,,Decoite,,,1,D,2,Sen,SD-007,10088452,156191,,Lynn_DeCoite,527794,0
19023,"Daniel Holt",Daniel,,Holt,,,1,D,1,Rep,HD-028,13689942,140605,,Daniel_Holt,410562,0
19024,"Sean Quinlan",Sean,,Quinlan,,,1,D,1,Rep,HD-047,40622434,172307,,Sean_Quinlan_(Hawaii),580946,0
19025,"Stanley Chang",Stanley,,Chang,,,1,D,2,Sen,SD-009,24812545,129305,,Stanley_Chang,462155,0
19050,"Chris Todd",Chris,,Todd,,,1,D,1,Rep,HD-003,43477895,176063,,Chris_Todd_(Hawaii),609011,0
19089,"Nadine Nakamura",Nadine,K.,Nakamura,,,1,D,1,Rep,HD-015,10132852,129309,,Nadine_Nakamura,577431,0
20761,"Kurt Fevella",Kurt,,Fevella,,,2,R,2,Sen,SD-020,12999459,109624,,Kurt_Fevella,299196,0
20828,"Troy Hashimoto",Troy,,Hashimoto,,,1,D,2,Sen,SD-005,22025734,180032,,Troy_Hashimoto,662035,0
20847,"Dru Kanuha",Dru,,Kanuha,,,1,D,2,Sen,SD-003,45387926,157781,,Dru_Kanuha,654604,0
20848,"Lisa Kitagawa",Lisa,C.,Kitagawa,,,1,D,1,Rep,HD-048,45387934,183678,,Lisa_Kitagawa,655397,0
20849,"Scot Matayoshi",Scot,Z.,Matayoshi,,,1,D,1,Rep,HD-049,45387950,183682,,Scot_Matayoshi,655398,0
20850,"Sharon Moriwaki",Sharon,Y.,Moriwaki,,,1,D,2,Sen,SD-012,10083991,183622,,Sharon_Moriwaki,495022,0
20851,"Amy Perruso",Amy,A.,Perruso,,,1,D,1,Rep,HD-046,45387965,172203,,Amy_Perruso,570270,0
20852,"David Tarnas",David,,Tarnas,,,1,D,1,Rep,HD-008,6418161,2605,,David_Tarnas,569181,0
22564,"Greggor Ilagan",Greggor,,Ilagan,,,1,D,1,Rep,HD-004,21264862,157776,,Greggor_Ilagan,569176,0
22565,"Jeanne Kapela",Jeanne,,Kapela,,,1,D,1,Rep,HD-005,45387927,183631,,Jeanne_Kapela,655389,0
22566,"Lisa Marten",Lisa,,Marten,,,1,D,1,Rep,HD-051,50056436,193726,,Lisa_Marten,739215,0
