bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1909949,1477047,2025-01-29,Senate,"Senate Health and Human Services: Passed, With Amendments",5,0,0,0,5
1909953,1480266,2025-02-04,Senate,"Senate Economic Development and Technology: Passed, With Amendments",4,1,0,0,5
1909953,1496856,2025-02-21,Senate,"Senate Judiciary: Passed, With Amendments",3,1,0,1,5
1909953,1496857,2025-02-21,Senate,"Senate Commerce and Consumer Protection: Passed, With Amendments",4,1,0,0,5
1909959,1476990,2025-01-29,Senate,"Senate Public Safety, Intergovernmental and Military Affairs: Passed, With Amendments",5,0,0,0,5
1909959,1493697,2025-02-19,Senate,"Senate Ways and Means: Passed, With Amendments",13,0,0,0,13
1909959,1493698,2025-02-19,Senate,"Senate Judiciary: Passed, With Amendments",4,0,0,1,5
1909959,1557745,2025-04-24,House,"House Conference: Passed, With Amendments",5,0,0,1,6
1909959,1557746,2025-04-24,Senate,"Senate Conference: Passed, With Amendments",3,0,0,2,5
1909961,1517539,2025-03-13,Senate,"Senate Higher Education: Passed, With Amendments",3,0,0,2,5
1909961,1531693,2025-03-31,Senate,"Senate Ways and Means: Passed, Unamended",13,0,0,0,13
1909961,1556368,2025-04-23,House,"House Conference: Passed, With Amendments",4,0,0,0,4
1909961,1556369,2025-04-23,Senate,"Senate Conference: Passed, With Amendments",3,0,0,0,3
1909964,1477659,2025-01-30,Senate,"Senate Housing: Passed, With Amendments",4,0,0,1,5
1909964,1496868,2025-02-21,Senate,"Senate Judiciary: Passed, With Amendments",2,1,0,2,5
1909964,1496869,2025-02-21,Senate,"Senate Commerce and Consumer Protection: Passed, With Amendments",4,1,0,0,5
1909964,1552833,2025-04-21,House,"House Conference: Passed, With Amendments",4,0,0,0,4
1909964,1552834,2025-04-21,Senate,"Senate Conference: Passed, With Amendments",4,0,0,0,4
1909967,1474554,2025-01-24,Senate,"Senate Public Safety, Intergovernmental and Military Affairs: Passed, With Amendments",4,1,0,0,5
1909967,1487888,2025-02-12,Senate,"Senate Judiciary: Passed, With Amendments",3,0,0,2,5
1909968,1480306,2025-02-04,Senate,"Senate Energy and Intergovernmental Affairs: Passed, With Amendments",5,0,0,0,5
1909970,1474486,2025-01-24,Senate,"Senate Agriculture and Environment: Passed, With Amendments",4,0,0,1,5
1909971,1482175,2025-02-05,Senate,"Senate Judiciary: Passed, With Amendments",3,1,0,1,5
1909971,1500871,2025-02-26,Senate,"Senate Ways and Means: Passed, Unamended",13,0,0,0,13
1909972,1476877,2025-01-29,Senate,"Senate Agriculture and Environment: Passed, With Amendments",3,1,0,1,5
1909972,1476878,2025-01-29,Senate,"Senate Energy and Intergovernmental Affairs: Passed, With Amendments",3,0,0,2,5
1909972,1502052,2025-02-27,Senate,"Senate Ways and Means: Passed, Unamended",13,0,0,0,13
1909974,1476085,2025-01-28,Senate,"Senate Hawaiian Affairs: Passed, With Amendments",4,0,0,1,5
1909974,1493928,2025-02-19,Senate,"Senate Judiciary: Passed, With Amendments",4,0,0,1,5
1909975,1484297,2025-02-07,Senate,"Senate Water and Land: Passed, With Amendments",5,0,0,0,5
1909975,1484298,2025-02-07,Senate,"Senate Housing: Passed, With Amendments",3,0,0,2,5
1909975,1502688,2025-02-28,Senate,"Senate Ways and Means: Passed, With Amendments",10,0,0,3,13
1909981,1479387,2025-02-03,Senate,"Senate Public Safety, Intergovernmental and Military Affairs: Passed, With Amendments",3,0,0,2,5
1909981,1479388,2025-02-03,Senate,"Senate Water and Land: Passed, With Amendments",5,0,0,0,5
1909983,1483781,2025-02-06,Senate,"Senate Transportation and Culture and the Arts: Passed, With Amendments",4,0,0,1,5
1909985,1486672,2025-02-11,Senate,"Senate Housing: Passed, With Amendments",5,0,0,0,5
1909985,1493602,2025-02-19,Senate,"Senate Judiciary: Passed, With Amendments",4,0,0,1,5
1909985,1557151,2025-04-24,Senate,"Senate Conference: Passed, With Amendments",2,0,0,1,3
1909985,1557152,2025-04-24,House,"House Conference: Passed, With Amendments",5,0,0,0,5
1909985,1557153,2025-04-24,Senate,"Senate Conference: Passed, With Amendments",2,0,0,1,3
1909990,1480354,2025-02-04,Senate,"Senate Higher Education: Passed, With Amendments",4,0,0,1,5
1909993,1480438,2025-02-04,Senate,"Senate Government Operations: Passed, With Amendments",3,0,0,2,5
1909996,1477968,2025-01-30,Senate,"Senate Transportation and Culture and the Arts: Passed, Unamended",4,1,0,0,5
1909996,1496873,2025-02-21,Senate,"Senate Judiciary: Passed, With Amendments",2,2,0,1,5
1910000,1478571,2025-01-31,Senate,"Senate Public Safety, Intergovernmental and Military Affairs: Passed, With Amendments",5,0,0,0,5
1910006,1476024,2025-01-28,Senate,"Senate Housing: Passed, With Amendments",4,0,0,1,5
1910006,1501897,2025-02-27,Senate,"Senate Ways and Means: Passed, With Amendments",13,0,0,0,13
1910007,1476913,2025-01-29,Senate,"Senate Health and Human Services: Passed, With Amendments",4,0,0,1,5
1910011,1476055,2025-01-28,Senate,"Senate Housing: Passed, With Amendments",4,0,0,1,5
