bill_id,people_id,position
1909948,17291,1
1909949,8346,1
1909949,17299,3
1909949,19025,2
1909950,17291,1
1909950,19025,2
1909950,20761,3
1909952,17297,1
1909953,8342,2
1909953,24418,1
1909954,15002,1
1909956,17297,1
1909957,19025,1
1909957,20761,2
1909959,8370,7
1909959,8383,5
1909959,8429,4
1909959,17299,6
1909959,19025,2
1909959,20761,3
1909959,24418,1
1909960,15002,1
1909961,19024,1
1909963,19025,1
1909964,8346,3
1909964,8445,5
1909964,17299,4
1909964,19025,1
1909964,20761,2
1909964,20850,6
1909965,8346,4
1909965,8370,7
1909965,8429,3
1909965,8445,5
1909965,19025,2
1909965,20847,6
1909965,24418,1
1909967,8346,1
1909967,8383,4
1909967,19025,2
1909967,20828,3
1909968,8346,4
1909968,19025,1
1909968,20761,2
1909968,20828,3
1909970,17291,1
1909971,8346,1
1909971,8350,4
1909971,8429,3
1909971,8435,7
1909971,17299,5
1909971,19025,2
1909971,20761,6
1909971,20850,8
1909972,8350,8
1909972,8370,11
1909972,8429,10
1909972,8445,4
1909972,8447,7
1909972,19025,2
1909972,20761,3
1909972,20828,5
1909972,20847,6
1909972,20850,9
1909972,24418,1
1909974,8346,1
1909974,17299,2
1909975,8370,6
1909975,8445,5
1909975,17299,4
1909975,19025,1
1909975,20761,2
1909975,20828,3
1909977,8346,4
1909977,8350,3
1909977,8370,7
1909977,17299,5
1909977,19025,1
1909977,20761,2
1909977,20850,6
1909978,15002,1
1909979,8342,2
1909979,8383,7
1909979,19025,3
1909979,20761,4
1909979,20828,5
1909979,20847,6
1909979,20850,8
1909979,24418,1
1909981,8350,5
1909981,8429,3
1909981,17291,1
1909981,19025,2
1909981,20761,6
1909981,20828,4
1909982,8350,3
1909982,19025,1
1909982,20761,2
1909983,17299,2
1909983,19025,1
1909983,20761,3
1909985,8370,6
1909985,8445,3
1909985,17299,5
1909985,19025,1
1909985,20761,2
1909985,20828,4
1909986,19025,1
1909986,20761,2
1909986,20828,3
1909988,19025,1
1909988,20761,2
1909989,8342,2
1909989,8350,9
1909989,8383,8
1909989,8429,5
1909989,19025,3
1909989,20761,4
1909989,20828,6
1909989,20847,7
1909989,24418,1
1909990,8342,2
1909990,8383,4
1909990,20761,3
1909990,20828,1
1909992,8342,2
1909992,8350,8
1909992,8370,9
1909992,8429,7
1909992,8447,6
1909992,19025,3
1909992,20761,4
1909992,20828,5
1909992,24418,1
1909993,20761,3
1909993,24396,1
1909993,25679,2
1909994,8346,1
1909994,8383,3
1909994,19025,2
1909996,8342,2
1909996,8350,10
1909996,8370,11
1909996,8383,7
1909996,8429,5
1909996,8445,9
1909996,19025,3
1909996,20761,4
1909996,20828,6
