roll_call_id,people_id,vote,vote_desc
1477047,8342,1,Yea
1477047,17296,1,Yea
1477047,17299,1,Yea
1477047,20761,1,Yea
1477047,20828,1,Yea
1480266,8370,1,Yea
1480266,8429,1,Yea
1480266,8447,1,Yea
1480266,17614,1,Yea
1480266,24396,2,Nay
1496856,8346,1,Yea
1496856,8445,4,Absent
1496856,17299,1,Yea
1496856,19025,1,Yea
1496856,24396,2,Nay
1496857,8350,1,Yea
1496857,8429,1,Yea
1496857,17296,1,Yea
1496857,24396,2,Nay
1496857,24519,1,Yea
1476990,8346,1,Yea
1476990,8370,1,Yea
1476990,8429,1,Yea
1476990,24418,1,Yea
1476990,25679,1,Yea
1493697,8342,1,Yea
1493697,8370,1,Yea
1493697,8383,1,Yea
1493697,8440,1,Yea
1493697,8447,1,Yea
1493697,11380,1,Yea
1493697,17291,1,Yea
1493697,17614,1,Yea
1493697,20761,1,Yea
1493697,20828,1,Yea
1493697,20847,1,Yea
1493697,20850,1,Yea
1493697,24418,1,Yea
1493698,8346,1,Yea
1493698,8445,4,Absent
1493698,17299,1,Yea
1493698,19025,1,Yea
1493698,24396,1,Yea
1557745,8389,1,Yea
1557745,11513,1,Yea
1557745,20852,1,Yea
1557745,24415,1,Yea
1557745,24619,1,Yea
1557745,25670,4,Absent
1557746,8346,1,Yea
1557746,8429,4,Absent
1557746,20761,4,Absent
1557746,20850,1,Yea
1557746,24418,1,Yea
1517539,8429,4,Absent
1517539,8440,1,Yea
1517539,8447,1,Yea
1517539,20761,4,Absent
1517539,20828,1,Yea
1531693,8342,1,Yea
1531693,8370,1,Yea
1531693,8383,1,Yea
1531693,8440,1,Yea
1531693,8447,1,Yea
1531693,11380,1,Yea
1531693,17291,1,Yea
1531693,17614,1,Yea
1531693,20761,1,Yea
1531693,20828,1,Yea
1531693,20847,1,Yea
1531693,20850,1,Yea
1531693,24418,1,Yea
1556368,11513,1,Yea
1556368,24415,1,Yea
1556368,24511,1,Yea
1556368,25677,1,Yea
1556369,8447,1,Yea
1556369,20761,1,Yea
1556369,20828,1,Yea
1477659,8342,4,Absent
1477659,19025,1,Yea
1477659,20761,1,Yea
1477659,20828,1,Yea
1477659,20847,1,Yea
1496868,8346,1,Yea
1496868,8445,4,Absent
1496868,17299,4,Absent
1496868,19025,1,Yea
1496868,24396,2,Nay
1496869,8350,1,Yea
1496869,8429,1,Yea
1496869,17296,1,Yea
1496869,24396,2,Nay
1496869,24519,1,Yea
1552833,24416,1,Yea
1552833,24910,1,Yea
1552833,25668,1,Yea
1552833,25674,1,Yea
1552834,8346,1,Yea
1552834,17296,1,Yea
1552834,19025,1,Yea
1552834,20761,1,Yea
1474554,8346,1,Yea
1474554,8370,1,Yea
1474554,8429,1,Yea
1474554,24418,1,Yea
1474554,25679,2,Nay
1487888,8346,1,Yea
1487888,8445,1,Yea
1487888,17299,4,Absent
1487888,19025,1,Yea
1487888,24396,4,Absent
1480306,8370,1,Yea
1480306,17614,1,Yea
1480306,19025,1,Yea
1480306,20761,1,Yea
1480306,24519,1,Yea
1474486,8346,1,Yea
1474486,8445,1,Yea
1474486,17614,4,Absent
1474486,24396,1,Yea
1474486,24519,1,Yea
1482175,8346,1,Yea
1482175,8445,1,Yea
1482175,17299,1,Yea
1482175,19025,4,Absent
1482175,24396,2,Nay
1500871,8342,1,Yea
1500871,8370,1,Yea
1500871,8383,1,Yea
1500871,8440,1,Yea
1500871,8447,1,Yea
1500871,11380,1,Yea
1500871,17291,1,Yea
1500871,17614,1,Yea
1500871,20761,1,Yea
1500871,20828,1,Yea
1500871,20847,1,Yea
1500871,20850,1,Yea
1500871,24418,1,Yea
1476877,8346,1,Yea
1476877,8445,1,Yea
1476877,17614,1,Yea
1476877,24396,2,Nay
1476877,24519,4,Absent
1476878,8370,1,Yea
1476878,17614,1,Yea
1476878,19025,1,Yea
1476878,20761,4,Absent
1476878,24519,4,Absent
1502052,8342,1,Yea
1502052,8370,1,Yea
1502052,8383,1,Yea
1502052,8440,1,Yea
1502052,8447,1,Yea
1502052,11380,1,Yea
1502052,17291,1,Yea
1502052,17614,1,Yea
1502052,20761,1,Yea
1502052,20828,1,Yea
1502052,20847,1,Yea
1502052,20850,1,Yea
1502052,24418,1,Yea
1476085,8435,4,Absent
1476085,17296,1,Yea
1476085,17299,1,Yea
1476085,24519,1,Yea
1476085,25679,1,Yea
1493928,8346,1,Yea
1493928,8445,4,Absent
1493928,17299,1,Yea
1493928,19025,1,Yea
1493928,24396,1,Yea
1484297,8350,1,Yea
1484297,17291,1,Yea
1484297,19025,1,Yea
1484297,24418,1,Yea
1484297,25679,1,Yea
1484298,8342,4,Absent
1484298,19025,1,Yea
1484298,20761,4,Absent
1484298,20828,1,Yea
1484298,20847,1,Yea
1502688,8342,1,Yea
1502688,8370,1,Yea
1502688,8383,4,Absent
1502688,8440,4,Absent
1502688,8447,4,Absent
1502688,11380,1,Yea
1502688,17291,1,Yea
1502688,17614,1,Yea
1502688,20761,1,Yea
1502688,20828,1,Yea
1502688,20847,1,Yea
1502688,20850,1,Yea
1502688,24418,1,Yea
1479387,8346,4,Absent
1479387,8370,1,Yea
1479387,8429,4,Absent
1479387,24418,1,Yea
1479387,25679,1,Yea
1479388,8350,1,Yea
1479388,17291,1,Yea
1479388,19025,1,Yea
1479388,24418,1,Yea
1479388,25679,1,Yea
1483781,8383,1,Yea
1483781,17291,4,Absent
1483781,20847,1,Yea
1483781,24418,1,Yea
1483781,25679,1,Yea
1486672,8342,1,Yea
1486672,19025,1,Yea
1486672,20761,1,Yea
1486672,20828,1,Yea
1486672,20847,1,Yea
1493602,8346,1,Yea
1493602,8445,4,Absent
1493602,17299,1,Yea
1493602,19025,1,Yea
1493602,24396,1,Yea
1557151,8445,1,Yea
1557151,19025,1,Yea
1557151,20761,4,Absent
1557152,20852,1,Yea
1557152,24415,1,Yea
1557152,24788,1,Yea
1557152,24910,1,Yea
1557152,25051,1,Yea
1557153,8445,1,Yea
1557153,19025,1,Yea
1557153,20761,4,Absent
1480354,8429,1,Yea
1480354,8440,1,Yea
1480354,8447,1,Yea
1480354,20761,4,Absent
1480354,20828,1,Yea
1480438,8350,1,Yea
1480438,8445,4,Absent
1480438,17299,1,Yea
1480438,20761,4,Absent
1480438,20850,1,Yea
1477968,8383,1,Yea
1477968,17291,1,Yea
1477968,20847,1,Yea
1477968,24418,1,Yea
1477968,25679,2,Nay
1496873,8346,1,Yea
1496873,8445,4,Absent
1496873,17299,2,Nay
1496873,19025,1,Yea
1496873,24396,2,Nay
1478571,8346,1,Yea
1478571,8370,1,Yea
1478571,8429,1,Yea
1478571,24418,1,Yea
1478571,25679,1,Yea
1476024,8342,1,Yea
1476024,19025,1,Yea
1476024,20761,4,Absent
1476024,20828,1,Yea
1476024,20847,1,Yea
1501897,8342,1,Yea
1501897,8370,1,Yea
1501897,8383,1,Yea
1501897,8440,1,Yea
1501897,8447,1,Yea
1501897,11380,1,Yea
1501897,17291,1,Yea
1501897,17614,1,Yea
1501897,20761,1,Yea
1501897,20828,1,Yea
1501897,20847,1,Yea
1501897,20850,1,Yea
1501897,24418,1,Yea
1476913,8342,1,Yea
1476913,17296,4,Absent
1476913,17299,1,Yea
1476913,20761,1,Yea
1476913,20828,1,Yea
1476055,8342,1,Yea
1476055,19025,1,Yea
1476055,20761,4,Absent
1476055,20828,1,Yea
1476055,20847,1,Yea
1474119,8342,4,Absent
1474119,19025,1,Yea
1474119,20761,1,Yea
1474119,20828,1,Yea
1474119,20847,1,Yea
1485745,8342,1,Yea
1485745,8383,1,Yea
1485745,8435,1,Yea
1485745,20761,4,Absent
1485745,20850,1,Yea
1485746,8383,1,Yea
1485746,17291,1,Yea
1485746,20847,1,Yea
1485746,24418,4,Absent
1485746,25679,1,Yea
1482733,8346,1,Yea
1482733,8445,1,Yea
1482733,17614,2,Nay
1482733,24396,2,Nay
1482733,24519,1,Yea
1482734,8383,1,Yea
1482734,17291,2,Nay
1482734,20847,1,Yea
1482734,24418,1,Yea
1482734,25679,2,Nay
1477992,8350,1,Yea
1477992,8445,1,Yea
1477992,17299,1,Yea
1477992,20761,4,Absent
1477992,20850,1,Yea
1494459,8346,1,Yea
1494459,8445,4,Absent
1494459,17299,1,Yea
1494459,19025,1,Yea
1494459,24396,1,Yea
1477959,8350,1,Yea
1477959,8445,1,Yea
1477959,17299,1,Yea
1477959,20761,1,Yea
1477959,20850,1,Yea
1477960,8342,1,Yea
1477960,19025,1,Yea
1477960,20761,1,Yea
1477960,20828,1,Yea
1477960,20847,1,Yea
1483242,8350,1,Yea
1483242,17291,1,Yea
1483242,19025,1,Yea
1483242,24418,1,Yea
1483242,25679,1,Yea
1474160,8342,4,Absent
1474160,19025,1,Yea
1474160,20761,1,Yea
1474160,20828,1,Yea
1474160,20847,1,Yea
1494374,8342,1,Yea
1494374,8370,1,Yea
1494374,8383,1,Yea
1494374,8440,1,Yea
1494374,8447,1,Yea
1494374,11380,1,Yea
1494374,17291,1,Yea
1494374,17614,1,Yea
1494374,20761,1,Yea
1494374,20828,1,Yea
1494374,20847,1,Yea
1494374,20850,1,Yea
1494374,24418,1,Yea
1477928,8350,1,Yea
1477928,8445,1,Yea
1477928,17299,1,Yea
1477928,20761,4,Absent
1477928,20850,1,Yea
1496474,8346,1,Yea
1496474,8445,4,Absent
1496474,17299,1,Yea
1496474,19025,1,Yea
1496474,24396,2,Nay
1483847,8383,1,Yea
1483847,17291,4,Absent
1483847,20847,1,Yea
1483847,24418,1,Yea
1483847,25679,1,Yea
1495482,8350,1,Yea
1495482,8429,1,Yea
1495482,17296,1,Yea
1495482,24396,1,Yea
1495482,24519,4,Absent
1474087,8342,4,Absent
1474087,19025,1,Yea
1474087,20761,1,Yea
1474087,20828,1,Yea
1474087,20847,1,Yea
1485672,8346,1,Yea
1485672,8445,1,Yea
1485672,17614,2,Nay
1485672,24396,2,Nay
1485672,24519,2,Nay
1476975,8350,1,Yea
1476975,8429,1,Yea
1476975,17296,1,Yea
1476975,24396,4,Absent
1476975,24519,4,Absent
1476976,8342,1,Yea
1476976,19025,1,Yea
1476976,20761,1,Yea
1476976,20828,1,Yea
1476976,20847,4,Absent
1484512,8350,1,Yea
1484512,8429,1,Yea
1484512,17296,1,Yea
1484512,24396,2,Nay
1484512,24519,1,Yea
1484513,8350,1,Yea
1484513,17291,1,Yea
1484513,19025,4,Absent
1484513,24418,1,Yea
1484513,25679,1,Yea
1500785,8346,1,Yea
1500785,8445,1,Yea
1500785,17299,1,Yea
1500785,19025,1,Yea
1500785,24396,2,Nay
1500786,8342,1,Yea
1500786,8370,1,Yea
1500786,8383,1,Yea
1500786,8440,1,Yea
1500786,8447,1,Yea
1500786,11380,1,Yea
1500786,17291,1,Yea
1500786,17614,1,Yea
1500786,20761,1,Yea
1500786,20828,1,Yea
1500786,20847,1,Yea
1500786,20850,1,Yea
1500786,24418,1,Yea
1484446,8435,4,Absent
1484446,17296,1,Yea
1484446,17299,4,Absent
1484446,24519,1,Yea
1484446,25679,1,Yea
1484447,8350,4,Absent
1484447,17291,1,Yea
1484447,19025,1,Yea
1484447,24418,1,Yea
1484447,25679,1,Yea
1476936,8350,1,Yea
1476936,8429,1,Yea
1476936,17296,1,Yea
1476936,24396,4,Absent
1476936,24519,4,Absent
1476937,8342,1,Yea
1476937,19025,1,Yea
1476937,20761,1,Yea
1476937,20828,1,Yea
1476937,20847,4,Absent
1478175,8346,1,Yea
1478175,8445,1,Yea
1478175,17299,1,Yea
1478175,19025,1,Yea
1478175,24396,4,Absent
1477927,8383,1,Yea
1477927,17291,1,Yea
1477927,20847,1,Yea
1477927,24418,2,Nay
1477927,25679,2,Nay
1494352,8346,1,Yea
1494352,8445,4,Absent
1494352,17299,1,Yea
1494352,19025,1,Yea
1494352,24396,2,Nay
1482516,8346,1,Yea
1482516,8445,1,Yea
1482516,17299,1,Yea
1482516,19025,4,Absent
1482516,24396,1,Yea
1483402,8342,4,Absent
1483402,19025,1,Yea
1483402,20761,4,Absent
1483402,20828,1,Yea
1483402,20847,1,Yea
1484327,8435,4,Absent
1484327,17296,4,Absent
1484327,17299,1,Yea
1484327,24519,1,Yea
1484327,25679,1,Yea
1484328,8342,1,Yea
1484328,19025,1,Yea
1484328,20761,4,Absent
1484328,20828,1,Yea
1484328,20847,1,Yea
1484329,8350,1,Yea
1484329,17291,1,Yea
1484329,19025,1,Yea
1484329,24418,1,Yea
