bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1906128,3043963,text,76512,text/html,Introduced,https://legiscan.com/IL/text/HB0001/id/3043963,https://www.ilga.gov/legislation/104/HB/10400HB0001.htm
1906254,3043961,text,56593,text/html,Introduced,https://legiscan.com/IL/text/HB0002/id/3043961,https://www.ilga.gov/legislation/104/HB/10400HB0002.htm
1906601,3044309,text,10340,text/html,Introduced,https://legiscan.com/IL/text/HB0003/id/3044309,https://www.ilga.gov/legislation/104/HB/10400HB0003.htm
1906477,3044674,text,8292,text/html,Introduced,https://legiscan.com/IL/text/HB0004/id/3044674,https://www.ilga.gov/legislation/104/HB/10400HB0004.htm
1906335,3045607,text,29401,text/html,Introduced,https://legiscan.com/IL/text/HB0005/id/3045607,https://www.ilga.gov/legislation/104/HB/10400HB0005.htm
1906465,3044310,text,8687,text/html,Introduced,https://legiscan.com/IL/text/HB0006/id/3044310,https://www.ilga.gov/legislation/104/HB/10400HB0006.htm
1906745,3044532,text,309211,text/html,Introduced,https://legiscan.com/IL/text/HB0007/id/3044532,https://www.ilga.gov/legislation/104/HB/10400HB0007.htm
1906268,3044305,text,104851,text/html,Introduced,https://legiscan.com/IL/text/HB0008/id/3044305,https://www.ilga.gov/legislation/104/HB/10400HB0008.htm
1906152,3044690,text,15934,text/html,Introduced,https://legiscan.com/IL/text/HB0009/id/3044690,https://www.ilga.gov/legislation/104/HB/10400HB0009.htm
1906036,3044293,text,41707,text/html,Introduced,https://legiscan.com/IL/text/HB0010/id/3044293,https://www.ilga.gov/legislation/104/HB/10400HB0010.htm
1906463,3044355,text,107677,text/html,Introduced,https://legiscan.com/IL/text/HB0011/id/3044355,https://www.ilga.gov/legislation/104/HB/10400HB0011.htm
1906165,3044543,text,23564,text/html,Introduced,https://legiscan.com/IL/text/HB0012/id/3044543,https://www.ilga.gov/legislation/104/HB/10400HB0012.htm
1906676,3045630,text,11742,text/html,Introduced,https://legiscan.com/IL/text/HB0013/id/3045630,https://www.ilga.gov/legislation/104/HB/10400HB0013.htm
1906079,3044271,text,3841,text/html,Introduced,https://legiscan.com/IL/text/HB0014/id/3044271,https://www.ilga.gov/legislation/104/HB/10400HB0014.htm
1906582,3044291,text,6408,text/html,Introduced,https://legiscan.com/IL/text/HB0015/id/3044291,https://www.ilga.gov/legislation/104/HB/10400HB0015.htm
1906563,3044277,text,24433,text/html,Introduced,https://legiscan.com/IL/text/HB0016/id/3044277,https://www.ilga.gov/legislation/104/HB/10400HB0016.htm
1906934,3044933,text,15454,text/html,Introduced,https://legiscan.com/IL/text/HB0017/id/3044933,https://www.ilga.gov/legislation/104/HB/10400HB0017.htm
1906422,3043749,text,70483,text/html,Introduced,https://legiscan.com/IL/text/HB0018/id/3043749,https://www.ilga.gov/legislation/104/HB/10400HB0018.htm
1906421,3043823,text,167446,text/html,Introduced,https://legiscan.com/IL/text/HB0019/id/3043823,https://www.ilga.gov/legislation/104/HB/10400HB0019.htm
1907113,3043853,text,7457,text/html,Introduced,https://legiscan.com/IL/text/HB0020/id/3043853,https://www.ilga.gov/legislation/104/HB/10400HB0020.htm
1906717,3044988,text,35354,text/html,Introduced,https://legiscan.com/IL/text/HB0021/id/3044988,https://www.ilga.gov/legislation/104/HB/10400HB0021.htm
1906359,3043743,text,6967,text/html,Introduced,https://legiscan.com/IL/text/HB0022/id/3043743,https://www.ilga.gov/legislation/104/HB/10400HB0022.htm
1906359,3180143,text,5337,text/html,Engrossed,https://legiscan.com/IL/text/HB0022/id/3180143,https://www.ilga.gov/legislation/104/HB/10400HB0022eng.htm
1906576,3043834,text,43838,text/html,Introduced,https://legiscan.com/IL/text/HB0023/id/3043834,https://www.ilga.gov/legislation/104/HB/10400HB0023.htm
1906917,3043820,text,4886,text/html,Introduced,https://legiscan.com/IL/text/HB0024/id/3043820,https://www.ilga.gov/legislation/104/HB/10400HB0024.htm
1906917,3180524,text,3359,text/html,Engrossed,https://legiscan.com/IL/text/HB0024/id/3180524,https://www.ilga.gov/legislation/104/HB/10400HB0024eng.htm
1906691,3045626,text,5031,text/html,Introduced,https://legiscan.com/IL/text/HB0025/id/3045626,https://www.ilga.gov/legislation/104/HB/10400HB0025.htm
1907101,3043818,text,26820,text/html,Introduced,https://legiscan.com/IL/text/HB0026/id/3043818,https://www.ilga.gov/legislation/104/HB/10400HB0026.htm
1906529,3043750,text,20435,text/html,Introduced,https://legiscan.com/IL/text/HB0027/id/3043750,https://www.ilga.gov/legislation/104/HB/10400HB0027.htm
1906929,3043806,text,185113,text/html,Introduced,https://legiscan.com/IL/text/HB0028/id/3043806,https://www.ilga.gov/legislation/104/HB/10400HB0028.htm
1906929,3180083,text,179853,text/html,Engrossed,https://legiscan.com/IL/text/HB0028/id/3180083,https://www.ilga.gov/legislation/104/HB/10400HB0028eng.htm
1906368,3043755,text,66687,text/html,Introduced,https://legiscan.com/IL/text/HB0029/id/3043755,https://www.ilga.gov/legislation/104/HB/10400HB0029.htm
1907055,3045661,text,180728,text/html,Introduced,https://legiscan.com/IL/text/HB0030/id/3045661,https://www.ilga.gov/legislation/104/HB/10400HB0030.htm
1907066,3045650,text,101300,text/html,Introduced,https://legiscan.com/IL/text/HB0031/id/3045650,https://www.ilga.gov/legislation/104/HB/10400HB0031.htm
1906087,3043172,text,5763,text/html,Introduced,https://legiscan.com/IL/text/HB0032/id/3043172,https://www.ilga.gov/legislation/104/HB/10400HB0032.htm
1906087,3209070,text,109441,text/html,Engrossed,https://legiscan.com/IL/text/HB0032/id/3209070,https://www.ilga.gov/legislation/104/HB/10400HB0032eng.htm
1907027,3044845,text,17330,text/html,Introduced,https://legiscan.com/IL/text/HB0033/id/3044845,https://www.ilga.gov/legislation/104/HB/10400HB0033.htm
1906696,3044765,text,3988,text/html,Introduced,https://legiscan.com/IL/text/HB0034/id/3044765,https://www.ilga.gov/legislation/104/HB/10400HB0034.htm
1906420,3044729,text,23025,text/html,Introduced,https://legiscan.com/IL/text/HB0035/id/3044729,https://www.ilga.gov/legislation/104/HB/10400HB0035.htm
1906420,3207940,text,24915,text/html,Engrossed,https://legiscan.com/IL/text/HB0035/id/3207940,https://www.ilga.gov/legislation/104/HB/10400HB0035eng.htm
1907159,3044658,text,4264,text/html,Introduced,https://legiscan.com/IL/text/HB0036/id/3044658,https://www.ilga.gov/legislation/104/HB/10400HB0036.htm
1907007,3044890,text,8254,text/html,Introduced,https://legiscan.com/IL/text/HB0037/id/3044890,https://www.ilga.gov/legislation/104/HB/10400HB0037.htm
1906730,3044830,text,41697,text/html,Introduced,https://legiscan.com/IL/text/HB0038/id/3044830,https://www.ilga.gov/legislation/104/HB/10400HB0038.htm
1906928,3044408,text,11940,text/html,Introduced,https://legiscan.com/IL/text/HB0039/id/3044408,https://www.ilga.gov/legislation/104/HB/10400HB0039.htm
