people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
940,"Anthony DeLuca",Anthony,,DeLuca,,,1,D,1,Rep,HD-080,6499098,73239,,Anthony_DeLuca_(Illinois),276817,0
949,"Chapin Rose",Chapin,,Rose,,,2,R,2,Sen,SD-051,3142092,33905,,Chapin_Rose,212671,0
972,"Elizabeth Hernandez",Elizabeth,,Hernandez,,Lisa,1,D,1,Rep,HD-002,3015340,33441,,Elizabeth_Hernandez_(Illinois),250823,0
977,"Fred Crespo",Fred,,Crespo,,,1,D,1,Rep,HD-044,6468210,57416,,Fred_Crespo,250825,0
983,"Jay Hoffman",Jay,C.,Hoffman,,,1,D,1,Rep,HD-113,6514695,6334,,Jay_C._Hoffman,194397,0
984,"Jil Tracy",Jil,Walker,Tracy,,,2,R,2,Sen,SD-050,2706708,68145,,Jil_Tracy,247264,0
1004,"LaShawn Ford",LaShawn,K.,Ford,,,1,D,1,Rep,HD-008,2600456,18379,,La_Shawn_K._Ford,250819,0
1010,"Mark Walker",Mark,L.,Walker,,,1,D,2,Sen,SD-027,2894080,101817,,Mark_Walker_(Illinois),270611,0
1032,"Robert Rita",Robert,,Rita,,Bob,1,D,1,Rep,HD-028,2665989,33351,,Robert_Rita,212674,0
1040,"Sara Feigenholtz",Sara,,Feigenholtz,,,1,D,2,Sen,SD-006,2667276,6323,,Sara_Feigenholtz,194298,0
1062,"Dave Syverson",Dave,,Syverson,,,2,R,2,Sen,SD-035,2749263,6289,,Dave_Syverson,194259,0
1063,"David Koehler",David,,Koehler,,,1,D,2,Sen,SD-046,13011845,56935,,David_Koehler,250814,0
1066,"Don Harmon",Don,,Harmon,,,1,D,2,Sen,SD-039,3024041,33608,,Don_Harmon,212712,0
1069,"Emil Jones",Emil,,Jones,III,,1,D,2,Sen,SD-014,13011788,110860,,Emil_Jones,312119,0
1085,"Kimberly Lightford",Kimberly,A.,Lightford,,,1,D,2,Sen,SD-004,13011765,18241,,Kimberly_Lightford,193900,0
1090,"Linda Holmes",Linda,,Holmes,,,1,D,2,Sen,SD-042,6468287,56933,,Linda_Holmes,250812,0
1095,"Mattie Hunter",Mattie,,Hunter,,,1,D,2,Sen,SD-003,2684958,33592,,Mattie_Hunter,214463,0
1112,"Jehan Gordon-Booth",Jehan,A.,Gordon-Booth,,,1,D,1,Rep,HD-092,6485906,101832,,Jehan_Gordon-Booth,270625,0
1116,"William Davis",William,,Davis,,Will,1,D,1,Rep,HD-030,6380735,33782,,William_Davis_(Illinois),212675,0
4407,"Robyn Gabel",Robyn,,Gabel,,,1,D,1,Rep,HD-018,2692346,116618,,Robyn_Gabel,287099,0
5847,"Camille Lilly",Camille,,Lilly,,,1,D,1,Rep,HD-078,13000150,122004,,Camille_Y._Lilly,293933,0
9627,"Rita Mayfield",Rita,,Mayfield,,,1,D,1,Rep,HD-060,6512085,127235,,Rita_Mayfield,297371,0
11227,"Joe Sosnowski",Joe,C.,Sosnowski,,,2,R,1,Rep,HD-069,6680931,74480,,Joe_Sosnowski,291440,0
11229,"Norine Hammond",Norine,K.,Hammond,,,2,R,1,Rep,HD-094,6700319,128487,,Norine_Hammond,314709,0
11231,"Wayne Rosenthal",Wayne,Arthur,Rosenthal,,,2,R,1,Rep,HD-108,13000199,116692,,Wayne_Arthur_Rosenthal,291449,0
11595,"Thaddeus Jones",Thaddeus,,Jones,,,1,D,1,Rep,HD-029,12999998,73059,,Thaddeus_Jones,291413,0
11653,"Ann Williams",Ann,M.,Williams,,,1,D,1,Rep,HD-011,6498894,116611,,Ann_M._Williams,291406,0
11929,"William Cunningham",William,,Cunningham,,Bill,1,D,2,Sen,SD-018,6512073,127803,,Bill_Cunningham_(Illinois),297465,0
11932,"Susan Rezin",Susan,,Rezin,,Sue,2,R,2,Sen,SD-038,2754091,116675,,Sue_Rezin,289878,0
12077,"Michelle Mussman",Michelle,,Mussman,,,1,D,1,Rep,HD-056,2740714,116656,,Michelle_Mussman,289863,0
13122,"Kelly Cassidy",Kelly,M.,Cassidy,,,1,D,1,Rep,HD-014,6514650,129542,,Kelly_Cassidy,343438,0
13124,"Kimberly Du Buclet",Kimberly,,"Du Buclet",,,1,D,1,Rep,HD-005,0,0,,Kimberly_du_Buclet,342342,0
13949,"Marcus Evans",Marcus,C.,Evans,Jr.,,1,D,1,Rep,HD-033,16072351,140354,,Marcus_Evans,426324,0
13951,"Brad Halbrook",Brad,,Halbrook,,,2,R,1,Rep,HD-107,6700422,134985,,Brad_Halbrook,387743,0
13956,"Lawrence Walsh",Lawrence,M.,Walsh,Jr.,,1,D,1,Rep,HD-086,3528756,149703,,"Lawrence_Walsh,_Jr.",436208,0
13972,"John Cabello",John,M.,Cabello,,,2,R,1,Rep,HD-090,13000126,116666,,John_M._Cabello,289871,0
13973,"Elgie Sims",Elgie,R.,Sims,Jr.,,1,D,2,Sen,SD-017,6514877,135053,,"Elgie_R._Sims,_Jr.",386901,0
14028,"Christopher Davidsmeyer",Christopher,D.,Davidsmeyer,,CD,2,R,1,Rep,HD-100,2724326,144279,,C.D._Davidsmeyer,446543,0
14308,"Laura Fine",Laura,,Fine,,,1,D,2,Sen,SD-009,12999961,135036,,Laura_Fine,387347,0
14316,"Napoleon Harris",Napoleon,,Harris,III,,1,D,2,Sen,SD-015,2886281,134977,,Napoleon_Harris,387379,0
14317,"Michael Hastings",Michael,E.,Hastings,,,1,D,2,Sen,SD-019,6514744,134982,,Michael_Hastings,386237,0
14320,"Julie Morrison",Julie,A.,Morrison,,,1,D,2,Sen,SD-029,6514844,113571,,Julie_Morrison,387450,0
14323,"Steve Stadelman",Steve,,Stadelman,,,1,D,2,Sen,SD-034,6514912,135008,,Steve_Stadelman,387491,0
14571,"Charles Meier",Charles,E.,Meier,,,2,R,1,Rep,HD-109,2742367,135110,,Charles_E._Meier,387739,0
14572,"Emanuel Welch",Emanuel,,Welch,,Chris,1,D,1,Rep,HD-007,2814076,58207,,Chris_Welch,385437,0
15382,"Robert Martwick",Robert,F.,Martwick,Jr.,,1,D,2,Sen,SD-010,6514740,9479,,Robert_Martwick,387357,0
15634,"Martin Moylan",Martin,J.,Moylan,,,1,D,1,Rep,HD-055,2815766,73453,,Martin_J._Moylan,387515,0
15691,"Stephanie Kifowit",Stephanie,A.,Kifowit,,,1,D,1,Rep,HD-084,6515077,72443,,Stephanie_Kifowit,387605,0
15693,"Natalie Manley",Natalie,A.,Manley,,,1,D,1,Rep,HD-098,6515102,135077,,Natalie_Manley,387729,0
15695,"Sue Scherer",Sue,,Scherer,,,1,D,1,Rep,HD-096,6515099,135086,,Sue_Scherer,387726,0
16050,"Jaime Andrade",Jaime,M.,Andrade,Jr.,,1,D,1,Rep,HD-040,2860408,144966,,Jaime_Andrade,465890,0
16240,"Anna Moeller",Anna,,Moeller,,,1,D,1,Rep,HD-043,19002270,130766,,Anna_Moeller,493607,0
16592,"Terri Bryant",Terri,,Bryant,,,2,R,2,Sen,SD-058,15990010,147807,,Terri_Bryant,477858,0
16881,"Neil Anderson",Neil,,Anderson,,,2,R,2,Sen,SD-047,6700731,135090,,Neil_Anderson_(Illinois),387556,0
17366,"Will Guzzardi",Will,,Guzzardi,,,1,D,1,Rep,HD-039,6514941,135062,,Will_Guzzardi,387428,0
17411,"Carol Ammons",Carol,,Ammons,,,1,D,1,Rep,HD-103,21776713,106935,,Carol_Ammons,477852,0
17721,"Laura Murphy",Laura,M.,Murphy,,,1,D,2,Sen,SD-028,12432499,18165,,Laura_Murphy_(Illinois),555460,0
17724,"Sonya Harper",Sonya,M.,Harper,,,1,D,1,Rep,HD-006,35396271,166131,,Sonya_Harper,559508,0
17935,"Dan McConchie",Dan,,McConchie,,,2,R,2,Sen,SD-026,13907968,166357,,Dan_McConchie,560949,0
