bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1906054,1542453,2025-04-09,House,"Third Reading in House",116,0,0,0,116
1906084,1540045,2025-04-08,House,"Third Reading in House",113,0,0,0,113
1906087,1544740,2025-04-10,House,"Third Reading in House",82,30,1,0,113
1906221,1541397,2025-04-08,House,"Third Reading in House",115,0,0,0,115
1906238,1539001,2025-04-07,House,"Third Reading in House",107,0,0,0,107
1906311,1545469,2025-04-10,House,"Third Reading in House",112,0,0,0,112
1906342,1539041,2025-04-07,House,"Third Reading in House",103,0,4,0,107
1906354,1545842,2025-04-10,House,"Third Reading in House",112,0,1,0,113
1906359,1541679,2025-04-09,House,"Third Reading in House",113,0,3,0,116
1906391,1546328,2025-04-11,House,"Third Reading in House",109,0,6,0,115
1906396,1541393,2025-04-09,House,"Third Reading in House",114,0,1,0,115
1906420,1542335,2025-04-09,House,"Third Reading in House",79,35,2,0,116
1906491,1538991,2025-04-07,House,"Third Reading in House",107,0,0,0,107
1906524,1538283,2025-04-07,House,"Third Reading in House",94,11,1,0,106
1906528,1538521,2025-04-07,House,"Third Reading in House",107,0,1,0,108
1906559,1538620,2025-04-07,House,"Third Reading in House",89,12,6,0,107
1906643,1539073,2025-04-07,House,"Third Reading in House",106,0,1,0,107
1906650,1539851,2025-04-08,House,"Third Reading in House",113,0,2,0,115
1906814,1538453,2025-04-07,House,"Third Reading in House",107,0,0,0,107
1906859,1539077,2025-04-07,House,"Third Reading in House",72,33,2,0,107
1906917,1541197,2025-04-08,House,"Third Reading in House",112,0,1,0,113
1906923,1544183,2025-04-10,House,"Third Reading in House",82,30,3,0,115
1906929,1539533,2025-04-08,House,"Third Reading in House",116,0,0,0,116
1906988,1538336,2025-04-07,House,"Third Reading in House",106,0,0,0,106
1907004,1538891,2025-04-07,House,"Third Reading in House",106,0,1,0,107
1907052,1545113,2025-04-10,House,"Third Reading in House",74,37,3,0,114
1907052,1545114,2025-04-10,House,"Motion in House",38,73,1,0,112
1907157,1538619,2025-04-07,House,"Third Reading in House",72,30,5,0,107
1907538,1471196,2025-01-08,Senate,"Motion in Senate",58,0,1,0,59
1908502,1471226,2025-01-09,House,"Motion in House",77,36,0,0,113
1908678,1540145,2025-04-08,House,"Third Reading in House",82,28,3,0,113
1909420,1471225,2025-01-09,Senate,"Motion To Adopt in Senate",40,14,5,0,59
1909515,1541808,2025-04-09,House,"Third Reading in House",79,35,1,0,115
1909588,1541500,2025-04-09,House,"Third Reading in House",114,0,1,0,115
1909806,1538641,2025-04-07,House,"Third Reading in House",76,29,2,0,107
1910700,1543385,2025-04-10,House,"Motion in House",70,38,7,0,115
1910700,1543386,2025-04-10,House,"Third Reading in House",71,40,4,0,115
1910725,1541260,2025-04-08,House,"Third Reading in House",113,0,0,0,113
1911459,1539696,2025-04-08,House,"Third Reading in House",70,39,5,0,114
1915121,1540140,2025-04-08,House,"Third Reading in House",110,0,3,0,113
1915324,1541943,2025-04-09,House,"Third Reading in House",76,38,2,0,116
1915768,1543972,2025-04-09,House,"Third Reading in House",76,40,0,0,116
1915919,1542384,2025-04-09,Senate,"Third Reading in Senate",54,0,5,0,59
1915926,1545297,2025-04-10,Senate,"Third Reading in Senate",54,0,5,0,59
1915952,1545001,2025-04-10,Senate,"Third Reading in Senate",32,22,5,0,59
