bill_id,people_id,position
1906024,21054,1
1906025,14572,1
1906026,14572,1
1906027,12077,7
1906027,13122,13
1906027,13956,21
1906027,16050,2
1906027,16240,16
1906027,19125,8
1906027,21028,10
1906027,21378,17
1906027,22538,4
1906027,22636,3
1906027,22759,6
1906027,23380,1
1906027,23739,20
1906027,24643,18
1906027,24648,9
1906027,24655,5
1906027,24656,11
1906027,25232,12
1906027,26131,15
1906027,26132,19
1906027,26133,14
1906028,14572,1
1906029,14572,1
1906030,14572,1
1906031,14572,1
1906032,14572,1
1906033,24647,1
1906034,14572,1
1906035,14571,1
1906036,22246,1
1906036,24643,2
1906037,14572,1
1906038,14572,1
1906039,1004,1
1906040,14572,1
1906041,14572,1
1906042,14572,1
1906043,14572,1
1906044,22560,1
1906044,22759,2
1906045,14572,1
1906046,14572,1
1906047,14572,1
1906048,14572,1
1906049,14572,1
1906050,14572,1
1906051,14572,1
1906052,9627,1
1906052,17411,5
1906052,21028,4
1906052,21041,2
1906052,21054,6
1906052,22518,8
1906052,23739,7
1906052,24648,10
1906052,24653,11
1906052,24654,3
1906052,24656,9
1906053,14572,1
1906054,940,3
1906054,13956,1
1906054,15693,2
1906054,22249,4
1906055,19117,2
1906055,24517,1
1906056,14572,1
1906057,22560,1
1906058,14572,1
1906059,14572,1
1906060,14572,1
1906061,14572,1
1906062,13972,1
1906062,14028,2
1906062,14571,6
1906062,19117,3
1906062,19668,4
1906062,24645,5
1906062,24649,9
1906062,24657,10
1906062,24778,8
1906062,24885,7
1906063,14572,1
1906064,19125,1
1906065,24647,1
1906066,17366,1
1906066,21041,2
1906067,20960,1
1906068,14572,1
1906069,14572,1
1906070,14572,1
1906071,940,12
1906071,15691,4
1906071,16240,11
1906071,21041,2
1906071,21378,10
1906071,22518,8
1906071,22538,9
1906071,22996,5
1906071,23380,1
1906071,24643,14
1906071,25194,3
1906071,25232,7
1906071,26132,13
1906071,26133,6
1906072,14572,1
1906073,21054,1
1906074,14572,1
1906075,14572,1
1906076,14572,1
1906077,14572,1
1906078,14572,1
1906079,20901,1
1906080,26136,1
1906081,14572,1
1906082,14572,1
1906083,11595,1
1906084,11231,4
1906084,19125,2
1906084,19131,3
1906084,24168,6
1906084,24779,5
1906084,26131,1
1906085,14572,1
1906086,14572,1
1906087,21054,1
1906087,21101,5
1906087,21674,4
1906087,25232,3
1906087,26135,2
1906088,14572,1
1906089,14572,1
1906090,14572,1
1906091,14572,1
1906092,14572,1
1906093,14572,1
1906094,14572,1
1906095,14572,1
1906096,14572,1
1906097,14572,1
1906098,14571,1
1906099,14572,1
1906100,14572,1
1906101,14572,1
1906102,14572,1
1906103,14572,1
1906104,14572,1
1906105,14572,1
1906106,14572,1
1906107,13972,1
1906107,19117,2
1906108,19117,3
1906108,20903,2
1906108,22088,1
1906109,14572,1
1906110,14572,1
1906111,14572,1
1906112,14572,1
1906113,14572,1
1906114,14572,1
1906115,14572,1
1906116,14572,1
1906117,14572,1
1906118,14572,1
1906119,14572,1
1906120,14572,1
1906121,14572,1
1906122,14572,1
1906123,14572,1
1906124,14572,1
1906125,14572,1
1906126,21041,2
1906126,22560,1
1906127,14571,1
1906127,19117,2
1906128,1004,1
1906128,9627,2
1906129,14572,1
1906130,14572,1
1906131,14572,1
1906132,13972,1
1906132,24649,2
1906133,14571,1
1906134,14572,1
1906135,14572,1
1906136,14572,1
1906137,9627,1
1906138,9627,1
1906139,14572,1
1906140,14572,1
