bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1930816,3068356,text,1747308,application/pdf,Introduced,https://legiscan.com/IN/text/HB1001/id/3068356,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1001/HB1001.01.INTR.pdf
1930816,3127164,text,2152664,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1001/id/3127164,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1001/HB1001.02.COMH.pdf
1930816,3208966,text,2713624,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1001/id/3208966,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1001/HB1001.04.COMS.pdf
1930816,3131565,text,2164858,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1001/id/3131565,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1001/HB1001.03.ENGH.pdf
1930816,3211724,text,2712346,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1001/id/3211724,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1001/HB1001.05.ENGS.pdf
1930816,3221769,text,3485688,application/pdf,Enrolled,https://legiscan.com/IN/text/HB1001/id/3221769,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1001/HB1001.06.ENRS.pdf
1914952,3052048,text,2221155,application/pdf,Introduced,https://legiscan.com/IN/text/HB1002/id/3052048,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1002/HB1002.01.INTR.pdf
1914952,3084358,text,2104927,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1002/id/3084358,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1002/HB1002.02.COMH.pdf
1914952,3192071,text,2507814,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1002/id/3192071,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1002/HB1002.04.COMS.pdf
1914952,3201268,text,2547915,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1002/id/3201268,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1002/HB1002.05.COMS.pdf
1914952,3092623,text,2187916,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1002/id/3092623,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1002/HB1002.03.ENGH.pdf
1914952,3208934,text,2544016,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1002/id/3208934,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1002/HB1002.06.ENGS.pdf
1914952,3221332,text,2148752,application/pdf,Enrolled,https://legiscan.com/IN/text/HB1002/id/3221332,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1002/HB1002.07.ENRS.pdf
1918429,3055390,text,694934,application/pdf,Introduced,https://legiscan.com/IN/text/HB1003/id/3055390,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1003/HB1003.01.INTR.pdf
1918429,3100155,text,1101993,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1003/id/3100155,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1003/HB1003.02.COMH.pdf
1918429,3119402,text,1114157,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1003/id/3119402,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1003/HB1003.03.COMH.pdf
1918429,3201196,text,1020488,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1003/id/3201196,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1003/HB1003.05.COMS.pdf
1918429,3208976,text,1047128,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1003/id/3208976,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1003/HB1003.06.COMS.pdf
1918429,3127147,text,1140337,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1003/id/3127147,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1003/HB1003.04.ENGH.pdf
1918429,3211747,text,1011628,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1003/id/3211747,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1003/HB1003.07.ENGS.pdf
1918429,3220972,text,558517,application/pdf,Enrolled,https://legiscan.com/IN/text/HB1003/id/3220972,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1003/HB1003.08.ENRS.pdf
1918061,3055079,text,105111,application/pdf,Introduced,https://legiscan.com/IN/text/HB1004/id/3055079,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.01.INTR.pdf
1918061,3113834,text,237319,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1004/id/3113834,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.02.COMH.pdf
1918061,3127151,text,1096079,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1004/id/3127151,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.03.COMH.pdf
1918061,3183314,text,1112094,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1004/id/3183314,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.05.COMS.pdf
1918061,3208946,text,1717301,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1004/id/3208946,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.06.COMS.pdf
1918061,3131557,text,1110898,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1004/id/3131557,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.04.ENGH.pdf
1918061,3211842,text,1941062,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1004/id/3211842,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.07.ENGS.pdf
1918061,3221328,text,977482,application/pdf,Enrolled,https://legiscan.com/IN/text/HB1004/id/3221328,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.08.ENRS.pdf
1918176,3055181,text,221334,application/pdf,Introduced,https://legiscan.com/IN/text/HB1005/id/3055181,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1005/HB1005.01.INTR.pdf
1918176,3084336,text,291773,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1005/id/3084336,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1005/HB1005.02.COMH.pdf
1918176,3106206,text,291295,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1005/id/3106206,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1005/HB1005.03.COMH.pdf
1918176,3192086,text,494878,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1005/id/3192086,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1005/HB1005.04.COMS.pdf
1918176,3213493,text,232492,application/pdf,Enrolled,https://legiscan.com/IN/text/HB1005/id/3213493,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1005/HB1005.05.ENRS.pdf
1917818,3054867,text,401923,application/pdf,Introduced,https://legiscan.com/IN/text/HB1006/id/3054867,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1006/HB1006.01.INTR.pdf
1917818,3106191,text,312609,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1006/id/3106191,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1006/HB1006.02.COMH.pdf
1917818,3119404,text,323030,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1006/id/3119404,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1006/HB1006.03.COMH.pdf
1917818,3192074,text,353258,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1006/id/3192074,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1006/HB1006.04.COMS.pdf
1917818,3201212,text,295987,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1006/id/3201212,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1006/HB1006.05.COMS.pdf
1917818,3205425,text,296104,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1006/id/3205425,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1006/HB1006.06.ENGS.pdf
1917818,3215226,text,180833,application/pdf,Enrolled,https://legiscan.com/IN/text/HB1006/id/3215226,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1006/HB1006.07.ENRS.pdf
1914979,3052074,text,517526,application/pdf,Introduced,https://legiscan.com/IN/text/HB1007/id/3052074,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1007/HB1007.01.INTR.pdf
1914979,3088964,text,662036,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1007/id/3088964,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1007/HB1007.02.COMH.pdf
1914979,3106212,text,662860,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1007/id/3106212,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1007/HB1007.03.COMH.pdf
1914979,3192386,text,688766,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1007/id/3192386,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1007/HB1007.05.COMS.pdf
1914979,3205412,text,689646,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1007/id/3205412,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1007/HB1007.06.COMS.pdf
1914979,3111603,text,680275,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1007/id/3111603,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1007/HB1007.04.ENGH.pdf
1914979,3208965,text,619337,application/pdf,Engrossed,https://legiscan.com/IN/text/HB1007/id/3208965,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1007/HB1007.07.ENGS.pdf
1914979,3218004,text,444662,application/pdf,Enrolled,https://legiscan.com/IN/text/HB1007/id/3218004,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1007/HB1007.08.ENRS.pdf
1917991,3055015,text,102018,application/pdf,Introduced,https://legiscan.com/IN/text/HB1008/id/3055015,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1008/HB1008.01.INTR.pdf
1917991,3127137,text,120203,application/pdf,"Comm Sub",https://legiscan.com/IN/text/HB1008/id/3127137,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1008/HB1008.02.COMH.pdf
