bill_id,date,chamber,sequence,action
1892694,2024-11-19,Senate,1,"Referred to the House"
1892694,2024-11-19,Senate,2,"Authored by Senators Bray and Taylor G"
1892694,2024-11-19,Senate,3,"First reading: adopted voice vote"
1892694,2024-11-19,Senate,4,"House sponsor: Representative Huston"
1892694,2024-11-19,Senate,5,"Cosponsor: Representative GiaQuinta"
1892694,2024-11-19,House,6,"First reading: adopted voice vote"
1892694,2024-11-19,House,7,"Returned to the Senate"
1892695,2025-01-08,Senate,1,"First reading: adopted voice vote"
1897638,2025-01-08,House,1,"Authored by Representative Pierce M"
1897638,2025-01-08,House,2,"First reading: referred to Committee on Public Health"
1897639,2025-01-08,House,1,"Authored by Representative Prescott"
1897639,2025-01-08,House,2,"First reading: referred to Committee on Veterans Affairs and Public Safety"
1897639,2025-01-21,House,3,"Committee report: amend do pass, adopted"
1897639,2025-01-27,House,4,"Second reading: ordered engrossed"
1897639,2025-01-28,House,5,"Senate sponsor: Senator Alexander"
1897639,2025-01-28,House,6,"Third reading: passed; Roll Call 17: yeas 92, nays 0"
1897639,2025-01-28,House,7,"Representative Miller D added as coauthor"
1897639,2025-01-29,House,8,"Referred to the Senate"
1897639,2025-02-18,Senate,9,"First reading: referred to Committee on Homeland Security and Transportation"
1897639,2025-03-11,Senate,10,"Committee report: do pass, adopted"
1897639,2025-03-13,Senate,11,"Senator Tomes added as second sponsor"
1897639,2025-03-13,Senate,12,"Senator Doriot added as third sponsor"
1897639,2025-03-13,Senate,13,"Senators Byrne, Charbonneau, Spencer added as cosponsors"
1897639,2025-03-17,Senate,14,"Second reading: ordered engrossed"
1897639,2025-03-18,Senate,15,"Third reading: passed; Roll Call 240: yeas 48, nays 0"
1897639,2025-03-18,Senate,16,"Senator Randolph added as cosponsor"
1897639,2025-03-18,Senate,17,"Senator Schmitt added as cosponsor"
1897639,2025-03-19,Senate,18,"Returned to the House without amendments"
1897639,2025-03-20,House,19,"Signed by the Speaker"
1897639,2025-03-24,Senate,20,"Signed by the President Pro Tempore"
1897639,2025-03-27,Senate,21,"Signed by the President of the Senate"
1897639,2025-04-01,House,22,"Signed by the Governor"
1897639,2025-04-01,House,23,"Public Law 15"
1897640,2025-01-08,House,1,"Authored by Representative Prescott"
1897640,2025-01-08,House,2,"First reading: referred to Committee on Government and Regulatory Reform"
1897641,2025-01-08,House,1,"Authored by Representative Zimmerman"
1897641,2025-01-08,House,2,"First reading: referred to Committee on Courts and Criminal Code"
1897641,2025-01-09,House,3,"Representative Bascom G added as coauthor"
1897641,2025-01-27,House,4,"Committee report: do pass, adopted"
1897641,2025-01-29,House,5,"Second reading: ordered engrossed"
1897641,2025-01-30,House,6,"Senate sponsor: Senator Glick"
1897641,2025-01-30,House,7,"Third reading: passed; Roll Call 45: yeas 91, nays 0"
1897641,2025-01-31,House,8,"Referred to the Senate"
