people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
5483,"Eric Koch",Eric,Allan,Koch,,,2,R,2,Sen,SD-044,6592338,34369,,Eric_Koch,212343,0
5489,"David Niezgodski",David,L.,Niezgodski,,,1,D,2,Sen,SD-010,7320467,57875,,David_Niezgodski,249846,0
5492,"Vernon Smith",Vernon,G.,Smith,,,1,D,1,Rep,HD-014,6392967,4711,,Vernon_Smith,194467,0
5493,"Edmond Soliday",Edmond,,Soliday,,Ed,2,R,1,Rep,HD-004,13000261,69279,,Edmond_Soliday,249843,0
5502,"Gregory Steuerwald",Gregory,E.,Steuerwald,,,2,R,1,Rep,HD-040,6675269,102370,,Gregory_Steuerwald,258706,0
5508,"Sheila Klinker",Sheila,J.,Klinker,,,1,D,1,Rep,HD-027,6392838,4682,,Sheila_Ann_Klinker,194479,0
5514,"Edward Clere",Edward,D.,Clere,,Ed,2,R,1,Rep,HD-072,6675185,102965,,Edward_Clere,270734,0
5518,"Vanessa Summers",Vanessa,J.,Summers,,,1,D,1,Rep,HD-099,6982753,4668,,Vanessa_Summers,194551,0
5532,"Charles Moseley",Charles,A.,Moseley,,Chuck,1,D,1,Rep,HD-010,6451100,18433,,Charles_Moseley,270675,0
5533,"Edward DeLaney",Edward,O.,DeLaney,,,1,D,1,Rep,HD-086,6488565,102868,,Edward_DeLaney,270744,0
5543,"Cherrish Pryor",Cherrish,S.,Pryor,,,1,D,1,Rep,HD-094,6488685,72993,,Cherrish_Pryor,201620,0
5549,"Matt Pierce",Matt,,Pierce,,,1,D,1,Rep,HD-061,6393305,34012,,Matt_Pierce_(Indiana),212335,0
5553,"Ryan Dvorak",Ryan,Michael,Dvorak,,,1,D,1,Rep,HD-008,6393331,34200,,Ryan_Dvorak,194461,0
5556,"John Bartlett",John,L.,Bartlett,,,1,D,1,Rep,HD-095,13000454,102368,,John_Bartlett_(Indiana),261782,0
5557,"Matthew Lehman",Matthew,S.,Lehman,,,2,R,1,Rep,HD-079,6675237,83983,,Matthew_Lehman,270740,0
5560,"Jeffrey Thompson",Jeffrey,A.,Thompson,,,2,R,1,Rep,HD-028,6592184,18500,,Jeffrey_Thompson_(Indiana),194480,0
5566,"Gregory Porter",Gregory,W.,Porter,,,1,D,1,Rep,HD-096,13000455,4704,,Gregory_Porter,194548,0
5567,"Robert Behning",Robert,W.,Behning,,Bob,2,R,1,Rep,HD-091,6591787,4626,,Robert_Behning,194543,0
5569,"Philip GiaQuinta",Philip,,GiaQuinta,,,1,D,1,Rep,HD-080,13000429,58738,,Phil_GiaQuinta,258099,0
5576,"Bruce Borders",Bruce,Alan,Borders,,,2,R,1,Rep,HD-045,6592521,34050,,Bruce_Borders,227380,0
5580,"Ed Charbonneau",Ed,,Charbonneau,,,2,R,2,Sen,SD-005,6675181,88705,,Ed_Charbonneau,257496,0
5581,"Travis Holdman",Travis,,Holdman,,,2,R,2,Sen,SD-019,6682329,100497,,Travis_Holdman,263957,0
5584,"Greg Taylor",Greg,,Taylor,,,1,D,2,Sen,SD-033,6488747,102846,,Greg_Taylor_(Indiana),270774,0
5597,"Michael Young","R. Michael",,Young,,Michael,2,R,2,Sen,SD-035,6591643,4728,,R._Michael_Young_(Indiana),208693,0
5601,"Lonnie Randolph",Lonnie,Marcus,Randolph,,,1,D,2,Sen,SD-002,13011869,4527,,Lonnie_Randolph,270760,0
5605,"James Buck",James,R.,Buck,,Jim,2,R,2,Sen,SD-021,6591905,4631,,James_Buck,194490,0
5608,"Greg Walker",Greg,,Walker,,,2,R,2,Sen,SD-041,13011925,56821,,Greg_Walker,249880,0
5612,"Jean Leising",Jean,,Leising,,,2,R,2,Sen,SD-042,6625456,357,,Jean_Leising,270782,0
5619,"Vaneta Becker",Vaneta,G.,Becker,,,2,R,2,Sen,SD-050,6591528,4625,,Vaneta_Becker,194530,0
5621,"Ronnie Alting",Ronnie,J.,Alting,,,2,R,2,Sen,SD-022,6592155,18533,,Ronnie_Alting,194425,0
5624,"Sue Errington",Sue,E.,Errington,,,1,D,1,Rep,HD-034,6420866,10394,,Sue_Errington,249876,0
5627,"Ryan Mishler",Ryan,D.,Mishler,,,2,R,2,Sen,SD-009,6659155,33992,,Ryan_Mishler,227285,0
10574,"Robert Heaton",Robert,,Heaton,,Bob,2,R,1,Rep,HD-046,6675222,102943,,Bob_Heaton,291487,0
10576,"Robert Morris",Robert,,Morris,,Bob,2,R,1,Rep,HD-084,6697099,127376,,Bob_Morris,300041,0
10577,"Heath VanNatter",Heath,,VanNatter,,,2,R,1,Rep,HD-038,6682164,109780,,Heath_VanNatter,265369,0
10578,"Michael Karickhoff",Michael,,Karickhoff,,Mike,2,R,1,Rep,HD-030,6682140,73052,,Michael_Karickhoff,289910,0
10581,"James Tomes",James,,Tomes,,Jim,2,R,2,Sen,SD-049,6659181,34052,,Jim_Tomes,289903,0
10585,"Susan Glick",Susan,C.,Glick,,Sue,2,R,2,Sen,SD-013,6700210,128689,,Susan_Glick,313085,0
11298,"Wendy McNamara",Wendy,,McNamara,,Mac,2,R,1,Rep,HD-076,6682279,120421,,Wendy_McNamara,291502,0
11394,"Timothy Wesco",Timothy,,Wesco,,,2,R,1,Rep,HD-021,6682118,120359,,Timothy_Wesco,289907,0
11402,"Rodric Bray",Rodric,D.,Bray,,,2,R,2,Sen,SD-037,10246101,136001,,Rodric_D._Bray,447416,0
11445,"Doug Miller",Doug,,Miller,,,2,R,1,Rep,HD-048,21084477,148561,,Doug_Miller_(Indiana),484204,0
14189,"Dale DeVon",Dale,R.,DeVon,,,2,R,1,Rep,HD-005,13000265,86082,,Dale_DeVon,395718,0
14193,"Michael Crider",Michael,R.,Crider,,Mike,2,R,2,Sen,SD-028,10246093,135302,,Michael_Crider,390181,0
14439,"Todd Huston",Todd,,Huston,,,2,R,1,Rep,HD-037,10885691,136018,,Todd_Huston,395843,0
14441,"Peggy Mayfield",Peggy,,Mayfield,,,2,R,1,Rep,HD-060,10885729,136026,,Peggy_Mayfield,395885,0
14442,"Justin Moed",Justin,,Moed,,,1,D,1,Rep,HD-097,10246079,135965,,Justin_Moed,261324,0
14443,"Alan Morrison",Alan,,Morrison,,,2,R,1,Rep,HD-042,6695721,124684,,Alan_Morrison,311467,0
