bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1897639,1475495,2025-01-28,House,"House - Third reading",92,0,1,7,100
1897639,1519686,2025-03-18,Senate,"Senate - Third reading",48,0,1,1,50
1897641,1477112,2025-01-30,House,"House - Third reading",91,0,1,8,100
1897641,1524753,2025-03-24,Senate,"Senate - Third reading",47,0,0,3,50
1897641,1557771,2025-04-24,Senate,"Senate - Rules Suspended. Conference Committee Report 2",42,8,0,0,50
1897641,1557772,2025-04-24,House,"House - Rules Suspended. Conference Committee Report 2",79,13,1,7,100
1897643,1477127,2025-01-30,House,"House - Third reading",91,0,1,8,100
1897643,1522810,2025-03-20,Senate,"Senate - Third reading",46,0,1,3,50
1897651,1489107,2025-02-13,House,"House - Third reading",92,0,3,5,100
1897651,1544582,2025-04-10,Senate,"Senate - Third reading",43,0,5,2,50
1897651,1553599,2025-04-22,House,"House - House concurred with Senate amendments",86,0,1,13,100
1897658,1479608,2025-02-04,House,"House - Third reading",92,0,5,3,100
1897658,1532407,2025-04-01,Senate,"Senate - Third reading",50,0,0,0,50
1897658,1549558,2025-04-16,House,"House - House concurred with Senate amendments",83,0,1,16,100
1897659,1494693,2025-02-20,House,"House - Third reading",68,21,6,5,100
1897660,1483076,2025-02-06,House,"House - Third reading",84,1,5,10,100
1897660,1519690,2025-03-18,Senate,"Senate - Third reading",48,0,1,1,50
1897663,1479607,2025-02-04,House,"House - Third reading",66,23,7,4,100
1897663,1548822,2025-04-15,Senate,"Senate - Third reading",31,18,0,1,50
1897663,1550985,2025-04-17,House,"House - House concurred with Senate amendments",68,20,1,11,100
1897667,1491031,2025-02-17,House,"House - Amendment #5 (Hamilton) failed",30,66,2,2,100
1897667,1491032,2025-02-17,House,"House - Amendment #4 (Gore) failed",28,67,2,3,100
1897667,1491965,2025-02-18,House,"House - Third reading",71,25,1,3,100
1897667,1532397,2025-04-01,Senate,"Senate - Amendment #1 (Ford J.D.) failed",9,39,2,0,50
1897667,1532398,2025-04-01,Senate,"Senate - Amendment #2 (Ford J.D.) failed",10,39,1,0,50
1897667,1532399,2025-04-01,Senate,"Senate - Amendment #3 (Ford J.D.) failed",9,39,2,0,50
1897667,1532400,2025-04-01,Senate,"Senate - Amendment #4 (Ford J.D.) failed",9,40,1,0,50
1897667,1535954,2025-04-03,Senate,"Senate - Third reading",42,6,0,2,50
1897670,1483074,2025-02-06,House,"House - Third reading",70,17,2,11,100
1897675,1491970,2025-02-18,House,"House - Third reading",95,1,1,3,100
1897676,1475477,2025-01-28,House,"House - Third reading",92,0,1,7,100
1897676,1513535,2025-03-11,Senate,"Senate - Third reading",48,0,2,0,50
1897677,1475485,2025-01-28,House,"House - Third reading",91,0,1,8,100
1897677,1524757,2025-03-24,Senate,"Senate - Third reading",43,4,0,3,50
1897677,1532396,2025-04-01,House,"House - House concurred with Senate amendments",92,0,4,4,100
1897678,1478780,2025-02-03,House,"House - Amendment #1 (Errington) failed",27,64,1,8,100
1897678,1483077,2025-02-06,House,"House - Third reading",60,27,2,11,100
1897678,1532356,2025-04-01,Senate,"Senate - Third reading",45,5,0,0,50
1897678,1551267,2025-04-17,House,"House - House concurred with Senate amendments",64,16,1,19,100
1897679,1475480,2025-01-28,House,"House - Third reading",91,0,1,8,100
1897679,1533176,2025-04-01,Senate,"Senate - Third reading",44,6,0,0,50
1897679,1552525,2025-04-21,House,"House - Conference Committee Report 1",76,10,1,13,100
1897679,1553238,2025-04-22,Senate,"Senate - Conference Committee Report 1",42,7,0,1,50
1897681,1474897,2025-01-27,House,"House - Appeal the ruling of the chair (Miller K)",66,29,2,3,100
1897681,1475488,2025-01-28,House,"House - Third reading",92,0,1,7,100
1897681,1513403,2025-03-11,Senate,"Senate - Third reading",49,1,0,0,50
1897688,1486265,2025-02-11,House,"House - Third reading",67,25,1,7,100
1897688,1548834,2025-04-15,Senate,"Senate - Third reading",30,19,0,1,50
1897688,1550990,2025-04-17,House,"House - House concurred with Senate amendments",64,24,1,11,100
1897689,1491059,2025-02-17,House,"House - Third reading",95,0,1,4,100
1897689,1519665,2025-03-18,Senate,"Senate - Third reading",49,0,0,1,50
1897697,1475493,2025-01-28,House,"House - Third reading",86,5,2,7,100
1897697,1532367,2025-04-01,Senate,"Senate - Third reading",47,2,1,0,50
