bill_id,people_id,position
1892694,5569,4
1892694,5584,2
1892694,11402,1
1892694,14439,3
1892695,5569,2
1892695,14439,1
1897638,5549,1
1897639,5580,7
1897639,5601,9
1897639,10581,4
1897639,11445,2
1897639,17993,5
1897639,20013,1
1897639,23088,6
1897639,23826,3
1897639,25506,10
1897639,25507,8
1897640,20013,1
1897641,10585,4
1897641,23013,5
1897641,25015,1
1897641,25494,2
1897641,25498,3
1897642,25015,1
1897643,5601,7
1897643,19501,3
1897643,19709,6
1897643,21918,2
1897643,22908,4
1897643,23874,5
1897643,25497,1
1897644,23870,1
1897645,23870,1
1897645,25497,2
1897646,23870,1
1897647,16538,2
1897647,22274,3
1897647,24298,1
1897647,24299,4
1897648,21667,2
1897648,24298,1
1897649,24298,1
1897650,14766,1
1897650,24159,2
1897651,5566,2
1897651,5580,6
1897651,5601,10
1897651,5612,9
1897651,5619,7
1897651,14765,4
1897651,14766,1
1897651,17995,5
1897651,20011,3
1897651,25021,11
1897651,25505,8
1897652,16530,1
1897653,20013,3
1897653,21916,4
1897653,22375,1
1897653,24159,2
1897654,23868,1
1897655,10577,1
1897656,20013,2
1897656,21916,3
1897656,21918,1
1897657,10576,1
1897657,16538,2
1897657,21917,3
1897657,24486,4
1897658,5580,6
1897658,5619,8
1897658,14762,2
1897658,16534,5
1897658,17995,7
1897658,22236,4
1897658,24159,3
1897658,25014,1
1897659,5483,5
1897659,14447,4
1897659,21915,2
1897659,23826,6
1897659,23828,3
1897659,24298,1
1897660,5489,5
1897660,11445,2
1897660,17993,4
1897660,18947,1
1897660,19712,3
1897661,5576,2
1897661,10574,1
1897662,14443,1
1897663,11445,1
1897663,17993,2
1897663,19712,3
1897664,21917,1
1897664,22274,3
1897664,23870,2
1897665,22128,1
1897666,22375,1
1897667,10574,4
1897667,19712,7
1897667,21397,5
1897667,21915,2
1897667,21918,1
1897667,22375,3
1897667,23088,8
1897667,23874,6
1897668,18543,3
1897668,23827,2
1897668,24486,1
1897669,20012,2
1897669,24486,1
1897670,5514,3
1897670,18543,4
1897670,19501,2
1897670,24486,1
1897670,25504,5
1897671,19501,1
1897671,25497,2
1897672,5556,1
1897672,16702,2
1897673,5556,1
1897673,10576,2
1897674,14446,1
1897675,5483,5
1897675,5502,1
1897675,5533,4
1897675,5584,8
1897675,10585,6
1897675,23013,7
