bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1905280,2178,HB2001,1,Introduced,2025-01-13,"Continuing the reimbursement from the taxpayer notification costs fund for printing and postage costs of county clerks through calendar year 2029.","Continuing the reimbursement from the taxpayer notification costs fund for printing and postage costs of county clerks through calendar year 2029.",1392,"House Taxation",2025-01-13,"House Referred to Committee on Taxation",https://legiscan.com/KS/bill/HB2001/2025,https://kslegislature.gov/li/b2025_26/measures/hb2001/
1911852,2178,HB2002,1,Introduced,2025-01-13,"Requiring the department of health and environment to audit hospital compliance with the lay caregiver act and report the results of such audit to the legislature.","Requiring the department of health and environment to audit hospital compliance with the lay caregiver act and report the results of such audit to the legislature.",1382,"House Health and Human Services",2025-01-13,"House Referred to Committee on Health and Human Services",https://legiscan.com/KS/bill/HB2002/2025,https://kslegislature.gov/li/b2025_26/measures/hb2002/
1911461,2178,HB2003,1,Introduced,2025-01-13,"Establishing the EV energy equity road repair tax act (EVEERRT act) and providing for a road repair tax on electricity distributed from a public charging station for electric vehicles.","Establishing the EV energy equity road repair tax act (EVEERRT act) and providing for a road repair tax on electricity distributed from a public charging station for electric vehicles.",1393,"House Transportation",2025-01-13,"House Referred to Committee on Transportation",https://legiscan.com/KS/bill/HB2003/2025,https://kslegislature.gov/li/b2025_26/measures/hb2003/
1911658,2178,HB2004,2,Engrossed,2025-02-03,"Providing countywide retailers' sales tax authority for Seward county for the purpose of financing the costs of roadway and bridge construction, maintenance and improvement in the county.","Providing countywide retailers' sales tax authority for Seward county for the purpose of financing the costs of roadway and bridge construction, maintenance and improvement in the county.",0,,2025-03-20,"Senate Committee of the Whole - Passed over and retain a place on the calendar",https://legiscan.com/KS/bill/HB2004/2025,https://kslegislature.gov/li/b2025_26/measures/hb2004/
1911266,2178,HB2005,1,Introduced,2025-01-13,"Establishing the veterans' valor property tax relief act providing an income tax credit or refund for eligible individuals.","Establishing the veterans' valor property tax relief act providing an income tax credit or refund for eligible individuals.",0,,2025-03-14,"House Committee Report recommending bill be passed as amended by Committee on Taxation",https://legiscan.com/KS/bill/HB2005/2025,https://kslegislature.gov/li/b2025_26/measures/hb2005/
1917644,2178,HB2006,1,Introduced,2025-01-13,"Providing membership in the KP&F retirement system for certain security officers of the department of corrections and allowing certain service credit purchases of previous KPERS security officer service for purposes of KP&F retirement benefits.","Providing membership in the KP&F retirement system for certain security officers of the department of corrections and allowing certain service credit purchases of previous KPERS security officer service for purposes of KP&F retirement benefits.",0,,2025-01-13,"House Introduced",https://legiscan.com/KS/bill/HB2006/2025,https://kslegislature.gov/li/b2025_26/measures/hb2006/
1916487,2178,HB2007,4,Passed,2025-04-11,"Senate Substitute for Substitute for HB 2007 by Committee on Ways and Means - Reconciling multiple amendments to certain statutes.","Senate Substitute for Substitute for HB 2007 by Committee on Ways and Means - Reconciling multiple amendments to certain statutes.",0,,2025-04-11,"House Approved by Governor on Thursday, April 24, 2025",https://legiscan.com/KS/bill/HB2007/2025,https://kslegislature.gov/li/b2025_26/measures/hb2007/
1916372,2178,HB2008,1,Introduced,2025-01-13,"Modifying the definition of security officer to include certain juvenile corrections officer positions for purposes of the KPERS correctional employees group.","Modifying the definition of security officer to include certain juvenile corrections officer positions for purposes of the KPERS correctional employees group.",3534,"House Financial Institutions and Pensions",2025-01-14,"House Referred to Committee on Financial Institutions and Pensions",https://legiscan.com/KS/bill/HB2008/2025,https://kslegislature.gov/li/b2025_26/measures/hb2008/
1919440,2178,HB2009,1,Introduced,2025-01-15,"Prohibiting abortion procedures except when necessary to save the life of the pregnant woman and providing a private cause of action for civil enforcement of such prohibition.","Prohibiting abortion procedures except when necessary to save the life of the pregnant woman and providing a private cause of action for civil enforcement of such prohibition.",1385,"House Interstate Cooperation",2025-03-10,"House Withdrawn from Committee on Health and Human Services; Rereferred to Committee on Interstate Cooperation",https://legiscan.com/KS/bill/HB2009/2025,https://kslegislature.gov/li/b2025_26/measures/hb2009/
1919711,2178,HB2010,1,Introduced,2025-01-15,"Prohibiting abortion procedures and creating the crimes of unlawful performance of an abortion and unlawful destruction of a fertilized embryo.","Prohibiting abortion procedures and creating the crimes of unlawful performance of an abortion and unlawful destruction of a fertilized embryo.",1385,"House Interstate Cooperation",2025-03-10,"House Withdrawn from Committee on Health and Human Services; Rereferred to Committee on Interstate Cooperation",https://legiscan.com/KS/bill/HB2010/2025,https://kslegislature.gov/li/b2025_26/measures/hb2010/
