bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1905280,3042209,text,66330,application/pdf,Introduced,https://legiscan.com/KS/text/HB2001/id/3042209,https://kslegislature.gov/li/b2025_26/measures/documents/hb2001_00_0000.pdf
1911852,3048509,text,77367,application/pdf,Introduced,https://legiscan.com/KS/text/HB2002/id/3048509,https://kslegislature.gov/li/b2025_26/measures/documents/hb2002_00_0000.pdf
1911461,3048184,text,73421,application/pdf,Introduced,https://legiscan.com/KS/text/HB2003/id/3048184,https://kslegislature.gov/li/b2025_26/measures/documents/hb2003_00_0000.pdf
1911658,3048350,text,153951,application/pdf,Introduced,https://legiscan.com/KS/text/HB2004/id/3048350,https://kslegislature.gov/li/b2025_26/measures/documents/hb2004_00_0000.pdf
1911658,3182108,text,380198,application/pdf,Amended,https://legiscan.com/KS/text/HB2004/id/3182108,https://kslegislature.gov/li/b2025_26/measures/documents/hb2004_01_0000.pdf
1911266,3048021,text,70825,application/pdf,Introduced,https://legiscan.com/KS/text/HB2005/id/3048021,https://kslegislature.gov/li/b2025_26/measures/documents/hb2005_00_0000.pdf
1911266,3175297,text,76240,application/pdf,Amended,https://legiscan.com/KS/text/HB2005/id/3175297,https://kslegislature.gov/li/b2025_26/measures/documents/hb2005_01_0000.pdf
1917644,3054660,text,74878,application/pdf,Introduced,https://legiscan.com/KS/text/HB2006/id/3054660,https://kslegislature.gov/li/b2025_26/measures/documents/hb2006_00_0000.pdf
1916487,3053525,text,1280188,application/pdf,Introduced,https://legiscan.com/KS/text/HB2007/id/3053525,https://kslegislature.gov/li/b2025_26/measures/documents/hb2007_00_0000.pdf
1916487,3128974,text,1488449,application/pdf,Amended,https://legiscan.com/KS/text/HB2007/id/3128974,https://kslegislature.gov/li/b2025_26/measures/documents/hb2007_02_0000.pdf
1916487,3180793,text,1554454,application/pdf,Amended,https://legiscan.com/KS/text/HB2007/id/3180793,https://kslegislature.gov/li/b2025_26/measures/documents/hb2007_04_0000.pdf
1916487,3127089,text,1434395,application/pdf,"Comm Sub",https://legiscan.com/KS/text/HB2007/id/3127089,https://kslegislature.gov/li/b2025_26/measures/documents/hb2007_01_0000.pdf
1916487,3178631,text,1504833,application/pdf,"Comm Sub",https://legiscan.com/KS/text/HB2007/id/3178631,https://kslegislature.gov/li/b2025_26/measures/documents/hb2007_03_0000.pdf
1916487,3215910,text,249809,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2007/id/3215910,https://kslegislature.gov/li/b2025_26/measures/documents/hb2007_enrolled.pdf
1916372,3053413,text,98369,application/pdf,Introduced,https://legiscan.com/KS/text/HB2008/id/3053413,https://kslegislature.gov/li/b2025_26/measures/documents/hb2008_00_0000.pdf
