bill_id,date,chamber,sequence,action
1905280,2025-01-13,House,1,"House Prefiled for Introduction on Monday, December 23, 2024"
1905280,2025-01-13,House,2,"House Introduced"
1905280,2025-01-13,House,3,"House Referred to Committee on Taxation"
1905281,2025-01-13,Senate,1,"Senate Prefiled for Introduction on Friday, January 3, 2025"
1905281,2025-01-13,Senate,2,"Senate Introduced"
1905281,2025-01-14,Senate,3,"Senate Referred to Committee on Federal and State Affairs"
1905281,2025-01-23,Senate,4,"Senate Hearing: Thursday, January 23, 2025, 10:30 AM Room 144-S"
1905281,2025-03-19,Senate,5,"Senate Committee Report recommending bill be passed as amended by Committee on Federal and State Affairs"
1905281,2025-03-20,Senate,6,"Senate Committee of the Whole - Committee Report be adopted"
1905281,2025-03-20,Senate,7,"Senate Committee of the Whole - Be passed as amended"
1905281,2025-03-20,Senate,8,"Senate Emergency Final Action - Passed as amended; Yea: 33 Nay: 7"
1905281,2025-03-24,House,9,"House Received and Introduced"
1905281,2025-03-24,House,10,"House Referred to Committee on Federal and State Affairs"
1907229,2025-01-13,Senate,1,"Senate Prefiled for Introduction on Wednesday, January 8, 2025"
1907229,2025-01-13,Senate,2,"Senate Introduced"
1907229,2025-01-15,Senate,3,"Senate Referred to Committee on Local Government, Transparency and Ethics"
1907229,2025-01-17,Senate,4,"Senate Withdrawn from committee and referred separately to the Committee on Local Government, Transparency and Ethics and the Committee on Ways and Means"
1907229,2025-01-28,Senate,5,"Senate Hearing: Tuesday, January 28, 2025, 9:30 AM Room 142-S"
1907229,2025-02-05,Senate,6,"Senate Committee Report recommending bill be passed as amended by Committee on Local Government, Transparency and Ethics"
1907229,2025-02-11,Senate,7,"Senate Hearing: Tuesday, February 11, 2025, 10:30 AM Room 548-S"
1907229,2025-02-11,Senate,8,"Senate Committee Report recommending bill be passed as amended by Committee on Ways and Means"
1907229,2025-02-18,Senate,9,"Senate Committee of the Whole - Committee Report be adopted"
1907229,2025-02-18,Senate,10,"Senate Committee of the Whole - Be passed as amended"
1907229,2025-02-19,Senate,11,"Senate Final Action - Passed as amended; Yea: 39 Nay: 1"
1907229,2025-02-25,House,12,"House Received and Introduced"
1907229,2025-02-25,House,13,"House Referred to Committee on Local Government"
1907229,2025-03-05,House,14,"House Hearing: Wednesday, March 5, 2025, 9:00 AM Room 281-N"
1907229,2025-03-07,House,15,"House Committee Report recommending bill be passed and placed on Consent Calendar by"
1907229,2025-03-12,House,16,"House Final Action - Passed; Yea: 121 Nay: 1"
1907229,2025-03-18,Senate,17,"Senate Enrolled and presented to Governor on Tuesday, March 18, 2025"
1907229,2025-03-24,Senate,18,"Senate Approved by Governor on Friday, March 21, 2025"
1910868,2025-01-13,House,1,"House Prefiled for Introduction on Friday, January 10, 2025"
1910868,2025-01-13,House,2,"House Introduced"
1910868,2025-01-13,House,3,"House Referred to Committee on Federal and State Affairs"
1910868,2025-02-26,House,4,"House Hearing: Wednesday, February 26, 2025, 9:00 AM Room 346-S"
