bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1905281,1523750,2025-03-20,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 33 Nay: 7",33,7,0,0,40
1907229,1493269,2025-02-19,Senate,"Senate Final Action - Passed as amended - Yea: 39 Nay: 1",39,1,0,0,40
1907229,1515691,2025-03-12,House,"House Final Action - Passed - Yea: 121 Nay: 1",121,1,0,3,125
1910868,1520942,2025-03-19,House,"House Emergency Final Action - Not adopted by required 2/3 majority - Yea: 81 Nay: 43",81,43,0,1,125
1911658,1478052,2025-01-31,House,"House Final Action - Passed - Yea: 116 Nay: 1",116,1,0,8,125
1916487,1492692,2025-02-18,House,"House Committee of the Whole - Amendment by  Representative Wikle was rejected - Yea: 34 Nay: 82",34,82,0,9,125
1916487,1492693,2025-02-18,House,"House Committee of the Whole - Amendment by  Representative Ousley was rejected - Yea: 40 Nay: 76",40,76,0,9,125
1916487,1492997,2025-02-19,House,"House Final Action - Substitute passed as amended - Yea: 83 Nay: 36",83,36,0,6,125
1916487,1519968,2025-03-18,Senate,"Senate Committee of the Whole - Amendment by Senator Pettey was rejected - Yea: 11 Nay: 29",11,29,0,0,40
1916487,1519969,2025-03-18,Senate,"Senate Committee of the Whole - Amendment by Senator Corson was rejected - Yea: 10 Nay: 30",10,30,0,0,40
1916487,1519970,2025-03-18,Senate,"Senate Committee of the Whole - Amendment by Senator Holscher was rejected - Yea: 9 Nay: 29",9,29,1,1,40
1916487,1519971,2025-03-18,Senate,"Senate Committee of the Whole - Amendment by Senator Sykes was rejected - Yea: 12 Nay: 26",12,26,0,2,40
1916487,1520565,2025-03-18,Senate,"Senate Emergency Final Action - Substitute passed as amended - Yea: 28 Nay: 12",28,12,0,0,40
1916487,1545694,2025-04-11,Senate,"Senate Conference Committee Report was adopted - Yea: 40 Nay: 0",40,0,0,0,40
1916487,1546156,2025-04-11,House,"House Conference Committee Report was adopted - Yea: 121 Nay: 0",121,0,0,4,125
1917650,1486563,2025-02-11,Senate,"Senate Emergency Final Action - Passed - Yea: 39 Nay: 0",39,0,0,1,40
1917650,1508551,2025-03-07,House,"House Emergency Final Action - Passed - Yea: 116 Nay: 5",116,5,0,4,125
1917812,1482345,2025-02-05,Senate,"Senate Final Action - Passed - Yea: 29 Nay: 10",29,10,0,1,40
1917812,1517375,2025-03-13,House,"House Emergency Final Action - Passed as amended - Yea: 86 Nay: 37",86,37,0,2,125
1917812,1519103,2025-03-17,Senate,"Senate Concurred with amendments - Yea: 30 Nay: 10",30,10,0,0,40
1917982,1476854,2025-01-29,Senate,"Senate Senator Thompson raised a question of germaneness. The amendment was ruled not germane. - Yea: 31 Nay: 9",31,9,0,0,40
1917982,1476855,2025-01-29,Senate,"Senate Committee of the Whole - Amendment by  Senator Francisco was rejected - Yea: 9 Nay: 31",9,31,0,0,40
1917982,1476856,2025-01-29,Senate,"Senate Emergency Final Action - Adopted as amended - Yea: 31 Nay: 9",31,9,0,0,40
1917982,1523107,2025-03-20,House,"House Emergency Final Action - Adopted - Yea: 82 Nay: 35",82,35,0,8,125
1918152,1486321,2025-02-11,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 33 Nay: 6",33,6,0,1,40
1918152,1517379,2025-03-13,House,"House Emergency Final Action - Passed as amended - Yea: 86 Nay: 37",86,37,0,2,125
1918152,1518515,2025-03-17,Senate,"Senate Concurred with amendments - Yea: 32 Nay: 8",32,8,0,0,40
1918152,1543778,2025-04-10,Senate,"Senate Motion to override veto prevailed - Yea: 31 Nay: 9",31,9,0,0,40
1918152,1543779,2025-04-10,House,"House Motion to override veto prevailed - Yea: 87 Nay: 37",87,37,0,1,125
1918320,1482594,2025-02-05,Senate,"Senate Final Action - Passed - Yea: 29 Nay: 10",29,10,0,1,40
1918320,1501229,2025-02-27,House,"House Committee of the Whole - Amendment by  Representative Miller was rejected - Yea: 35 Nay: 84",35,84,0,6,125
1918320,1501230,2025-02-27,House,"House Committee of the Whole - Amendment by  Representative Meyer was rejected - Yea: 36 Nay: 83",36,83,0,6,125
1918320,1501231,2025-02-27,House,"House Emergency Final Action - Passed as amended - Yea: 80 Nay: 39",80,39,0,6,125
1918320,1507695,2025-03-06,Senate,"Senate Concurred with amendments in conference - Yea: 30 Nay: 10",30,10,0,0,40
1918320,1525860,2025-03-25,Senate,"Senate Motion to override veto prevailed - Yea: 30 Nay: 10",30,10,0,0,40
1918320,1526411,2025-03-25,House,"House Motion to override veto prevailed - Yea: 84 Nay: 41",84,41,0,0,125
1919387,1483352,2025-02-06,Senate,"Senate Final Action - Adopted by required 2/3 majority - Yea: 28 Nay: 11",28,11,0,1,40
1919494,1483548,2025-02-06,Senate,"Senate Consent Calendar Passed - Yea: 39 Nay: 0",39,0,0,1,40
1919494,1511587,2025-03-10,House,"House Final Action - Passed - Yea: 119 Nay: 0",119,0,0,6,125
1919657,1475588,2025-01-28,Senate,"Senate Committee of the Whole - Amendment by  Senator Francisco was rejected - Yea: 11 Nay: 25",11,25,0,4,40
1919657,1476538,2025-01-29,Senate,"Senate Final Action - Passed as amended - Yea: 37 Nay: 3",37,3,0,0,40
1919876,1483586,2025-02-06,Senate,"Senate Consent Calendar Passed - Yea: 39 Nay: 0",39,0,0,1,40
1919876,1508462,2025-03-07,House,"House Final Action - Substitute passed as amended - Yea: 104 Nay: 18",104,18,0,3,125
1919876,1527776,2025-03-26,House,"House Conference Committee Report was adopted - Yea: 98 Nay: 24",98,24,0,3,125
1919876,1528336,2025-03-26,Senate,"Senate Conference Committee Report was adopted - Yea: 38 Nay: 1",38,1,1,0,40
1923289,1493192,2025-02-19,House,"House Final Action - Passed - Yea: 106 Nay: 13",106,13,0,6,125
1923289,1521472,2025-03-19,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 40 Nay: 0",40,0,0,0,40
1923289,1527288,2025-03-26,Senate,"Senate Conference Committee Report was adopted - Yea: 40 Nay: 0",40,0,0,0,40
1923289,1527779,2025-03-26,House,"House Conference Committee Report was adopted - Yea: 97 Nay: 26",97,26,0,2,125
1923355,1490089,2025-02-14,House,"House Emergency Final Action - Passed as amended - Yea: 107 Nay: 12",107,12,0,6,125
1923416,1493035,2025-02-19,House,"House Final Action - Passed - Yea: 119 Nay: 0",119,0,0,6,125
1923416,1521237,2025-03-19,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 24 Nay: 16",24,16,0,0,40
1923416,1527590,2025-03-26,Senate,"Senate Conference Committee Report was adopted - Yea: 29 Nay: 11",29,11,0,0,40
1923416,1527591,2025-03-26,House,"House Conference Committee Report was adopted - Yea: 88 Nay: 35",88,35,0,2,125
1923486,1473664,2025-01-23,House,"House Committee of the Whole - Amendment by  Representative Sawyer Clayton was rejected - Yea: 37 Nay: 85",37,85,0,3,125
1923486,1473665,2025-01-23,House,"House Committee of the Whole - Amendment by  Representative Helgerson was rejected - Yea: 38 Nay: 85",38,85,0,2,125
