bill_id,people_id,position
1905280,20149,2
1905280,21062,3
1905280,22586,1
1905281,24675,1
1907229,22977,2
1907229,24856,1
1910868,15679,1
1911067,13823,1
1911266,15682,28
1911266,18842,4
1911266,18846,11
1911266,18849,12
1911266,18966,15
1911266,19297,21
1911266,19553,3
1911266,20149,22
1911266,21069,10
1911266,21072,13
1911266,22008,20
1911266,22009,1
1911266,22590,17
1911266,22592,18
1911266,22593,19
1911266,22978,16
1911266,23779,7
1911266,23780,14
1911266,23783,27
1911266,24491,8
1911266,24659,5
1911266,24862,26
1911266,26141,2
1911266,26142,6
1911266,26144,9
1911266,26152,23
1911266,26155,24
1911266,26156,25
1911461,20149,1
1911658,17389,1
1911852,13823,1
1914823,6838,1
1914823,18651,3
1914823,24658,2
1915262,6838,1
1915262,18651,3
1915262,24658,2
1915471,6838,1
1915471,18651,3
1915471,24658,2
1915684,6838,1
1915684,18651,3
1915684,24658,2
1916018,15658,1
1916018,20818,3
1916018,21070,2
1916137,15658,1
1916137,20818,3
1916137,21070,2
1916254,15658,1
1916254,20818,3
1916254,21070,2
1916372,19297,5
1916372,22008,4
1916372,22009,1
1916372,22010,3
1916372,23779,2
1916487,6835,1
1916601,15658,1
1916601,20818,3
1916601,21070,2
1917644,19297,5
1917644,22008,4
1917644,22009,1
1917644,22010,3
1917644,23779,2
1917650,26357,1
1917812,6841,1
1917982,6841,1
1918152,6841,1
1918320,6841,1
1919341,6847,1
1919387,6774,13
1919387,6838,11
1919387,6871,14
1919387,12698,1
1919387,15645,5
1919387,18963,2
1919387,21071,7
1919387,21085,18
1919387,21512,17
1919387,22114,10
1919387,22439,12
1919387,22493,8
1919387,24658,3
1919387,24866,15
1919387,26163,4
1919387,26164,6
1919387,26165,9
1919387,26169,16
1919440,6816,6
1919440,20149,4
1919440,22586,1
1919440,22595,3
1919440,23744,2
1919440,26153,5
1919494,6846,1
1919551,6673,1
1919606,6673,1
1919657,6694,4
1919657,6774,19
1919657,6836,12
1919657,6838,16
1919657,6871,20
1919657,12698,1
1919657,15645,6
1919657,18847,9
1919657,18963,2
1919657,21071,10
1919657,21079,18
1919657,21082,25
1919657,21085,27
1919657,21512,26
1919657,22113,11
1919657,22114,15
1919657,22439,17
1919657,22493,13
1919657,22977,8
1919657,24658,3
1919657,24866,22
1919657,26163,5
1919657,26164,7
1919657,26165,14
1919657,26166,21
1919657,26168,23
1919657,26169,24
1919711,6816,5
1919711,20149,3
1919711,22586,1
1919711,22595,2
1919711,26153,4
1919768,6683,1
1919822,6673,1
1919876,15056,1
1923289,6689,1
1923355,6689,1
1923416,6689,1
1923486,15658,1
1923486,21070,2
1923550,15658,1
1923550,20818,3
1923550,21070,2
1923616,6688,1
1923683,22009,1
1923748,6689,1
1923814,6673,1
1923879,24853,1
1923945,6689,1
1924011,24853,1
1924075,15646,1
1924144,6688,1
1924205,17259,11
1924205,17389,19
1924205,17579,46
1924205,17602,38
1924205,18839,2
1924205,18842,5
1924205,18849,15
1924205,18871,41
1924205,18966,20
1924205,19297,33
1924205,19553,4
1924205,20149,34
1924205,21069,13
1924205,21072,16
1924205,21084,44
1924205,22008,29
1924205,22009,1
1924205,22586,18
1924205,22593,28
1924205,22594,30
1924205,22597,35
1924205,22598,42
1924205,22978,24
1924205,23045,23
1924205,23744,22
1924205,23779,9
1924205,23780,17
1924205,23782,31
1924205,24491,10
1924205,24661,14
1924205,24666,26
1924205,24674,36
1924205,24676,45
1924205,24818,8
1924205,25025,27
1924205,25176,40
1924205,26141,3
1924205,26142,6
1924205,26143,7
1924205,26144,12
1924205,26145,21
1924205,26146,25
1924205,26151,32
1924205,26153,37
1924205,26155,39
1924205,26157,43
1924205,26161,47
1924273,6689,1
1924328,6689,1
1924349,24866,1
1924396,6848,1
1924449,6853,1
1924503,6848,1
1924555,6841,1
1924612,6848,1
1924662,6853,1
1924715,6848,1
1924772,6848,1
1924821,6848,1
1924879,19201,1
1924928,6853,1
1924982,26163,1
1925039,19201,1
1925091,6853,1
1925146,6853,1
1925202,6841,1
1925251,6839,1
1925305,6848,1
1925358,6841,1
1925414,26359,1
1925468,6840,1
1925518,6841,1
1925573,6853,1
1925626,6835,1
1925680,6839,1
1925733,6839,1
1926903,6841,1
1926992,6841,1
1927085,6698,18
1927085,6724,64
1927085,6733,79
1927085,6765,48
1927085,6803,5
1927085,6816,85
1927085,12681,42
1927085,15644,20
1927085,15646,80
1927085,15648,23
1927085,15658,38
1927085,15679,91
1927085,15682,101
1927085,15683,102
1927085,16233,25
1927085,17011,104
1927085,17259,19
1927085,17389,33
1927085,17579,106
1927085,17602,87
1927085,17847,72
1927085,17848,39
1927085,18441,65
1927085,18836,86
1927085,18839,4
1927085,18842,10
1927085,18846,26
1927085,18849,28
1927085,18855,49
1927085,18869,83
1927085,18870,90
1927085,18871,93
1927085,18966,35
1927085,19297,74
1927085,19553,9
1927085,20149,75
1927085,20436,43
1927085,20818,109
1927085,21062,110
1927085,21067,2
1927085,21069,22
1927085,21070,24
1927085,21072,29
