bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1904493,2179,HB1,4,Passed,2025-02-06,"AN ACT relating to the individual income tax rate.","Amend KRS 141.020 to reduce the individual income tax rate from 4% to 3.5% for taxable years beginning on or after January 1, 2026.",0,,2025-02-06,"signed by Governor (Acts Ch. 1)",https://legiscan.com/KY/bill/HB1/2025,https://apps.legislature.ky.gov/record/25RS/hb1.html
1911715,2179,HB2,4,Passed,2025-03-27,"AN ACT relating to the taxation of currency and bullion currency and declaring an emergency.","Create a new section of KRS Chapter 139 to create a violation when an official notice published by the secretary of the Finance and Administration Cabinet or the commissioner of the Department of Revenue improperly instructs that taxpayers should continue to collect and remit sales and use tax on currency or bullion currency, allow the taxpayer to file an action for refund in Circuit Court, and entitle the taxpayer to interest, injunctive relief, attorney's fees and costs, and liquidated damages of $1,000 for each day that the violation occurred; RETROACTIVE; EMERGENCY.",0,,2025-03-27,"delivered to Secretary of State (Acts Ch. 100)",https://legiscan.com/KY/bill/HB2/2025,https://apps.legislature.ky.gov/record/25RS/hb2.html
1955287,2179,HB3,1,Introduced,2025-02-04,"AN ACT relating to reimbursement for pharmacist services.","Amend KRS 205.522 and 205.6485 to require Medicaid and KCHIP to comply with pharmacy reimbursement requirements established in KRS 304.12-237; require the Cabinet for Health and Family Services or the department to seek federal approval if it is determined that such approval is necessary; and require the cabinet to comply with KRS 205.525.",322,"House Banking and Insurance",2025-02-07,"to Banking & Insurance (H)",https://legiscan.com/KY/bill/HB3/2025,https://apps.legislature.ky.gov/record/25RS/hb3.html
1967797,2179,HB4,4,Passed,2025-03-28,"AN ACT relating to initiatives regarding diversity, equity, and inclusion.","Create new sections of KRS Chapter 164 to define terms; prohibit a public postsecondary education institution from providing differential treatment or benefits on the basis of an individual's religion, race, sex, color, or national origin; from influencing the composition of the student body or scholarship recipients on the basis of religion, race, sex, color, or national origin; from implementing a student housing assignment plan on the basis of religion, race, color, or national origin with designated exceptions; from expending any resources on diversity, equity, and inclusion, the promotion of discriminatory topics, or bias incident investigations; from soliciting statements on an applicant's experience with or views on religion, race, sex, color, or national origin; from requiring a course dedicated to discriminatory concepts; or disseminating or profiting from any research, work product, or material that promotes or justifies discriminatory concepts; prohibit a public postsecondary education institution from requiring any individual to endorse or condemn a specific ideology or viewpoint; prohibit the Council on Postsecondary Education from providing differential treatment or benefits on the basis of an individual's religion, race, sex, color, or national origin or from expending any resources on diversity, equity, and inclusion or discriminatory topics; establish exclusions for legal compliance; require each governing board of a public postsecondary education institution to ensure compliance with specific sections of this Act no later than June 30, 2025; authorize the Attorney General to bring an action for a writ of mandamus to compel the council or a public postsecondary education institution to comply; create a cause of action to permit a qualified individual to file a civil action against council or a public postsecondary education institution for injunctive relief and limited damages arising from a violation of certain sections of this Act; waive sovereign and governmental immunity for the limited purpose of bringing this claim; prohibit retaliation; require each public postsecondary education institution to submit and publish a certified annual report on governmentally mandated discrimination to the Legislative Research Commission by October 1 each year; provide that a public postsecondary education institution or the council cannot claim a federal, state, judicial, contractual, or accreditation mandate as a defense to a civil action filed under this Act unless the policy, practice, or procedure upon which the complaint is founded is listed and clearly and accurately described in the public institution's annual report filed in accordance with this Act; require each public postsecondary education institution to provide the Personnel Cabinet and State Treasurer the name, job title, duty station, and salary or wages of each employee each month beginning January 1, 2025, and to post its itemized annual budget; amend KRS 164.020 to prohibit the Council on Postsecondary Education from approving a degree, certificate, or diploma program that includes discriminatory concepts or diversity, equity, and inclusion iniatives; amend KRS 164.011, 164.131, 164.321, and 164.821 to conform; direct the Council on Postsecondary Education to consider certain enumerated conditions when considering the elimination of an existing program; direct each public postsecondary education institution and the Council on Postsecondary Education to discontinue designated programs and follow designated procedures when implementing this Act; provide specific instructions for public postsecondary education institutions and the Council on Postsecondary Education to follow in implementing this Act; direct public postsecondary education institutions and the council to submit a report on implementation of this Act.",0,,2025-03-28,"delivered to Secretary of State (Acts Ch. 120)",https://legiscan.com/KY/bill/HB4/2025,https://apps.legislature.ky.gov/record/25RS/hb4.html
1967580,2179,HB5,1,Introduced,2025-02-12,"AN ACT relating to correctional facilities.","Create new sections of KRS Chapter 15A, relating to juvenile detention facilities, to direct that all incarcerated youth are subject to search at any time and to require separate bathrooms and sleeping quarters for males and females; create new sections of KRS Chapter 197, relating to penitentiaries, to direct that all prisoners are subject to search at any time, require separate bathrooms and sleeping quarters for males and females, and to prohibit the Department of Corrections from providing cosmetic procedures or initiating cross-sex hormones for a prisoner; create new sections of KRS Chapter 441, relating to jails, to direct that all jail inmates are subject to search at any time and to require separate bathrooms and sleeping quarters for males and females.",327,"House Judiciary",2025-02-14,"to Judiciary (H)",https://legiscan.com/KY/bill/HB5/2025,https://apps.legislature.ky.gov/record/25RS/hb5.html
1971293,2179,HB6,4,Passed,2025-03-27,"AN ACT relating to administrative regulations and declaring an emergency.","Amend KRS 13A.010 to redefine ""major economic impact""; create a new section of KRS Chapter 13A to establish limitations on the authority of an administrative body to promulgate administrative regulations; amend various sections of KRS Chapter 13A to conform; EMERGENCY; EFFECTIVE March 31, 2025.",0,,2025-03-27,"delivered to Secretary of State (Acts Ch. 101)",https://legiscan.com/KY/bill/HB6/2025,https://apps.legislature.ky.gov/record/25RS/hb6.html
1974409,2179,HB7,1,Introduced,2025-02-18,"AN ACT relating to housing development districts.","Create a new section of KRS Chapter 65 to define terms; permit a local government to establish a housing development district by following specified procedure; allow a local government to exempt housing developments within the district from planning and zoning following a public hearing; permit other local taxing authorities to participate in the district; allow a local government to accept applications from developers to construct residential homes within the district; allow a local government to negotiate with a developer whose application it has accepted regarding rates associated with incentive payments to the developer; establish a means by which a developer shall be paid incentive payments by a local government; require area development districts to provide assistance to a local government in establishing a district; require the Cabinet for Economic Development to promote awareness of the district and incentive program and to provide a report to the LRC regarding utilization of the program.",330,"House Local Government",2025-02-21,"to Local Government (H)",https://legiscan.com/KY/bill/HB7/2025,https://apps.legislature.ky.gov/record/25RS/hb7.html
1975967,2179,HB8,1,Introduced,2025-02-19,"AN ACT relating to education.","Amend KRS 158.645 to modify language on core capacities, specify the intent of K-5 education, and define terms; amend KRS 156.070 to give the state board the responsibility for adopting or rejecting the state academic standards, adopting or rejecting instructional materials collections, setting a timeline for adoption updates, and ensuring alignment of academics across the state; create a new section of KRS Chapter 156 to require the Kentucky Department of Education to deconstruct the approved academic standards and provide free guides to districts with sample curricula; amend KRS 156.395 to define ""instructional materials collections""; amend KRS 156.405 to change the State Textbook Commission into the State Instructional Materials Council, require the State Instructional Materials Council to recommend instructional materials collections to the state board for adoption; amend KRS 156.415 to conform; amend KRS 156.433 to require school districts to utilize instructional materials collections from list approved by the state board; amend KRS 156.474, 156.407, 156.410, 156.420, and 156.425 to conform; amend KRS 156.435 to require the State Instructional Materials Council and Kentucky Department of Education to publish the approved instructional materials collections list on its website; amend KRS 156.437, 156.438, 156.439, 156.440, 156.445, 156.460, 156.465, 156.470, and 156.476 to conform; amend KRS 158.6452 to modify membership of the School Curriculum, Assessment, and Accountability Council, and require biennial report on membership and meetings by commissioner; amend KRS 158.6453 to require the School Curriculum, Assessment, and Accountability Council recommend academic standards to the state board for adoption, specify adoption update timeline; require Education Professional Standards Board to require alignment with academic standards as condition of educator preparation program approval; amend KRS 7.410 to conform; amend KRS 157.360 to remove school-based decision making council ability to waive class size maximums in kindergarten through grade one; amend KRS 157.195 and 158.6450 to conform.",5121,"House Primary and Secondary Education",2025-03-04,"returned to Primary and Secondary Education (H)",https://legiscan.com/KY/bill/HB8/2025,https://apps.legislature.ky.gov/record/25RS/hb8.html
1976162,2179,HB9,2,Engrossed,2025-03-05,"AN ACT relating to boards of the Kentucky General Assembly and declaring an emergency.","Create new sections of KRS Chapter 7A to define terms; establish the Medicaid Oversight and Advisory Board of the Kentucky General Assembly to review, analyze, study, evaluate, provide legislative oversight, and make recommendations to the General Assembly regarding any aspect of the Kentucky Medicaid program; establish board membership, authority, and duties; amend KRS 7A.010, 7A.140, 7A.150, and 7A.180 to conform; EMERGENCY.",318,"House Rules",2025-03-13,"to Rules (H)",https://legiscan.com/KY/bill/HB9/2025,https://apps.legislature.ky.gov/record/25RS/hb9.html
1976209,2179,HB10,4,Passed,2025-03-24,"AN ACT relating to the rights of real property owners.","Create a new section of KRS Chapter 383 to allow a property owner or his or her authorized agent to request a law enforcement officer immediately remove a person unlawfully occupying real property under certain circumstances; provide criminal and civil immunity to law enforcement officers and property owners acting in good faith; create a civil cause of action for wrongful removal; require the Department of Kentucky State Police to create a form for the petition to remove unlawful occupants; amend KRS 512.010 to define ""squatter""; amend KRS 512.020 and 512.030 to specifically include damage to real property caused by squatters in the offense of criminal mischief.",0,,2025-03-24,"signed by Governor (Acts Ch. 63)",https://legiscan.com/KY/bill/HB10/2025,https://apps.legislature.ky.gov/record/25RS/hb10.html
