bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1904493,3041145,text,44633,application/pdf,Introduced,https://legiscan.com/KY/text/HB1/id/3041145,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb1/orig_bill.pdf
1904493,3046463,text,45058,application/pdf,Engrossed,https://legiscan.com/KY/text/HB1/id/3046463,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb1/bill.pdf
1904493,3226935,text,37767,application/pdf,Chaptered,https://legiscan.com/KY/text/HB1/id/3226935,https://apps.legislature.ky.gov/law/acts/25RS/documents/0001.pdf
1911715,3048398,text,22120,application/pdf,Introduced,https://legiscan.com/KY/text/HB2/id/3048398,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb2/orig_bill.pdf
1911715,3144192,text,23037,application/pdf,Engrossed,https://legiscan.com/KY/text/HB2/id/3144192,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb2/bill.pdf
1911715,3192785,text,22891,application/pdf,Chaptered,https://legiscan.com/KY/text/HB2/id/3192785,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb2/bill.pdf
1911715,3227057,text,21585,application/pdf,Chaptered,https://legiscan.com/KY/text/HB2/id/3227057,https://apps.legislature.ky.gov/law/acts/25RS/documents/0100.pdf
1955287,3099793,text,33391,application/pdf,Introduced,https://legiscan.com/KY/text/HB3/id/3099793,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb3/orig_bill.pdf
1967797,3116557,text,303058,application/pdf,Introduced,https://legiscan.com/KY/text/HB4/id/3116557,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb4/orig_bill.pdf
1967797,3155604,text,304911,application/pdf,Engrossed,https://legiscan.com/KY/text/HB4/id/3155604,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb4/bill.pdf
1967797,3174534,text,305263,application/pdf,Enrolled,https://legiscan.com/KY/text/HB4/id/3174534,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb4/bill.pdf
1967797,3192808,text,305893,application/pdf,Chaptered,https://legiscan.com/KY/text/HB4/id/3192808,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb4/bill.pdf
1967797,3226781,text,255555,application/pdf,Chaptered,https://legiscan.com/KY/text/HB4/id/3226781,https://apps.legislature.ky.gov/law/acts/25RS/documents/0120.pdf
1967580,3116339,text,89603,application/pdf,Introduced,https://legiscan.com/KY/text/HB5/id/3116339,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb5/orig_bill.pdf
1971293,3121596,text,82247,application/pdf,Introduced,https://legiscan.com/KY/text/HB6/id/3121596,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb6/orig_bill.pdf
1971293,3148759,text,85163,application/pdf,Engrossed,https://legiscan.com/KY/text/HB6/id/3148759,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb6/bill.pdf
1971293,3192766,text,83867,application/pdf,Chaptered,https://legiscan.com/KY/text/HB6/id/3192766,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb6/bill.pdf
1971293,3227042,text,67988,application/pdf,Chaptered,https://legiscan.com/KY/text/HB6/id/3227042,https://apps.legislature.ky.gov/law/acts/25RS/documents/0101.pdf
1974409,3129306,text,29330,application/pdf,Introduced,https://legiscan.com/KY/text/HB7/id/3129306,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb7/orig_bill.pdf
1975967,3131236,text,271349,application/pdf,Introduced,https://legiscan.com/KY/text/HB8/id/3131236,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb8/orig_bill.pdf
1976162,3131429,text,64919,application/pdf,Introduced,https://legiscan.com/KY/text/HB9/id/3131429,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb9/orig_bill.pdf
1976162,3153286,text,64296,application/pdf,Engrossed,https://legiscan.com/KY/text/HB9/id/3153286,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb9/bill.pdf
1976209,3131475,text,45622,application/pdf,Introduced,https://legiscan.com/KY/text/HB10/id/3131475,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb10/orig_bill.pdf
1976209,3153406,text,46044,application/pdf,Engrossed,https://legiscan.com/KY/text/HB10/id/3153406,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb10/bill.pdf
1976209,3227710,text,38153,application/pdf,Chaptered,https://legiscan.com/KY/text/HB10/id/3227710,https://apps.legislature.ky.gov/law/acts/25RS/documents/0063.pdf
1976238,3131504,text,17832,application/pdf,Introduced,https://legiscan.com/KY/text/HB11/id/3131504,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb11/orig_bill.pdf
1975871,3131143,text,74501,application/pdf,Introduced,https://legiscan.com/KY/text/HB12/id/3131143,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb12/orig_bill.pdf
1976173,3131440,text,18265,application/pdf,Introduced,https://legiscan.com/KY/text/HB13/id/3131440,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/hb13/orig_bill.pdf
