bill_id,date,chamber,sequence,action
1904309,2025-01-07,House,1,"introduced in House"
1904309,2025-01-07,House,2,"to Committee on Committees (H)"
1904309,2025-02-04,House,3,"to Postsecondary Education (H)"
1904311,2025-01-07,House,1,"introduced in House"
1904311,2025-01-07,House,2,"to Committee on Committees (H)"
1904311,2025-02-04,House,3,"to Primary and Secondary Education (H)"
1904311,2025-02-05,House,4,"reported favorably, 1st reading, to Calendar"
1904311,2025-02-06,House,5,"2nd reading, to Rules"
1904311,2025-02-07,House,6,"posted for passage in the Regular Orders of the Day for Tuesday, February 11, 2025"
1904311,2025-02-12,House,7,"3rd reading, passed 92-5"
1904311,2025-02-13,Senate,8,"received in Senate"
1904311,2025-02-13,Senate,9,"to Committee on Committees (S)"
1904311,2025-02-18,Senate,10,"to Education (S)"
1904314,2025-01-07,House,1,"introduced in House"
1904314,2025-01-07,House,2,"to Committee on Committees (H)"
1904314,2025-02-04,House,3,"to Veterans, Military Affairs, & Public Protection (H)"
1904316,2025-01-07,House,1,"introduced in House"
1904316,2025-01-07,House,2,"to Committee on Committees (H)"
1904316,2025-02-04,House,3,"to Primary and Secondary Education (H)"
1904318,2025-01-07,House,1,"introduced in House"
1904318,2025-01-07,House,2,"to Committee on Committees (H)"
1904318,2025-02-04,House,3,"to Judiciary (H)"
1904322,2025-01-07,House,1,"introduced in House"
1904322,2025-01-07,House,2,"to Committee on Committees (H)"
1904322,2025-02-04,House,3,"to Licensing, Occupations, & Administrative Regulations (H)"
1904324,2025-01-07,Senate,1,"introduced in Senate"
1904324,2025-01-07,Senate,2,"to Committee on Committees (S)"
1904324,2025-01-09,Senate,3,"to Judiciary (S)"
1904327,2025-01-07,Senate,1,"introduced in Senate"
1904327,2025-01-07,Senate,2,"to Committee on Committees (S)"
1904327,2025-01-09,Senate,3,"to State & Local Government (S)"
1904331,2025-01-07,Senate,1,"introduced in Senate"
1904331,2025-01-07,Senate,2,"to Committee on Committees (S)"
1904331,2025-02-04,Senate,3,"to Appropriations & Revenue (S)"
1904332,2025-01-07,House,1,"introduced in House"
1904332,2025-01-07,House,2,"to Committee on Committees (H)"
1904332,2025-01-07,House,3,"to House Floor"
1904332,2025-01-07,House,4,"adopted by voice vote"
1904335,2025-01-07,House,1,"introduced in House"
1904335,2025-01-07,House,2,"to Committee on Committees (H)"
1904335,2025-01-07,House,3,"to House Floor"
1904335,2025-01-07,House,4,"adopted by voice vote"
1904337,2025-01-07,Senate,1,"introduced in Senate"
1904337,2025-01-07,Senate,2,"to Committee on Committees (S)"
1904337,2025-01-09,Senate,3,"to Senate Floor"
1904337,2025-03-14,Senate,4,"adopted by voice vote"
1904341,2025-01-07,House,1,"introduced in House"
1904341,2025-01-07,House,2,"to Committee on Committees (H)"
1904341,2025-02-04,House,3,"to Local Government (H)"
1904344,2025-01-07,Senate,1,"introduced in Senate"
1904344,2025-01-07,Senate,2,"to Committee on Committees (S)"
1904344,2025-01-09,Senate,3,"to Education (S)"
1904346,2025-01-07,House,1,"introduced in House"
1904346,2025-01-07,House,2,"to Committee on Committees (H)"
1904346,2025-02-04,House,3,"to Licensing, Occupations, & Administrative Regulations (H)"
1904346,2025-02-12,House,4,"reported favorably, 1st reading, to Calendar"
1904346,2025-02-13,House,5,"2nd reading, to Rules"
1904346,2025-02-25,House,6,"posted for passage in the Regular Orders of the Day for Wednesday, February 26, 2025"
1904346,2025-02-26,House,7,"3rd reading, passed 95-0"
1904346,2025-02-27,Senate,8,"received in Senate"
1904346,2025-02-27,Senate,9,"to Committee on Committees (S)"
1904346,2025-03-04,Senate,10,"to Licensing & Occupations (S)"
1904346,2025-03-11,Senate,11,"reported favorably, 1st reading, to Calendar"
1904346,2025-03-12,Senate,12,"2nd reading, to Rules"
1904349,2025-01-07,Senate,1,"introduced in Senate"
1904349,2025-01-07,Senate,2,"to Committee on Committees (S)"
1904349,2025-01-07,Senate,3,"adopted by voice vote"
1904355,2025-01-07,House,1,"introduced in House"
